Date,Event Name,Placement,Earning,int earning,Ranking,Buy-in,Earning increment
1997-08-04,"$ 200 + 25 Limit Hold'emHeavenly Hold'em, Los Angeles",1st,"$ 10,632",10632,1,200.0,10632
1997-12-01,"$ 100 + 20 7 Card Stud1997 World Poker Finals, Mashantucket",6th,"$ 12,530",12530,6,100.0,23162
1997-12-09,"$ 1,500 + 80 Limit Hold'em1997 World Poker Finals, Mashantucket",1st,"$ 17,500",17500,1,1500.0,40662
1998-02-13,"$ 300 + 30 No Limit Hold'em1998 L.A. Poker Classic, Los Angeles",6th,"$ 20,219",20219,6,300.0,60881
1998-06-01,"$ 300 Limit Hold'emCalifornia State Poker Championship 1998, Los Angeles",1st,"$ 15,026",15026,1,300.0,75907
1998-07-25,"$ 230 Limit Hold'em1998 Orleans Open, Las Vegas",3rd,"$ 101,149",101149,3,230.0,177056
1998-08-06,"$ 300 + 30 No Limit Hold'em1998 Heavenly Hold'em, Los Angeles",9th,"$ 11,723",11723,9,300.0,188779
1999-02-14,"$ 500 + 40 Omaha Hi/Lo SplitLA Poker Classic VIII, Los Angeles",4th,"$ 18,800",18800,4,500.0,207579
1999-02-27,"$ 1,000 + 60 7 Card StudLA Poker Classic VIII, Los Angeles",8th,"$ 2,664",2664,8,1000.0,210243
1999-03-01,"$ 200 Omaha Hi/Lo Split1999 Winnin' o' the Green, Los Angeles (Bell Gardens)",1st,"$ 38,400",38400,1,200.0,248643
1999-06-25,"$ 1,000 + 60 No Limit Hold'em ChampionshipCalifornia State Poker Championship 1999, Los Angeles",3rd,"$ 3,685",3685,3,1000.0,252328
1999-08-15,"$ 500 + 40 7 Card Stud Hi-Lo1999 Legends of Poker, Los Angeles (Bell Gardens)",7th,"$ 40,320",40320,7,500.0,292648
1999-08-28,"$ 1,000 + 60 7 Card Stud1999 Legends of Poker, Los Angeles (Bell Gardens)",2nd,"$ 6,572",6572,2,1000.0,299220
1999-12-06,"$ 500 + 40 Omaha Hi-Lo Split1999 United States Poker Championship, Atlantic City",5th,"$ 1,206",1206,5,500.0,300426
1999-12-11,"$ 1,000 + 60 Omaha Hi-Lo Split1999 United States Poker Championship, Atlantic City",6th,"$ 2,295",2295,6,1000.0,302721
