Date,Event Name,Placement,Earning,int earning,Ranking,Buy-in,Earning increment
2013-03-24,"€ 150 + 20 No Limit Hold'em - Deepstack TurboJP Masters and Norwegian Championships, Dublin",25th,$ 350,350,25,150.0,350
2014-11-27,"£ 1,000 + 100 No Limit Hold'em Main EventUnibet Open - UO London, London",45th,$ 238,238,45,1000.0,588
2015-03-25,"€ 150 + 20 No Limit Hold'em -  Deepstack TurboJP Poker Masters & Norwegian Championship, Dublin",9th,$ 563,563,9,150.0,1151
2015-11-19,"kr 5,000 No Limit Hold'em - Main EventNorwegian Championships National, Oslo",142nd,"$ 2,832",2832,142,5000.0,3983
2017-01-28,"€ 1,000 + 100 No Limit Hold'em - High RollerMPN Poker Tour - Vienna, Vienna",4th,"$ 2,836",2836,4,1000.0,6819
2017-03-29,"€ 350 + 35 No Limit Hold'em - Irish Open Heads UpIrish Poker Open & Norwegian Championships 2017, Dublin",2nd,"$ 1,256",1256,2,350.0,8075
2017-10-03,"$ 200 + 26 No Limit Hold'em2017 The Venetian Resort Hotel Casino Recurring Tournaments, Las Vegas",4th,$ 718,718,4,200.0,8793
2017-11-05,"€ 220 + 25 No Limit Hold'em - Siege of MaltaPokerListings Battle of Malta, St. Julian’s",12th,"$ 1,834",1834,12,220.0,10627
2017-12-08,"£ 200 + 20 No Limit Hold'emUnibet UK Poker Tour - Unibet UKPT Manchester, Manchester",11th,$ 911,911,11,200.0,11538
2017-12-14,"€ 2,200 No Limit Hold'em - partypoker Nordic Poker Championshipspartypoker Nordic Poker Championships, Prague",8th,"$ 1,648",1648,8,2200.0,13186
2018-03-17,"€ 400 + 40 Limit Hold'em - Norwegian Championship 6-Max (NM1) Irish Poker Open & Norwegian Championships 2018, Dublin",22nd,$ 688,688,22,400.0,13874
2018-03-18,"€ 800 + 80 No Limit Hold'em - Norwegian Championship Heads-Up (NM2) Irish Poker Open & Norwegian Championships 2018, Dublin",8th,"$ 23,530",23530,8,800.0,37404
2018-03-20,"€ 800 + 80 Pot Limit Omaha 6-Max Triple Chance (NM4) Irish Poker Open & Norwegian Championships 2018, Dublin",23rd,"$ 2,312",2312,23,800.0,39716
2018-03-20,"€ 2,000 + 80 No Limit Hold'em High Roller 8-MaxIrish Poker Open & Norwegian Championships 2018, Dublin",6th,"$ 5,591",5591,6,2000.0,45307
2018-05-01,"€ 200 + 20 No Limit Hold'em - Coolbet Open WarmUp EventCoolbet Open, Tallinn",8th,$ 486,486,8,200.0,45793
2018-07-26,"€ 1,000 + 100 No Limit Hold'em Main Event Day (Event #14)Tallinn Summer Showdown 2018, Tallinn",15th,"$ 7,092",7092,15,1000.0,52885
2018-07-28,"€ 2,000 + 150 Tallinn Summer Showdown HighRoller (Event #29)Tallinn Summer Showdown 2018, Tallinn",2nd,"$ 16,020",16020,2,2000.0,68905
2018-08-02,"€ 150 + 15 No Limit Hold'em - HyperturboUnibet Open - UO Bucharest, Bucharest",2nd,"$ 2,632",2632,2,150.0,71537
2018-08-30,"kr 10,000 No Limit Hold'em - High Roller2018 Norwegian Championship, Oslofjorden",16th,"$ 5,092",5092,16,10000.0,76629
2018-09-01,"kr 2,500 No Limit Hold'em - Turbo2018 Norwegian Championship, Oslofjorden",22nd,"$ 2,441",2441,22,2500.0,79070
2018-10-17,"€ 500 + 50 No Limit Hold'em - Coolbet Open Main EventCoolbet Open, Tallinn",43rd,"$ 1,621",1621,43,500.0,80691
2018-10-25,"€ 500 + 50 No Limit Hold'em - Battle of MaltaBattle of Malta 2018, St Julians",232nd,"$ 1,502",1502,232,500.0,82193
2018-11-01,"€ 500 + 50 No Limit Hold'em - Malta Poker Festival Grand Event2018 Malta Poker Festival (MPF) (THMC), St. Julian’s",6th,"$ 31,729",31729,6,500.0,113922
2019-01-18,"$ 600 + 60 No Limit Hold'em - Turbo Deep Stack #27Merit Poker Western Tournament, Kyrenia",10th,"$ 1,344",1344,10,600.0,115266
2019-01-20,"$ 500 + 50 No Limit Hold'em - Bounty  #32Merit Poker Western Tournament, Kyrenia",6th,$ 690,690,6,500.0,115956
2019-02-13,"€ 1,000 + 100 No Limit Hold'em - Main EventUnibet Open - UO Sinaia, Sinaia",7th,"$ 1,335",1335,7,1000.0,117291
2019-04-06,"€ 400 + 40 Limit Hold'em - 6 Handed (NM1) Norwegian Championships 2019, Dublin",28th,$ 583,583,28,400.0,117874
2019-04-08,"€ 800 + 80 Pot Limit Omaha - 6 Handed 2nd Chance (NM4) Norwegian Championships 2019, Dublin",34th,"$ 13,737",13737,34,800.0,131611
2019-07-24,"€ 500 + 50 No Limit Texas Hold'em - Tallinn Summer Showdown ChampionshipTallinn Summer Showdown 2019, Tallinn",8th,"$ 2,534",2534,8,500.0,134145
2019-08-23,"€ 550 No Limit Hold'em - EPT Cup (Event #12)European Poker Tour - EPT Barcelona, Barcelona",57th,"$ 1,676",1676,57,550.0,135821
2019-12-07,"€ 1,100 No Limit Hold'em - EPT National (Event #4)European Poker Tour - EPT Prague, Prague",277th,"$ 1,980",1980,277,1100.0,137801
2019-12-11,"€ 5,300 No Limit Hold'em - EPT Prague Main Event (Event #20)European Poker Tour - EPT Prague, Prague",142nd,"$ 3,580",3580,142,5300.0,141381
2020-02-27,"No Limit Hold'em - Unibet Battle Royale Unibet Open - UO Dublin, Dublin",3rd,"$ 10,931",10931,3,,152312
2020-02-27,"€ 1,000 + 100 No Limit Hold'em - Unibet Open Main EventUnibet Open - UO Dublin, Dublin",6th,"$ 13,251",13251,6,1000.0,165563
2020-04-07,"$ 265 No Limit Hold'em - The Hendon Mob Championship (THMC)Irish Poker Open 2020 - Online at partypoker, Online",47th,$ 616,616,47,265.0,166179
2020-07-26,"$ 400 No Limit Hold'em - COLOSSUS (Event #10)World Series of Poker - WSOP Online 2020 at GGPoker, Online",1028th,$ 548,548,1028,400.0,166727
2020-08-06,"$ 1,000 No Limit Hold'em (Event #52)World Series of Poker - WSOP Online 2020 at GGPoker, Online",69th,"$ 3,467",3467,69,1000.0,170194
2020-08-12,"$ 2,500 Double Stack No Limit Hold'em (Event #59)World Series of Poker - WSOP Online 2020 at GGPoker, Online",74th,"$ 1,011",1011,74,2500.0,171205
2020-08-16,"$ 840 Super Turbo Bounty No Limit Hold'em (Event #64)World Series of Poker - WSOP Online 2020 at GGPoker, Online",221st,"$ 1,606",1606,221,840.0,172811
