Date,Event Name,Placement,Earning,int earning,Ranking,Buy-in,Earning increment
3/9/2010,"$ 500 + 50 No Limit Hold'emRussian Poker Tour - RPT Kiev, Kiev",4th,"$ 9,827",9827,4,500,9827
9/27/2010,"$ 820 + 80 No Limit Hold'em - Grand EventRussian Poker Tour - RPT Kiev, Kiev",30th,"$ 138,459",138459,30,820,148286
12/5/2010,"$ 1,000 + 100 No Limit Hold'em - RPS SpecialRussian Poker Series - RPS Kiev Grand Final presented by PokerStars, Kiev",2nd,"A$ 13,040",13040,2,1000,161326
5/13/2011,"$ 2,300 + 200 No Limit Hold'em - Main EventRussian Poker Tour - RPT Kiev, Kiev",2nd,"$ 44,599",44599,2,2300,205925
6/16/2011,"$ 820 + 80 No Limit Hold'em - Grand EventRussian Poker Tour - RPT Odessa, Odessa",6th,"$ 124,372",124372,6,820,330297
8/13/2011,"$ 400 No Limit Hold'em - One Plus OneRussian Poker Tour - RPT Odessa, Odessa",13th,"$ 55,527",55527,13,400,385824
3/23/2012,"€ 640 + 60 No Limit Hold'em - Grand EventRussian Poker Tour - RPT Kiev Grand Final, Kiev",29th,"HK$ 965,000",965000,29,640,1350824
11/29/2012,"$ 1,825 + 175 No Limit Hold'em - Main EventUkrainian-Russian Tour - Grand Final, Kiev",14th,"$ 1,772,822",1772822,14,1825,3123646
3/29/2013,"€ 1,825 + 175 No Limit Hold'em - Main EventRussian Poker Tour - RPT Kiev Grand Final, Kiev",13th,"$ 420,255",420255,13,1825,3543901
5/6/2015,"€ 25,000 + 500 No Limit Hold'em - High Roller 8 Handed (Event #61)European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",28th,"$ 451,007",451007,28,25000,3994908
8/30/2015,"€ 5,000 + 200 No Limit Hold'em - Turbo 6Max #69European Poker Tour - EPT Barcelona, Barcelona",5th,"HK$ 3,262,500",3262500,5,5000,7257408
10/29/2015,"€ 10,000 + 300 #61 No Limit Hold'em  - High RollerEuropean Poker Tour - EPT Malta, St. Julian’s",18th,"$ 195,150",195150,18,10000,7452558
5/1/2016,"€ 49,000 + 1,000 No Limit Hold'em - Super High Roller #37European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",6th,"$ 62,406",62406,6,49000,7514964
5/3/2016,"€ 5,000 + 300 No Limit Hold'em - 8Max #54European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",18th,"$ 49,346",49346,18,5000,7564310
8/17/2016,"€ 10,000 + 300 No Limit Hold'em (Event #7)European Poker Tour - EPT Barcelona, Barcelona",28th,"HK$ 485,000",485000,28,10000,8049310
8/23/2016,"€ 25,000 + 500 No Limit Hold'em - Single Re-Entry 8 Handed (Event #33)European Poker Tour - EPT Barcelona, Barcelona",21st,"$ 2,499,184",2499184,21,25000,10548494
10/17/2016,"€ 96,500 + 3,500 No Limit Hold'em The Monte-Carlo One Drop Extravaganza, Monte Carlo",2nd,"$ 86,229",86229,2,96500,10634723
10/21/2016,"€ 25,000 + 750 No Limit Hold'em - 8 Handed (Event #17)European Poker Tour - EPT Malta, St. Julian’s",5th,"HK$ 19,618,400",19618400,5,25000,30253123
10/23/2016,"€ 5,000 + 300 No Limit Hold'em - EPT Main Event (Event #33)European Poker Tour - EPT Malta, St. Julian’s",40th,"HK$ 670,000",670000,40,5000,30923123
11/5/2016,"HK$ 480,000 + 20,000 No Limit Hold'em - Super High Roller (Event #8)2016 Asia Championship of Poker (ACOP), Macau",6th,"$ 588,692",588692,6,480000,31511815
12/8/2016,"€ 10,000 + 300 No Limit Hold'em - 8 Max (Event #2)European Poker Tour - EPT Prague, Prague",15th,"$ 219,370",219370,15,10000,31731185
12/15/2016,"€ 25,000 + 500 No Limit Hold'em - 8-Handed (Single Day HR II)European Poker Tour - EPT Prague, Prague",3rd,"HK$ 4,620,000",4620000,3,25000,36351185
1/28/2017,"A$ 4,700 + 300 No Limit Hold'em - Six Max (Event #22)2017 Aussie Millions Poker Championship, Melbourne",12th,"HK$ 1,712,000",1712000,12,4700,38063185
1/29/2017,"A$ 50,000 No Limit Hold'em - Shot Clock Six Max2017 Aussie Millions Poker Championship, Melbourne",1st,"$ 1,912,903",1912903,1,50000,39976088
2/13/2017,"HK$ 95,000 + 5,000 No Limit Hold'em - High Roller Event 16Macau Poker Cup 26, Macau",3rd,"$ 26,490",26490,3,95000,40002578
2/17/2017,"HK$ 240,000 + 10,000 No Limit Hold'em - Six MaxTriton Poker Super High Roller Series Philippines, Paranaque City",7th,"$ 305,950",305950,7,240000,40308528
3/18/2017,"HK$ 500,000 No Limit Hold'em - Super High Roller2017 MBP Spring Challenge, Macau",1st,"$ 516,536",516536,1,500000,40825064
3/30/2017,"HK$ 80,000 + 2,400 No Limit Hold'em #3PokerStars Championship Macau, Macau",8th,"$ 710,000",710000,8,80000,41535064
4/4/2017,"HK$ 200,000 + 6,000 No Limit Hold'em #28PokerStars Championship Macau, Macau",8th,"HK$ 4,030,320",4030320,8,200000,45565384
4/6/2017,"HK$ 200,000 + 6,000 No Limit Hold'em #35PokerStars Championship Macau, Macau",2nd,"$ 210,236",210236,2,200000,45775620
4/8/2017,"HK$ 103,000 No Limit Hold'em #49PokerStars Championship Macau, Macau",3rd,"$ 150,692",150692,3,103000,45926312
5/2/2017,"€ 25,500 No Limit Hold'em - Eight Max Shot Clock (Event 47)PokerStars Championship presented by Monte-Carlo Casino, Monte Carlo",6th,"HK$ 1,650,000",1650000,6,25500,47576312
7/18/2017,"HK$ 960,000 + 40,000 No Limit Hold'em - Main EventTriton Poker Super High Roller Series Montenegro, Budva",8th,"$ 22,273",22273,8,960000,47598585
8/15/2017,"€ 10,200 No Limit Hold'em - Turbo #2PokerStars Championship Barcelona, Barcelona",3rd,"$ 10,853",10853,3,10200,47609438
8/16/2017,"€ 10,300 No Limit Hold'em - 8 Handed #7PokerStars Championship Barcelona, Barcelona",17th,"$ 297,198",297198,17,10300,47906636
8/26/2017,"€ 10,200 No Limit Hold'em #45PokerStars Championship Barcelona, Barcelona",5th,"$ 293,065",293065,5,10200,48199701
10/24/2017,"HK$ 288,000 + 12,000 No Limit Hold'em - Single Day High Roller2017 Asia Championship of Poker (ACOP), Macau",2nd,"HK$ 2,324,000",2324000,2,288000,50523701
11/3/2017,"€ 111,111 No Limit Hold'em - High Roller for One Drop (Event #10)World Series of Poker Europe - WSOPE 2017, Rozvadov",3rd,"HK$ 2,300,000",2300000,3,111111,52823701
11/7/2017,"€ 25,000 No Limit Hold'em - Super High RollerWorld Series of Poker Europe - WSOPE 2017, Rozvadov",2nd,"$ 12,465",12465,2,25000,52836166
12/10/2017,"€ 50,000 No Limit Hold'em - Super High Roller ( Event #9 )PokerStars Championship Prague, Prague",2nd,"$ 24,000",24000,2,50000,52860166
12/12/2017,"€ 5,300 No Limit Hold'em - Pokestars Championship Main Event ( Event #15 )PokerStars Championship Prague, Prague",31st,"$ 1,600,000",1600000,31,5300,54460166
1/12/2018,"$ 24,700 + 300 #22 No Limit Hold'em - High RollerPokerStars Caribbean Adventure - PCA 2018, Paradise Island",6th,"$ 157,500",157500,6,24700,54617666
2/9/2018,"HK$ 76,000 + 4,000 No Limit Hold'em - High Roller (Event #29)Asia Pacific Poker Tour - APPT Macau Poker Cup, Macau",1st,"$ 5,257,027",5257027,1,76000,59874693
4/11/2018,"€ 10,000 + 300 No Limit Hold'em - Main Event #7partypoker LIVE - partypoker MILLIONS Barcelona Grand Final, Barcelona",42nd,"$ 55,430",55430,42,10000,59930123
4/28/2018,"€ 5,300 No Limit Hold'em - EPT Main Event #12European Poker Tour - EPT Monte Carlo, Monte Carlo",93rd,"HK$ 41,250,000",41250000,93,5300,101180123
5/15/2018,"HK$ 1,000,000 No Limit Hold'em - Triton Super High Roller Main EventTriton Poker Super High Roller Series Montenegro, Budva",1st,"$ 307,403",307403,1,1000000,101487526
5/27/2018,"$ 300,000 No Limit Hold'em2018 Super High Roller Bowl, Las Vegas",4th,"$ 246,298",246298,4,300000,101733824
7/28/2018,"HK$ 1,000,000 No Limit Hold'em - Short Deck Ante-Only 1M HKDTriton Poker Super High Roller Series Jeju, Jeju",5th,"A$ 455,000",455000,5,1000000,102188824
7/30/2018,"HK$ 2,000,000 No Limit Hold'em - Triton Poker Super High Roller Series Main EventTriton Poker Super High Roller Series Jeju, Jeju",1st,"$ 899,658",899658,1,2000000,103088482
8/25/2018,"€ 100,000 No Limit Hold'em - Super High Roller (Event #9)European Poker Tour - EPT Barcelona, Barcelona",1st,"$ 1,600,000",1600000,1,100000,104688482
10/23/2018,"€ 25,000 No Limit Hold'em - King's Short Deck ChampionshipWorld Series of Poker Europe - WSOPE 2018, Rozvadov",1st,"$ 86,400",86400,1,25000,104774882
10/24/2018,"€ 25,000 + 500 No Limit Hold'em - Highroller (Event #8)World Series of Poker Europe - WSOPE 2018, Rozvadov",4th,"$ 13,036",13036,4,25000,104787918
10/26/2018,"€ 95,000 + 5,000 No Limit Hold'em - Super High Roller (Event #9)World Series of Poker Europe - WSOPE 2018, Rozvadov",4th,"$ 477,981",477981,4,95000,105265899
11/13/2018,"$ 250,000 No Limit Hold'em - Super High Roller Championshipspartypoker LIVE - partypoker Caribbean Poker Party, Nassau",4th,"$ 159,750",159750,4,250000,105425649
1/6/2019,"$ 25,000 No Limit Hold'em - PSPC PokerStars Players Championship (Event #2)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",34th,"$ 925,005",925005,34,25000,106350654
3/3/2019,"HK$ 500,000 No Limit Hold'em - Short Deck Ante Only (Event #2)Triton Poker Super High Roller Series Jeju, Jeju",7th,"$ 36,000",36000,7,500000,106386654
4/27/2019,"€ 100,000 No Limit Hold'em - EPT Super High Roller (Event #9)European Poker Tour - EPT Monte Carlo, Monte Carlo",5th,"HK$ 7,260,000",7260000,5,100000,113646654
4/29/2019,"€ 5,300 No Limit Hold'em - EPT Main Event (Event #15)European Poker Tour - EPT Monte Carlo, Monte Carlo",102nd,"$ 49,000",49000,102,5300,113695654
5/8/2019,"HK$ 1,000,000 No Limit Hold'em - Triton Montenegro Main Event (Event #5)Triton Poker Super High Roller Series Montenegro, Budva",4th,"$ 1,694,397",1694397,4,1000000,115390051
5/10/2019,"HK$ 1,000,000 No Limit Hold'em - Triton Montenegro Short Deck Main Event (Event #11)Triton Poker Super High Roller Series Montenegro, Budva",10th,"$ 75,250",75250,10,1000000,115465301
5/15/2019,"HK$ 750,000 Short Deck No Limit Hold'em - Ante Only (Event #10)Triton Poker Super High Roller Series Montenegro, Budva",1st,"HK$ 13,300,000",13300000,1,750000,128765301
6/25/2019,"$ 10,000 No Limit Hold'em - Aria High Roller 21Aria Summer High Rollers, Las Vegas",3rd,"$ 162,800",162800,3,10000,128928101
7/2/2019,"$ 25,000 No Limit Hold'em - Aria High Roller 24Aria Summer High Rollers, Las Vegas",1st,"$ 299,000",299000,1,25000,129227101
7/3/2019,"$ 25,000 No Limit Hold'em - Aria High Roller 25Aria Summer High Rollers, Las Vegas",1st,"$ 210,249",210249,1,25000,129437350
7/10/2019,"$ 25,000 No Limit Hold'em - Aria High Roller 30Aria Summer High Rollers, Las Vegas",1st,"$ 248,220",248220,1,25000,129685570
9/4/2019,"£ 10,000 + 500 No Limit Hold'em - BPO Event #32019 British Poker Open (BPO), London",4th,"$ 84,299",84299,4,10000,129769869
9/10/2019,"£ 50,000 + 2,000 No Limit Hold'em - BPO Event #92019 British Poker Open (BPO), London",1st,"$ 600,074",600074,1,50000,130369943
1/30/2020,"A$ 50,000 No Limit Hold'em (Event #6)Australian Poker Open, Gold Coast",2nd,"$ 2,951",2951,2,50000,130372894
3/9/2020,"$ 51,000 No Limit Hold'empartypoker LIVE - partypoker MILLIONS Sochi Super High Roller Series, Sochi",1st,"$ 765,000",765000,1,51000,131137894
3/13/2020,"$ 250,000 No Limit Hold'em - Super High Roller Bowlpartypoker LIVE - partypoker MILLIONS Sochi Super High Roller Series, Sochi",3rd,"$ 18,818",18818,3,250000,131156712
