Date,Event Name,Placement,Earning
12-Mar-2023,"$ 100,000 No Limit Short Deck Hold'em - Main Event (Event #13)Triton Poker Super High Roller Series Vietnam, Hoi An",1st,"$ 1,544,000"
01-Aug-2019,"£ 1,050,000 No Limit Hold'em - Triton Million for Charity (Event #2) Triton Poker Super High Roller Series London, London",1st,"$ 16,775,820"
11-Nov-2016,"HK$ 240,000 + 10,000 No Limit Hold'em - High Roller (Event #14)2016 Asia Championship of Poker (ACOP), Macau",8th,"HK$ 635,000"
09-Nov-2015,"HK$ 95,000 + 5,000 No Limit Hold'em - Main EventAsia Pacific Poker Tour - APPT Asia Championship of Poker, Macau",21st,"$ 81,873"
02-May-2014,"€ 10,000 + 300 No Limit Hold'em - Turbo 6 MaxEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",3rd,"HK$ 241,000"
23-Nov-2007,"HK$ 3,770 No Limit Hold'emAsia Pacific Poker Tour - APPT Macau, Taipa",4th,"$ 31,090"
,,,"$ 116,938"
10-Aug-2019,"£ 250,000 No Limit Hold'em - Short Deck Ante Only ""Les Ambassadeurs Private Event"" Triton Poker Super High Roller Series London, London",3rd,"HK$ 13,880"
30-Nov-2018,"KRW 57,000,000 + 3,000,000 No Limit Hold'em - Super High Roller  (Event #2)Jeju Red Dragon 2018, Jeju",6th,"$ 1,783"
05-Nov-2016,"HK$ 480,000 + 20,000 No Limit Hold'em - Super High Roller (Event #8)2016 Asia Championship of Poker (ACOP), Macau",5th,
30-May-2015,"HK$ 95,000 + 5,000 No Limit Hold'em - High Roller - Event #11Asia Pacific Poker Tour - APPT Macau, Macau",2nd,"$ 2,712,016"
18-Oct-2013,"No Limit Hold'em - Final 2013 Asian Nations Cup (Match Poker), Sanya",1st,"$ 156,848"
