Date,Event Name,Placement,Earning
16-Jul-2023,"$ 500 No Limit Hold'em - Summer Saver (Online Bracelet Event 19) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",186th,"$ 1,067"
09-Jul-2023,"$ 9,700 + 800 No Limit Hold'em - WPT EveryOne for One DropThe Wynn Summer Classic, Las Vegas",57th,"$ 39,980"
12-Jun-2023,"$ 100,000 No Limit Hold'em - High Roller - 8-Handed (Bracelet Event 29)54th World Series of Poker - WSOP 2023, Las Vegas",3rd,"$ 1,142,147"
07-Jun-2023,"$ 2,500 No Limit Hold'em - Freezeout (Bracelet Event 19)54th World Series of Poker - WSOP 2023, Las Vegas",16th,"$ 17,423"
30-May-2023,"$ 25,000 No Limit Hold'em - High Roller 6-Handed (Bracelet Event 2)54th World Series of Poker - WSOP 2023, Las Vegas",14th,"$ 62,763"
10-May-2023,"$ 25,000 No Limit Hold'em - GG Super Million$ Live (Event #1)Triton Poker Super High Roller Series Cyprus, Kyrenia",23rd,"$ 45,800"
03-May-2023,"€ 25,000 No Limit Hold'em (Event 34)European Poker Tour - EPT Monte Carlo, Monte Carlo",6th,"$ 73,882"
08-Mar-2023,"$ 100,000 No Limit Hold'em - Main Event (Event #9)Triton Poker Super High Roller Series Vietnam, Hoi An",4th,"$ 1,201,000"
04-Mar-2023,"$ 30,000 No Limit Hold'em - 7-Handed (Event #5)Triton Poker Super High Roller Series Vietnam, Hoi An",18th,"$ 64,600"
25-Feb-2023,"€ 25,000 No Limit Hold'em - Single Re-Entry (Event #34)European Poker Tour - EPT Paris, Paris",2nd,"$ 223,277"
26-Jan-2023,"$ 1,716 + 284 + 1,000 No Limit Hold'em - PCA Mystery Bounty Championship (Event #23)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",34th,"$ 5,350"
14-Jan-2023,"$ 10,000 No Limit Hold'em - PokerGO Cup #4PokerGO Tour - 2023 PGT PokerGO Cup, Las Vegas",3rd,"$ 93,600"
11-Jan-2023,"$ 10,000 No Limit Hold'em - PokerGO Cup #1PokerGO Tour - 2023 PGT PokerGO Cup, Las Vegas",5th,"$ 72,000"
14-Dec-2022,"€ 1,800 + 200 No Limit Hold'em - EPT Mystery Bounty (Event #33)European Poker Tour - EPT Prague, Prague",34th,"$ 5,783"
12-Dec-2022,"€ 5,000 + 300 No Limit Hold'em - EPT Prague Main Event (Event #20)European Poker Tour - EPT Prague, Prague",144th,"$ 9,112"
07-Oct-2022,"$ 15,000 No Limit Hold'em - Aria High Roller #24PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",2nd,"$ 39,600"
01-Oct-2022,"$ 50,000 No Limit Hold'em - Poker Masters #10PokerGO Tour - 2022 PGT Poker Masters, Las Vegas",2nd,"$ 444,000"
17-Sep-2022,"$ 15,000 + 400 No Limit Hold'em - PGT Stairway to Millions #10PokerGO Tour - 2022 PGT Stairway to Millions, Las Vegas",3rd,"$ 80,400"
15-Aug-2022,"€ 5,300 No Limit Hold'em - EPT Barcelona Main Event (Event #29)European Poker Tour - EPT Barcelona, Barcelona",251st,"$ 10,266"
13-Jul-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #17PokerGO Tour - PGT Aria High Roller Summer Series 2022, Las Vegas",3rd,"$ 46,400"
10-Jul-2022,"$ 525 No Limit Hold'em - Monster Stack 8-Max (Event #5) ONLINEWorld Series of Poker Circuit - WSOPC ONLINE Series, Online",37th,"$ 1,418"
03-Jul-2022,"$ 10,000 No Limit Hold'em - WSOP Main Event (Event #70)53rd World Series of Poker - WSOP 2022, Las Vegas",993rd,"$ 17,000"
23-Jun-2022,"$ 250,000 No Limit Hold'em - Super High Roller (Event #50)53rd World Series of Poker - WSOP 2022, Las Vegas",4th,"$ 1,367,206"
10-Jun-2022,"$ 1,500 No Limit Hold'em - Monster Stack (Event #21)53rd World Series of Poker - WSOP 2022, Las Vegas",919th,"$ 2,400"
01-Jun-2022,"$ 2,500 No Limit Hold'em - Freezeout (Event #3)53rd World Series of Poker - WSOP 2022, Las Vegas",44th,"$ 7,448"
14-May-2022,"€ 900 + 100 No Limit Hold'em - High Roller (Event #38)Winamax Poker Open - WPO Madrid, Madrid",8th,"$ 6,030"
28-Apr-2022,"€ 1,100 No Limit Hold'em - FPS Monte Carlo Main Event (Event 1)European Poker Tour - EPT Monte Carlo, Monte Carlo",106th,"$ 3,354"
10-Mar-2022,"€ 5,000 + 300 No Limit Hold'em - EPT Main Event (Event #20)European Poker Tour - EPT Prague, Prague",40th,"$ 19,613"
18-Nov-2021,"$ 250,000 No Limit Hold'em - Super High Roller (Event #82)52nd World Series of Poker - WSOP 2021, Las Vegas",1st,"$ 3,265,362"
