Date,Event Name,Placement,Earning
06-Aug-2023,"$ 60,000 + 2,400 No Limit Hold'em - Turbo (Event #12)Triton Poker Super High Roller Series London, London",5th,"$ 285,500"
01-Aug-2023,"$ 200,000 + 12,000 No Limit Hold'em - 8-Handed (Event #7)Triton Poker Super High Roller Series London, London",6th,"$ 970,000"
14-Jul-2023,"$ 102,500 + 8,500 No Limit Hold'em - WPT Alpha8 for One DropThe Wynn Summer Classic, Las Vegas",4th,"$ 485,200"
08-Jul-2023,"$ 1,000 No Limit Hold'em - Championship (Online Bracelet Event 15) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",174th,"$ 1,720"
02-Jul-2023,"$ 10,000 + 100 No Limit Hold'em - ARIA High Roller #72023 ARIA High Roller Series, Las Vegas",4th,"$ 67,000"
06-Jun-2023,"$ 25,000 No Limit Hold'em - High Roller - 8-Handed (Bracelet Event 16)54th World Series of Poker - WSOP 2023, Las Vegas",10th,"$ 96,986"
05-May-2023,"€ 25,000 No Limit Hold'em (Event 48)European Poker Tour - EPT Monte Carlo, Monte Carlo",2nd,"$ 185,530"
30-Apr-2023,"€ 5,300 No Limit Hold'em - EPT Main Event (Event 19)European Poker Tour - EPT Monte Carlo, Monte Carlo",143rd,"$ 10,852"
21-Feb-2023,"€ 25,000 No Limit Hold'em (Event #20)European Poker Tour - EPT Paris, Paris",2nd,"$ 226,231"
29-Jan-2023,"$ 5,200 + 5,000 No Limit Hold'em - Mystery Bounty (Event #42)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",13th,"$ 11,700"
10-Dec-2022,"€ 24,500 + 500 No Limit Hold'em (Event #13)European Poker Tour - EPT Prague, Prague",3rd,"$ 123,560"
18-Sep-2022,"$ 1,500 No Limit Hold'em - FIFTY STACK Bounty ONLINE (Online Bracelet Event #27)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",12th,"$ 8,739"
10-Sep-2022,"$ 200,000 No Limit Hold'em - Coin Rivet Invitational (Event #6) Triton Poker Super High Roller Series Cyprus, Kyrenia",6th,"$ 1,350,000"
16-Aug-2022,"€ 50,000 No Limit Hold'em (Event #34)European Poker Tour - EPT Barcelona, Barcelona",3rd,"$ 447,695"
12-Aug-2022,"€ 25,000 No Limit Hold'em (Event #16)European Poker Tour - EPT Barcelona, Barcelona",9th,"$ 61,746"
16-Jul-2022,"$ 5,000 No Limit Hold'em (Event #87)53rd World Series of Poker - WSOP 2022, Las Vegas",45th,"$ 11,388"
19-Jun-2022,"$ 100,000 No Limit Hold'em - High Roller 8-Handed (Event #42)53rd World Series of Poker - WSOP 2022, Las Vegas",1st,"$ 1,897,363"
14-Nov-2021,"$ 7,777 No Limit Hold'em - Lucky 7's High Roller (Event #8) ONLINEWorld Series of Poker - 2021 WSOP Online Gold Bracelet Events, Online",1st,"$ 432,491"
11-Nov-2021,"$ 10,000 No Limit Hold'em - Aria High Roller 36PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",4th,"$ 46,200"
12-Sep-2021,"$ 210 No Limit Hold'em - WSOP Bounty Double MILLION$ ONLINE (Event #32)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",17th,"$ 13,245"
21-Aug-2021,"$ 10,000 No Limit Hold'em - Heads Up Championship ONLINE (Event #15)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",2nd,"$ 279,700"
15-Aug-2021,"$ 10,000 No Limit Hold'em - Super MILLION$ High Roller ONLINE (Event #11)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",15th,"$ 62,539"
08-Aug-2021,"$ 200 No Limit Hold'em - Flip & Go Flip ONLINE (Event #6)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",272nd,"$ 1,236"
01-Aug-2021,"$ 1,111 No Limit Hold'em - Caesars Cares Charity Event ONLINE (Event #2) World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",78th,"$ 3,873"
30-Aug-2020,"$ 5,000 No Limit Hold'em Main Event (Event #77)World Series of Poker - WSOP Online 2020 at GGPoker, Online",65th,"$ 30,776"
23-Aug-2020,"$ 25,000 NLH POKER PLAYERS CHAMPIONSHIP, $10M GTD (Event #70)World Series of Poker - WSOP Online 2020 at GGPoker, Online",4th,"$ 719,700"
09-Aug-2020,"$ 8,000 No Limit Hold'em Asia Championship (Event #55)World Series of Poker - WSOP Online 2020 at GGPoker, Online",141st,"$ 4,234"
01-Aug-2020,"$ 3,000 + 200 WPT World Championship 8-Max - Online (Event #3)World Poker Tour - WPT Online World Championship by partypoker, Online",16th,"$ 24,851"
10-May-2020,"$ 3,000 + 200 No Limit Hold'em - WPT Online Championship Main EventWorld Poker Tour - WPT Online Championship by partypoker, Online",162nd,"$ 8,243"
09-Jul-2019,"$ 3,000 No Limit Hold'em (Event #79)50th World Series of Poker - WSOP 2019, Las Vegas",61st,"$ 5,796"
21-Aug-2017,"€ 5,300 No Limit Hold'em - PokerStars Championship Main Event  #18PokerStars Championship Barcelona, Barcelona",117th,"$ 15,728"
13-Dec-2016,"€ 5,000 + 300 No Limit Hold'em - EPT Main EventEuropean Poker Tour - EPT Prague, Prague",48th,"$ 18,204"
27-Aug-2016,"€ 1,000 + 100 No Limit Hold'em - Hyperturbo (Event #58)European Poker Tour - EPT Barcelona, Barcelona",20th,"$ 2,626"
22-Aug-2016,"€ 5,000 + 300 No Limit Hold'em - EPT Main Event (Event #24)European Poker Tour - EPT Barcelona, Barcelona",348th,"$ 6,373"
05-Jul-2016,"$ 5,000 No Limit Hold'em (Event #59)47th World Series of Poker - WSOP 2016, Las Vegas",40th,"$ 15,823"
29-Jun-2015,"$ 1,500 No Limit Hold'em (Event #59)46th World Series of Poker - WSOP 2015, Las Vegas",214th,"$ 2,967"
17-Dec-2014,"€ 2,000 + 150 #58 No Limit Hold'em - Turbo - 6 HandedEuropean Poker Tour - EPT Prague, Prague",6th,"$ 18,182"
14-May-2014,"€ 250 No Limit Hold'em TerminatorBaltic Hold'em Series 2014, Riga",1st,"$ 1,869"
08-Dec-2013,"€ 1,000 + 100 No Limit Hold'em - EUREKA Main EventEuropean Poker Tour - EPT Prague, Prague",54th,"$ 5,275"
06-Jul-2013,"$ 10,000 World Championship - No Limit Hold'em (Event #62)44th World Series of Poker - WSOP 2013, Las Vegas",33rd,"$ 229,281"
11-Oct-2012,"€ 550 No Limit Hold'em - Concord MillionVienna Pokerfestival - Concord Million Alps Poker Tour, Vienna Simmering",179th,"$ 1,298"
27-Nov-2011,"€ 320 No Limit Hold'em - Short HandedWorld Poker Tour - WPT Marrakech, Marrakech",9th,"$ 1,171"
,,,
03-Aug-2023,"$ 250,000 + 12,500 No Limit Hold'em - Luxon Invitational (Event #9) Triton Poker Super High Roller Series London, London",4th,"$ 2,540,000"
27-Jul-2023,"$ 25,000 + 1,500 No Limit Hold'em - GGMillion$ Live 8-Handed (Event #1)Triton Poker Super High Roller Series London, London",6th,"$ 208,200"
12-Jul-2023,"$ 50,000 No Limit Hold'em - High Roller - 8-Handed (Bracelet Event 84)54th World Series of Poker - WSOP 2023, Las Vegas",22nd,"$ 88,506"
03-Jul-2023,"$ 5,300 No Limit Hold'em - High Roller Championship (Online Bracelet Event 13) (NV/NJ)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",4th,"$ 150,144"
14-Jun-2023,"$ 7,000 + 3,000 No Limit Hold'em - Secret Bounty (Bracelet Event 35)54th World Series of Poker - WSOP 2023, Las Vegas",83rd,"$ 10,858"
20-May-2023,"$ 100,000 No Limit Hold'em - Main Event (Event #11)Triton Poker Super High Roller Series Cyprus, Kyrenia",10th,"$ 215,000"
03-May-2023,"€ 25,000 No Limit Hold'em (Event 34)European Poker Tour - EPT Monte Carlo, Monte Carlo",5th,"$ 94,976"
