Date,Event Name,Placement,Earning
13-Jul-2023,"$ 1,500 No Limit Hold'em - Shootout (Bracelet Event 85)54th World Series of Poker - WSOP 2023, Las Vegas",18th,"$ 5,759"
08-Jun-2022,"$ 3,000 No Limit Hold'em (Event #16)53rd World Series of Poker - WSOP 2022, Las Vegas",89th,"$ 6,962"
23-Apr-2022,"$ 15,000 No Limit Hold'em - Aria High Roller #6PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",3rd,"$ 84,995"
20-Apr-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #4PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",1st,"$ 149,600"
09-Apr-2022,"$ 25,000 No Limit Hold'em - SHRS Europe #3Super High Roller Series - SHRS Europe presented by Luxon Pay, Kyrenia",4th,"$ 160,000"
03-Apr-2022,"$ 100,000 No Limit Hold'em - Triton Cyprus #2Triton Poker Cyprus - Special Edition, Kyrenia",8th,"$ 251,700"
25-Mar-2022,"$ 25,000 Pot Limit Omaha - US Poker Open #10PokerGO Tour - 2022 PGT U.S. Poker Open (USPO), Las Vegas",3rd,"$ 183,750"
15-Mar-2022,"$ 2,000 No Limit Hold'em - Super High Roller ONLINE (Ring Event 4)World Series of Poker Circuit - WSOP ONLINE Super Circuit, Online",11th,"$ 4,394"
11-Mar-2022,"$ 3,500 No Limit Hold'emWynn Millions Poker Series, Las Vegas",69th,"$ 10,168"
02-Mar-2022,"$ 15,300 No Limit Hold'em - Wynn High Roller #2PokerGO Tour - PGT Wynn High Rollers, Las Vegas",6th,"$ 30,000"
25-Feb-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #2PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",1st,"$ 129,600"
18-Feb-2022,"$ 2,500 No Limit Hold'em - UltimateStack (Event 27)Venetian DeepStack Extravaganza I, Las Vegas",54th,"$ 5,549"
06-Feb-2022,"$ 25,000 No Limit Hold'em - PokerGO Cup #5PokerGO Tour - 2022 PGT PokerGO Cup, Las Vegas",5th,"$ 82,000"
21-Jan-2022,"$ 3,500 No Limit Hold'em - WPT No Limit Hold'em Championship (Event #20)World Poker Tour - 2022 WPT Lucky Hearts Poker Open, Hollywood",238th,"$ 6,275"
18-Jan-2022,"$ 50,000 + 1,000 No Limit Hold'em - Stairway to Millions #7PokerGO Tour - 2022 PGT Stairway to Millions, Las Vegas",2nd,"$ 315,000"
29-Nov-2021,"$ 25,500 No Limit Hold'em - High Roller (Event #26)World Poker Tour - WPT Rock 'N' Roll Poker Open, Hollywood",1st,"$ 695,355"
