Date,Event Name,Placement,Earning
18-Jul-2023,"$ 1,000 No Limit Hold'em - High Roller 6-Max (Online Ring Event #18)World Series of Poker Circuit - WSOPC ONLINE Super Circuit, Online",33rd,"$ 2,581"
16-Jul-2023,"$ 777 No Limit Hold'em - Lucky 7's (Online Bracelet Event 20) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",18th,"$ 7,071"
05-Jul-2023,"$ 940 + 160 + 500 No Limit Hold'em - Mystery BountyThe Wynn Summer Classic, Las Vegas",314th,"$ 2,520"
25-Jun-2023,"$ 1,440 + 160 No Limit Hold'emThe Wynn Summer Classic, Las Vegas",174th,"$ 3,290"
11-Jun-2023,"$ 400 No Limit Hold'em - 8-Max (Online Bracelet Event 5) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",159th,"$ 1,412"
04-Jun-2023,"$ 500 No Limit Hold'em - Bankroll Builder (Online Bracelet Event 2) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",59th,"$ 2,097"
21-May-2023,"$ 525 No Limit Hold'em - Main Event - 8-Max (Online Ring Event 12)World Series of Poker Circuit - WSOPC ONLINE Circuit, Online",6th,"$ 11,666"
09-Mar-2023,"$ 3,000 No Limit Hold'emWynn Millions Poker Series, Las Vegas",8th,"$ 18,025"
20-Feb-2023,"€ 5,300 No Limit Hold'em - EPT Main Event (Event #16)European Poker Tour - EPT Paris, Paris",100th,"$ 15,067"
25-Jan-2023,"$ 2,200 No Limit Hold'em - Deep Stack (Event #17)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",7th,"$ 22,650"
16-Dec-2022,"$ 1,450 + 150 No Limit Hold'em - Mystery BountyWorld Poker Tour - WPT World Championship at Wynn Las Vegas, Las Vegas",298th,"$ 2,520"
01-Dec-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #25PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",3rd,"$ 35,200"
17-Oct-2022,"$ 2,940 + 260 No Limit Hold'em - +$2,000 Progressive BountyThe Wynn Fall Classic, Las Vegas",6th,"$ 5,733"
28-Sep-2022,"$ 25,000 No Limit Hold'em - Poker Masters #7PokerGO Tour - 2022 PGT Poker Masters, Las Vegas",1st,"$ 465,750"
25-Sep-2022,"$ 1,000 No Limit Hold'em ONLINE (Online Bracelet Event #13)World Series of Poker - WSOP ONLINE at WSOP.com (NV/NJ), Online",30th,"$ 3,154"
11-Sep-2022,"$ 3,200 No Limit Hold'em - High Roller ONLINE (Online Bracelet Event #3)World Series of Poker - WSOP ONLINE at WSOP.com (NV/NJ), Online",11th,"$ 5,240"
17-Jul-2022,"$ 5,300 No Limit Hold'em - Encore Freezeout (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",34th,"$ 8,575"
12-Jul-2022,"$ 1,000 No Limit Hold'em - High Roller 6-Max (Event #7) ONLINEWorld Series of Poker Circuit - WSOPC ONLINE Series, Online",38th,"$ 1,886"
01-Jul-2022,"$ 7,000 No Limit Hold'em - Super Turbo Bounty (Event #67)53rd World Series of Poker - WSOP 2022, Las Vegas",6th,"$ 97,002"
21-Jun-2022,"$ 5,000 No Limit Hold'em - 6-Handed (Event #46)53rd World Series of Poker - WSOP 2022, Las Vegas",64th,"$ 10,874"
05-Jun-2022,"$ 500 No Limit Hold'em - BIG $500 (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",268th,$ 719
24-Apr-2022,"$ 215 No Limit Hold'em - Monster Stack (Ring Event 5)World Series of Poker Circuit - WSOPC Online Circuit, Online",103rd,$ 367
19-Apr-2022,"$ 3,000 + 200 No Limit Hold'em - PGT Stairway #1PGT Stairway #1, Las Vegas",2nd,"$ 36,000"
06-Apr-2022,"$ 50,000 No Limit Hold'em - Super High Roller (Event 31)World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",1st,"$ 638,223"
24-Feb-2022,"$ 1,100 No Limit Hold'em - Mystery BountyWynn Millions Poker Series, Las Vegas",118th,"$ 3,480"
02-Feb-2022,"$ 10,000 No Limit Hold'em - PokerGO Cup #1PokerGO Tour - 2022 PGT PokerGO Cup, Las Vegas",2nd,"$ 146,300"
25-Jan-2022,"$ 5,000 No Limit Hold'em - Deep Stack (Event #31)World Poker Tour - 2022 WPT Lucky Hearts Poker Open, Hollywood",14th,"$ 15,995"
06-Jan-2022,"$ 10,000 No Limit Hold'em - Venetian High Roller #2PokerGO Tour - PGT Venetian High Rollers, Las Vegas",4th,"$ 40,700"
14-Dec-2021,"$ 25,000 No Limit Hold'em - PokerGO Tour High Roller (Event #27)World Poker Tour - WPT Five Diamond World Poker Classic at Bellagio, Las Vegas",1st,"$ 432,000"
21-Nov-2021,"$ 525 No Limit Hold'em - Main Event (Event #12) ONLINEWorld Series of Poker Circuit - WSOPC Paris Las Vegas ONLINE, Online",42nd,"$ 1,535"
14-Nov-2021,"$ 525 No Limit Hold'em - Monster Stack (Event #5) ONLINEWorld Series of Poker Circuit - WSOPC Paris Las Vegas ONLINE, Online",80th,$ 905
26-Oct-2021,"$ 215 No Limit Hold'em - Big 8-Max #18World Series of Poker Circuit - WSOPC ONLINE Fall Super Circuit, Online",7th,"$ 5,802"
10-Oct-2021,"$ 400 No Limit Hold'em - Ultra Deepstack (Event #3) ONLINEWorld Series of Poker - 2021 WSOP Online Gold Bracelet Events, Online",202nd,$ 489
15-Aug-2021,"$ 25,000 No Limit Hold'em - Venetian High Roller 07PokerGO Tour - PGT Venetian High Rollers, Las Vegas",1st,"$ 125,350"
