Date,Event Name,Placement,Earning
16-Jul-2023,"$ 1,000 No Limit Hold'em - Freezeout (Bracelet Event 92)54th World Series of Poker - WSOP 2023, Las Vegas",37th,"$ 5,695"
12-Dec-2022,"$ 9,800 + 600 No Limit Hold'em - WPT World ChampionshipWorld Poker Tour - WPT World Championship at Wynn Las Vegas, Las Vegas",94th,"$ 36,500"
05-Dec-2017,"$ 10,000 + 400 No Limit Hold'em - WPT Main Event ( Event #18 )World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",55th,"$ 24,417"
29-Jan-2017,"$ 3,300 + 200 No Limit Hold'em WPT Main Event (Event #19)World Poker Tour - WPT Borgata Winter Poker Open, Atlantic City",14th,"$ 33,598"
01-Jul-2016,"$ 24,000 + 1,000 No Limit Hold'em - High Roller 7Bellagio High Roller VII, Las Vegas",4th,"$ 120,960"
27-May-2016,"$ 50,000 No Limit Hold'em - High RollerAria Super High Roller 7, Las Vegas",2nd,"$ 671,394"
07-Mar-2016,"$ 7,100 + 400 WPT Bay 101 Shooting Star ChampionshipWorld Poker Tour - WPT Bay 101 Shooting Star, San Jose",7th,"$ 138,720"
24-Feb-2016,"$ 5,250 No Limit Hold'em #49World Poker Tour - WPT L.A Poker Classic, Los Angeles",6th,"$ 18,200"
31-Jan-2016,"$ 3,300 + 200 No Limit Hold'em - WPT Championship (Event #17)World Poker Tour - WPT Borgata Winter Poker Open, Atlantic City",86th,"$ 7,422"
11-Jun-2015,"$ 1,000 Pot Limit Omaha (Event #26)46th World Series of Poker - WSOP 2015, Las Vegas",141st,"$ 1,815"
06-May-2015,"€ 25,000 + 500 No Limit Hold'em - High Roller 8 Handed (Event #61)European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",16th,"$ 78,023"
27-Mar-2015,"$ 24,000 + 1,000 No Limit Hold'em High RollerAria High Roller 6, Las Vegas",4th,"$ 65,280"
31-Jan-2015,"$ 25,000 No Limit Hold'emAria High Roller 3, Las Vegas",3rd,"$ 262,529"
15-Jun-2014,"$ 1,000 No Limit Hold'em (Event #33)45th World Series of Poker - WSOP 2014, Las Vegas",97th,"$ 2,628"
03-Jun-2014,"$ 1,500 Pot Limit Hold'em (Event #12)45th World Series of Poker - WSOP 2014, Las Vegas",45th,"$ 3,421"
21-Apr-2014,"$ 15,000 + 400 WPT World Championship - Re-EntryWorld Poker Tour - WPT World Championship/Borgata Spring Poker Open, Atlantic City",7th,"$ 189,244"
26-Jun-2013,"$ 111,111 No Limit Hold'em - One Drop High Roller (Event #47)44th World Series of Poker - WSOP 2013, Las Vegas",1st,"$ 4,830,619"
10-Aug-2012,"$ 3,300 + 200 No Limit Hold'em - Main EventWorld Poker Tour - WPT Parx Open Poker Classic, Bensalem",1st,"$ 416,127"
14-Jun-2012,"$ 2,500 No Limit Hold'em - Four Handed (Event #28)43rd World Series of Poker - WSOP 2012, Las Vegas",4th,"$ 114,711"
26-Jan-2012,"$ 500 + 60 No Limit Hold'em - Six Max Re-EntryBorgata Winter Open 2012, Atlantic City",33rd,$ 834
17-Sep-2011,"$ 1,000 + 90 No Limit Hold'em - Six Max2011 Borgata Poker Open, Atlantic City",28th,"$ 2,187"
