Date,Event Name,Placement,Earning
03-Jul-2019,"$ 10,000 No Limit Hold'em - WSOP Main Event50th World Series of Poker - WSOP 2019, Las Vegas",82nd,"$ 82,365"
02-Jul-2018,"$ 10,000 No Limit Hold'em - Main Event Championship (Event #65)49th World Series of Poker - WSOP 2018, Las Vegas",132nd,"$ 57,010"
19-Dec-2017,"$ 10,000 No Limit Hold'em - Week 10 - Holidays with Hellmuth Event #1 Poker After Dark (PAD) Season VIII, Las Vegas",3rd,"$ 2,861"
10-Jun-2017,"$ 1,500 No Limit Hold'em - Millionaire Maker (Event #20)48th World Series of Poker - WSOP 2017, Las Vegas",736th,"$ 32,225"
05-Dec-2016,"$ 10,000 + 400 No Limit Hold'em #17 Five Diamond Main EventWorld Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",43rd,"$ 263,312"
23-Sep-2016,"$ 4,700 + 300 No Limit Hold'em - MSOP Main Event (Event #6)Merit Poker Gangsters & Chicago Poker Cup, Kyrenia",2nd,"$ 256,537"
08-Jul-2016,"$ 111,111 No Limit Hold'em High Roller for One Drop (single re-entry) (Event #67)47th World Series of Poker - WSOP 2016, Las Vegas",13th,"$ 5,650"
26-Jun-2016,"$ 1,500 Mixed No Limit Hold'em/Pot-Limit Omaha (Event #45)47th World Series of Poker - WSOP 2016, Las Vegas",35th,"$ 24,596"
07-Jun-2016,"$ 10,000 No Limit Hold'em Heads Up Championship (Event #9)47th World Series of Poker - WSOP 2016, Las Vegas",12th,"$ 226,785"
26-Mar-2016,"$ 1,500 + 175 No Limit Hold'em - Main Event (Event #20)WSOP Circuit - WSOPC Bicycle Casino, Los Angeles (Bell Gardens)",1st,"$ 6,150"
25-Jun-2015,"$ 3,000 No Limit Hold'em Six Handed (Event #51)46th World Series of Poker - WSOP 2015, Las Vegas",84th,"$ 12,893"
14-Jun-2015,"$ 1,000 No Limit Hold'em (Event #30)46th World Series of Poker - WSOP 2015, Las Vegas",18th,"$ 5,990"
05-Jun-2015,"$ 1,500 No Limit Hold'em Millionaire Maker (Event #16)46th World Series of Poker - WSOP 2015, Las Vegas",261st,"$ 4,011"
01-Jun-2015,"$ 1,500 Pot Limit Hold'em (Event #8)46th World Series of Poker - WSOP 2015, Las Vegas",45th,"C$ 15,800"
20-Nov-2014,"C$ 3,500 + 350 No Limit Hold'em WPT MontrealWorld Poker Tour - WPT Montreal, Kahnawake",25th,"$ 13,941"
21-Sep-2014,"WPT Monster Invitational Event World Poker Tour - WPT Foundation Monster Invitational, Atlantic City",4th,"$ 2,630"
02-Jul-2014,"$ 1,111 No Limit Hold'em - The Little One for One Drop (Event #62)45th World Series of Poker - WSOP 2014, Las Vegas",270th,"A$ 20,000"
02-Feb-2014,"A$ 10,600 No Limit Hold'em - Main Event2014 Aussie Millions Poker Championship, Melbourne",42nd,"$ 17,496"
