Date,Event Name,Placement,Earning
07-Aug-2023,"$ 60,000 + 3,600 No Limit Hold'em - 8-Handed (Event #13)Triton Poker Super High Roller Series London, London",11th,"$ 130,400"
28-Jul-2023,"$ 25,000 + 1,500 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Super High Roller Series London, London",12th,"$ 52,500"
06-Jun-2023,"$ 25,000 No Limit Hold'em - High Roller - 8-Handed (Bracelet Event 16)54th World Series of Poker - WSOP 2023, Las Vegas",38th,"$ 43,750"
18-May-2023,"$ 200,000 + 10,000 No Limit Hold'em - Luxon Invitational Powered by Triton Poker Series (Event #9) Triton Poker Super High Roller Series Cyprus, Kyrenia",9th,"$ 481,000"
04-May-2023,"€ 25,000 No Limit Hold'em - EPT High Roller (Event 42)European Poker Tour - EPT Monte Carlo, Monte Carlo",2nd,"$ 884,894"
05-Mar-2023,"$ 50,000 No Limit Hold'em - 8-Handed (Event #6)Triton Poker Super High Roller Series Vietnam, Hoi An",7th,"$ 291,800"
20-Feb-2023,"€ 5,300 No Limit Hold'em - EPT Main Event (Event #16)European Poker Tour - EPT Paris, Paris",26th,"$ 34,837"
25-Jan-2023,"$ 50,000 No Limit Hold'em - 7-Handed (Event #19)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",2nd,"$ 446,020"
10-Dec-2022,"€ 24,500 + 500 No Limit Hold'em (Event #13)European Poker Tour - EPT Prague, Prague",1st,"$ 288,934"
07-Nov-2022,"€ 25,000 No Limit Hold'em - Platinum High Roller (Bracelet Event #8)World Series of Poker Europe - WSOPE 2022, Rozvadov",6th,"$ 81,947"
24-Oct-2022,"£ 480 + 70 No Limit Hold'em - Missing People Event (Event #31)European Poker Tour - EPT London, London",4th,"$ 4,162"
21-Oct-2022,"£ 48,510 + 1,490 No Limit Hold'em - EPT London Super High Roller (Event #16)European Poker Tour - EPT London, London",5th,"$ 190,907"
07-Sep-2022,"$ 50,000 No Limit Hold'em - 6-Handed (Event #3)Triton Poker Super High Roller Series Cyprus, Kyrenia",16th,"$ 92,000"
19-Jun-2022,"$ 100,000 No Limit Hold'em - High Roller 8-Handed (Event #42)53rd World Series of Poker - WSOP 2022, Las Vegas",3rd,"$ 805,024"
14-May-2022,"€ 30,000 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Series Madrid, Madrid",5th,"$ 223,303"
04-May-2022,"€ 25,000 No Limit Hold'em (Event 31)European Poker Tour - EPT Monte Carlo, Monte Carlo",5th,"$ 126,701"
07-Mar-2022,"€ 10,000 + 200 No Limit Hold'em (Event #9)European Poker Tour - EPT Prague, Prague",5th,"$ 45,704"
12-Oct-2021,"$ 5,000 No Limit Hold'em - 6 Handed (Event #25)52nd World Series of Poker - WSOP 2021, Las Vegas",37th,"$ 13,171"
15-Aug-2020,"$ 3,000 + 200 WPT World Championship Knockout - Online (Event #5)World Poker Tour - WPT Online World Championship by partypoker, Online",118th,"$ 3,866"
23-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #1)Super High Roller Bowl Online, Online",2nd,"$ 148,200"
25-Apr-2020,"$ 25,000 + 500 No Limit Hold'em - Poker Masters #27 (ONLINE)Poker Masters Online, Online",7th,"$ 60,562"
16-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - Poker Masters #10 (ONLINE)Poker Masters Online, Online",11th,"$ 29,750"
07-Jan-2020,"$ 25,000 + 500 No Limit Hold'em - Super High Rollerpartypoker LIVE - partypoker MILLIONS UK, Nottingham",3rd,"$ 150,000"
08-Dec-2019,"€ 25,000 No Limit Hold'em (Event #8)European Poker Tour - EPT Prague, Prague",2nd,"$ 189,681"
09-Nov-2019,"$ 25,000 No Limit Hold'em - Poker Masters #6 $25K NLHE2019 Poker Masters, Las Vegas",6th,"$ 76,500"
12-Aug-2019,"€ 100,000 No Limit Hold'em - Triton 100K Super High Rollerpartypoker LIVE - partypoker MILLIONS Europe, Rozvadov",3rd,"$ 509,866"
31-Jul-2019,"£ 25,000 No Limit Hold'em - 6 Handed Turbo (Event #1)Triton Poker Super High Roller Series London, London",16th,"$ 52,472"
08-Jul-2019,"$ 50,000 No Limit Hold'em - High Roller (Event #90)50th World Series of Poker - WSOP 2019, Las Vegas",10th,"$ 135,395"
03-Jun-2019,"$ 5,000 No Limit Hold'em (Event #11)50th World Series of Poker - WSOP 2019, Las Vegas",33rd,"$ 10,260"
21-May-2019,"C$ 10,000 + 300 No Limit Hold'em - MILLIONS North Americapartypoker LIVE - partypoker MILLIONS North America, Kahnawake",7th,"C$ 200,000"
14-Jan-2019,"$ 25,000 No Limit Hold'em - PCA High Roller (Event #33)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",13th,"$ 149,065"
