Date,Event Name,Placement,Earning
08-Jul-2023,"$ 1,000 No Limit Hold'em - Championship (Online Bracelet Event 15) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",84th,"$ 2,211"
25-Jun-2023,"$ 25,000 Pot Limit Omaha - High Roller - 8-Handed (Bracelet Event 57)54th World Series of Poker - WSOP 2023, Las Vegas",19th,"$ 82,754"
19-Jun-2023,"$ 1,500 Mixed Omaha (PLO Hi-Lo 8+, Limit Omaha Hi-Lo 8+, Big O) (Bracelet Event 45)54th World Series of Poker - WSOP 2023, Las Vegas",60th,"$ 4,008"
10-Jun-2023,"$ 10,000 Omaha Hi-Lo 8 or Better Championship (Bracelet Event 25)54th World Series of Poker - WSOP 2023, Las Vegas",1st,"$ 492,795"
30-May-2023,"$ 25,000 No Limit Hold'em - High Roller 6-Handed (Bracelet Event 2)54th World Series of Poker - WSOP 2023, Las Vegas",30th,"$ 40,000"
27-Mar-2023,"$ 10,000 Pot Limit Omaha - U.S. Poker Open #4PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",8th,"$ 30,800"
13-Mar-2023,"$ 10,000 Pot Limit Omaha (Event #3)PokerGO Tour - 2023 PGT PLO Series, Las Vegas",8th,"$ 52,000"
09-Feb-2023,"$ 10,000 + 300 Dealer's Choice (Event #6)PokerGO Tour - 2023 PGT Mixed Games, Las Vegas",2nd,"$ 117,600"
23-Jan-2023,"$ 9,700 + 600 No Limit Hold'em - PCA Main Event (Event #6)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",91st,"$ 22,300"
10-Jul-2022,"$ 1,000 No Limit Hold'em - Online Bracelet Championship (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",155th,"$ 1,594"
20-Jun-2022,"$ 10,000 H.O.R.S.E. Championship (Event #44)53rd World Series of Poker - WSOP 2022, Las Vegas",10th,"$ 31,327"
09-Jun-2022,"$ 25,000 Pot Limit Omaha High Roller 8-Handed (Event #19)53rd World Series of Poker - WSOP 2022, Las Vegas",15th,"$ 67,313"
19-Nov-2021,"$ 50,000 Pot Limit Omaha - High Roller (Event #84)52nd World Series of Poker - WSOP 2021, Las Vegas",8th,"$ 132,370"
15-Sep-2021,"$ 25,000 Pot Limit Omaha - Poker Masters #9PokerGO Tour - 2021 PGT Poker Masters, Las Vegas",4th,"$ 118,250"
27-Aug-2020,"$ 1,500 Pot Limit Omaha (Event #74)World Series of Poker - WSOP Online 2020 at GGPoker, Online",46th,"$ 4,632"
17-Jan-2020,"A$ 10,000 + 600 No Limit Hold'em - Aussie Millions Main Event (Event #14)2020 Aussie Millions Poker Championship, Melbourne",39th,"A$ 31,160"
10-Aug-2019,"£ 250,000 No Limit Hold'em - Short Deck Ante Only ""Les Ambassadeurs Private Event"" Triton Poker Super High Roller Series London, London",10th,"$ 21,524"
31-Jul-2019,"£ 25,000 No Limit Hold'em - 6 Handed Turbo (Event #1)Triton Poker Super High Roller Series London, London",12th,"$ 529,586"
22-Jun-2019,"$ 10,000 Pot Limit Omaha - 8-Handed Championship (Event #52)50th World Series of Poker - WSOP 2019, Las Vegas",58th,"$ 60,264"
29-May-2019,"$ 10,000 No Limit Hold'em - Super Turbo Bounty (Event #2)50th World Series of Poker - WSOP 2019, Las Vegas",13th,"$ 16,466"
12-May-2019,"HK$ 200,000 Pot Limit Omaha (Event #8)Triton Poker Super High Roller Series Montenegro, Budva",2nd,"$ 15,408"
02-Mar-2019,"HK$ 250,000 No Limit Hold'em - Short Deck Ante Only (Event #1)Triton Poker Super High Roller Series Jeju, Jeju",7th,"HK$ 1,706,000"
16-Feb-2019,"$ 10,000 No Limit Hold'em - USPO #04 10K Short Deck Poker (Event #4)2019 US Poker Open, Las Vegas",4th,"$ 217,375"
23-Jul-2018,"HK$ 100,000 No Limit Hold'em - Short Deck Ante-OnlyTriton Poker Super High Roller Series Jeju, Jeju",4th,"HK$ 780,000"
22-Jun-2018,"$ 10,000 + 500 Pot Limit OmahaAria 10K PLO-02, Las Vegas",1st,"$ 99,385"
26-Jan-2018,"A$ 24,000 + 1,000 No Limit Hold'em - $25,000 Challenge (Event #9)2018 Aussie Millions Poker Championship, Melbourne",1st,"$ 42,000"
08-Jul-2017,"$ 10,000 No Limit Hold'em - Main Event Championship (Event #73)48th World Series of Poker - WSOP 2017, Las Vegas",9th,"HK$ 619,272"
17-Apr-2017,"$ 25,000 + 400 Bellagio Mixed Game High RollerBellagio Mixed Game High Roller 1, Las Vegas",1st,"$ 78,888"
28-Aug-2014,"$ 5,300 No Limit Hold'em SHRPO Main Event (#Event 16)2014 Seminole Hard Rock Poker Open, Hollywood",145th,"$ 166,400"
