Date,Event Name,Placement,Earning
08-Aug-2023,"£ 3,000 + 300 No Limit Hold'em - WSOP Super Circuit Main Event (Ring Event #11)WSOP International Circuit - WSOPC Super Circuit London, London",84th,"$ 11,467"
15-Aug-2022,"€ 5,300 No Limit Hold'em - EPT Barcelona Main Event (Event #29)European Poker Tour - EPT Barcelona, Barcelona",96th,"$ 18,186"
25-Oct-2019,"€ 10,350 No Limit Hold'em - WSOPE Main Event (Event #14)World Series of Poker Europe - WSOPE 2019, Rozvadov",47th,"$ 22,716"
02-Aug-2019,"£ 50,000 No Limit Hold'em - 8 Handed (Event #3)Triton Poker Super High Roller Series London, London",15th,"$ 105,497"
02-May-2019,"€ 25,000 No Limit Hold'em - EPT High Roller (Event #30)European Poker Tour - EPT Monte Carlo, Monte Carlo",1st,"$ 790,052"
15-Jan-2019,"$ 10,300 No Limit Hold'em (Event #38)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",13th,"$ 19,020"
15-Nov-2018,"$ 10,000 + 300 No Limit Hold'em - High Rollerpartypoker LIVE - partypoker Caribbean Poker Party, Nassau",9th,"$ 50,000"
09-Nov-2018,"$ 25,000 + 500 No Limit Hold'em - MILLIONS Worldpartypoker LIVE - partypoker Caribbean Poker Party, Nassau",36th,"$ 60,000"
31-Aug-2018,"€ 10,300 No Limit Hold'em - High Roller (Event #27)European Poker Tour - EPT Barcelona, Barcelona",47th,"$ 22,850"
27-Aug-2018,"€ 5,300 No Limit Hold'em - EPT Main Event (Event #13)European Poker Tour - EPT Barcelona, Barcelona",33rd,"$ 35,114"
13-Jul-2018,"$ 50,000 No Limit Hold'em - High Roller (Event #77)49th World Series of Poker - WSOP 2018, Las Vegas",10th,"$ 139,699"
04-May-2018,"€ 3,200 No Limit Hold'em - 6 Handed #39European Poker Tour - EPT Monte Carlo, Monte Carlo",9th,"$ 9,765"
07-Feb-2018,"$ 25,000 + 1,000 No Limit Hold'em - (Event #6)2018 US Poker Open, Las Vegas",1st,"$ 416,500"
02-Feb-2018,"$ 10,000 + 500 Pot Limit Omaha - (Event #2)2018 US Poker Open, Las Vegas",8th,"$ 25,600"
11-Jan-2018,"$ 24,700 + 300 #18 No Limit Hold'emPokerStars Caribbean Adventure - PCA 2018, Paradise Island",5th,"$ 115,100"
15-Dec-2017,"€ 5,200 No Limit Hold'em - Hyperturbo  ( Event #32 )PokerStars Championship Prague, Prague",2nd,"$ 65,163"
01-Nov-2017,"€ 25,000 No Limit Hold'em - High Roller (Event #9)World Series of Poker Europe - WSOPE 2017, Rozvadov",2nd,"$ 536,212"
08-Jul-2017,"$ 10,000 No Limit Hold'em - Main Event Championship (Event #73)48th World Series of Poker - WSOP 2017, Las Vegas",3rd,"$ 3,500,000"
01-May-2017,"€ 2,200 No Limit Hold'em (Event 39)PokerStars Championship presented by Monte-Carlo Casino, Monte Carlo",51st,"$ 4,116"
23-Feb-2017,"£ 900 + 90 No Limit Hold'em - Main EventUnibet Open - UO London, London",58th,"$ 2,119"
07-Jan-2017,"$ 2,000 + 200 No Limit Hold'em - PokerStars National Championship  (Event #12)PokerStars Championship Bahamas, Paradise Island",10th,"$ 11,900"
13-Dec-2016,"€ 5,000 + 300 No Limit Hold'em - EPT Main EventEuropean Poker Tour - EPT Prague, Prague",32nd,"$ 22,797"
29-Oct-2016,"€ 5,000 + 200 No Limit Hold'em - Turbo 6 Handed (Event #82)European Poker Tour - EPT Malta, St. Julian’s",2nd,"$ 34,330"
23-Oct-2016,"€ 5,000 + 300 No Limit Hold'em - EPT Main Event (Event #33)European Poker Tour - EPT Malta, St. Julian’s",14th,"$ 27,229"
22-Sep-2016,"€ 1,000 + 100 No Limit Hold'em - Main EventFrance Poker Series - FPS Deauville, Deauville",4th,"$ 43,459"
19-Aug-2016,"€ 2,000 + 150 No Limit Hold'em - Hyperturbo (Event #15)European Poker Tour - EPT Barcelona, Barcelona",23rd,"$ 2,750"
24-Jun-2016,"$ 1,500 No Limit Hold'em Monster Stack (NO re-entry) (Event #41)47th World Series of Poker - WSOP 2016, Las Vegas",622nd,"$ 2,905"
06-May-2016,"€ 10,000 + 200 No Limit Hold'em - Turbo Super Knockout 8Max #76European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",8th,"$ 14,934"
11-Jan-2016,"$ 5,300 #62 No Limit Hold'em - 8-HandedPokerStars Caribbean Adventure - PCA 2016, Paradise Island",11th,"$ 14,640"
26-Oct-2015,"€ 2,000 + 150 #42 No Limit Hold'em  Turbo - 8 HandedEuropean Poker Tour - EPT Malta, St. Julian’s",10th,"$ 4,411"
18-Oct-2015,"€ 10,450 No Limit Hold'em - WSOPE Main Event #9World Series of Poker Europe - WSOPE 2015, Berlin",26th,"$ 22,685"
30-Aug-2015,"€ 5,000 + 200 No Limit Hold'em - Turbo 6Max #69European Poker Tour - EPT Barcelona, Barcelona",1st,"$ 132,451"
