Date,Event Name,Placement,Earning
03-Jul-2023,"$ 10,000 No Limit Hold'em - WSOP Main Event  (Bracelet Event 76)54th World Series of Poker - WSOP 2023, Las Vegas",471st,"$ 37,500"
29-May-2023,"₫ 31,500,000 + 3,500,000 No Limit Hold'em -  APT Main Event (Event #14)Asian Poker Tour - APT Summer Series Hanoi, Vietnam 2023, Hanoi",69th,"$ 2,645"
04-Sep-2022,"$ 100 No Limit Hold'em - FLIP & GO ONLINE (Online Bracelet Event #18)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",332nd,$ 834
19-Jun-2022,"$ 700 No Limit Hold'em - Super Bounty (Event #41)53rd World Series of Poker - WSOP 2022, Las Vegas",310th,"$ 1,061"
30-Nov-2021,"€ 1,500 + 150 No Limit Hold'em - 6-Max (Bracelet Event #11)World Series of Poker Europe - WSOPE 2021, Rozvadov",14th,"$ 8,472"
29-Oct-2021,"$ 10,000 No Limit Hold'em - 6 Handed Championship (Event #56)52nd World Series of Poker - WSOP 2021, Las Vegas",27th,"$ 22,990"
19-Oct-2021,"$ 1,500 No Limit Hold'em - Super Turbo Bounty (Event #37)52nd World Series of Poker - WSOP 2021, Las Vegas",54th,"$ 3,710"
12-Sep-2021,"$ 500 No Limit Hold'em - The Closer ONLINE (Event #33)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",552nd,"$ 1,502"
07-Sep-2021,"€ 2,000 Pot Limit Omaha - 8-Handed (Event #15)World Series of Poker Circuit - WSOPC Rozvadov, Rozvadov",13th,"$ 4,673"
17-Aug-2021,"€ 440 No Limit Hold'em - 6-Handed (Event #2)World Series of Poker Circuit - WSOPC Rozvadov, Rozvadov",13th,"$ 2,073"
09-Aug-2021,"$ 1,000 No Limit Hold'em - Double Stack ONLINE (Event #12)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",555th,"$ 2,626"
01-Aug-2021,"$ 1,111 No Limit Hold'em - Caesars Cares Charity Event ONLINE (Event #2) World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",171st,"$ 2,257"
18-Aug-2020,"$ 600 No Limit Hold'em Deepstack Championship (Event #65)World Series of Poker - WSOP Online 2020 at GGPoker, Online",94th,"$ 2,490"
12-Aug-2020,"$ 2,500 Double Stack No Limit Hold'em (Event #59)World Series of Poker - WSOP Online 2020 at GGPoker, Online",83rd,"$ 6,411"
09-Aug-2020,"$ 10,000 Heads Up No Limit Hold'em Championship (Event #54)World Series of Poker - WSOP Online 2020 at GGPoker, Online",9th,"$ 24,832"
04-Aug-2020,"$ 2,100 No Limit Hold'em Bounty Championship (Event #50)World Series of Poker - WSOP Online 2020 at GGPoker, Online",29th,"$ 4,038"
26-Jul-2020,"$ 400 Pot Limit Omaha - PLOSSUS (Event #42)World Series of Poker - WSOP Online 2020 at GGPoker, Online",441st,"$ 1,046"
04-Jan-2020,"$ 1,000 + 100 No Limit Hold'em - MILLIONS Minipartypoker LIVE - partypoker MILLIONS UK, Nottingham",2nd,"$ 93,000"
06-Dec-2019,"€ 10,300 No Limit Hold'em - 8-Handed (Event #1)European Poker Tour - EPT Prague, Prague",5th,"$ 53,780"
16-Nov-2019,"$ 1,000 + 100 No Limit Hold'em - MILLIONS Mini Eventpartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",33rd,"$ 4,750"
25-Oct-2019,"€ 10,350 No Limit Hold'em - WSOPE Main Event (Event #14)World Series of Poker Europe - WSOPE 2019, Rozvadov",55th,"$ 20,387"
02-Oct-2019,"$ 3,000 + 300 No Limit Hold'em - WPT Main Event (Event #5)World Poker Tour - WPT UK in partnership with partypoker LIVE, Nottingham",84th,"$ 6,000"
