Date,Event Name,Placement,Earning
24-Jun-2023,"$ 1,500 Seven Card Stud Hi-Lo 8 or Better (Bracelet Event 55)54th World Series of Poker - WSOP 2023, Las Vegas",7th,"$ 18,709"
14-Jun-2023,"$ 7,000 + 3,000 No Limit Hold'em - Secret Bounty (Bracelet Event 35)54th World Series of Poker - WSOP 2023, Las Vegas",69th,"$ 11,876"
01-Jun-2023,"$ 333 No Limit Hold'em - Triple Treys Summer Tip Off (Online Bracelet Event 1) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",196th,$ 952
07-Feb-2023,"$ 10,000 + 300 Big Bet Mix (Event #4)PokerGO Tour - 2023 PGT Mixed Games, Las Vegas",7th,"$ 34,500"
11-Oct-2022,"$ 10,000 8 Game Mix - Bellagio High Roller #4 (Event #8)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",3rd,"$ 10,000"
28-Sep-2022,"$ 25,000 No Limit Hold'em - Poker Masters #7PokerGO Tour - 2022 PGT Poker Masters, Las Vegas",7th,"$ 86,250"
15-Jul-2022,"$ 10,000 No Limit Hold'em - 6-Handed Championship (Event #86)53rd World Series of Poker - WSOP 2022, Las Vegas",39th,"$ 20,000"
12-Jul-2022,"$ 3,200 No Limit Hold'em - High Roller 8-Max (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",37th,"$ 6,853"
28-Jun-2022,"$ 10,000 No Limit Hold'em - Short Deck - 6-Handed (Event #60)53rd World Series of Poker - WSOP 2022, Las Vegas",3rd,"$ 121,718"
16-Jun-2022,"$ 2,500 Mixed Big Bet (Event #35)53rd World Series of Poker - WSOP 2022, Las Vegas",24th,"$ 5,000"
05-Jun-2022,"$ 10,000 Mixed Games - Dealer's Choice Championship (Event #10)53rd World Series of Poker - WSOP 2022, Las Vegas",3rd,"$ 134,370"
01-Jun-2022,"$ 1,500 Mixed Games - Dealer's Choice (Event #4)53rd World Series of Poker - WSOP 2022, Las Vegas",12th,"$ 5,993"
24-Feb-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #1PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",2nd,"$ 108,660"
16-Nov-2021,"$ 10,000 Razz Championship (Event #78)52nd World Series of Poker - WSOP 2021, Las Vegas",17th,"$ 16,299"
26-Oct-2021,"$ 3,000 No Limit Hold'em - 6 Handed (Event #51)52nd World Series of Poker - WSOP 2021, Las Vegas",1st,"$ 474,102"
07-Oct-2021,"$ 10,000 Limit Hold'em - Championship (Event #16)52nd World Series of Poker - WSOP 2021, Las Vegas",11th,"$ 18,506"
06-Dec-2020,"$ 10,000 No Limit Hold'emWynn High Rollers, Las Vegas",4th,"$ 26,000"
06-Sep-2020,"$ 100 No Limit Hold'em - WSOP MILLION$ (Event #84)World Series of Poker - WSOP Online 2020 at GGPoker, Online",2976th,$ 311
03-Sep-2020,"$ 1,050 No Limit Hold'em - Bounty [Spin the Wheel] (Event #81)World Series of Poker - WSOP Online 2020 at GGPoker, Online",175th,"$ 2,493"
19-Aug-2020,"$ 800 Pot Limit Omaha (Event #66)World Series of Poker - WSOP Online 2020 at GGPoker, Online",118th,"$ 1,944"
28-Jul-2020,"$ 1,000 Omaha 8 or Better - 6-Max (Event #28)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",69th,"$ 1,596"
22-Jul-2020,"$ 500 No Limit Hold'em - Turbo Deepstack (Event #22)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",33rd,"$ 2,913"
01-Nov-2018,"$ 10,000 + 500 No Limit Hold'emFall Madness, Las Vegas",4th,"$ 33,000"
