Date,Event Name,Placement,Earning
05-Aug-2023,"$ 125,000 + 7,500 No Limit Hold'em - Main Event (Event #11)Triton Poker Super High Roller Series London, London",21st,"$ 207,500"
03-Jul-2023,"$ 10,000 + 100 No Limit Hold'em - ARIA High Roller #82023 ARIA High Roller Series, Las Vegas",4th,"$ 50,600"
11-Jun-2023,"$ 800 No Limit Hold'em - Deep Stack (Bracelet Event 26)54th World Series of Poker - WSOP 2023, Las Vegas",97th,"$ 3,800"
25-Apr-2023,"$ 10,000 No Limit Hold'em - Deep Stack (Event 37)World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",7th,"$ 33,800"
05-Mar-2023,"$ 50,000 No Limit Hold'em - 8-Handed (Event #6)Triton Poker Super High Roller Series Vietnam, Hoi An",13th,"$ 121,600"
18-Sep-2022,"$ 400 No Limit Hold'em - COLOSSUS ONLINE (Online Bracelet Event #28)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",559th,"$ 1,308"
03-Feb-2022,"$ 10,000 No Limit Hold'em - PokerGO Cup #2PokerGO Tour - 2022 PGT PokerGO Cup, Las Vegas",3rd,"$ 96,000"
29-Nov-2021,"$ 25,500 No Limit Hold'em - High Roller (Event #26)World Poker Tour - WPT Rock 'N' Roll Poker Open, Hollywood",2nd,"$ 503,880"
11-Dec-2019,"€ 5,300 No Limit Hold'em - EPT Prague Main Event (Event #20)European Poker Tour - EPT Prague, Prague",42nd,"$ 19,376"
02-Dec-2019,"$ 24,700 + 800 No Limit Hold'em - High Roller (Event #23)World Poker Tour - WPT Seminole Rock & Roll Poker Open, Hollywood",1st,"$ 354,565"
13-Jul-2019,"$ 10,000 No Limit Hold'em Championship 6-Handed (Event #86)50th World Series of Poker - WSOP 2019, Las Vegas",32nd,"$ 16,926"
31-May-2019,"$ 50,000 No Limit Hold'em - 50th Annual High Roller (Event #5)50th World Series of Poker - WSOP 2019, Las Vegas",14th,"$ 86,543"
08-May-2019,"HK$ 1,000,000 No Limit Hold'em - Triton Montenegro Main Event (Event #5)Triton Poker Super High Roller Series Montenegro, Budva",1st,"HK$ 21,300,000"
07-Mar-2019,"HK$ 2,000,000 No Limit Hold'em - Triton Super High Roller Series Jeju 2019 Main (Event #6)Triton Poker Super High Roller Series Jeju, Jeju",2nd,"$ 2,713,859"
19-Feb-2019,"$ 25,000 No Limit Hold'em - USPO #07 25K NLH (Event #7)2019 US Poker Open, Las Vegas",1st,"HK$ 24,039,500"
27-Jan-2019,"A$ 10,000 + 600 No Limit Hold'em - Main Event #112019 Aussie Millions Poker Championship, Melbourne",1st,"$ 3,062,513"
13-Sep-2018,"$ 100,000 + 3,000 No Limit Hold'em (Event #7)2018 Poker Masters, Las Vegas",4th,"$ 450,000"
11-Sep-2018,"$ 25,000 + 1,000 No Limit Hold'em (Event #5)2018 Poker Masters, Las Vegas",9th,"A$ 1,272,598"
24-Aug-2018,"€ 25,000 + 1,000 No Limit Hold'em - Charity Event (Event #35)European Poker Tour - EPT Barcelona, Barcelona",1st,"$ 914,616"
08-Jun-2018,"$ 5,000 No Limit Hold'em (Event #20)49th World Series of Poker - WSOP 2018, Las Vegas",40th,"$ 250,000"
30-May-2018,"$ 10,000 No Limit Hold'em - Super Turbo Bounty (Event #2)49th World Series of Poker - WSOP 2018, Las Vegas",10th,"$ 49,500"
24-May-2018,"$ 25,000 + 1,000 No Limit Hold'em - High RollerAria High Roller 86, Las Vegas",4th,"$ 256,603"
