Date,Event Name,Placement,Earning
02-May-2023,"$ 5,000 No Limit Hold'em - Deep Stack - 8-Handed (Event 60)World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",23rd,"$ 9,430"
20-Feb-2023,"€ 5,300 No Limit Hold'em - EPT Main Event (Event #16)European Poker Tour - EPT Paris, Paris",233rd,"$ 8,976"
25-Nov-2022,"$ 3,500 No Limit Hold'em - WPT Rock 'N' Roll Championship (Event 26)WPT Rock 'N' Roll Poker Open, Hollywood",151st,"$ 6,300"
20-Oct-2022,"£ 24,010 + 990 No Limit Hold'em (Event #10)European Poker Tour - EPT London, London",1st,"$ 307,401"
15-Aug-2022,"€ 5,300 No Limit Hold'em - EPT Barcelona Main Event (Event #29)European Poker Tour - EPT Barcelona, Barcelona",123rd,"$ 15,818"
04-Jun-2022,"$ 25,000 No Limit Hold'em - High Roller 8-Handed (Event #8)53rd World Series of Poker - WSOP 2022, Las Vegas",11th,"$ 92,725"
30-Apr-2022,"€ 25,000 No Limit Hold'em (Event 11)European Poker Tour - EPT Monte Carlo, Monte Carlo",3rd,"$ 239,945"
05-Apr-2022,"$ 600 No Limit Hold'em - Deep Stack - 6-Max (Event 27)World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",37th,"$ 1,045"
01-Mar-2022,"$ 10,200 No Limit Hold'em - Wynn High Roller #1PokerGO Tour - PGT Wynn High Rollers, Las Vegas",4th,"$ 53,900"
19-Dec-2021,"$ 525 No Limit Hold'em - Main Event 8-Max ONLINE (Event #12)World Series of Poker Circuit - WSOPC Harrah's Las Vegas ONLINE, Online",32nd,"$ 1,731"
12-Sep-2021,"$ 210 No Limit Hold'em - WSOP Bounty Double MILLION$ ONLINE (Event #32)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",1373rd,$ 389
05-Sep-2021,"$ 888 No Limit Hold'em - $888 CRAZY EIGHTS ONLINE (Event #26)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",387th,"$ 1,502"
26-Aug-2021,"$ 840 No Limit Hold'em - 6-Handed Bounty ONLINE (Event #19)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",142nd,"$ 1,651"
12-Aug-2021,"$ 525 No Limit Hold'em - Superstack Turbo Bounty ONLINE (Event #9)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",231st,$ 907
02-Aug-2021,"$ 1,500 No Limit Hold'em - Millionaire Maker ONLINE (Event #7)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",158th,"$ 5,389"
26-Mar-2021,"$ 2,240 + 260 No Limit Hold'em - Main Eventbestbet Spring Series 2021, Jacksonville",23rd,"$ 6,803"
29-Jan-2021,"$ 1,800 + 200 No Limit Hold'em - Main Eventbestbet Winter Open 2021, Jacksonville",57th,"$ 3,213"
