Date,Event Name,Placement,Earning
20-Jul-2017,"$ 600 No Limit Hold'em - SuperStack #107Deepstack Extravaganza III, Las Vegas",30th,"$ 1,650"
06-Jul-2017,"$ 1,100 No Limit Hold'em - Bounty #82Deepstack Extravaganza III, Las Vegas",23rd,"$ 1,800"
22-Jun-2017,"$ 1,500 No Limit Hold'em - Shootout (Event #43)48th World Series of Poker - WSOP 2017, Las Vegas",66th,"$ 4,837"
05-Jun-2017,"$ 1,100 MSPT Las Vegas - Main EventDeepstack Extravaganza III, Las Vegas",263rd,"$ 2,887"
05-May-2017,"C$ 5,000 + 300 No Limit Hold'em partypoker MILLION North America (Event #2)partypoker LIVE - partypoker MILLION North America, Kahnawake",38th,"C$ 30,000"
20-Apr-2017,"$ 545 + 55 Wynn Signature Weekend $250K GTDThe Wynn Signature Weekend $250K GTD, Las Vegas",23rd,"$ 21,845"
17-Mar-2017,"$ 130 + 30 No Limit Hold'em - Mega Millions XVI (Event #24)WSOP Circuit - WSOPC Bicycle Casino, Los Angeles (Bell Gardens)",113th,"$ 2,541"
02-Mar-2017,"$ 1,500 + 100 No Limit Hold'em - Championship2017 The Wynn Spring Classic, Las Vegas",16th,"$ 1,315"
13-Jul-2016,"$ 1,100 No Limit Hold'em #74Deep Stack Extravaganza III, Las Vegas",47th,"$ 9,522"
17-Jun-2016,"$ 1,100 No Limit Hold'em #33 BountyDeep Stack Extravaganza III, Las Vegas",4th,"$ 4,283"
09-Jun-2016,"$ 600 No Limit Hold'em #20Deep Stack Extravaganza III, Las Vegas",25th,"$ 18,774"
26-May-2016,"$ 400 No Limit Hold'em #1Deep Stack Extravaganza III, Las Vegas",5th,"$ 1,682"
16-May-2016,"$ 250 No Limit Hold'em #1Deep Stack Extravaganza III Warm Up, Las Vegas",6th,"$ 13,317"
03-Feb-2016,"$ 600 No Limit Hold'em #24Deep Stack Extravaganza I, Las Vegas",104th,"$ 6,754"
25-Jan-2016,"$ 250 No Limit Hold'em #1Deep Stack Extravaganza I, Las Vegas",21st,"$ 1,124"
20-Nov-2015,"$ 1,675 No Limit Hold'em - Main EventWSOP Circuit - WSOPC Nevada, Las Vegas",67th,"$ 1,552"
09-Nov-2015,"$ 600 No Limit Hold'em #29DeepStack Extravaganza IV, Las Vegas",20th,"$ 4,812"
08-Jul-2015,"$ 1,100 No Limit Hold'em #64Deep Stack Extravaganza III, Las Vegas",34th,"$ 2,041"
23-Jun-2015,"$ 2,500 No Limit Hold'em (Event #47)46th World Series of Poker - WSOP 2015, Las Vegas",35th,"$ 7,974"
14-Jun-2015,"$ 565 No Limit Hold'em - Phamous Monster StackPhamous Poker Series - Goliath, Las Vegas",78th,"$ 13,839"
25-Apr-2015,"$ 15,000 + 400 No Limit Hold'em WPT World Championship (Event #11)World Poker Tour - WPT World Championship/Borgata Spring Poker Open, Atlantic City",4th,"$ 1,522"
30-Mar-2015,"$ 250 Event 22: No Limit Hold'emDeep Stack Extravaganza II, Las Vegas",75th,"$ 267,764"
23-Mar-2015,"$ 250 Event 9: No Limit Hold'emDeep Stack Extravaganza II, Las Vegas",6th,$ 490
16-Feb-2015,"$ 250 No Limit Hold'em - $150,000 GuaranteedDeep Stack Extravaganza I, Las Vegas",13th,"$ 6,864"
27-Jan-2015,"$ 600 No Limit Hold'em $500,000 GuaranteedDeep Stack Extravaganza I, Las Vegas",90th,"$ 2,637"
11-Jan-2015,"$ 4,850 + 450 #18 No Limit Hold'em - 8 HandedPokerStars Caribbean Adventure - PCA 2015, Paradise Island",14th,"$ 1,357"
21-Nov-2014,"$ 1,675 No Limit Hold'em Main EventWSOP Circuit - WSOPC Nevada, Las Vegas",55th,"$ 10,780"
30-Oct-2014,"$ 600 No Limit Hold'em - #1Deepstack Extravaganza IV, Las Vegas",49th,"$ 4,400"
21-Oct-2014,"$ 360 + 40 No Limit Hold'em2014 The Wynn Fall Classic, Las Vegas",9th,"$ 1,099"
06-Jul-2014,"Charity Series of Poker (CSOP) Event #1 benefiting Three Square Charity Series of Poker - CSOP Event #1 benefiting Three Square, Las Vegas",3rd,"$ 3,449"
22-May-2014,"$ 400 No Limit Hold'em #1Deepstack Extravaganza III, Las Vegas",17th,"$ 1,951"
27-Mar-2014,"$ 400 + 40 No Limit hold'em #1Deep Stack Extravaganza II, Las Vegas",67th,"$ 2,751"
01-Jun-2013,"$ 1,500 No Limit Hold'em - Millionaire Maker (Event #6)44th World Series of Poker - WSOP 2013, Las Vegas",602nd,$ 745
23-Feb-2013,"$ 10,000 No Limit Hold'em - Championship2013 L.A. Poker Classic, Los Angeles",55th,"$ 2,740"
07-Jan-2013,"$ 10,000 + 300 No Limit Hold'em - Main Event (Event #5)PokerStars Caribbean Adventure - PCA 2013, Paradise Island",36th,"$ 18,360"
05-Apr-2012,"€ 10,000 No Limit Hold'em iSeriesLIVE, Dublin",4th,"$ 39,000"
07-Jan-2012,"$ 10,000 + 300 No Limit Hold'em - Main EventPokerStars Caribbean Adventure - PCA 2012, Paradise Island",94th,"$ 22,500"
13-Oct-2011,"€ 1,500 + 120 6-Max Pot Limit OmahaWorld Series Of Poker Europe - WSOPE 2011, Cannes",26th,"$ 4,460"
07-Jun-2011,"$ 1,500 No Limit Hold'em - Triple Chance42nd World Series of Poker - WSOP 2011, Las Vegas",40th,"$ 7,453"
25-Feb-2011,"$ 10,000 No Limit Hold'em - Championship Event2011 L.A. Poker Classic, Los Angeles",3rd,"$ 640,680"
20-Jan-2011,"A$ 25,000 Full Tilt Poker Invitational Shootout - Heat 1 2011 Aussie Millions Poker Championship, Melbourne",8th,"$ 65,000"
03-Nov-2010,"Final Full Tilt Poker Late Night Poker 2010, Cardiff",3rd,"$ 58,699"
08-Sep-2010,"$ 10,000 Heat 2 Full Tilt Poker Late Night Poker 2010, Cardiff",1st,"$ 16,644"
30-Jun-2010,"$ 25,000 No Limit Hold'em - Six Handed41st World Series of Poker - WSOP 2010, Las Vegas",17th,"$ 100,130"
16-Jun-2010,"$ 1,500 No Limit Hold'em41st World Series of Poker - WSOP 2010, Las Vegas",23rd,"$ 273,500"
26-Feb-2010,"$ 10,000 No Limit Hold'em - Championship Event2010 L.A. Poker Classic, Los Angeles",9th,"$ 23,500"
13-Feb-2010,"$ 1,065 No Limit Hold'em2010 L.A. Poker Classic, Los Angeles",1st,"$ 3,615"
05-Jan-2010,"$ 10,000 + 300 No Limit Hold'em - Main EventPokerStars Caribbean Adventure - PCA 2010, Paradise Island",106th,"$ 3,305"
29-Jun-2009,"$ 1,500 No Limit Hold'em40th World Series of Poker - WSOP 2009, Las Vegas",129th,"$ 2,250"
03-Jun-2009,"$ 1,500 No Limit Hold'em - Six Handed40th World Series of Poker - WSOP 2009, Las Vegas",92nd,"$ 14,438"
01-Apr-2009,"$ 1,500 + 90 No Limit Hold'emSeventh Annual Five Star World Poker Classic, Las Vegas",11th,"$ 51,398"
13-Jun-2008,"$ 10,000 World Championship Heads Up No Limit Hold'em39th World Series of Poker - WSOP 2008, Las Vegas",64th,"$ 88,505"
06-Jul-2007,"$ 10,000 World Championship No Limit Hold'em38th World Series of Poker - WSOP 2007, Las Vegas",217th,"$ 41,745"
28-Mar-2007,"€ 10,000 No Limit Hold'em - EPT Grand FinalEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",11th,"$ 15,000"
16-Oct-2006,"$ 10,000 + 300 No Limit Hold'em - Championship EventFesta Al Lago V Poker Tournament, Las Vegas",14th,"$ 94,908"
17-Sep-2006,"Final 16 - Group D - Match 2 Poker Superstars Invitational Tournament Season 3, Las Vegas",1st,"$ 38,936"
22-Jul-2006,"$ 1,500 7 Card Razz37th World Series of Poker - WSOP 2006, Las Vegas",2nd,"$ 71,617"
10-Jul-2006,"$ 1,000 No Limit Hold'em37th World Series of Poker - WSOP 2006, Las Vegas",10th,"$ 6,387"
27-Jun-2006,"$ 1,500 No Limit Hold'em37th World Series of Poker - WSOP 2006, Las Vegas",9th,"$ 6,730"
17-Jun-2006,"Round 1 - Group AIntercontinental Poker Championship, Las Vegas",6th,"$ 53,105"
21-May-2006,"€ 2,500 + 100 World Heads Up Poker ChampionshipWorld Headsup Poker Championships 2006, Barcelona",9th,"$ 31,330"
12-Apr-2006,"$ 2,500 + 100 No Limit Hold'emFourth Annual Five-Star World Poker Classic, Las Vegas",14th,"$ 30,000"
05-Feb-2006,"Quarter Finalists Invitational Freeroll Poker Superstars Invitational Tournament Season 2, Cabazon",3rd,"$ 18,598"
21-Jan-2006,"$ 3,000 + 100 Limit H.O.R.S.E.WSOP Circuit - WSOPC Tunica, Robinsonville",1st,"$ 15,000"
07-Dec-2005,"$ 3,000 + 100 No Limit Hold'emFourth Annual Five Diamond World Poker Classic, Las Vegas",5th,"$ 10,000"
06-Nov-2005,"Semi Final 2 Poker Superstars Invitational Tournament Season 2, Cabazon",2nd,"$ 5,145"
09-Sep-2005,"€ 2,500 + 100 Heads Up Poker Circuit - No Limit Hold'emEuropean Poker Tour - EPT Barcelona, Barcelona",3rd,"$ 72,844"
28-Aug-2005,"Final 16 - Group A - Match 1 Poker Superstars Invitational Tournament Season 2, Cabazon",1st,"$ 10,000"
10-Jul-2005,"Heat 18 Poker Superstars Invitational Tournament Season 2, Cabazon",1st,"$ 1,000"
18-Jun-2005,"$ 2,500 Limit Hold'em36th World Series of Poker - WSOP 2005, Las Vegas",19th,"$ 3,305"
16-May-2005,"$ 2,000 + 80 No Limit Hold'em2005 Mirage Poker Showdown, Las Vegas",2nd,"$ 32,125"
