Date,Event Name,Placement,Earning
07-Aug-2023,"$ 60,000 + 3,600 No Limit Hold'em - 8-Handed (Event #13)Triton Poker Super High Roller Series London, London",13th,"$ 114,500"
03-Aug-2023,"$ 250,000 + 12,500 No Limit Hold'em - Luxon Invitational (Event #9) Triton Poker Super High Roller Series London, London",18th,"$ 371,000"
11-Jul-2023,"$ 1,000 No Limit Hold'em - 6-Max Championship (Online Bracelet Event 17) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",66th,"$ 2,422"
22-Jun-2023,"$ 2,500 Mixed Limit Triple Draw Lowball (A-5, 2-7, Badugi) (Bracelet Event 52)54th World Series of Poker - WSOP 2023, Las Vegas",18th,"$ 6,948"
12-Jun-2023,"$ 100,000 No Limit Hold'em - High Roller - 8-Handed (Bracelet Event 29)54th World Series of Poker - WSOP 2023, Las Vegas",2nd,"$ 1,592,539"
30-May-2023,"$ 25,000 No Limit Hold'em - High Roller 6-Handed (Bracelet Event 2)54th World Series of Poker - WSOP 2023, Las Vegas",19th,"$ 50,000"
28-Mar-2023,"$ 10,000 No Limit Hold'em - U.S. Poker Open #5PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",12th,"$ 17,600"
06-Mar-2023,"$ 10,500 No Limit Hold'em - High RollerWynn Millions Poker Series, Las Vegas",7th,"$ 37,444"
19-Jan-2023,"$ 50,000 No Limit Hold'em - PokerGO Cup #8PokerGO Tour - 2023 PGT PokerGO Cup, Las Vegas",2nd,"$ 364,000"
13-Jan-2023,"$ 10,000 No Limit Hold'em - PokerGO Cup #3PokerGO Tour - 2023 PGT PokerGO Cup, Las Vegas",4th,"$ 90,000"
11-Jan-2023,"$ 10,000 No Limit Hold'em - PokerGO Cup #1PokerGO Tour - 2023 PGT PokerGO Cup, Las Vegas",10th,"$ 27,000"
20-Dec-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #36PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",5th,"$ 31,200"
10-Dec-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #33PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",2nd,"$ 57,000"
08-Dec-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #31PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",3rd,"$ 32,000"
28-Sep-2022,"$ 25,000 No Limit Hold'em - Poker Masters #7PokerGO Tour - 2022 PGT Poker Masters, Las Vegas",4th,"$ 172,500"
21-Sep-2022,"$ 10,000 No Limit Hold'em - Poker Masters #1PokerGO Tour - 2022 PGT Poker Masters, Las Vegas",7th,"$ 42,500"
15-Jul-2022,"$ 10,000 No Limit Hold'em - 6-Handed Championship (Event #86)53rd World Series of Poker - WSOP 2022, Las Vegas",23rd,"$ 32,025"
09-Jul-2022,"$ 1,000 Pot Limit Omaha Bounty (Event #74)53rd World Series of Poker - WSOP 2022, Las Vegas",136th,"$ 1,645"
24-Jun-2022,"$ 2,500 Nine Game Mix - 6-Handed (Event #52)53rd World Series of Poker - WSOP 2022, Las Vegas",51st,"$ 4,708"
16-Jun-2022,"$ 1,500 No Limit Hold'em - Freezeout (Event #34)53rd World Series of Poker - WSOP 2022, Las Vegas",111th,"$ 3,486"
09-Jun-2022,"$ 1,000 No Limit Hold'em - Freezeout (Event #18)53rd World Series of Poker - WSOP 2022, Las Vegas",218th,"$ 2,209"
25-Mar-2022,"$ 25,000 Pot Limit Omaha - US Poker Open #10PokerGO Tour - 2022 PGT U.S. Poker Open (USPO), Las Vegas",2nd,"$ 269,500"
08-Mar-2022,"$ 15,300 No Limit Hold'em - Wynn High Roller #5PokerGO Tour - PGT Wynn High Rollers, Las Vegas",4th,"$ 70,950"
