Date,Event Name,Placement,Earning
06-Aug-2023,"$ 2,700 No Limit Hold'em - Deep Stack (Event 43)Seminole Hard Rock Poker Open (SHRPO), Hollywood",2nd,"$ 142,335"
25-Jun-2023,"$ 25,000 Pot Limit Omaha - High Roller - 8-Handed (Bracelet Event 57)54th World Series of Poker - WSOP 2023, Las Vegas",9th,"$ 161,585"
20-Jun-2023,"$ 3,200 No Limit Hold'em - High Roller (Online Bracelet Event 8) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",4th,"$ 108,443"
16-Jun-2023,"$ 250,000 No Limit Hold'em - Super High Roller - Shot Clock (Bracelet Event 40)54th World Series of Poker - WSOP 2023, Las Vegas",5th,"$ 1,202,318"
09-Jun-2023,"$ 3,200 + 300 No Limit Hold'em - BetMGM Poker Championship2023 Aria Poker Classic, Las Vegas",81st,"$ 8,733"
04-Jun-2023,"$ 500 No Limit Hold'em - Bankroll Builder (Online Bracelet Event 2) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",129th,"$ 1,486"
30-May-2023,"$ 25,000 No Limit Hold'em - High Roller 6-Handed (Bracelet Event 2)54th World Series of Poker - WSOP 2023, Las Vegas",2nd,"$ 751,463"
27-Apr-2023,"$ 2,200 No Limit Hold'em - Deep Stack (Event 44)World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",34th,"$ 4,060"
16-Feb-2023,"$ 1,110 No Limit Hold'em - MSPT Ohio Poker State ChampionshipMid-States Poker Tour - MSPT Ohio Poker State Championship, Cleveland",108th,"$ 2,117"
23-Jan-2023,"$ 9,700 + 600 No Limit Hold'em - PCA Main Event (Event #6)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",76th,"$ 22,300"
25-Nov-2022,"$ 3,500 No Limit Hold'em - WPT Rock 'N' Roll Championship (Event 26)WPT Rock 'N' Roll Poker Open, Hollywood",81st,"$ 8,850"
10-Nov-2022,"$ 800 No Limit Hold'em - Ultimate Bounty (Event 16 )DeepStack Extravaganza IV, Las Vegas",42nd,$ 871
03-Nov-2022,"$ 1,600 No Limit Hold'em - MSPT (Event 5)DeepStack Extravaganza IV, Las Vegas",55th,"$ 3,915"
27-Oct-2022,"$ 950 + 150 No Limit Hold'em - Mystery BountyThe Wynn Fall Classic, Las Vegas",86th,"$ 2,346"
