Date,Event Name,Placement,Earning
08-Aug-2023,"£ 3,000 + 300 No Limit Hold'em - WSOP Super Circuit Main Event (Ring Event #11)WSOP International Circuit - WSOPC Super Circuit London, London",37th,"$ 21,024"
05-Aug-2023,"$ 125,000 + 7,500 No Limit Hold'em - Main Event (Event #11)Triton Poker Super High Roller Series London, London",15th,"$ 282,000"
27-Jul-2023,"$ 25,000 + 1,500 No Limit Hold'em - GGMillion$ Live 8-Handed (Event #1)Triton Poker Super High Roller Series London, London",26th,"$ 40,500"
03-Jul-2023,"$ 10,000 No Limit Hold'em - WSOP Main Event  (Bracelet Event 76)54th World Series of Poker - WSOP 2023, Las Vegas",1270th,"$ 15,000"
28-Jun-2023,"$ 5,000 No Limit Hold'em - 6-Handed (Bracelet Event 65)54th World Series of Poker - WSOP 2023, Las Vegas",147th,"$ 8,787"
19-Jun-2023,"NT$ 237,500 + 12,500 No Limit Hold'em - Dream Stars (Event #9)Poker Dream Taiwan, Taipei City",3rd,"NT$ 1,170,000"
02-May-2023,"€ 2,000 + 1,000 No Limit Hold'em - EPT Mystery Bounty (Event 31)European Poker Tour - EPT Monte Carlo, Monte Carlo",24th,"$ 38,176"
04-Mar-2023,"$ 30,000 No Limit Hold'em - 7-Handed (Event #5)Triton Poker Super High Roller Series Vietnam, Hoi An",20th,"$ 6,976"
01-Mar-2023,"$ 25,000 No Limit Hold'em - GG Super Million$ Live (Event #1)Triton Poker Super High Roller Series Vietnam, Hoi An",1st,"$ 64,600"
12-Jan-2023,"RM 28,500 + 1,500 No Limit Hold'em (Event #9)Poker Dream Malaysia 2023, Kuala Lumpur",2nd,"$ 965,000"
22-Oct-2022,"₫ 57,000,000 + 3,000,000 No Limit Hold'em - High RollerPoker Dream Vietnam 2022, Hoi An",3rd,"$ 42,947"
19-Oct-2022,"₫ 95,000,000 + 5,000,000 No Limit Hold'em - High RollerPoker Dream Vietnam 2022, Hoi An",9th,"$ 40,612"
07-Sep-2022,"$ 50,000 No Limit Hold'em - 6-Handed (Event #3)Triton Poker Super High Roller Series Cyprus, Kyrenia",14th,"$ 8,440"
24-Jul-2022,"RM 18,400 + 1,600 No Limit Hold'em - High Roller (Event #4)Poker Dream Malaysia 2022, Kuala Lumpur",4th,"$ 96,500"
15-May-2022,"€ 20,000 No Limit Short Deck Hold'em Ante Only (Event #3)Triton Poker Series Madrid, Madrid",5th,"$ 25,078"
09-Aug-2021,"$ 1,000 No Limit Hold'em - Double Stack ONLINE (Event #12)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",37th,"$ 105,858"
11-Mar-2020,"$ 100,000 No Limit Hold'empartypoker LIVE - partypoker MILLIONS Sochi Super High Roller Series, Sochi",3rd,"$ 15,597"
12-Dec-2019,"€ 25,000 No Limit Hold'em (Event #25)European Poker Tour - EPT Prague, Prague",1st,"$ 672,000"
19-Nov-2019,"$ 10,000 + 300 No Limit Hold'em - MILLIONS Main Eventpartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",33rd,"$ 419,670"
23-Oct-2019,"€ 100,000 No Limit Hold'em - Diamond High Roller (Event #12)World Series of Poker Europe - WSOPE 2019, Rozvadov",1st,"$ 40,000"
28-Aug-2019,"€ 2,200 No Limit Hold'em (Event #31)European Poker Tour - EPT Barcelona, Barcelona",55th,"$ 2,416,241"
25-Aug-2019,"€ 25,000 No Limit Hold'em Short Deck (Event #20)European Poker Tour - EPT Barcelona, Barcelona",2nd,"$ 5,022"
07-Aug-2019,"£ 50,000 No Limit Hold'em - Short Deck Ante-Only (Event #8)Triton Poker Super High Roller Series London, London",4th,"$ 163,790"
01-Aug-2019,"£ 1,050,000 No Limit Hold'em - Triton Million for Charity (Event #2) Triton Poker Super High Roller Series London, London",10th,"$ 330,104"
14-Jan-2019,"$ 25,000 No Limit Hold'em - PCA High Roller (Event #33)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",19th,"$ 1,339,193"
08-Jan-2019,"$ 2,200 No Limit Hold'em (Event #8)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",7th,"$ 48,500"
01-Dec-2018,"KRW 1,050,000 + 150,000 No Limit Hold'em - Baby Dragon (Event #3)Jeju Red Dragon 2018, Jeju",18th,"$ 41,440"
18-Oct-2018,"€ 1,010 + 90 No Limit Hold'em - Monster Stack (Event #5)World Series of Poker Europe - WSOPE 2018, Rozvadov",30th,"$ 3,073"
22-Sep-2018,"KRW 15,500,000 + 500,000 No Limit Hold'em - Super High Roller #2World Poker Tour - WPT Korea, Incheon",5th,"$ 3,561"
27-Aug-2018,"€ 5,300 No Limit Hold'em - EPT Main Event (Event #13)European Poker Tour - EPT Barcelona, Barcelona",166th,"$ 30,596"
04-Aug-2018,"₽ 60,000 + 6,000 No Limit Hold'em - Openpartypoker LIVE - partypoker MILLIONS Russia, Sochi",84th,"$ 12,543"
26-May-2018,"HK$ 18,000 + 2,000 No Limit Hold'em - King Size Stack NLH Freezeout (Event #5)Oriental Poker Championship 2018 Macau, Macau",4th,"$ 2,833"
27-Apr-2018,"₱ 8,800 + 1,200 No Limit Hold'em - Kickoff (Event #2)Manila Megastack 9, Manila",4th,"HK$ 110,000"
19-Apr-2018,"HK$ 2,700 + 300 No Limit Hold'em - Main Event (Event #7)2018 Macau Millions, Macau",145th,"$ 14,020"
31-Jan-2018,"HK$ 4,500 + 500 No Limit Hold'em - Megastack (Event #12)Asia Pacific Poker Tour - APPT Macau Poker Cup, Macau",32nd,"$ 5,563"
25-Oct-2017,"HK$ 2,700 + 300 No Limit Hold'em - Flipout Championship2017 Asia Championship of Poker (ACOP), Macau",4th,"HK$ 9,000"
05-Apr-2017,"HK$ 20,000 + 2,000 No Limit Hold'em #32PokerStars Championship Macau, Macau",2nd,"$ 1,146"
04-Sep-2016,"HK$ 10,800 + 1,200 No Limit Hold'em - Red Dragon (Event #12)Asia Pacific Poker Tour - APPT Macau Poker Cup, Macau",81st,"HK$ 8,400"
27-May-2016,"HK$ 4,500 + 500 No Limit Hold'em - KO Bounty #11Asia Pacific Poker Tour - APPT Macau, Macau",6th,"$ 1,074"
28-Feb-2016,"HK$ 10,800 + 1,200 No Limit Hold'em - Red Dragon EventAsia Pacific Poker Tour - APPT Macau Poker Cup, Macau",75th,"HK$ 37,930"
04-Nov-2015,"HK$ 8,100 + 900 No Limit Hold'em - SpadieAsia Pacific Poker Tour - APPT Asia Championship of Poker, Macau",45th,"$ 4,860"
04-Sep-2015,"HK$ 5,000 No Limit Hold'em - Megastack (Event #8)Asia Pacific Poker Tour - APPT Macau Poker Cup, Macau",18th,"HK$ 435,000"
,,,"$ 55,977"
07-Aug-2023,"$ 60,000 + 3,600 No Limit Hold'em - 8-Handed (Event #13)Triton Poker Super High Roller Series London, London",14th,"HK$ 30,930"
02-Aug-2023,"$ 20,000 + 1,200 + 10,000 No Limit Hold'em - Turbo Bounty (Event #8)Triton Poker Super High Roller Series London, London",8th,"$ 3,987"
09-Jul-2023,"$ 9,700 + 800 No Limit Hold'em - WPT EveryOne for One DropThe Wynn Summer Classic, Las Vegas",183rd,"HK$ 42,680"
30-Jun-2023,"$ 1,100 No Limit Hold'em - UltimateStack (Event 44)Venetian DeepStack Championship Poker Series, Las Vegas",1st,"$ 5,496"
21-Jun-2023,"NT$ 110,400 + 9,600 No Limit Hold'em - High Roller (Event #16)Poker Dream Taiwan, Taipei City",10th,"HK$ 29,000"
16-Jun-2023,"NT$ 73,600 + 6,400 No Limit Hold'em - Single Day High Roller (Event #2)Poker Dream Taiwan, Taipei City",2nd,"$ 3,729"
26-Apr-2023,"€ 1,100 No Limit Hold'em - FPS Main Event (Event 1)European Poker Tour - EPT Monte Carlo, Monte Carlo",60th,"HK$ 25,700"
03-Mar-2023,"$ 10,000 + 10,000 No Limit Hold'em - 8-Handed Mystery Bounty (Event #3)Triton Poker Super High Roller Series Vietnam, Hoi An",12th,"$ 3,316"
15-Feb-2023,"NT$ 18,000 + 2,000 No Limit Hold'em - Main EventUSOP Poker2U Taiwan Series, Taipei City",27th,"HK$ 15,100"
29-Nov-2022,"A$ 1,200 + 150 No Limit Hold'em - Mystery Bounty (Ring Event 7)WSOP International Circuit - WSOPC Australia, Gold Coast",44th,"$ 1,948"
20-Oct-2022,"₫ 22,500,000 + 2,500,000 No Limit Hold'em - Main EventPoker Dream Vietnam 2022, Hoi An",117th,
15-Sep-2022,"$ 40,000 No Limit Short Deck Hold'em - Ante Only Single Bullet (Event #11)Triton Poker Super High Roller Series Cyprus, Kyrenia",3rd,"$ 105,500"
31-Jul-2022,"RM 10,000 No Limit Hold'em (Event #20)Poker Dream Malaysia 2022, Kuala Lumpur",2nd,"$ 68,100"
19-May-2022,"€ 50,000 No Limit Short Deck Hold'em Ante Only (Event #8)Triton Poker Series Madrid, Madrid",1st,"$ 17,790"
02-May-2022,"₱ 18,000 + 1,800 No Limit Hold'em - Short Deck (Event 9)Asian Poker Tour - APT Philippines 2022, Manila",1st,"$ 115,331"
02-Aug-2021,"$ 1,500 No Limit Hold'em - Millionaire Maker ONLINE (Event #7)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",69th,"NT$ 210,000"
07-Mar-2020,"$ 25,500 No Limit Hold'empartypoker LIVE - partypoker MILLIONS Sochi Super High Roller Series, Sochi",9th,"$ 6,794"
19-Nov-2019,"$ 25,000 No Limit Short Deck Hold'em - The 25Kpartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",3rd,"NT$ 528,000"
16-Nov-2019,"$ 10,000 + 300 No Limit Hold'em - MILLIONS  High Rollerpartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",8th,"$ 17,195"
16-Oct-2019,"€ 250,000 No Limit Hold'em - Super High Roller (Event #4)World Series of Poker Europe - WSOPE 2019, Rozvadov",2nd,"$ 4,840"
27-Aug-2019,"€ 50,000 No Limit Hold'em (Event #28)European Poker Tour - EPT Barcelona, Barcelona",3rd,"$ 29,500"
21-Aug-2019,"€ 1,100 No Limit Hold'em - EPT National (Event #6)European Poker Tour - EPT Barcelona, Barcelona",474th,"NT$ 90,700"
05-Aug-2019,"£ 25,000 No Limit Hold'em - Short Deck Ante-Only (Event #6)Triton Poker Super High Roller Series London, London",5th,"$ 2,914"
28-Apr-2019,"€ 2,200 No Limit Hold'em - French National Championship High Roller (Event #11)European Poker Tour - EPT Monte Carlo, Monte Carlo",77th,"A$ 1,762"
11-Jan-2019,"$ 10,300 No Limit Hold'em - PCA Main Event (Event #20)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",98th,"$ 1,188"
03-Dec-2018,"KRW 11,300,000 + 700,000 No Limit Hold'em - High Roller (Event #8)Jeju Red Dragon 2018, Jeju",10th,"$ 1,663"
22-Oct-2018,"€ 2,020 + 180 Pot Limit Omaha 8-Max (Event #7)World Series of Poker Europe - WSOPE 2018, Rozvadov",28th,"$ 264,000"
14-Oct-2018,"€ 1,515 + 135 No Limit Hold'em - 6-Max Deepstack (Event #2)World Series of Poker Europe - WSOPE 2018, Rozvadov",16th,"$ 17,446"
30-Aug-2018,"€ 25,000 No Limit Hold'em (Event #22)European Poker Tour - EPT Barcelona, Barcelona",5th,"$ 900,958"
07-Aug-2018,"₽ 300,000 + 18,000 No Limit Hold'em - Main Eventpartypoker LIVE - partypoker MILLIONS Russia, Sochi",9th,"$ 3,695"
23-Jul-2018,"HK$ 100,000 No Limit Hold'em - Short Deck Ante-OnlyTriton Poker Super High Roller Series Jeju, Jeju",6th,"$ 8,602"
