Date,Event Name,Placement,Earning
03-Aug-2023,"$ 250,000 + 12,500 No Limit Hold'em - Luxon Invitational (Event #9) Triton Poker Super High Roller Series London, London",10th,"$ 575,000"
29-Jul-2023,"$ 20,000 + 2,400 + 20,000 No Limit Hold'em - Mystery Bounty 7-Handed (Event #3)Triton Poker Super High Roller Series London, London",13th,"$ 46,600"
12-Jul-2023,"$ 50,000 No Limit Hold'em - High Roller - 8-Handed (Bracelet Event 84)54th World Series of Poker - WSOP 2023, Las Vegas",18th,"$ 88,506"
16-May-2023,"$ 75,000 No Limit Hold'em - 8-Handed (Event #8)Triton Poker Super High Roller Series Cyprus, Kyrenia",11th,"$ 140,500"
01-Feb-2023,"$ 24,010 + 990 No Limit Hold'em - PCA High Roller (Event #59)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",23rd,"$ 50,400"
13-Jul-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #17PokerGO Tour - PGT Aria High Roller Summer Series 2022, Las Vegas",5th,"$ 20,300"
26-Jun-2022,"$ 1,000 No Limit Hold'em - Tag Team (Event #55)53rd World Series of Poker - WSOP 2022, Las Vegas",75th,"$ 1,081"
05-May-2022,"€ 25,000 No Limit Hold'em - EPT Monte Carlo High Roller (Event 36)European Poker Tour - EPT Monte Carlo, Monte Carlo",19th,"$ 59,196"
13-Apr-2022,"$ 250,000 No Limit Hold'em - Super High Roller Bowl EuropeSuper High Roller Series - SHRS Europe presented by Luxon Pay, Kyrenia",3rd,"$ 1,280,000"
16-Nov-2021,"$ 10,000 No Limit Hold'em - Aria High Roller 39PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",7th,"$ 17,200"
01-Sep-2021,"$ 50,000 No Limit Hold'em - SHRB Europe Event 09Merit Poker presents Super High Roller Bowl Europe (SHRB), Kyrenia",4th,"$ 130,000"
08-Aug-2020,"$ 3,000 + 200 WPT World Championship 6-Max - Online (Event #4)World Poker Tour - WPT Online World Championship by partypoker, Online",91st,"$ 7,950"
31-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #27)Super High Roller Bowl Online, Online",11th,"$ 26,400"
28-May-2020,"$ 25,000 + 500 No Limit Hold'em - Super High Roller (Event #17)Super High Roller Bowl Online, Online",8th,"$ 55,455"
25-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #9)Super High Roller Bowl Online, Online",2nd,"$ 146,250"
05-May-2020,"$ 5,000 + 200 No Limit Hold'em - High RollerWorld Poker Tour - WPT Online Championship by partypoker, Online",4th,"$ 87,750"
14-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - 6 Max - Poker Masters #05 (ONLINE)Poker Masters Online, Online",7th,"$ 26,975"
21-Nov-2019,"$ 10,000 + 300 No Limit Hold'em - MILLIONS  High Roller Finalepartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",18th,"$ 30,000"
16-Oct-2019,"€ 250,000 No Limit Hold'em - Super High Roller (Event #4)World Series of Poker Europe - WSOPE 2019, Rozvadov",3rd,"$ 1,309,599"
02-Aug-2019,"£ 50,000 No Limit Hold'em - 8 Handed (Event #3)Triton Poker Super High Roller Series London, London",14th,"$ 105,497"
13-Jul-2019,"$ 10,000 No Limit Hold'em Championship 6-Handed (Event #86)50th World Series of Poker - WSOP 2019, Las Vegas",33rd,"$ 16,926"
06-May-2019,"HK$ 500,000 No Limit Hold'em - 6-Handed (Event #2)Triton Poker Super High Roller Series Montenegro, Budva",6th,"HK$ 2,300,000"
