Date,Event Name,Placement,Earning
09-Aug-2023,"$ 60,000 + 3,000 No Limit Short Deck Hold'em - Main Event (Event #16)Triton Poker Super High Roller Series London, London",5th,"$ 226,300"
04-Aug-2023,"$ 25,000 + 1,000 Pot Limit Omaha (Event #10)Triton Poker Super High Roller Series London, London",11th,"$ 41,400"
28-Jul-2023,"$ 25,000 + 1,500 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Super High Roller Series London, London",2nd,"$ 600,647"
16-Jul-2023,"$ 10,000 No Limit Hold'em - Short Deck (Bracelet Event 93)54th World Series of Poker - WSOP 2023, Las Vegas",7th,"$ 36,648"
06-Jul-2023,"$ 10,000 + 100 No Limit Hold'em - ARIA High Roller #112023 ARIA High Roller Series, Las Vegas",19th,"$ 19,500"
29-Jun-2023,"$ 10,000 No Limit 2-7 Draw Lowball Championship (Bracelet Event 69)54th World Series of Poker - WSOP 2023, Las Vegas",1st,"$ 367,599"
26-Jun-2023,"$ 1,500 No Limit 2-7 Lowball Draw (Bracelet Event 60)54th World Series of Poker - WSOP 2023, Las Vegas",16th,"$ 6,108"
16-Jun-2023,"$ 250,000 No Limit Hold'em - Super High Roller - Shot Clock (Bracelet Event 40)54th World Series of Poker - WSOP 2023, Las Vegas",1st,"$ 5,293,556"
09-Jun-2023,"$ 50,000 No Limit Hold'em - High Roller - 8-Handed (Bracelet Event 23)54th World Series of Poker - WSOP 2023, Las Vegas",12th,"$ 102,479"
01-Jun-2023,"$ 5,000 No Limit Hold'em/Pot Limit Omaha (Bracelet Event 6)54th World Series of Poker - WSOP 2023, Las Vegas",64th,"$ 8,750"
23-May-2023,"$ 25,000 No Limit Short Deck Hold'em - Ante Only (Event #15)Triton Poker Super High Roller Series Cyprus, Kyrenia",2nd,"$ 222,000"
19-May-2023,"$ 25,000 Pot Limit Omaha (Event #10)Triton Poker Super High Roller Series Cyprus, Kyrenia",1st,"$ 292,449"
31-Mar-2023,"$ 25,000 No Limit Hold'em - U.S. Poker Open #8PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",7th,"$ 67,500"
