Date,Event Name,Placement,Earning
28-Jul-2023,"$ 25,000 + 1,500 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Super High Roller Series London, London",14th,"$ 48,000"
08-Mar-2023,"$ 100,000 No Limit Hold'em - Main Event (Event #9)Triton Poker Super High Roller Series Vietnam, Hoi An",2nd,"$ 2,207,000"
01-Mar-2023,"$ 25,000 No Limit Hold'em - GG Super Million$ Live (Event #1)Triton Poker Super High Roller Series Vietnam, Hoi An",7th,"$ 164,000"
11-Jan-2023,"RM 47,500 + 2,500 No Limit Hold'em - Super High Roller (Event #6)Poker Dream Malaysia 2023, Kuala Lumpur",2nd,"$ 119,174"
16-Nov-2022,"NT$ 190,000 + 10,000 No Limit Hold'em - WPT Prime Super High Roller (Event #10)World Poker Tour Prime - WPT Prime Taiwan, Taipei City",7th,"NT$ 389,800"
09-Nov-2022,"$ 10,000 No Limit Hold'em - Super High RollerAsia Pacific Poker Tour - APPT Cambodia, Phnom Penh",2nd,"$ 12,531"
06-Nov-2022,"$ 800 No Limit Hold'em - APPT NationalAsia Pacific Poker Tour - APPT Cambodia, Phnom Penh",21st,"$ 28,227"
08-Sep-2022,"$ 75,000 No Limit Hold'em - 8-Handed (Event #5)Triton Poker Super High Roller Series Cyprus, Kyrenia",12th,"$ 1,539"
13-Aug-2022,"€ 50,000 No Limit Hold'em (Event #20)European Poker Tour - EPT Barcelona, Barcelona",7th,"$ 135,000"
25-Jul-2022,"RM 13,800 + 1,200 No Limit Hold'em - Single Day High Roller (Event #6)Poker Dream Malaysia 2022, Kuala Lumpur",5th,"$ 146,869"
08-Jul-2022,"$ 2,400 No Limit Hold'em (Event 108)Venetian DeepStack Championship Series, Las Vegas",113th,"$ 15,056"
23-May-2022,"€ 100,000 No Limit Short Deck Hold'em - SD Main Event (Event #12)Triton Poker Series Madrid, Madrid",8th,"$ 4,250"
13-May-2022,"€ 20,000 No Limit Hold'em - 8-Handed (Event #1)Triton Poker Series Madrid, Madrid",2nd,"$ 255,528"
03-Apr-2022,"$ 100,000 No Limit Hold'em - Triton Cyprus #2Triton Poker Cyprus - Special Edition, Kyrenia",6th,"$ 345,143"
23-Aug-2020,"$ 50 BIG 50 (Event #71)World Series of Poker - WSOP Online 2020 at GGPoker, Online",1049th,"$ 410,500"
14-Mar-2020,"$ 100,000 No Limit Short Deck Hold'empartypoker LIVE - partypoker MILLIONS Sochi Super High Roller Series, Sochi",4th,$ 365
22-Jan-2020,"A$ 98,000 + 2,000 No Limit Hold'em - 100K Challenge (Event #23)2020 Aussie Millions Poker Championship, Melbourne",5th,"$ 300,000"
11-Dec-2019,"€ 5,300 No Limit Hold'em - EPT Prague Main Event (Event #20)European Poker Tour - EPT Prague, Prague",78th,"A$ 423,360"
03-Dec-2019,"NT$ 80,000 + 8,000 No Limit Hold'em - High Roller (Event #10)Asian Poker Tour - APT Taiwan Finale, Taipei City",4th,"$ 290,342"
21-Nov-2019,"$ 10,000 + 300 No Limit Hold'em - MILLIONS  High Roller Finalepartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",14th,"$ 13,483"
17-Nov-2019,"$ 2,000 + 200 No Limit Hold'em - Warm-Uppartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",10th,"NT$ 301,200"
21-Aug-2019,"€ 1,100 No Limit Hold'em - EPT National (Event #6)European Poker Tour - EPT Barcelona, Barcelona",32nd,"$ 9,878"
31-Jul-2019,"£ 25,000 No Limit Hold'em - 6 Handed Turbo (Event #1)Triton Poker Super High Roller Series London, London",7th,"$ 35,000"
09-Jul-2019,"$ 3,000 No Limit Hold'em (Event #79)50th World Series of Poker - WSOP 2019, Las Vegas",69th,"$ 7,000"
26-Jun-2019,"$ 1,100 No Limit Hold'em - MonsterStack (Event #75)DeepStack Championship Poker Series, Las Vegas",104th,"$ 13,517"
23-Jun-2019,"$ 800 No Limit Hold'em - Deepstack 8-Handed (Event #53)50th World Series of Poker - WSOP 2019, Las Vegas",348th,"$ 148,894"
17-Jun-2019,"$ 1,600 No Limit Hold'em - MSPT Event (Event #62)DeepStack Championship Poker Series, Las Vegas",244th,"$ 5,270"
14-May-2019,"HK$ 250,000 Short Deck No Limit Hold'em - Ante Only (Event #6)Triton Poker Super High Roller Series Montenegro, Budva",7th,"$ 3,464"
01-May-2019,"€ 2,200 No Limit Hold'em (Event #25)European Poker Tour - EPT Monte Carlo, Monte Carlo",12th,"$ 1,704"
26-Apr-2019,"€ 550 No Limit Hold'em - Hyper Turbo Freezeout (Event #8)European Poker Tour - EPT Monte Carlo, Monte Carlo",7th,"$ 3,888"
10-Apr-2019,"KRW 10,000,000 No Limit Hold'em - APPT Super High Roller (Event #10)Asia Pacific Poker Tour - APPT Korea, Incheon",1st,"HK$ 780,000"
27-Jan-2019,"A$ 10,000 + 600 No Limit Hold'em - Main Event #112019 Aussie Millions Poker Championship, Melbourne",57th,"$ 99,377"
07-Jan-2019,"$ 5,300 No Limit Hold'em (Event #5)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",16th,"$ 10,830"
05-Dec-2018,"KRW 14,100,000 + 900,000 No Limit Hold'em - Single Day High Roller (Event #10)Jeju Red Dragon 2018, Jeju",2nd,"$ 3,399"
30-Oct-2018,"€ 100,000 No Limit Hold'em - Leon's High RollerWorld Series of Poker Europe - WSOPE 2018, Rozvadov",3rd,"$ 157,164"
15-Oct-2018,"€ 505 + 45 Pot Limit Omaha 8-Max - (Event #3)World Series of Poker Europe - WSOPE 2018, Rozvadov",22nd,"A$ 20,500"
24-Sep-2018,"KRW 10,000,000 + 200,000 No Limit Hold'em - High Roller #2World Poker Tour - WPT Korea, Incheon",2nd,"$ 14,733"
02-Sep-2018,"€ 5,200 No Limit Hold'em - Turbo (Event #34)European Poker Tour - EPT Barcelona, Barcelona",4th,"$ 18,910"
30-Aug-2018,"€ 1,100 No Limit Hold'em (Event #23)European Poker Tour - EPT Barcelona, Barcelona",92nd,"$ 165,684"
28-Aug-2018,"€ 2,150 No Limit Hold'em - Hyper Turbo (Event #18)European Poker Tour - EPT Barcelona, Barcelona",20th,"$ 592,594"
08-Aug-2018,"₱ 138,000 + 12,000 No Limit Hold'em - High Roller Shot Clock & BB Ante (Event #12)Asia Pacific Poker Tour - APPT Manila, Manila",1st,"$ 1,926"
07-Jul-2018,"$ 1,000 No Limit Hold'em - Little One for One Drop (Event #68)49th World Series of Poker - WSOP 2018, Las Vegas",171st,"$ 31,676"
27-Jun-2018,"$ 1,000 No Limit Hold'em - Tag Team (Event #55)49th World Series of Poker - WSOP 2018, Las Vegas",84th,"$ 34,607"
09-Jun-2018,"$ 1,500 No Limit Hold'em - Millionaire Maker (Event #21)49th World Series of Poker - WSOP 2018, Las Vegas",287th,"$ 2,219"
01-May-2018,"HK$ 40,000 + 3,000 No Limit Hold'em -  High Rollers (Event 9)Asian Poker Tour - APT Macau Championships, Macau",4th,"$ 3,995"
22-Apr-2018,"HK$ 27,600 + 2,400 No Limit Hold'em - High Roller (Event #12)2018 Macau Millions, Macau",3rd,"$ 59,891"
13-Apr-2018,"KRW 900,000 + 100,000 No Limit Hold'em/Pot Limit Omaha (Event #15)Asia Pacific Poker Tour - APPT Korea, Incheon",1st,"$ 3,187"
07-Apr-2018,"KRW 200,000 No Limit Hold'em -Turbo (Event #3)Asia Pacific Poker Tour - APPT Korea, Incheon",3rd,$ 452
27-Mar-2018,"₱ 100,000 + 7,500 No Limit Hold'em - High Rollers (Event #9)Asian Poker Tour - APT Manila Championships, Manila",12th,"$ 5,800"
24-Jan-2018,"A$ 1,025 + 125 No Limit Holdem - Accumulator (Event #8)2018 Aussie Millions Poker Championship, Melbourne",53rd,"HK$ 195,000"
18-Dec-2017,"A$ 600 + 60 No Limit Hold'em - Bounty Event (Re-Entry)( Event #13)WSOP International Circuit - WSOPC Sydney, Sydney",3rd,"$ 24,845"
02-Dec-2017,"HK$ 10,000 + 1,000 No Limit Hold'em - APT Finale Macau Main EventAsian Poker Tour - APT Macau Championships, Macau",7th,"HK$ 504,000"
23-Nov-2017,"HK$ 6,000 + 600 No Limit Hold'em - HK$8 Million Guaranteed Event2017 Suncity Cup, Macau",25th,"$ 64,237"
29-Oct-2017,"HK$ 3,000 No Limit Hold'em - 57 SocietyBoyaa Poker Tour 2017, Macau",4th,"$ 9,815"
08-Sep-2017,"HK$ 76,000 + 4,000 No Limit Hold'em - High Roller (Event #28)Macau Poker Cup 27, Macau",1st,"$ 1,258"
16-Aug-2017,"€ 1,100 No Limit Hold'em - PokerStars National Championship #6PokerStars Championship Barcelona, Barcelona",80th,"$ 3,381"
17-Jun-2017,"HK$ 18,000 + 1,800 No Limit Hold'em - APT Macau 2017 Main EventAsian Poker Tour - APT Macau, Macau",14th,"A$ 3,170"
02-May-2017,"$ 3,000 + 300 No Limit Hold'em High Rollers (Event #8)Asian Poker Tour - APT Manila Championships, Manila",2nd,"$ 2,531"
18-Jan-2017,"A$ 1,025 + 125 No Limit Hold'em - Accumulator (Event #8)2017 Aussie Millions Poker Championship, Melbourne",63rd,"A$ 16,371"
04-Nov-2016,"HK$ 23,000 + 2,000 No Limit Hold'em - ACOP Warm-Up (Event #7)2016 Asia Championship of Poker (ACOP), Macau",21st,"$ 12,509"
02-Aug-2016,"₱ 2,600 + 400 No Limit Hold'em - Shootout (Event #7)Asia Pacific Poker Tour - APPT Manila, Manila",6th,"HK$ 64,100"
25-May-2016,"HK$ 23,000 + 2,000 No Limit Hold'em - Main Event #8Asia Pacific Poker Tour - APPT Macau, Macau",61st,"$ 8,206"
21-Jan-2015,"A$ 1,025 + 125 #6 No Limit Holdem Accumulator2015 Aussie Millions Poker Championship, Melbourne",1st,"HK$ 58,100"
28-Jul-2012,"HK$ 3,000 + 300 Pot Limit OmahaAsian Poker Tour - APT Macau, Macau",1st,"$ 7,437"
14-Jul-2011,"A$ 40 No Limit Hold'em Rebuy - $50,000 GuaranteeAsia Pacific Poker Tour - APPT Melbourne, Melbourne",67th,"HK$ 21,900"
24-Feb-2011,"HK$ 3,000 No Limit Hold'emMacau Poker Cup - February Special, Macau",10th,"$ 2,806"
,,,"HK$ 2,037,000"
16-May-2023,"$ 75,000 No Limit Hold'em - 8-Handed (Event #8)Triton Poker Super High Roller Series Cyprus, Kyrenia",1st,"$ 260,552"
06-Mar-2023,"$ 75,000 No Limit Hold'em - 8-Handed (Event #7)Triton Poker Super High Roller Series Vietnam, Hoi An",9th,"$ 6,754"
15-Jan-2023,"RM 5,400 + 600 No Limit Hold'em - Mini High Roller (Event #17)Poker Dream Malaysia 2023, Kuala Lumpur",5th,"HK$ 42,800"
17-Nov-2022,"NT$ 22,700 + 2,300 Pot Limit Omaha (Event #15)World Poker Tour Prime - WPT Prime Taiwan, Taipei City",10th,"$ 5,487"
10-Nov-2022,"$ 1,500 No Limit Hold'em - APPT Main EventAsia Pacific Poker Tour - APPT Cambodia, Phnom Penh",9th,"$ 39,110"
07-Nov-2022,"$ 2,000 No Limit Hold'em - Mini High RollerAsia Pacific Poker Tour - APPT Cambodia, Phnom Penh",1st,"A$ 2,810"
14-Sep-2022,"₱ 75,000 + 7,500 No Limit Hold'em - ChampionshipsAsian Poker Tour - APT Philippines 2022, Manila",14th,"$ 2,112"
16-Aug-2022,"€ 50,000 No Limit Hold'em (Event #34)European Poker Tour - EPT Barcelona, Barcelona",8th,"HK$ 62,900"
28-Jul-2022,"RM 4,500 + 500 No Limit Hold'em - Main Event (Event #14)Poker Dream Malaysia 2022, Kuala Lumpur",32nd,"$ 8,110"
11-Jul-2022,"$ 2,500 No Limit Hold'em (Event #78)53rd World Series of Poker - WSOP 2022, Las Vegas",95th,$ 376
10-Jun-2022,"₫ 30,000,000 + 2,500,000 No Limit Hold'em - High Rollers (Event 7)Asian Poker Tour - APT Vietnam Hanoi Loyal 2022, Hanoi",6th,"HK$ 47,150"
14-May-2022,"€ 30,000 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Series Madrid, Madrid",12th,"$ 6,070"
11-Apr-2022,"$ 25,000 No Limit Hold'em - 25K TurboSuper High Roller Series - SHRS Europe presented by Luxon Pay, Kyrenia",4th,"A$ 136,225"
02-Apr-2022,"$ 50,000 No Limit Hold'em - Triton Cyprus #1Triton Poker Cyprus - Special Edition, Kyrenia",9th,"$ 111,520"
19-Jul-2020,"$ 525 Super Turbo Bounty No Limit Hold'em 6-Handed (Event #34)World Series of Poker - WSOP Online 2020 at GGPoker, Online",136th,"HK$ 83,000"
12-Mar-2020,"$ 50,000 No Limit Short Deck Hold'empartypoker LIVE - partypoker MILLIONS Sochi Super High Roller Series, Sochi",2nd,"$ 10,699"
20-Jan-2020,"A$ 2,250 + 250 No Limit Hold'em (Event #19)2020 Aussie Millions Poker Championship, Melbourne",14th,A$ 220
07-Dec-2019,"€ 1,100 No Limit Hold'em - Hyper Turbo (Event #7)European Poker Tour - EPT Prague, Prague",13th,$ 235
30-Nov-2019,"NT$ 50,000 + 5,000 No Limit Hold'em - High Rollers Single Day (Event #6)Asian Poker Tour - APT Taiwan Finale, Taipei City",4th,"HK$ 14,600"
19-Nov-2019,"$ 10,000 + 300 No Limit Hold'em - MILLIONS Main Eventpartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",104th,"$ 1,876"
29-Aug-2019,"€ 25,000 No Limit Hold'em (Event #34)European Poker Tour - EPT Barcelona, Barcelona",15th,
04-Aug-2019,"£ 100,000 No Limit Hold'em - Triton London Main Event (Event #5)Triton Poker Super High Roller Series London, London",4th,"$ 1,735,000"
11-Jul-2019,"$ 1,500 No Limit Hold'em - Double Stack (Event #82)50th World Series of Poker - WSOP 2019, Las Vegas",229th,"$ 182,500"
01-Jul-2019,"$ 5,000 No Limit Hold'em - 6-Handed (Event #70)50th World Series of Poker - WSOP 2019, Las Vegas",65th,"$ 5,653"
26-Jun-2019,"$ 400 No Limit Hold'em - Colossus (Event #61)50th World Series of Poker - WSOP 2019, Las Vegas",1004th,"NT$ 49,300"
20-Jun-2019,"$ 2,500 No Limit Hold'em (Event #48)50th World Series of Poker - WSOP 2019, Las Vegas",147th,"$ 1,583"
03-Jun-2019,"$ 1,025 + 75 No Limit Hold'emThe Wynn Summer Classic, Las Vegas",4th,"$ 9,454"
03-May-2019,"€ 2,150 No Limit Hold'em - Hyper Turbo Knockout (Event #37)European Poker Tour - EPT Monte Carlo, Monte Carlo",5th,"$ 18,490"
30-Apr-2019,"€ 50,000 No Limit Hold'em (Event #20)European Poker Tour - EPT Monte Carlo, Monte Carlo",7th,"$ 4,521"
11-Apr-2019,"KRW 1,800,000 No Limit Hold'em - APPT Main Event (Event #14)Asia Pacific Poker Tour - APPT Korea, Incheon",20th,"$ 123,499"
04-Mar-2019,"HK$ 500,000 No Limit Hold'em - 6-Handed Day 1 (Event #3)Triton Poker Super High Roller Series Jeju, Jeju",1st,"$ 2,760"
08-Jan-2019,"$ 2,150 No Limit Hold'em Turbo KO (Event #12)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",5th,"$ 5,671"
13-Dec-2018,"€ 2,150 No Limit Hold'em - Hyper Turbo #23European Poker Tour - EPT Prague, Prague",8th,"$ 2,385"
30-Nov-2018,"KRW 57,000,000 + 3,000,000 No Limit Hold'em - Super High Roller  (Event #2)Jeju Red Dragon 2018, Jeju",3rd,"$ 58,217"
25-Oct-2018,"€ 10,000 + 500 No Limit Hold'em - Turbo Highroller 10k (Single Day)World Series of Poker Europe - WSOPE 2018, Rozvadov",9th,"$ 85,250"
14-Oct-2018,"€ 1,515 + 135 No Limit Hold'em - 6-Max Deepstack (Event #2)World Series of Poker Europe - WSOPE 2018, Rozvadov",14th,"$ 113,000"
20-Sep-2018,"KRW 15,000,000 + 500,000 No Limit Hold'em - Super High RollerWorld Poker Tour - WPT Korea, Incheon",3rd,$ 779
31-Aug-2018,"€ 10,300 No Limit Hold'em - High Roller (Event #27)European Poker Tour - EPT Barcelona, Barcelona",23rd,"$ 561,780"
29-Aug-2018,"€ 2,200 No Limit Hold'em (Event #19)European Poker Tour - EPT Barcelona, Barcelona",21st,"A$ 9,080"
22-Aug-2018,"€ 10,300 No Limit Hold'em (Event #5)European Poker Tour - EPT Barcelona, Barcelona",1st,"$ 6,243"
07-Aug-2018,"₱ 18,000 + 2,000 No Limit Hold'em - Megastack Shot Clock & BB Ante (Event #9)Asia Pacific Poker Tour - APPT Manila, Manila",81st,"$ 2,656"
30-Jun-2018,"$ 2,000 + 200 No Limit Hold'em  - Main Event (Event #55)2018 Goliath Phamous Poker Series, Las Vegas",24th,"NT$ 171,100"
18-Jun-2018,"$ 1,600 + 55 No Limit Hold'em - MSPT #75DeepStack Championship Poker Series, Las Vegas",1st,"$ 5,606"
02-May-2018,"HK$ 20,000 + 2,000 No Limit Hold'em - APT Championships Macau 2018Asian Poker Tour - APT Macau Championships, Macau",13th,"$ 25,000"
25-Apr-2018,"HK$ 1,500 No Limit Hold'em -  Ante Up for Charity (Event 2)Asian Poker Tour - APT Macau Championships, Macau",1st,"$ 51,756"
19-Apr-2018,"HK$ 2,700 + 300 No Limit Hold'em - Main Event (Event #7)2018 Macau Millions, Macau",59th,"$ 1,363,027"
12-Apr-2018,"KRW 1,800,000 No Limit Hold'em -APPT Main Event  (Event #13)Asia Pacific Poker Tour - APPT Korea, Incheon",1st,"$ 2,911"
06-Apr-2018,"KRW 350,000 No Limit Hold'em - APPT Kickoff  (Event #2)Asia Pacific Poker Tour - APPT Korea, Incheon",36th,"$ 9,554"
15-Mar-2018,"HK$ 80,000 No Limit Hold'em - APPT National High Roller (Event #2)Asia Pacific Poker Tour - APPT Macau, Macau",17th,$ 804
23-Jan-2018,"A$ 1,025 + 125 No Limit Holdem - Six Max (Event #6)2018 Aussie Millions Poker Championship, Melbourne",2nd,"$ 3,746"
06-Dec-2017,"HK$ 20,000 + 2,000 No Limit Hold'em - APT Championships MacauAsian Poker Tour - APT Macau Championships, Macau",3rd,"$ 30,623"
01-Dec-2017,"HK$ 43,000 + 2,000 No Limit Hold'em - High Roller2017 Suncity Cup, Macau",1st,"$ 6,395"
31-Oct-2017,"HK$ 20,000 No Limit Hold'em - High RollerBoyaa Poker Tour 2017, Macau",2nd,"$ 160,220"
28-Oct-2017,"HK$ 9,900 + 1,100 No Limit Hold'em - Megastack Championship2017 Asia Championship of Poker (ACOP), Macau",3rd,"$ 5,622"
23-Aug-2017,"€ 2,200 No Limit Hold'em #28PokerStars Championship Barcelona, Barcelona",25th,"HK$ 11,150,000"
11-Jul-2017,"$ 1,000 + 111 No Limit Hold'em - The Little One for One Drop (Event #74)48th World Series of Poker - WSOP 2017, Las Vegas",371st,"$ 1,420,581"
21-May-2017,"HK$ 15,000 + 1,500 No Limit Hold'em - Main EventPoker King Cup, Macau",2nd,"$ 16,120"
02-Apr-2017,"HK$ 5,000 + 500 No Limit Hold'em - PokerStars Asia Open #17PokerStars Championship Macau, Macau",82nd,"$ 6,945"
12-Nov-2016,"HK$ 9,900 + 1,100 No Limit Hold'em - Mega Stack Championship (Event #16)2016 Asia Championship of Poker (ACOP), Macau",19th,"$ 336,103"
06-Aug-2016,"₱ 45,000 + 5,000 No Limit Hold'em/Pot Limit Omaha (Event #15)Asia Pacific Poker Tour - APPT Manila, Manila",4th,"$ 8,485"
24-Jul-2016,"$ 440 Pot Limit Omaha - Hi #11Asian Poker Tour - APT Manila, Manila",2nd,"$ 4,308"
20-Jan-2016,"A$ 1,025 + 125 No Limit Holdem Accumulator  (Event #8)2016 Aussie Millions Poker Championship, Melbourne",1st,"$ 44,592"
24-Sep-2012,"₱ 5,000 + 500 No Limit Hold'em - Deep Stack TurboAsian Poker Tour - APT Manila, Manila",1st,"$ 41,296"
17-Jul-2011,"A$ 170 + 30 No Limit Hold'em - Team EventAsia Pacific Poker Tour - APPT Melbourne, Melbourne",15th,"$ 11,035"
25-Feb-2011,"HK$ 11,000 No Limit Hold'em - Red Dragon EventMacau Poker Cup - February Special, Macau",62nd,"$ 344,086"
