Date,Event Name,Placement,Earning
29-Jul-2023,"$ 20,000 + 2,400 + 20,000 No Limit Hold'em - Mystery Bounty 7-Handed (Event #3)Triton Poker Super High Roller Series London, London",14th,"$ 42,600"
02-Jul-2023,"$ 10,000 Pot Limit Omaha Hi-Lo 8 or Better Championship - 8-Handed (Bracelet Event 75)54th World Series of Poker - WSOP 2023, Las Vegas",33rd,"$ 17,692"
29-Jun-2023,"$ 10,000 No Limit 2-7 Draw Lowball Championship (Bracelet Event 69)54th World Series of Poker - WSOP 2023, Las Vegas",23rd,"$ 16,000"
19-Jun-2023,"$ 4,700 + 300 No Limit Hold'em - Seniors 50+ High Roller The Wynn Summer Classic, Las Vegas",3rd,"$ 81,009"
14-Jun-2023,"$ 7,000 + 3,000 No Limit Hold'em - Secret Bounty (Bracelet Event 35)54th World Series of Poker - WSOP 2023, Las Vegas",72nd,"$ 10,858"
05-Jun-2023,"$ 10,000 Seven Card Stud Championship (Bracelet Event 14)54th World Series of Poker - WSOP 2023, Las Vegas",2nd,"$ 192,479"
06-Apr-2023,"$ 275 No Limit Hold'em - Mega Millions XXIV (Event 46)2023 Winnin' O the Green, Los Angeles (Bell Gardens)",84th,"$ 2,100"
27-Jan-2023,"$ 25,000 No Limit Hold'em - 8-Handed (Event #31)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",18th,"$ 43,050"
01-Dec-2022,"$ 520 + 80 No Limit Hold'emWorld Poker Tour - WPT World Championship at Wynn Las Vegas, Las Vegas",52nd,"$ 5,860"
23-Sep-2022,"$ 10,000 Pot Limit Omaha - Poker Masters #3PokerGO Tour - 2022 PGT Poker Masters, Las Vegas",6th,"$ 48,600"
21-Aug-2022,"$ 210 No Limit Hold'em - Million Dollar Bounty ONLINE (Online Bracelet Event #7)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",1432nd,$ 614
11-Jul-2022,"$ 1,500 Mixed No Limit Hold'em/Pot Limit Omaha - 8-Handed (Event #77)53rd World Series of Poker - WSOP 2022, Las Vegas",127th,"$ 2,625"
28-Jun-2022,"$ 1,000 No Limit Hold'em - Super Seniors (Event #59) 53rd World Series of Poker - WSOP 2022, Las Vegas",236th,"$ 2,001"
17-Jun-2022,"$ 10,000 No Limit 2-7 Draw Lowball Championship (Event #38)53rd World Series of Poker - WSOP 2022, Las Vegas",10th,"$ 25,026"
04-Jun-2022,"$ 25,000 No Limit Hold'em - High Roller 8-Handed (Event #8)53rd World Series of Poker - WSOP 2022, Las Vegas",38th,"$ 40,648"
16-Mar-2022,"$ 10,000 No Limit Hold'em - US Poker Open #1PokerGO Tour - 2022 PGT U.S. Poker Open (USPO), Las Vegas",12th,"$ 18,600"
07-Dec-2021,"$ 10,000 No Limit Hold'em - PokerGO Tour High Roller (Event #11)World Poker Tour - WPT Five Diamond World Poker Classic at Bellagio, Las Vegas",7th,"$ 21,500"
31-Oct-2021,"$ 1,000 No Limit Hold'em - Super Seniors 60+ (Event #58) 52nd World Series of Poker - WSOP 2021, Las Vegas",97th,"$ 2,583"
17-Oct-2021,"$ 1,500 Limit 2-7 Lowball Triple Draw (Event #34)52nd World Series of Poker - WSOP 2021, Las Vegas",33rd,"$ 2,662"
12-Sep-2021,"$ 500 No Limit Hold'em - The Closer ONLINE (Event #33)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",96th,"$ 4,351"
12-Sep-2021,"¥ 815 No Limit Hold'em - WSOP Zodiac Autumn Festival ONLINE (Event #31)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",72nd,"$ 1,377"
10-Aug-2021,"$ 5,000 No Limit Hold'em - 6-Handed Championship ONLINE (Event #8)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",55th,"$ 9,664"
10-Jul-2021,"$ 333 No Limit Hold'em ONLINE (WSOP Event #10)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",4th,"$ 25,850"
13-Jun-2021,"$ 25,000 No Limit Hold'em - U.S. Poker Open #11PokerGO Tour - 2021 PGT U.S. Poker Open, Las Vegas",3rd,"$ 224,250"
07-Jun-2021,"$ 10,000 No Limit Hold'em - U.S. Poker Open #5PokerGO Tour - 2021 PGT U.S. Poker Open, Las Vegas",9th,"$ 34,000"
27-May-2021,"$ 10,000 No Limit Hold'em - Venetian High Roller 01 (Event #25)DeepStack Championship Poker Series (MSPT, WPT, WPTDS, PokerGO Tour), Las Vegas",5th,"$ 61,600"
17-Jan-2021,"$ 3,000 + 200 No Limit Hold'em - WPT Montreal Main EventWorld Poker Tour - WPT Montreal Online, Online",3rd,"$ 212,459"
30-Aug-2020,"$ 5,000 No Limit Hold'em Main Event (Event #77)World Series of Poker - WSOP Online 2020 at GGPoker, Online",311th,"$ 18,098"
23-Aug-2020,"$ 25,000 NLH POKER PLAYERS CHAMPIONSHIP, $10M GTD (Event #70)World Series of Poker - WSOP Online 2020 at GGPoker, Online",33rd,"$ 70,150"
11-Aug-2020,"$ 5,000 No Limit Hold'em 6-Handed Championship (Event #58)World Series of Poker - WSOP Online 2020 at GGPoker, Online",87th,"$ 10,721"
02-Aug-2020,"$ 1,000 Short Deck No Limit Hold'em (Event #47)World Series of Poker - WSOP Online 2020 at GGPoker, Online",38th,"$ 2,679"
28-Jul-2020,"$ 10,000 Short Deck No Limit Hold'em Championship (Event #43)World Series of Poker - WSOP Online 2020 at GGPoker, Online",5th,"$ 92,545"
01-Jun-2020,"$ 100,000 + 2,000 No Limit Hold'em - Super High Roller Bowl Online (Event #28)Super High Roller Bowl Online, Online",5th,"$ 325,000"
10-May-2020,"$ 3,000 + 200 No Limit Hold'em - WPT Online Championship Main EventWorld Poker Tour - WPT Online Championship by partypoker, Online",128th,"$ 9,521"
14-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - 6 Max - Poker Masters #05 (ONLINE)Poker Masters Online, Online",5th,"$ 51,875"
04-Nov-2019,"$ 10,000 No Limit Hold'em - Poker Masters #1 $10K NLHE2019 Poker Masters, Las Vegas",7th,"$ 48,500"
01-Jul-2019,"$ 5,000 No Limit Hold'em - 6-Handed (Event #70)50th World Series of Poker - WSOP 2019, Las Vegas",41st,"$ 14,622"
29-May-2019,"$ 10,000 No Limit Hold'em - Super Turbo Bounty (Event #2)50th World Series of Poker - WSOP 2019, Las Vegas",22nd,"$ 11,402"
02-Mar-2019,"$ 10,000 No Limit Hold'em - WPT Championship Main Event (Event #62)2019 Los Angeles Poker Classic (LAPC), Los Angeles",32nd,"$ 31,020"
19-Feb-2019,"$ 25,000 No Limit Hold'em - USPO #07 25K NLH (Event #7)2019 US Poker Open, Las Vegas",7th,"$ 75,000"
14-Feb-2019,"$ 10,000 Pot Limit Omaha - USPO #02 10K PLO (Event #2)2019 US Poker Open, Las Vegas",8th,"$ 25,600"
11-Dec-2018,"$ 10,000 + 400 No Limit Hold'em - WPT Five Diamond World Poker Classic Main EventWorld Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",67th,"$ 25,886"
09-Sep-2018,"$ 25,000 + 1,000 Pot Limit Omaha (Event #3)2018 Poker Masters, Las Vegas",6th,"$ 55,500"
08-Aug-2018,"$ 50,000 No Limit Hold'em - Super High Roller (Event #14)2018 Seminole Hard Rock Poker Open, Hollywood",2nd,"$ 305,000"
12-Jul-2018,"$ 1,500 No Limit Hold'em - The Closer (Event #75)49th World Series of Poker - WSOP 2018, Las Vegas",300th,"$ 2,763"
02-Jun-2018,"$ 2,500 Mixed Triple Draw Lowball (Event #8)49th World Series of Poker - WSOP 2018, Las Vegas",29th,"$ 4,942"
02-Feb-2018,"$ 10,000 + 500 Pot Limit Omaha - (Event #2)2018 US Poker Open, Las Vegas",7th,"$ 32,000"
07-Nov-2017,"€ 25,000 No Limit Hold'em - Super High RollerWorld Series of Poker Europe - WSOPE 2017, Rozvadov",1st,"$ 243,817"
03-Jul-2017,"$ 1,000 No Limit Hold'em (Event #63)48th World Series of Poker - WSOP 2017, Las Vegas",109th,"$ 2,042"
04-Jun-2017,"$ 10,000 Omaha Hi/Lo Championship (Event #9)48th World Series of Poker - WSOP 2017, Las Vegas",16th,"$ 16,848"
23-Oct-2016,"€ 5,000 + 300 No Limit Hold'em - EPT Main Event (Event #33)European Poker Tour - EPT Malta, St. Julian’s",31st,"$ 16,905"
25-Jun-2016,"$ 10,000 Seven Card Stud Hi-Lo Split-8 or Better Championship (Event #43)47th World Series of Poker - WSOP 2016, Las Vegas",13th,"$ 19,820"
29-May-2016,"$ 300,000 No Limit Hold'em2016 Super High Roller Bowl, Las Vegas",7th,"$ 600,000"
26-Apr-2016,"€ 10,000 + 300 No Limit Hold'em - High Roller #2European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",21st,"$ 25,222"
01-Apr-2016,"$ 24,000 + 1,000 No Limit Hold'em - High RollerAria High Roller 28, Las Vegas",3rd,"$ 100,800"
05-Feb-2016,"$ 25,000 No Limit Hold'em - High Roller AAria High Roller 24, Las Vegas",1st,"$ 296,800"
31-May-2015,"$ 1,000 No Limit Hold'em Hyper Turbo (Event #6)46th World Series of Poker - WSOP 2015, Las Vegas",96th,"$ 2,416"
15-Dec-2014,"€ 10,000 + 300 #45 No Limit Hold'em - EPT High RollerEuropean Poker Tour - EPT Prague, Prague",9th,"$ 78,844"
14-Sep-2014,"$ 3,300 + 200 No Limit Hold'em - WPT Borgata Championship Re-EntryWorld Poker Tour - WPT Borgata Open, Atlantic City",54th,"$ 11,342"
18-Aug-2014,"€ 48,500 + 1,500 #10 No Limit Hold'em - Super High RollerEuropean Poker Tour - EPT Barcelona, Barcelona",8th,"$ 185,671"
02-Feb-2014,"A$ 25,000 No Limit Hold'em - $25,000 Challenge2014 Aussie Millions Poker Championship, Melbourne",6th,"A$ 100,000"
04-Dec-2013,"$ 5,000 + 180 No Limit Hold'emWorld Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",7th,"$ 87,484"
17-Oct-2013,"€ 3,000 + 250 Pot Limit Omaha Mixed Max (Event #5)World Series of Poker Europe - WSOPE 2013, Enghien-les-Bains",14th,"$ 20,516"
26-Jun-2013,"$ 111,111 No Limit Hold'em - One Drop High Roller (Event #47)44th World Series of Poker - WSOP 2013, Las Vegas",23rd,"$ 9,056"
13-May-2013,"$ 5,000 + 180 No Limit Hold'emWorld Poker Tour - WPT World Championship, Las Vegas",2nd,"$ 173,723"
17-Mar-2013,"$ 125,000 No Limit Hold'em PartyPoker.com Premier League Poker VI, London",1st,"$ 17,769"
23-Feb-2013,"$ 10,000 No Limit Hold'em - Championship2013 L.A. Poker Classic, Los Angeles",49th,"$ 528,000"
27-Jan-2013,"A$ 100,000 No Limit Hold'em - $100,000 Challenge2013 Aussie Millions Poker Championship, Melbourne",4th,"$ 21,840"
04-Dec-2012,"$ 10,000 + 300 No Limit Hold'em - Championship EventWorld Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",33rd,"A$ 237,000"
20-Oct-2012,"$ 5,000 + 180 No Limit Hold'emFesta Al Lago, Las Vegas",5th,"$ 250,201"
18-Aug-2012,"€ 1,850 + 150 No Limit Hold'em - High RollerEuropean Poker Tour - EPT Barcelona, Barcelona",13th,"$ 26,835"
22-Jun-2012,"$ 3,000 No Limit Hold'em (Event #41)43rd World Series of Poker - WSOP 2012, Las Vegas",28th,"$ 17,339"
18-Jun-2012,"$ 5,000 Pot Limit Omaha - Six Handed (Event #34)43rd World Series of Poker - WSOP 2012, Las Vegas",26th,"$ 7,581"
29-May-2012,"$ 1,500 Seven Card Stud Hi/Lo (Event #4)43rd World Series of Poker - WSOP 2012, Las Vegas",37th,"$ 18,609"
05-Jan-2012,"$ 100,000 No Limit Hold'em - Super High Roller EventPokerStars Caribbean Adventure - PCA 2012, Paradise Island",2nd,"$ 13,509"
06-Dec-2011,"$ 10,000 + 300 No Limit Hold'em - Championship Event2011 Doyle Brunson Five Diamond World Poker Classic, Las Vegas",91st,"$ 3,921"
09-Apr-2011,"$ 5,000 No Limit Hold'em - Main EventNorth American Poker Tour - NAPT Uncasville, Uncasville",2nd,"$ 846,700"
02-Jul-2010,"$ 2,500 No Limit Hold'em41st World Series of Poker - WSOP 2010, Las Vegas",23rd,"$ 11,942"
15-Apr-2010,"€ 5,000 + 300 No Limit Hold'em - Main EventEuropean Poker Tour - EPT Sanremo, Sanremo",84th,"$ 254,000"
31-Jan-2010,"$ 3,300 + 200 No Limit Hold'em - Championship EventBorgata Winter Open 2010, Atlantic City",69th,"$ 24,107"
23-Jan-2010,"A$ 100,000 + 500 $100,000 Challenge2010 Aussie Millions Poker Championship, Melbourne",1st,"$ 14,266"
05-Dec-2009,"$ 1,000 + 80 No Limit Hold'em2009 Doyle Brunson Five Diamond World Poker Classic, Las Vegas",7th,"$ 6,130"
09-Jun-2009,"$ 3,000 H.O.R.S.E.40th World Series of Poker - WSOP 2009, Las Vegas",24th,"A$ 1,200,000"
17-Jan-2009,"A$ 100,000 + 500 No Limit Hold'em Challenge2009 Aussie Millions Poker Championship, Melbourne",4th,"$ 1,107,553"
18-Oct-2008,"$ 5,000 + 180 No Limit Hold'em6th Annual Festa Al Lago Classic, Las Vegas",14th,"$ 13,461"
26-Jun-2008,"$ 5,000 No Limit Hold'em39th World Series of Poker - WSOP 2008, Las Vegas",65th,"$ 8,782"
26-Oct-2007,"C$ 10,000 + 300 No Limit Hold'em - Championship EventNorth American Poker Championships, Niagara Falls",15th,"A$ 200,000"
20-May-2007,"$ 1,000 + 100 No Limit Hold'em$250,000 Guaranteed Poker Tournament, Atlantic City",68th,"$ 142,074"
03-Oct-2006,"$ 9,700 + 300 No Limit Hold'em - Championship Event2006 United States Poker Championship, Atlantic City",4th,"$ 7,830"
27-Aug-2005,"$ 5,000 + 150 WPT Main Event - No Limit Hold'em2005 Legends of Poker, Los Angeles (Bell Gardens)",52nd,"$ 9,080"
30-Jun-2005,"$ 5,000 Omaha Hi/Lo36th World Series of Poker - WSOP 2005, Las Vegas",9th,"C$ 66,395"
14-Jan-2005,"$ 2,000 + 90 Limit Hold'emWSOP Circuit - WSOPC Atlantic City, Atlantic City",9th,"$ 68,616"
28-Sep-2004,"$ 6,000 + 200 No Limit Hold'em Final Day2004 Ultimatebet.com Poker Classic, Palm Beach",70th,"$ 1,287"
,,,"$ 151,902"
06-Jul-2023,"$ 10,000 + 100 No Limit Hold'em - ARIA High Roller #112023 ARIA High Roller Series, Las Vegas",18th,"$ 9,800"
01-Jul-2023,"$ 2,500 Mixed Games: Big Bet (Bracelet Event 73)54th World Series of Poker - WSOP 2023, Las Vegas",51st,"$ 21,055"
25-Jun-2023,"$ 3,000 Limit Hold'em 6-Handed (Bracelet Event 58)54th World Series of Poker - WSOP 2023, Las Vegas",14th,"$ 3,060"
16-Jun-2023,"$ 1,500 No Limit Hold'em - Monster Stack (Bracelet Event 39)54th World Series of Poker - WSOP 2023, Las Vegas",1070th,"$ 8,000"
10-Jun-2023,"$ 10,000 Omaha Hi-Lo 8 or Better Championship (Bracelet Event 25)54th World Series of Poker - WSOP 2023, Las Vegas",25th,
31-May-2023,"$ 700 + 300 No Limit Hold'em - Mystery Millions (Bracelet Event 3)54th World Series of Poker - WSOP 2023, Las Vegas",7th,"$ 19,500"
