Date,Event Name,Placement,Earning
05-Aug-2023,"$ 125,000 + 7,500 No Limit Hold'em - Main Event (Event #11)Triton Poker Super High Roller Series London, London",20th,"$ 226,000"
27-Jul-2023,"$ 25,000 + 1,500 No Limit Hold'em - GGMillion$ Live 8-Handed (Event #1)Triton Poker Super High Roller Series London, London",23rd,"$ 44,500"
09-Jul-2023,"$ 9,700 + 800 No Limit Hold'em - WPT EveryOne for One DropThe Wynn Summer Classic, Las Vegas",115th,"$ 23,080"
21-Jun-2023,"$ 10,000 Pot Limit Omaha Championship - 8-Handed (Bracelet Event 50)54th World Series of Poker - WSOP 2023, Las Vegas",95th,"$ 16,088"
09-Jun-2023,"$ 50,000 No Limit Hold'em - High Roller - 8-Handed (Bracelet Event 23)54th World Series of Poker - WSOP 2023, Las Vegas",14th,"$ 89,669"
20-May-2023,"$ 100,000 No Limit Hold'em - Main Event (Event #11)Triton Poker Super High Roller Series Cyprus, Kyrenia",5th,"$ 762,000"
14-May-2023,"$ 50,000 No Limit Hold'em - 7-Handed (Event #6)Triton Poker Super High Roller Series Cyprus, Kyrenia",14th,"$ 88,400"
03-Apr-2023,"$ 50,000 No Limit Hold'em - U.S. Poker Open #10PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",5th,"$ 148,000"
31-Mar-2023,"$ 25,000 No Limit Hold'em - U.S. Poker Open #8PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",3rd,"$ 189,000"
03-Mar-2023,"$ 10,000 + 10,000 No Limit Hold'em - 8-Handed Mystery Bounty (Event #3)Triton Poker Super High Roller Series Vietnam, Hoi An",16th,"$ 24,100"
25-Jan-2023,"$ 50,000 No Limit Hold'em - 7-Handed (Event #19)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",3rd,"$ 229,550"
01-Dec-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #25PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",4th,"$ 22,000"
18-Oct-2022,"$ 500 No Limit Hold'em - Fall Finale ONLINE (Online Bracelet Event #33)World Series of Poker - WSOP ONLINE at WSOP.com (NV/NJ), Online",13th,"$ 2,563"
