Date,Event Name,Placement,Earning
05-Aug-2023,"$ 125,000 + 7,500 No Limit Hold'em - Main Event (Event #11)Triton Poker Super High Roller Series London, London",3rd,"$ 1,940,000"
12-Jan-2023,"$ 970 + 140 No Limit Hold'em - Main Event (Event #12)Mid-States Poker Tour - MSPT Showdown Series, San Diego (El Cajon)",42nd,"$ 2,550"
10-Sep-2022,"$ 200,000 No Limit Hold'em - Coin Rivet Invitational (Event #6) Triton Poker Super High Roller Series Cyprus, Kyrenia",12th,"$ 440,000"
24-May-2022,"€ 150,000 No Limit Short Deck Hold'em Ante Only (Event #13)Triton Poker Series Madrid, Madrid",6th,"$ 383,292"
31-Oct-2021,"$ 50,000 Poker Players Championship (Event #60)52nd World Series of Poker - WSOP 2021, Las Vegas",1st,"$ 954,020"
04-Aug-2019,"£ 100,000 No Limit Hold'em - Triton London Main Event (Event #5)Triton Poker Super High Roller Series London, London",8th,"$ 498,965"
17-May-2019,"HK$ 300,000 No Limit Hold'em/Short Deck Mix (Event #13)Triton Poker Super High Roller Series Montenegro, Budva",1st,"HK$ 3,930,000"
12-May-2018,"HK$ 250,000 No Limit Hold'em - Short Deck Ante Only 250KTriton Poker Super High Roller Series Montenegro, Budva",2nd,"$ 500,682"
16-Feb-2018,"€ 10,000 + 300 No Limit Hold'em - High Rollerpartypoker LIVE - partypoker MILLIONS Germany, Rozvadov",5th,"HK$ 3,199,000"
22-Aug-2017,"$ 50,000 Poker Night in America - King of the Hill Poker Night in America - PNIA King of the Hill, Schenectady",2nd,"$ 407,515"
02-Nov-2016,"HK$ 196,000 + 4,000 No Limit Hold'em Suncity CupTriton Poker Super High Roller Series Philippines, Paranaque City",1st,"$ 99,838"
06-Dec-2015,"€ 5,000 + 300 #7 8 gameEuropean Poker Tour - EPT Prague, Prague",1st,"HK$ 2,785,900"
05-Jul-2015,"$ 10,000 No Limit Hold'em Main Event (Event #68)46th World Series of Poker - WSOP 2015, Las Vegas",775th,"$ 359,229"
24-Apr-2014,"€ 98,000 + 2,000 No Limit Hold'em - Super High RollerEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",2nd,"$ 29,012"
20-Nov-2013,"$ 125,000 PartyPoker Premier League VIIPlayground Poker Fall Classic 2013, Kahnawake",8th,"$ 15,000"
17-Mar-2013,"$ 125,000 No Limit Hold'em PartyPoker.com Premier League Poker VI, London",5th,"$ 1,774,145"
04-Apr-2012,"No Limit Hold'em PartyPoker.com Premier League Poker V, Vienna",2nd,"$ 48,000"
09-Jan-2010,"$ 1,500 + 100 No Limit Hold'emPokerStars Caribbean Adventure - PCA 2010, Paradise Island",12th,"$ 168,000"
,,,"$ 300,000"
07-Feb-2023,"$ 10,000 + 300 Big Bet Mix (Event #4)PokerGO Tour - 2023 PGT Mixed Games, Las Vegas",10th,"$ 9,085"
25-Sep-2022,"$ 5,000 No Limit Hold'em - WSOP Online Main Event ONLINE (Online Bracelet Event #33)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",418th,
26-Jun-2022,"$ 50,000 Poker Players Championship - 6-Handed (Event #56)53rd World Series of Poker - WSOP 2022, Las Vegas",1st,"$ 20,700"
18-May-2022,"€ 5,000 + 300 No Limit Hold'em - Super High Roller888poker LIVE - Barcelona, Barcelona",1st,"$ 13,368"
10-Aug-2019,"£ 250,000 No Limit Hold'em - Short Deck Ante Only ""Les Ambassadeurs Private Event"" Triton Poker Super High Roller Series London, London",5th,"$ 1,449,103"
24-Jun-2019,"$ 50,000 Poker Players Championship (Event #58)50th World Series of Poker - WSOP 2019, Las Vegas",6th,"$ 34,680"
14-May-2019,"HK$ 250,000 Short Deck No Limit Hold'em - Ante Only (Event #6)Triton Poker Super High Roller Series Montenegro, Budva",6th,"$ 1,651,028"
20-Mar-2018,"HK$ 2,000,000 + 100,000 No Limit Hold'em - Super High Roller Bowl Super High Roller Bowl China, Macau",10th,"$ 168,305"
05-Sep-2017,"$ 50,000 No Limit Hold'em - Week 3 - Rumble with Jungle Poker After Dark (PAD) Season VIII, Las Vegas",4th,"HK$ 980,000"
19-Feb-2017,"HK$ 970,000 + 30,000 No Limit Hold'em - Main EventTriton Poker Super High Roller Series Philippines, Paranaque City",3rd,"$ 124,858"
14-Dec-2015,"€ 10,000 + 300 #81 No Limit Hold'em -High Roller -  8 HandedEuropean Poker Tour - EPT Prague, Prague",6th,"HK$ 5,820,000"
15-Aug-2015,"€ 10,600 No Limit Hold'em - Super High Roller 8MaxReg Summer Charity Festival, Rozvadov",1st,"$ 742,012"
10-Jul-2014,"$ 100,000 No Limit Hold'em Super High RollerAria $100k Super High Roller, Las Vegas",4th,"HK$ 7,765,156"
14-Feb-2014,"$ 97,500 + 2,500 No Limit Hold'em - WPT Alpha8World Poker Tour - WPT Alpha8 Johannesburg, Johannesburg",1st,"$ 1,000,365"
28-Mar-2013,"€ 6,500 + 500 No Limit Hold'em - Venice High RollerWorld Poker Tour - WPT Venice, Venice",1st,"$ 151,747"
24-Jan-2013,"$ 20,000 No Limit Hold'em - Heads Up NBC Heads-Up Championship, Las Vegas",5th,"$ 92,475"
04-Oct-2011,"$ 10,000 Heat 1Coral Late Night Poker 2011, Cardiff",7th,"$ 297,000"
