Date,Event Name,Placement,Earning
10-Aug-2023,"$ 25,000 + 1,500 No Limit Short Deck Hold'em - Ante Only (Event #17)Triton Poker Super High Roller Series London, London",2nd,"$ 193,800"
01-Aug-2023,"$ 200,000 + 12,000 No Limit Hold'em - 8-Handed (Event #7)Triton Poker Super High Roller Series London, London",5th,"$ 1,247,000"
27-Jul-2023,"$ 25,000 + 1,500 No Limit Hold'em - GGMillion$ Live 8-Handed (Event #1)Triton Poker Super High Roller Series London, London",21st,"$ 44,500"
09-Jul-2023,"$ 9,700 + 800 No Limit Hold'em - WPT EveryOne for One DropThe Wynn Summer Classic, Las Vegas",75th,"$ 31,550"
28-Jun-2023,"$ 5,000 No Limit Hold'em - 6-Handed (Bracelet Event 65)54th World Series of Poker - WSOP 2023, Las Vegas",11th,"$ 66,192"
07-Jun-2023,"$ 1,500 Limit Badugi (Bracelet Event 20)54th World Series of Poker - WSOP 2023, Las Vegas",5th,"$ 28,710"
21-May-2023,"$ 50,000 No Limit Hold'em - Turbo (Event #12)Triton Poker Super High Roller Series Cyprus, Kyrenia",1st,"$ 545,000"
13-May-2023,"$ 40,000 No Limit Hold'em - 8-Handed (Event #5)Triton Poker Super High Roller Series Cyprus, Kyrenia",13th,"$ 90,000"
01-May-2023,"₱ 475,000 + 25,000 No Limit Hold'em - Super High Roller (Event #14)Poker Dream Manila 2023, Manila",5th,"$ 29,412"
28-Apr-2023,"₱ 184,000 + 16,000 No Limit Short Deck Hold'em - Ante Only (Event #4)Poker Dream Manila 2023, Manila",4th,"$ 11,696"
09-Jan-2023,"RM 18,400 + 1,600 No Limit Hold'em (Event #2)Poker Dream Malaysia 2023, Kuala Lumpur",1st,"$ 71,551"
08-Nov-2022,"€ 2,200 No Limit Hold'em - Short Deck (Bracelet Event #9)World Series of Poker Europe - WSOPE 2022, Rozvadov",9th,"$ 5,233"
24-Oct-2022,"£ 24,010 + 990 No Limit Hold'em (Event #29)European Poker Tour - EPT London, London",4th,"$ 61,918"
16-Oct-2022,"₫ 114,000,000 + 6,000,000 No Limit Hold'em - Short Deck Ante OnlyPoker Dream Vietnam 2022, Hoi An",4th,"$ 24,502"
05-Sep-2022,"$ 25,000 No Limit Hold'em - 8-Handed (Event #1)Triton Poker Super High Roller Series Cyprus, Kyrenia",4th,"$ 300,000"
13-Aug-2022,"€ 1,050 No Limit Hold'em - Hyper Turbo (Event #23)European Poker Tour - EPT Barcelona, Barcelona",39th,"$ 2,022"
30-Jul-2022,"RM 13,800 + 1,200 No Limit Hold'em (Event #16)Poker Dream Malaysia 2022, Kuala Lumpur",6th,"$ 9,983"
26-May-2022,"€ 10,000 + 200 No Limit Hold'em - PGT Italy Event #2PokerGO Tour - 2022 PGT Italy, Venice",3rd,"$ 30,193"
23-May-2022,"€ 100,000 No Limit Short Deck Hold'em - SD Main Event (Event #12)Triton Poker Series Madrid, Madrid",5th,"$ 521,703"
14-May-2022,"€ 30,000 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Series Madrid, Madrid",10th,"$ 62,375"
14-Apr-2022,"$ 50,000 No Limit Hold'em - SHRS Europe #8Super High Roller Series - SHRS Europe presented by Luxon Pay, Kyrenia",4th,"$ 209,000"
09-Apr-2022,"$ 25,000 No Limit Hold'em - SHRS Europe #3Super High Roller Series - SHRS Europe presented by Luxon Pay, Kyrenia",2nd,"$ 320,000"
29-Aug-2021,"$ 100,000 No Limit Short Deck Hold'em - SHRB Europe Event 07Merit Poker presents Super High Roller Bowl Europe (SHRB), Kyrenia",3rd,"$ 416,000"
25-Aug-2021,"$ 25,000 No Limit Short Deck Hold'em - SHRB Europe Event 03Merit Poker presents Super High Roller Bowl Europe (SHRB), Kyrenia",6th,"$ 67,500"
05-Sep-2020,"$ 1,050 No Limit Hold'em - Beat the Pros [Bounty] (Event #82)World Series of Poker - WSOP Online 2020 at GGPoker, Online",270th,"$ 2,540"
26-Aug-2020,"$ 1,000 No Limit Hold'em 6-Handed (Event #73)World Series of Poker - WSOP Online 2020 at GGPoker, Online",196th,"$ 2,649"
04-Aug-2020,"$ 2,100 No Limit Hold'em Bounty Championship (Event #50)World Series of Poker - WSOP Online 2020 at GGPoker, Online",167th,"$ 2,258"
02-Aug-2020,"$ 500 Turbo Deepstack No Limit Hold'em (Event #49)World Series of Poker - WSOP Online 2020 at GGPoker, Online",91st,"$ 2,122"
29-Jul-2020,"$ 2,500 No Limit Hold'em 6-Handed (Event #44)World Series of Poker - WSOP Online 2020 at GGPoker, Online",21st,"$ 11,697"
26-Jul-2020,"$ 400 No Limit Hold'em - COLOSSUS (Event #10)World Series of Poker - WSOP Online 2020 at GGPoker, Online",1236th,$ 840
26-Jul-2020,"$ 1,500 No Limit Hold'em (Event #39)World Series of Poker - WSOP Online 2020 at GGPoker, Online",123rd,"$ 3,237"
22-Jul-2020,"$ 1,500 FIFTY STACK No Limit Hold'em (Event #36)World Series of Poker - WSOP Online 2020 at GGPoker, Online",114th,"$ 3,819"
14-Dec-2019,"€ 25,000 No Limit Hold'em (Event #33)European Poker Tour - EPT Prague, Prague",5th,"$ 141,024"
10-Dec-2019,"€ 10,300 No Limit Short Deck Hold'em (Event #18)European Poker Tour - EPT Prague, Prague",2nd,"$ 26,295"
19-Nov-2019,"$ 25,000 No Limit Short Deck Hold'em - The 25Kpartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",2nd,"$ 250,000"
09-Oct-2019,"NT$ 15,000 + 1,500 No Limit Hold'em - Monster StackAsian Poker Tour - APT Taiwan, Taipei City",1st,"NT$ 448,200"
22-Sep-2019,"KRW 4,000,000 No Limit Hold'em - WPT Korea High Roller (Event #10)World Poker Tour - WPT Korea, Incheon",11th,"$ 14,552"
31-Aug-2019,"€ 25,000 No Limit Hold'em (Event #46)European Poker Tour - EPT Barcelona, Barcelona",5th,"$ 6,789"
26-Aug-2019,"€ 5,300 No Limit Hold'em - EPT Main Event (Event #22)European Poker Tour - EPT Barcelona, Barcelona",182nd,"$ 130,215"
05-Aug-2019,"£ 25,000 No Limit Hold'em - Short Deck Ante-Only (Event #6)Triton Poker Super High Roller Series London, London",10th,"$ 12,333"
11-Jul-2019,"$ 100,000 No Limit Hold'em - High Roller (Event #83)50th World Series of Poker - WSOP 2019, Las Vegas",10th,"$ 64,148"
26-Jun-2019,"$ 1,100 No Limit Hold'em - MonsterStack (Event #75)DeepStack Championship Poker Series, Las Vegas",105th,"$ 230,801"
16-Jun-2019,"$ 800 No Limit Hold'em - Deep Stack (Event #37)50th World Series of Poker - WSOP 2019, Las Vegas",247th,"$ 3,464"
08-May-2019,"HK$ 1,000,000 No Limit Hold'em - Triton Montenegro Main Event (Event #5)Triton Poker Super High Roller Series Montenegro, Budva",2nd,"$ 1,582"
11-Apr-2019,"KRW 1,800,000 No Limit Hold'em - APPT Main Event (Event #14)Asia Pacific Poker Tour - APPT Korea, Incheon",31st,"HK$ 14,100,000"
