Date,Event Name,Placement,Earning
05-Dec-2017,"$ 10,000 + 400 No Limit Hold'em - WPT Main Event ( Event #18 )World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",14th,"$ 61,436"
25-Oct-2017,"$ 50,000 Poker Night in America - King of the Hill 3 Poker Night in America - PNIA King of the Hill 3, Philadelphia",1st,"$ 200,000"
19-Aug-2017,"€ 50,000 No Limit Hold'em - PokerStars Championship Super High Roller #10PokerStars Championship Barcelona, Barcelona",10th,"$ 121,197"
05-May-2017,"€ 5,200 No Limit Hold'em - Turbo Six Max (Event 69)PokerStars Championship presented by Monte-Carlo Casino, Monte Carlo",6th,"$ 20,423"
30-Mar-2017,"$ 2,200 No Limit Hold'em Eight Handed (Event #18)Seminole Hard Rock Poker Showdown, Hollywood",28th,"$ 3,557"
17-Feb-2017,"HK$ 240,000 + 10,000 No Limit Hold'em - Six MaxTriton Poker Super High Roller Series Philippines, Paranaque City",1st,"HK$ 3,641,600"
08-Jan-2017,"$ 4,717 + 283 No Limit Hold'em - PokerStars Championship Main Event (Event #23)PokerStars Championship Bahamas, Paradise Island",59th,"$ 469,246"
15-Aug-2016,"$ 25,500 No Limit Hold'em - High Roller (Event #25)2016 Seminole Hard Rock Poker Open, Hollywood",2nd,"$ 11,560"
27-May-2016,"$ 50,000 No Limit Hold'em - High RollerAria Super High Roller 7, Las Vegas",8th,"$ 485,625"
15-Aug-2015,"$ 5,250 No Limit Hold'em - Championship Freezeout (Event #21)Seminole Hard Rock Poker Open, Hollywood",3rd,"$ 97,920"
01-Nov-2014,"HK$ 500,000 Super High RollerAsia Pacific Poker Tour - APPT Asia Championship of Poker, Macau",7th,"$ 310,000"
28-Aug-2014,"$ 5,300 No Limit Hold'em SHRPO Main Event (#Event 16)2014 Seminole Hard Rock Poker Open, Hollywood",1st,"HK$ 2,900,000"
10-Jul-2014,"$ 100,000 No Limit Hold'em Super High RollerAria $100k Super High Roller, Las Vegas",3rd,"$ 373,932"
25-Jun-2014,"$ 5,000 No Limit Hold'em (Event #49)45th World Series of Poker - WSOP 2014, Las Vegas",19th,"$ 1,446,710"
02-May-2014,"€ 10,000 + 300 No Limit Hold'em - Turbo 6 MaxEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",5th,"$ 796,821"
11-Jan-2014,"$ 25,000 + 500 No Limit Hold'em High RollerPokerStars Caribbean Adventure - PCA 2014, Paradise Island",27th,"$ 22,309"
02-Jul-2012,"$ 1,500 No Limit Hold'em (Event #56)43rd World Series of Poker - WSOP 2012, Las Vegas",179th,"$ 68,526"
06-Jun-2012,"$ 1,500 No Limit Hold'em - Shootout (Event #14)43rd World Series of Poker - WSOP 2012, Las Vegas",66th,"$ 59,300"
18-Sep-2011,"$ 3,300 + 200 No Limit Hold'em - Championship Event2011 Borgata Poker Open, Atlantic City",10th,"$ 3,324"
25-Apr-2011,"$ 2,000 + 160 No Limit Hold'em - Six HandedSeminole Hard Rock Showdown, Hollywood",5th,"$ 5,295"
15-Jan-2011,"$ 5,000 + 250 NAPT Bounty ShootoutPokerStars Caribbean Adventure - PCA 2011, Paradise Island",4th,"$ 50,315"
14-Sep-2010,"£ 2,500 + 150 No Limit Hold'em - Six HandedWorld Series Of Poker Europe - WSOPE 2010, London",14th,"$ 16,128"
07-Sep-2009,"€ 2,000 + 150 No Limit Hold'emEuropean Poker Tour - EPT Barcelona, Barcelona",12th,"$ 10,000"
,,,"$ 11,339"
24-Nov-2017,"$ 3,500 No Limit Hold'em - Championship ( Event #9 )2017 Rock ‘n' Roll Poker Open, Hollywood",10th,"$ 8,155"
24-Aug-2017,"€ 25,500 No Limit Hold'em #31PokerStars Championship Barcelona, Barcelona",6th,
02-Jun-2017,"$ 111,111 No Limit Hold'em - High Roller for One Drop (Event #6)48th World Series of Poker - WSOP 2017, Las Vegas",16th,"$ 31,260"
31-Mar-2017,"$ 3,500 No Limit Hold'em WPT Showdown Championship (Event #19)Seminole Hard Rock Poker Showdown, Hollywood",4th,"$ 118,225"
