Date,Event Name,Placement,Earning
10-Aug-2023,"$ 25,000 + 1,500 No Limit Short Deck Hold'em - Ante Only (Event #17)Triton Poker Super High Roller Series London, London",4th,"$ 94,900"
04-Aug-2023,"$ 25,000 + 1,000 Pot Limit Omaha (Event #10)Triton Poker Super High Roller Series London, London",2nd,"$ 355,000"
31-Jul-2023,"$ 60,000 + 3,600 No Limit Hold'em - 7-Handed (Event #6)Triton Poker Super High Roller Series London, London",15th,"$ 103,000"
25-May-2023,"$ 20,000 No Limit Short Deck Hold'em - Ante Only (Event #17)Triton Poker Super High Roller Series Cyprus, Kyrenia",1st,"$ 214,000"
04-May-2023,"€ 25,000 No Limit Hold'em - EPT High Roller (Event 42)European Poker Tour - EPT Monte Carlo, Monte Carlo",6th,"$ 243,905"
28-Apr-2023,"€ 25,000 No Limit Hold'em (Event 10)European Poker Tour - EPT Monte Carlo, Monte Carlo",7th,"$ 88,436"
03-Mar-2023,"$ 10,000 + 10,000 No Limit Hold'em - 8-Handed Mystery Bounty (Event #3)Triton Poker Super High Roller Series Vietnam, Hoi An",4th,"$ 150,400"
17-Feb-2023,"€ 25,000 No Limit Hold'em (Event #7)European Poker Tour - EPT Paris, Paris",3rd,"$ 170,983"
27-Jan-2023,"$ 25,000 No Limit Hold'em - 8-Handed (Event #31)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",10th,"$ 75,300"
21-Dec-2022,"No Limit Hold'em - PGT Championship PokerGO Tour - 2022 PGT Championship, Las Vegas",19th,"$ 408,388"
11-Dec-2022,"€ 49,000 + 1,000 No Limit Hold'em - EPT Super High Roller (Event #18)European Poker Tour - EPT Prague, Prague",3rd,"$ 93,487"
10-Nov-2022,"€ 50,000 No Limit Hold'em - Diamond High Roller (Bracelet Event #11)World Series of Poker Europe - WSOPE 2022, Rozvadov",7th,"$ 221,894"
24-Oct-2022,"£ 24,010 + 990 No Limit Hold'em (Event #29)European Poker Tour - EPT London, London",1st,"$ 13,368"
25-Sep-2022,"$ 5,000 No Limit Hold'em - WSOP Online Main Event ONLINE (Online Bracelet Event #33)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",458th,"$ 80,000"
14-Sep-2022,"$ 30,000 No Limit Short Deck Hold'em - Ante Only (Event #10)Triton Poker Super High Roller Series Cyprus, Kyrenia",6th,$ 753
28-Aug-2022,"$ 400 No Limit Hold'em - Double Stack Bounty ONLINE (Online Bracelet Event #11)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",242nd,"$ 525,973"
18-May-2022,"€ 75,000 No Limit Hold'em - 8-Handed (Event #7)Triton Poker Series Madrid, Madrid",4th,"$ 163,783"
04-May-2022,"€ 25,000 No Limit Hold'em (Event 31)European Poker Tour - EPT Monte Carlo, Monte Carlo",4th,"$ 408,773"
30-Apr-2022,"€ 25,000 No Limit Hold'em (Event 11)European Poker Tour - EPT Monte Carlo, Monte Carlo",2nd,"$ 731,000"
