Date,Event Name,Placement,Earning
18-Jul-2023,"$ 1,000 No Limit Hold'em - Super Turbo (Bracelet Event 95)54th World Series of Poker - WSOP 2023, Las Vegas",80th,"$ 2,838"
14-Jul-2023,"$ 1,000 No Limit Hold'em - Flip & GO - Presented by GGPoker (Bracelet Event 89)54th World Series of Poker - WSOP 2023, Las Vegas",106th,"$ 2,000"
11-Jul-2023,"$ 3,000 Pot Limit Omaha - 6-Handed (Bracelet Event 82)54th World Series of Poker - WSOP 2023, Las Vegas",57th,"$ 7,495"
09-Jul-2023,"$ 600 No Limit Hold'em - Deepstack Championship (Online Bracelet Event 16) (NVNJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",9th,"$ 15,026"
02-Jul-2023,"$ 10,000 Pot Limit Omaha Hi-Lo 8 or Better Championship - 8-Handed (Bracelet Event 75)54th World Series of Poker - WSOP 2023, Las Vegas",26th,"$ 20,219"
27-Jun-2023,"$ 10,000 Seven Card Stud Hi-Lo 8 or Better Championship (Bracelet Event 63)54th World Series of Poker - WSOP 2023, Las Vegas",17th,"$ 17,500"
18-Jun-2023,"$ 3,000 No Limit Hold'em (Bracelet Event 44)54th World Series of Poker - WSOP 2023, Las Vegas",54th,"$ 12,530"
14-Jun-2023,"$ 1,500 Pot Limit Omaha (Bracelet Event 34)54th World Series of Poker - WSOP 2023, Las Vegas",16th,"$ 10,632"
08-Jun-2023,"$ 1,000 Pot Limit Omaha (Bracelet Event 21)54th World Series of Poker - WSOP 2023, Las Vegas",99th,"$ 2,773"
01-Jun-2023,"$ 5,000 No Limit Hold'em/Pot Limit Omaha (Bracelet Event 6)54th World Series of Poker - WSOP 2023, Las Vegas",63rd,"$ 8,750"
08-May-2023,"$ 50,000 No Limit Hold'em - Heads-Up High Stakes Duel 4 PokerGO High Stakes Duel 4 | Round 1 | Negreanu vs Persson, Las Vegas",1st,"$ 100,000"
27-Mar-2023,"$ 10,000 Pot Limit Omaha - U.S. Poker Open #4PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",4th,"$ 77,000"
17-Mar-2023,"$ 10,000 + 5,000 Pot Limit Omaha - Bounty (Event #7)PokerGO Tour - 2023 PGT PLO Series, Las Vegas",12th,"$ 34,200"
12-Mar-2023,"$ 3,000 + 2,000 Pot Limit Omaha - Bounty (Event #2)PokerGO Tour - 2023 PGT PLO Series, Las Vegas",2nd,"$ 69,810"
10-Feb-2023,"$ 25,000 + 500 10-Game Championship (Event #7)PokerGO Tour - 2023 PGT Mixed Games, Las Vegas",6th,"$ 85,500"
04-Feb-2023,"$ 10,000 + 300 H.O.R.S.E. (Event #1)PokerGO Tour - 2023 PGT Mixed Games, Las Vegas",12th,"$ 17,400"
17-Jan-2023,"$ 25,000 No Limit Hold'em - PokerGO Cup #6PokerGO Tour - 2023 PGT PokerGO Cup, Las Vegas",8th,"$ 50,000"
21-Dec-2022,"No Limit Hold'em - PGT Championship PokerGO Tour - 2022 PGT Championship, Las Vegas",10th,"$ 146,090"
07-Nov-2022,"€ 25,000 No Limit Hold'em - Platinum High Roller (Bracelet Event #8)World Series of Poker Europe - WSOPE 2022, Rozvadov",4th,"$ 3,171"
16-Oct-2022,"$ 1,000 No Limit Hold'em Championship ONLINE (Online Bracelet Event #29)World Series of Poker - WSOP ONLINE at WSOP.com (NV/NJ), Online",23rd,"$ 1,489"
27-Sep-2022,"$ 500 No Limit Hold'em - 6-Max ONLINE (Online Bracelet Event #14)World Series of Poker - WSOP ONLINE at WSOP.com (NV/NJ), Online",34th,"$ 22,800"
22-Sep-2022,"$ 10,000 No Limit Hold'em - Poker Masters #2PokerGO Tour - 2022 PGT Poker Masters, Las Vegas",9th,"$ 2,365"
10-Sep-2022,"$ 400 No Limit Hold'em Series Kick-Off ONLINE (Online Bracelet Event #1)World Series of Poker - WSOP ONLINE at WSOP.com (NV/NJ), Online",15th,"$ 7,659"
12-Jul-2022,"$ 3,200 No Limit Hold'em - High Roller 8-Max (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",34th,"$ 1,727"
10-Jul-2022,"$ 1,000 No Limit Hold'em - Online Bracelet Championship (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",128th,"$ 1,070"
03-Jul-2022,"$ 500 No Limit Hold'em - Deepstack (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",176th,"$ 10,367"
24-Jun-2022,"$ 2,500 Nine Game Mix - 6-Handed (Event #52)53rd World Series of Poker - WSOP 2022, Las Vegas",13th,"$ 20,448"
18-Jun-2022,"$ 10,000 Seven Card Stud Hi-Lo 8 or Better (Event #40)53rd World Series of Poker - WSOP 2022, Las Vegas",12th,"$ 4,718"
08-Jun-2022,"$ 2,500 Mixed Triple Draw (A-5,, 2-7, Badugi) (Event #17)53rd World Series of Poker - WSOP 2022, Las Vegas",33rd,"$ 93,000"
16-Mar-2022,"$ 10,000 No Limit Hold'em - US Poker Open #1PokerGO Tour - 2022 PGT U.S. Poker Open (USPO), Las Vegas",4th,"$ 54,450"
26-Feb-2022,"$ 15,000 No Limit Hold'em - Aria High Roller #3PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",4th,"$ 112,000"
09-Feb-2022,"$ 50,000 No Limit Hold'em - PokerGO Cup #8PokerGO Tour - 2022 PGT PokerGO Cup, Las Vegas",5th,"$ 661,041"
20-Nov-2021,"$ 50,000 No Limit Hold'em - High Roller (Event #85)52nd World Series of Poker - WSOP 2021, Las Vegas",3rd,"$ 5,648"
17-Nov-2021,"$ 3,000 Pot Limit Omaha - 6 Handed (Event #80)52nd World Series of Poker - WSOP 2021, Las Vegas",50th,"$ 91,595"
31-Oct-2021,"$ 50,000 Poker Players Championship (Event #60)52nd World Series of Poker - WSOP 2021, Las Vegas",9th,"$ 1,614"
24-Oct-2021,"$ 1,000 No Limit Hold'em - Championship (Event #5) ONLINEWorld Series of Poker - 2021 WSOP Online Gold Bracelet Events, Online",96th,"$ 25,741"
18-Oct-2021,"$ 10,000 Dealer's Choice 6 Handed Championship (Event #36)52nd World Series of Poker - WSOP 2021, Las Vegas",9th,"$ 17,526"
16-Oct-2021,"$ 3,000 H.O.R.S.E. (Event #32)52nd World Series of Poker - WSOP 2021, Las Vegas",8th,"$ 21,838"
12-Oct-2021,"$ 5,000 No Limit Hold'em - 6 Handed (Event #25)52nd World Series of Poker - WSOP 2021, Las Vegas",22nd,"$ 6,846"
10-Oct-2021,"$ 1,500 Pot Limit Omaha Hi/Lo/Limit Omaha Hi/Lo/Big O - Mixed Games (Event #21)52nd World Series of Poker - WSOP 2021, Las Vegas",18th,"$ 1,536"
03-Oct-2021,"$ 500 No Limit Hold'em - BIG 500 (Event #2) ONLINEWorld Series of Poker - 2021 WSOP Online Gold Bracelet Events, Online",53rd,"$ 152,000"
16-Sep-2021,"$ 25,000 No Limit Hold'em - Poker Masters #10PokerGO Tour - 2021 PGT Poker Masters, Las Vegas",3rd,"$ 103,200"
08-Sep-2021,"$ 10,000 No Limit Hold'em - Poker Masters #2PokerGO Tour - 2021 PGT Poker Masters, Las Vegas",3rd,"$ 11,135"
24-Aug-2021,"$ 5,000 No Limit Short Deck Hold'em Championship ONLINE (Event #18)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",11th,"$ 8,916"
16-Aug-2021,"$ 400 Pot Limit Omaha - PLOSSUS ONLINE (Event #17)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",23rd,"$ 9,015"
09-Aug-2021,"$ 1,000 No Limit Hold'em - Double Stack ONLINE (Event #12)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",83rd,"$ 4,083"
03-Aug-2021,"$ 2,500 Limit Hold'em Championship ONLINE (Event #3)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",29th,"$ 19,851"
22-Jul-2021,"$ 600 No Limit Hold'em - Knockout ONLINE (WSOP Event #22)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",3rd,"$ 700,000"
12-Jul-2021,"$ 50,000 No Limit Hold'em - PokerGO Cup #7PokerGO Tour - 2021 PGT PokerGO Cup, Las Vegas",1st,"$ 45,000"
10-Jul-2021,"$ 25,000 No Limit Hold'em - PokerGO Cup #5PokerGO Tour - 2021 PGT PokerGO Cup, Las Vegas",6th,"$ 21,200"
08-Jul-2021,"$ 10,000 No Limit Hold'em - PokerGO Cup #3PokerGO Tour - 2021 PGT PokerGO Cup, Las Vegas",8th,$ 953
