Date,Event Name,Placement,Earning
03-Jul-2023,"$ 10,000 No Limit Hold'em - WSOP Main Event  (Bracelet Event 76)54th World Series of Poker - WSOP 2023, Las Vegas",1st,"$ 12,100,000"
05-Jun-2023,"$ 600 Pot Limit Omaha - Deep Stack (Bracelet Event 13)54th World Series of Poker - WSOP 2023, Las Vegas",108th,"$ 1,773"
31-May-2023,"$ 700 + 300 No Limit Hold'em - Mystery Millions (Bracelet Event 3)54th World Series of Poker - WSOP 2023, Las Vegas",201st,"$ 6,300"
02-Sep-2022,"$ 3,200 + 300 No Limit Hold'em - WPT Championship (Event 21)2022 WPT Seminole Hard Rock Tampa, Tampa",31st,"$ 18,500"
14-Jul-2022,"$ 3,000 H.O.R.S.E. (Event #84)53rd World Series of Poker - WSOP 2022, Las Vegas",25th,"$ 6,000"
10-Jul-2022,"$ 777 No Limit Hold'em - Lucky 7's - 7-Handed (Event 75)53rd World Series of Poker - WSOP 2022, Las Vegas",667th,"$ 1,555"
10-Jul-2022,"$ 1,000 No Limit Hold'em - Online Bracelet Championship (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",149th,"$ 1,727"
25-Jun-2022,"$ 5,000 Mixed No Limit Hold'em/Pot-Limit Omaha - 8-Handed (Event #53)53rd World Series of Poker - WSOP 2022, Las Vegas",118th,"$ 8,010"
21-Jun-2022,"$ 1,500 Pot Limit Omaha (Event #45)53rd World Series of Poker - WSOP 2022, Las Vegas",162nd,"$ 2,630"
17-Jun-2022,"$ 1,500 No Limit Hold'em - Millionaire Maker (Event #37)53rd World Series of Poker - WSOP 2022, Las Vegas",1026th,"$ 2,400"
14-Jun-2022,"$ 1,000 Pot Limit Omaha (Event #30)53rd World Series of Poker - WSOP 2022, Las Vegas",1st,"$ 255,359"
10-Jun-2022,"$ 1,500 No Limit Hold'em - Monster Stack (Event #21)53rd World Series of Poker - WSOP 2022, Las Vegas",580th,"$ 3,278"
04-Jun-2022,"$ 1,500 Seven Card Stud (Event #9)53rd World Series of Poker - WSOP 2022, Las Vegas",2nd,"$ 63,835"
25-May-2022,"$ 600 No Limit Hold'em - The Grand Mystery Bounty - First Act (Event 22)MGM Grand Summer Series, Las Vegas",37th,"$ 1,305"
04-Nov-2021,"$ 10,000 No Limit Hold'em - WSOP Main Event (Event #67)52nd World Series of Poker - WSOP 2021, Las Vegas",173rd,"$ 44,200"
01-Nov-2021,"$ 1,500 Pot Limit Omaha Hi/Lo - 8 Handed (Event #62)52nd World Series of Poker - WSOP 2021, Las Vegas",71st,"$ 3,017"
06-Oct-2021,"$ 3,000 No Limit Hold'em (Event #13)52nd World Series of Poker - WSOP 2021, Las Vegas",15th,"$ 15,390"
01-Oct-2021,"$ 500 No Limit Hold'em - The Reunion (Event #4)52nd World Series of Poker - WSOP 2021, Las Vegas",1801st,$ 800
05-Feb-2020,"$ 440 + 60 No Limit Hold'em - Blizzard Stack (Event #1)Foxwoods Winter Deep Freeze, Mashantucket",10th,"$ 3,190"
14-Dec-2019,"$ 1,360 + 140 No Limit Hold'em - Championship2019 Foxwoods Megastack Challenge, Mashantucket",7th,"$ 7,704"
16-Aug-2019,"$ 600 No Limit Hold'em (Event #3)WSOP Circuit - WSOPC Foxwoods, Mashantucket",80th,"$ 1,535"
26-Apr-2019,"$ 530 + 70 No Limit Hold'em (Event #1)Foxwoods MegaStack Challenge, Mashantucket",33rd,"$ 2,386"
05-Jul-2018,"$ 1,500 No Limit Hold'em (Event #66)49th World Series of Poker - WSOP 2018, Las Vegas",23rd,"$ 9,657"
