Date,Event Name,Placement,Earning
15-Jul-2023,"$ 1,000 No Limit Hold'em - High Roller 8-Max (Online Ring Event #15)World Series of Poker Circuit - WSOPC ONLINE Super Circuit, Online",21st,"$ 2,756"
11-Jul-2023,"$ 1,000 No Limit Hold'em - 6-Max Championship (Online Bracelet Event 17) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",33rd,"$ 4,633"
03-Jul-2023,"$ 5,300 No Limit Hold'em - High Roller Championship (Online Bracelet Event 13) (NV/NJ)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",39th,"$ 11,832"
20-Jun-2023,"$ 3,200 No Limit Hold'em - High Roller (Online Bracelet Event 8) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",12th,"$ 17,726"
05-May-2023,"€ 2,200 No Limit Hold'em - Deep Stack (Event 46)European Poker Tour - EPT Monte Carlo, Monte Carlo",9th,"$ 13,449"
30-Jan-2023,"$ 24,500 + 500 No Limit Hold'em - PSPC Main Event (Event #48)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",103rd,"$ 46,500"
26-Jan-2023,"$ 1,716 + 284 + 1,000 No Limit Hold'em - PCA Mystery Bounty Championship (Event #23)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",32nd,"$ 5,350"
04-Sep-2022,"$ 100 No Limit Hold'em - FLIP & GO ONLINE (Online Bracelet Event #18)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",50th,"$ 2,686"
01-Sep-2022,"$ 777 No Limit Hold'em - $777 Lucky Sevens Bounty 7-Handed ONLINE (Online Bracelet Event #15)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",145th,"$ 1,254"
27-Aug-2022,"$ 10,000 No Limit Hold'em - Heads Up Championship ONLINE (Online Bracelet Event #10)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",3rd,"$ 93,620"
19-Aug-2022,"€ 10,300 No Limit Hold'em - EPT Barcelona High Roller (Event #51)European Poker Tour - EPT Barcelona, Barcelona",53rd,"$ 22,034"
17-Jul-2022,"$ 1,000 No Limit Hold'em - Super Turbo (Event #88)53rd World Series of Poker - WSOP 2022, Las Vegas",185th,"$ 1,601"
10-Jul-2022,"$ 7,777 No Limit Hold'em - Lucky 7s High Roller (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",7th,"$ 55,785"
02-Jul-2022,"$ 10,000 Pot Limit Omaha Championship - 8-Handed (Event #69)53rd World Series of Poker - WSOP 2022, Las Vegas",65th,"$ 20,059"
28-Jun-2022,"$ 500 No Limit Hold'em - Turbo Deepstack (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",35th,"$ 3,221"
16-Jun-2022,"$ 2,500 Mixed Big Bet (Event #35)53rd World Series of Poker - WSOP 2022, Las Vegas",40th,"$ 4,000"
02-Jun-2022,"$ 25,000 No Limit Hold'em - Heads-Up Championship (Event #6)53rd World Series of Poker - WSOP 2022, Las Vegas",3rd,"$ 193,537"
15-Nov-2021,"$ 10,000 No Limit Hold'em - Super Turbo Bounty (Event #76)52nd World Series of Poker - WSOP 2021, Las Vegas",6th,"$ 76,442"
11-Nov-2021,"$ 1,500 Pot Limit Omaha Bounty - 8 Handed (Event #71)52nd World Series of Poker - WSOP 2021, Las Vegas",89th,"$ 1,890"
17-Oct-2021,"$ 888 Pot Limit Omaha - Crazy 8's 8-Handed (Event #4) ONLINEWorld Series of Poker - 2021 WSOP Online Gold Bracelet Events, Online",54th,"$ 1,712"
12-Sep-2021,"$ 500 No Limit Hold'em - The Closer ONLINE (Event #33)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",154th,"$ 3,336"
05-Sep-2021,"$ 888 No Limit Hold'em - $888 CRAZY EIGHTS ONLINE (Event #26)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",165th,"$ 2,537"
02-Sep-2021,"$ 1,050 Pot Limit Omaha - Bounty ONLINE (Event #24)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",89th,"$ 2,863"
24-Aug-2021,"$ 5,000 No Limit Short Deck Hold'em Championship ONLINE (Event #18)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",5th,"$ 46,214"
22-Aug-2021,"$ 5,000 No Limit Hold'em - Main Event Online Championship ONLINE (Event #27)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",262nd,"$ 14,684"
12-Aug-2021,"$ 525 No Limit Hold'em - Superstack Turbo Bounty ONLINE (Event #9)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",128th,"$ 2,094"
08-Aug-2021,"$ 200 No Limit Hold'em - Flip & Go Flip ONLINE (Event #6)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",115th,"$ 2,156"
03-Aug-2021,"$ 2,500 Limit Hold'em Championship ONLINE (Event #3)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",13th,"$ 4,917"
01-Aug-2021,"$ 1,111 No Limit Hold'em - Caesars Cares Charity Event ONLINE (Event #2) World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",207th,"$ 2,257"
28-Jan-2021,"$ 2,000 + 100 No Limit Hold'em - High Roller TurboWorld Poker Tour - WPT Montreal Online, Online",6th,"$ 6,729"
30-Aug-2020,"$ 1,000 Turbo No Limit Hold'em 6-Handed (Event #78)World Series of Poker - WSOP Online 2020 at GGPoker, Online",201st,"$ 2,358"
16-Aug-2020,"$ 500 No Limit Hold'em Mini Main Event (Event #63)World Series of Poker - WSOP Online 2020 at GGPoker, Online",688th,"$ 2,261"
04-Aug-2020,"$ 2,100 No Limit Hold'em Bounty Championship (Event #50)World Series of Poker - WSOP Online 2020 at GGPoker, Online",47th,"$ 3,492"
02-Aug-2020,"$ 1,500 MILLIONAIRE MAKER (Event #48)World Series of Poker - WSOP Online 2020 at GGPoker, Online",238th,"$ 5,225"
30-Jul-2020,"$ 840 Bounty No Limit Hold'em (Event #45)World Series of Poker - WSOP Online 2020 at GGPoker, Online",75th,"$ 3,200"
19-Jul-2020,"$ 1,111 Every 1 for Covid Relief (Event #33)World Series of Poker - WSOP Online 2020 at GGPoker, Online",135th,"$ 3,117"
22-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - Poker Masters #22 (ONLINE)Poker Masters Online, Online",7th,"$ 25,025"
19-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - 6 Max - Poker Masters #16 (ONLINE)Poker Masters Online, Online",6th,"$ 99,000"
16-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - 6 Max - Poker Masters #09 (ONLINE)Poker Masters Online, Online",6th,"$ 33,150"
11-Dec-2019,"€ 5,300 No Limit Hold'em - EPT Prague Main Event (Event #20)European Poker Tour - EPT Prague, Prague",60th,"$ 16,147"
18-Oct-2019,"€ 25,500 No Limit Short Deck Hold'em - High Roller (Event #6)World Series of Poker Europe - WSOPE 2019, Rozvadov",8th,"$ 99,304"
26-Aug-2019,"€ 5,300 No Limit Hold'em - EPT Main Event (Event #22)European Poker Tour - EPT Barcelona, Barcelona",235th,"$ 10,186"
24-Jun-2019,"$ 50,000 Poker Players Championship (Event #58)50th World Series of Poker - WSOP 2019, Las Vegas",9th,"$ 93,764"
23-Jun-2019,"$ 1,000 No Limit Hold'em - WSOP.com Online Double Stack (Event #55)50th World Series of Poker - WSOP 2019, Las Vegas",4th,"$ 75,094"
15-Jun-2019,"$ 3,000 No Limit Hold'em - Shootout (Event #36)50th World Series of Poker - WSOP 2019, Las Vegas",11th,"$ 6,099"
