Date,Event Name,Placement,Earning
04-Aug-2023,"$ 5,300 No Limit Hold'em - SHRPO Championship (Event 37)Seminole Hard Rock Poker Open (SHRPO), Hollywood",17th,"$ 43,800"
09-Jul-2023,"$ 9,700 + 800 No Limit Hold'em - WPT EveryOne for One DropThe Wynn Summer Classic, Las Vegas",19th,"$ 107,900"
09-Jun-2023,"$ 3,200 + 300 No Limit Hold'em - BetMGM Poker Championship2023 Aria Poker Classic, Las Vegas",91st,"$ 7,256"
04-Jun-2023,"$ 500 No Limit Hold'em - Bankroll Builder (Online Bracelet Event 2) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",223rd,"$ 1,311"
28-Mar-2023,"$ 10,000 No Limit Hold'em - U.S. Poker Open #5PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",7th,"$ 44,000"
07-Mar-2023,"$ 10,500 No Limit Hold'em - High RollerWynn Millions Poker Series, Las Vegas",11th,"$ 25,110"
04-Jan-2023,"$ 5,300 No Limit Hold'em - The ReturnThe Return: A Borgata Championship Event, Atlantic City",98th,"$ 10,690"
06-Oct-2022,"$ 500 No Limit Hold'em - Turbo ONLINE (Online Bracelet Event #20)World Series of Poker - WSOP ONLINE at WSOP.com (NV/NJ), Online",11th,"$ 2,565"
31-Aug-2022,"$ 25,500 No Limit Hold'em - High Roller (Event 18)2022 WPT Seminole Hard Rock Tampa, Tampa",5th,"$ 49,400"
08-Aug-2022,"$ 25,500 No Limit Hold'em - High Roller (Event 40)Seminole Hard Rock Poker Open (SHRPO), Hollywood",10th,"$ 67,430"
04-Aug-2022,"$ 2,200 No Limit Hold'em - Deep Stack (Event 29)Seminole Hard Rock Poker Open (SHRPO), Hollywood",15th,"$ 8,085"
12-Jul-2022,"$ 4,600 + 400 No Limit Hold'em - WPT Venetian Resort Las VegasVenetian DeepStack Championship Series, Las Vegas",124th,"$ 8,850"
24-Jun-2022,"$ 3,500 No Limit Hold'em ChampionshipThe Wynn Summer Classic, Las Vegas",151st,"$ 8,013"
21-Apr-2022,"$ 25,000 No Limit Hold'em - PGT Heads-Up Championship PokerGO Tour - PGT Heads-Up Showdown, Las Vegas",2nd,"$ 200,000"
22-Mar-2022,"$ 3,200 No Limit Hold'em - High Roller - 6-Max ONLINE (Ring Event 11)World Series of Poker Circuit - WSOP ONLINE Super Circuit, Online",3rd,"$ 34,200"
09-Mar-2022,"$ 3,000 No Limit Hold'em - 6-MaxWynn Millions Poker Series, Las Vegas",28th,"$ 6,527"
01-Mar-2022,"$ 10,200 No Limit Hold'em - Wynn High Roller #1PokerGO Tour - PGT Wynn High Rollers, Las Vegas",3rd,"$ 73,500"
06-Feb-2022,"$ 25,000 No Limit Hold'em - PokerGO Cup #5PokerGO Tour - 2022 PGT PokerGO Cup, Las Vegas",6th,"$ 51,250"
02-Feb-2022,"$ 10,000 No Limit Hold'em - PokerGO Cup #1PokerGO Tour - 2022 PGT PokerGO Cup, Las Vegas",3rd,"$ 100,100"
20-Jan-2022,"$ 2,200 No Limit Hold'em - Deep Stack (Event #19)World Poker Tour - 2022 WPT Lucky Hearts Poker Open, Hollywood",34th,"$ 4,625"
15-Nov-2021,"$ 10,000 No Limit Hold'em - Super Turbo Bounty (Event #76)52nd World Series of Poker - WSOP 2021, Las Vegas",41st,"$ 10,853"
14-Nov-2021,"$ 7,777 No Limit Hold'em - Lucky 7's High Roller (Event #8) ONLINEWorld Series of Poker - 2021 WSOP Online Gold Bracelet Events, Online",23rd,"$ 13,574"
06-Oct-2021,"$ 3,000 No Limit Hold'em (Event #13)52nd World Series of Poker - WSOP 2021, Las Vegas",68th,"$ 6,050"
14-Sep-2021,"$ 25,000 No Limit Hold'em - Poker Masters #8PokerGO Tour - 2021 PGT Poker Masters, Las Vegas",2nd,"$ 285,000"
09-Aug-2021,"$ 24,700 + 800 No Limit Hold'em - The Big 4 High Roller Day 1 (Event #39)Seminole Hard Rock Poker Open (SHRPO), Hollywood",2nd,"$ 539,135"
05-Aug-2021,"$ 2,200 No Limit Hold'em - Deepstack (Event #32)Seminole Hard Rock Poker Open (SHRPO), Hollywood",18th,"$ 7,860"
18-Jul-2021,"$ 525 No Limit Hold'em - Monster Stack 8-Max (Event #3)World Series of Poker Circuit - WSOPC Summer Online Circuit Event at WSOP.com, Online",8th,"$ 6,357"
02-Jul-2021,"$ 4,625 + 375 No Limit Hold'em - WPT Venetian (Event #88)DeepStack Championship Poker Series (MSPT, WPT, WPTDS, PokerGO Tour), Las Vegas",82nd,"$ 11,250"
26-Apr-2021,"$ 25,500 No Limit Hold'em - High Roller (Event #24)World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",10th,"$ 78,795"
21-Feb-2021,"$ 5,000 + 300 No Limit Hold'em MILLIONS Online Main Eventpartypoker MILLIONS Online, Online",92nd,"$ 12,872"
22-Jan-2021,"$ 3,500 No Limit Hold'em - WPT Championship (Event #17)2021 World Poker Tour - WPT Lucky Hearts Poker Open, Hollywood",10th,"$ 79,455"
13-Dec-2020,"$ 10,000 No Limit Hold'em - Domestic Main EventWorld Series of Poker - WSOP 2020 Main Event, Online",50th,"$ 22,334"
09-Aug-2020,"$ 1,500 No Limit Hold'em - GGMasters WSOP High Roller Edition [Freezeout] (Event #56)World Series of Poker - WSOP Online 2020 at GGPoker, Online",275th,"$ 3,145"
02-Aug-2020,"$ 1,500 MILLIONAIRE MAKER (Event #48)World Series of Poker - WSOP Online 2020 at GGPoker, Online",139th,"$ 7,064"
19-Jul-2020,"$ 525 Super Turbo Bounty No Limit Hold'em 6-Handed (Event #34)World Series of Poker - WSOP Online 2020 at GGPoker, Online",265th,$ 567
24-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #6)Super High Roller Bowl Online, Online",7th,"$ 26,975"
