Date,Event Name,Placement,Earning
17-Jul-2023,"$ 5,000 No Limit Hold'em (Bracelet Event 94)54th World Series of Poker - WSOP 2023, Las Vegas",20th,"$ 26,210"
14-Jul-2023,"$ 10,000 No Limit Hold'em - 6-Handed Championship (Bracelet Event 90)54th World Series of Poker - WSOP 2023, Las Vegas",76th,"$ 16,088"
10-Jul-2023,"$ 2,500 No Limit Hold'em (Bracelet Event 79)54th World Series of Poker - WSOP 2023, Las Vegas",54th,"$ 11,854"
07-Jul-2023,"$ 777 No Limit Hold'em - Lucky 7's - 7-Handed (Bracelet Event 77)54th World Series of Poker - WSOP 2023, Las Vegas",118th,"$ 3,870"
05-Jul-2023,"$ 940 + 160 + 500 No Limit Hold'em - Mystery BountyThe Wynn Summer Classic, Las Vegas",305th,"$ 2,520"
19-Jun-2023,"$ 1,300 + 200 + 700 No Limit Hold'em - Mystery BountyThe Wynn Summer Classic, Las Vegas",176th,"$ 4,075"
12-Jun-2023,"$ 100,000 No Limit Hold'em - High Roller - 8-Handed (Bracelet Event 29)54th World Series of Poker - WSOP 2023, Las Vegas",11th,"$ 187,069"
30-Mar-2023,"$ 15,000 No Limit Hold'em - U.S. Poker Open #7PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",13th,"$ 26,100"
30-Jan-2023,"$ 24,500 + 500 No Limit Hold'em - PSPC Main Event (Event #48)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",73rd,"$ 53,400"
26-Jan-2023,"$ 1,716 + 284 + 1,000 No Limit Hold'em - PCA Mystery Bounty Championship (Event #23)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",8th,"$ 28,750"
23-Jan-2023,"$ 9,700 + 600 No Limit Hold'em - PCA Main Event (Event #6)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",59th,"$ 25,600"
11-Jan-2023,"$ 10,000 No Limit Hold'em - PokerGO Cup #1PokerGO Tour - 2023 PGT PokerGO Cup, Las Vegas",4th,"$ 90,000"
16-Oct-2022,"$ 1,000 No Limit Hold'em Championship ONLINE (Online Bracelet Event #29)World Series of Poker - WSOP ONLINE at WSOP.com (NV/NJ), Online",34th,"$ 2,878"
22-Sep-2022,"$ 840 No Limit Hold'em - 6-Handed Bounty ONLINE (Online Bracelet #30)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",57th,"$ 2,581"
29-Aug-2022,"$ 5,000 + 300 No Limit Hold'em - MPP Main Event (Event #12)Luxon Pay Mediterranean Poker Party (MPP), Kyrenia",47th,"$ 20,000"
15-Aug-2022,"€ 5,300 No Limit Hold'em - EPT Barcelona Main Event (Event #29)European Poker Tour - EPT Barcelona, Barcelona",151st,"$ 13,777"
08-Aug-2022,"$ 25,500 No Limit Hold'em - High Roller (Event 40)Seminole Hard Rock Poker Open (SHRPO), Hollywood",6th,"$ 103,740"
16-Jul-2022,"$ 777 No Limit Hold'em - Lucky 7s Second Chance (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",15th,"$ 7,094"
10-Jul-2022,"$ 7,777 No Limit Hold'em - Lucky 7s High Roller (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",4th,"$ 102,762"
24-Jun-2022,"$ 3,500 No Limit Hold'em ChampionshipThe Wynn Summer Classic, Las Vegas",77th,"$ 13,675"
12-Jun-2022,"$ 1,000 No Limit Hold'em - Flip & Go Presented by GG Poker (Event #24)53rd World Series of Poker - WSOP 2022, Las Vegas",56th,"$ 3,250"
04-Jun-2022,"$ 25,000 No Limit Hold'em - High Roller 8-Handed (Event #8)53rd World Series of Poker - WSOP 2022, Las Vegas",27th,"$ 50,810"
26-Mar-2022,"$ 25,000 No Limit Hold'em - US Poker Open #11PokerGO Tour - 2022 PGT U.S. Poker Open (USPO), Las Vegas",5th,"$ 110,000"
19-Jan-2022,"$ 100,000 + 1,000 No Limit Hold'em - Stairway to Millions #8PokerGO Tour - 2022 PGT Stairway to Millions, Las Vegas",2nd,"$ 570,000"
09-Oct-2021,"$ 200,000 No Limit Hold'em - Aria High Roller 26PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",2nd,"$ 1,387,200"
30-Aug-2021,"$ 250,000 No Limit Hold'em - SHRB Europe Main EventMerit Poker presents Super High Roller Bowl Europe (SHRB), Kyrenia",5th,"$ 820,000"
28-Aug-2021,"$ 100,000 No Limit Hold'em - SHRB Europe Event 06Merit Poker presents Super High Roller Bowl Europe (SHRB), Kyrenia",2nd,"$ 910,000"
09-Aug-2021,"$ 24,700 + 800 No Limit Hold'em - The Big 4 High Roller Day 1 (Event #39)Seminole Hard Rock Poker Open (SHRPO), Hollywood",5th,"$ 128,120"
27-Jul-2021,"$ 3,200 No Limit Hold'em - High Roller Championship ONLINE (WSOP Event #28)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",5th,"$ 43,744"
10-Jul-2021,"$ 25,000 No Limit Hold'em - PokerGO Cup #5PokerGO Tour - 2021 PGT PokerGO Cup, Las Vegas",2nd,"$ 216,000"
13-Jun-2021,"$ 25,000 No Limit Hold'em - U.S. Poker Open #11PokerGO Tour - 2021 PGT U.S. Poker Open, Las Vegas",1st,"$ 465,750"
10-Jun-2021,"$ 10,000 Pot Limit Omaha - U.S. Poker Open #8PokerGO Tour - 2021 PGT U.S. Poker Open, Las Vegas",8th,"$ 25,200"
16-May-2021,"$ 10,000 + 300 WPT High Roller - Online 1 Day Event  (Event #5)World Poker Tour - WPT Online Series by partypoker, Online",8th,"$ 30,476"
21-Jan-2021,"$ 5,000 + 200 No Limit Hold'em - High RollerWorld Poker Tour - WPT Montreal Online, Online",5th,"$ 16,983"
30-Aug-2020,"$ 5,000 No Limit Hold'em Main Event (Event #77)World Series of Poker - WSOP Online 2020 at GGPoker, Online",353rd,"$ 16,274"
11-Aug-2020,"$ 5,000 No Limit Hold'em 6-Handed Championship (Event #58)World Series of Poker - WSOP Online 2020 at GGPoker, Online",69th,"$ 12,511"
08-Aug-2020,"$ 3,000 + 200 WPT World Championship 6-Max - Online (Event #4)World Poker Tour - WPT Online World Championship by partypoker, Online",39th,"$ 11,100"
