Date,Event Name,Placement,Earning
13-Jul-2023,"$ 1,500 No Limit Hold'em - Shootout (Bracelet Event 85)54th World Series of Poker - WSOP 2023, Las Vegas",36th,"$ 5,759"
09-Jul-2023,"$ 600 No Limit Hold'em - Deepstack Championship (Online Bracelet Event 16) (NVNJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",20th,"$ 5,824"
06-Jul-2023,"$ 400 No Limit Hold'em - Turbo (Online Bracelet Event 14) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",90th,"$ 1,081"
23-Jun-2023,"$ 10,000 H.O.R.S.E. Championship (Bracelet Event 54)54th World Series of Poker - WSOP 2023, Las Vegas",27th,"$ 16,354"
18-Jun-2023,"$ 800 No Limit Hold'em - Deep Stack (Bracelet Event 42)54th World Series of Poker - WSOP 2023, Las Vegas",42nd,"$ 7,597"
31-May-2023,"$ 700 + 300 No Limit Hold'em - Mystery Millions (Bracelet Event 3)54th World Series of Poker - WSOP 2023, Las Vegas",721st,"$ 2,210"
16-Mar-2023,"$ 1,100 No Limit Hold'emWynn Millions Poker Series, Las Vegas",5th,"$ 35,454"
17-Feb-2023,"$ 1,700 No Limit Hold'em - Main Event (Ring Event 10)World Series of Poker Circuit - WSOPC Las Vegas, Las Vegas",14th,"$ 14,329"
11-Feb-2023,"$ 5,000 + 300 No Limit 2-7 Single Draw (Event #8)PokerGO Tour - 2023 PGT Mixed Games, Las Vegas",7th,"$ 13,000"
26-Jan-2023,"$ 1,716 + 284 + 1,000 No Limit Hold'em - PCA Mystery Bounty Championship (Event #23)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",75th,"$ 3,500"
25-Aug-2022,"$ 2,000 + 200 No Limit Hold'em - MPP Warm Up (Event #7)Luxon Pay Mediterranean Poker Party (MPP), Kyrenia",145th,"$ 4,000"
15-Aug-2022,"€ 5,300 No Limit Hold'em - EPT Barcelona Main Event (Event #29)European Poker Tour - EPT Barcelona, Barcelona",93rd,"$ 20,900"
09-Aug-2022,"€ 1,100 No Limit Hold'em - Estrellas Poker Tour Main Event (Event #6)European Poker Tour - EPT Barcelona, Barcelona",312th,"$ 4,218"
29-Jun-2022,"$ 10,000 Pot Limit Omaha Hi-Lo 8 or Better Championship (Event #63)53rd World Series of Poker - WSOP 2022, Las Vegas",2nd,"$ 377,855"
28-Jun-2022,"$ 10,000 No Limit Hold'em - Short Deck - 6-Handed (Event #60)53rd World Series of Poker - WSOP 2022, Las Vegas",14th,"$ 19,590"
