Date,Event Name,Placement,Earning
15-Jul-2023,"$ 10,000 + 500 No Limit Hold'em - 6-MaxThe Wynn Summer Classic, Las Vegas",12th,"$ 25,185"
03-Jul-2023,"$ 10,000 No Limit Hold'em - WSOP Main Event  (Bracelet Event 76)54th World Series of Poker - WSOP 2023, Las Vegas",809th,"$ 25,000"
21-Jun-2023,"$ 1,000 + 500 No Limit Hold'em - Super Bounty (Bracelet Event 49)54th World Series of Poker - WSOP 2023, Las Vegas",166th,"$ 2,028"
15-Jun-2023,"$ 2,000 No Limit Hold'em (Bracelet Event 37)54th World Series of Poker - WSOP 2023, Las Vegas",172nd,"$ 4,002"
06-May-2023,"€ 2,100 No Limit Hold'em - 6-Handed (Event 51)European Poker Tour - EPT Monte Carlo, Monte Carlo",6th,"$ 15,158"
29-Apr-2023,"€ 2,200 No Limit Hold'em - FPS High Roller (Event 15)European Poker Tour - EPT Monte Carlo, Monte Carlo",63rd,"$ 6,434"
01-Mar-2023,"£ 1,350 + 150 No Limit Hold'em - UK OpenGrosvenor UK Poker Open 2023 - £1M GTD, Coventry",93rd,"$ 3,910"
30-Jan-2023,"$ 24,500 + 500 No Limit Hold'em - PSPC Main Event (Event #48)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",34th,"$ 81,400"
28-Oct-2022,"£ 1,920 + 180 No Limit Hold'em - Six Handed (Event #47)European Poker Tour - EPT London, London",3rd,"$ 27,311"
05-May-2022,"€ 25,000 No Limit Hold'em - EPT Monte Carlo High Roller (Event 36)European Poker Tour - EPT Monte Carlo, Monte Carlo",12th,"$ 90,000"
16-Apr-2022,"€ 2,000 No Limit Hold'em - Irish Open High Roller (Event #32)Irish Poker Open 2022, Dublin",4th,"$ 26,352"
14-Mar-2022,"€ 10,000 + 300 No Limit Hold'em - EPT High Roller (Event #46)European Poker Tour - EPT Prague, Prague",36th,"$ 19,801"
20-Dec-2021,"$ 50,000 No Limit Hold'em - PokerGO Tour ChampionshipPokerGO Tour - 2021 PGT PokerGO Tour Championship, Las Vegas",7th,"$ 92,000"
07-Dec-2021,"$ 507 + 93 No Limit Hold'em - MonsterStack (Event #14)Venetian DeepStack New Year's Extravaganza Poker Series, Las Vegas",21st,"$ 1,470"
06-Dec-2021,"$ 10,000 No Limit Hold'em - PokerGO Tour High Roller (Event #9)World Poker Tour - WPT Five Diamond World Poker Classic at Bellagio, Las Vegas",4th,"$ 32,000"
22-Nov-2021,"$ 5,000 No Limit Hold'em - 8 Handed (Event #88)52nd World Series of Poker - WSOP 2021, Las Vegas",56th,"$ 10,076"
14-Nov-2021,"$ 777 No Limit Hold'em - Lucky 7's (Event #9) ONLINEWorld Series of Poker - 2021 WSOP Online Gold Bracelet Events, Online",163rd,"$ 1,178"
05-Nov-2021,"$ 10,000 + 500 No Limit Hold'em - High RollerMerit Poker Presents Exclusive High Stakes Cash Game Festival, Kyrenia",2nd,"$ 57,560"
14-Oct-2021,"£ 1,100 + 150 No Limit Hold'em - GUKPT Main EventGrosvenor UK Poker Tour - GUKPT Luton Leg 6, Luton",2nd,"$ 136,873"
25-Jan-2021,"$ 300 + 20 No Limit Hold'em - Mini Main EventWorld Poker Tour - WPT Montreal Online, Online",80th,$ 740
22-Aug-2020,"$ 3,000 + 200 WPT World Championship Mix-Max - Online (Event #6)World Poker Tour - WPT Online World Championship by partypoker, Online",42nd,"$ 10,800"
16-Aug-2020,"$ 500 No Limit Hold'em Mini Main Event (Event #63)World Series of Poker - WSOP Online 2020 at GGPoker, Online",420th,"$ 3,037"
29-Jul-2020,"$ 2,500 No Limit Hold'em 6-Handed (Event #44)World Series of Poker - WSOP Online 2020 at GGPoker, Online",29th,"$ 8,574"
06-May-2020,"$ 1,000 + 50 No Limit Hold'em - Heads-UpWorld Poker Tour - WPT Online Championship by partypoker, Online",5th,"$ 4,840"
13-Jul-2019,"$ 10,000 No Limit Hold'em Championship 6-Handed (Event #86)50th World Series of Poker - WSOP 2019, Las Vegas",27th,"$ 19,565"
01-Jun-2019,"$ 15,000 No Limit Hold'em - Baccarat Crystal WPT Tournament of Champions World Poker Tour - Baccarat Crystal WPT Tournament of Champions, Las Vegas",8th,"$ 42,570"
