Date,Event Name,Placement,Earning
29-Jul-2023,"$ 20,000 + 2,400 + 20,000 No Limit Hold'em - Mystery Bounty 7-Handed (Event #3)Triton Poker Super High Roller Series London, London",15th,"$ 42,600"
14-Oct-2022,"₫ 66,500,000 + 3,500,000 No Limit Hold'em - High Roller FreezeoutPoker Dream Vietnam 2022, Hoi An",3rd,"$ 27,298"
25-May-2022,"€ 30,000 No Limit Short Deck Hold'em Ante Only Turbo (Event #14)Triton Poker Series Madrid, Madrid",2nd,"$ 249,545"
19-May-2022,"€ 50,000 No Limit Short Deck Hold'em Ante Only (Event #8)Triton Poker Series Madrid, Madrid",4th,"$ 318,233"
06-Apr-2022,"$ 75,000 No Limit Short Deck Hold'em - Triton Cyprus #5Triton Poker Cyprus - Special Edition, Kyrenia",4th,"$ 343,000"
03-Apr-2022,"$ 100,000 No Limit Hold'em - Triton Cyprus #2Triton Poker Cyprus - Special Edition, Kyrenia",9th,"$ 192,000"
02-Aug-2020,"$ 1,000 Short Deck No Limit Hold'em (Event #47)World Series of Poker - WSOP Online 2020 at GGPoker, Online",26th,"$ 3,334"
14-Oct-2016,"€ 888,889 + 111,111 No Limit Hold'em Big One For One Drop The Monte-Carlo One Drop Extravaganza, Monte Carlo",1st,"$ 12,248,912"
08-Mar-2012,"KRW 1,000,000 + 240,000 No Limit Hold'em - Main EventAsia Pacific Poker Tour - APPT Seoul, Seoul",14th,"$ 8,023"
12-Oct-2011,"HK$ 20,000 No Limit Hold'em - Main EventMacau Poker Cup - October Special, Macau",22nd,"HK$ 44,400"
07-Nov-2010,"HK$ 32,500 + 2,500 No Limit Hold'em - Main EventAsian Poker Tour - Macau, Macau",7th,"$ 5,704"
23-Apr-2010,"HK$ 7,500 + 500 No Limit Hold'em - Main EventAsian Poker King Tournament, Macau",1st,"HK$ 202,000"
11-Nov-2009,"₱ 94,000 + 6,000 No Limit Hold'em - Main EventAsia Pacific Poker Tour - APPT Philippines, Cebu",31st,"$ 26,059"
10-Jul-2009,"HK$ 49,000 + 1,000 No Limit Hold'em - High Roller EventPokerStars Macau Poker Cup, Macau",2nd,"HK$ 553,600"
25-Oct-2008,"HK$ 10,000 No Limit Hold'em - Red Dragon EventMacau Poker Cup, Taipa",4th,"$ 71,307"
05-Jan-2008,"$ 7,800 + 200 PokerStars Caribbean AdventurePokerStars Caribbean Adventure - PCA 2008, Paradise Island",37th,"$ 3,720"
,,,"HK$ 150,000"
15-May-2023,"$ 25,000 No Limit Hold'em - Turbo (Event #7)Triton Poker Super High Roller Series Cyprus, Kyrenia",9th,"$ 19,351"
15-Sep-2022,"$ 40,000 No Limit Short Deck Hold'em - Ante Only Single Bullet (Event #11)Triton Poker Super High Roller Series Cyprus, Kyrenia",6th,"HK$ 35,520"
22-May-2022,"€ 25,000 Pot Limit Omaha (Event #11)Triton Poker Series Madrid, Madrid",6th,"$ 4,581"
14-Apr-2022,"$ 50,000 No Limit Hold'em - SHRS Europe #8Super High Roller Series - SHRS Europe presented by Luxon Pay, Kyrenia",1st,"$ 32,000"
05-Apr-2022,"$ 75,000 No Limit Short Deck Hold'em - Triton Cyprus #3Triton Poker Cyprus - Special Edition, Kyrenia",4th,
02-Apr-2022,"$ 50,000 No Limit Hold'em - Triton Cyprus #1Triton Poker Cyprus - Special Edition, Kyrenia",6th,"$ 59,100"
06-Aug-2019,"£ 100,000 No Limit Hold'em - Short Deck Main Event (Event #7)Triton Poker Super High Roller Series London, London",14th,"$ 120,000"
13-Apr-2013,"A$ 50,000 No Limit Hold'em - High Roller RebuyWorld Series of Poker Asia-Pacific - WSOP APAC 2013, Melbourne",5th,"$ 63,370"
22-Jan-2012,"A$ 10,000 + 600 No Limit Hold'em - Main Event2012 Aussie Millions Poker Championship, Melbourne",21st,"$ 684,000"
30-Mar-2011,"$ 2,500 + 200 No Limit Hold'em - Main EventAsian Poker Tour - APT Manila, Manila",2nd,"$ 408,000"
18-May-2010,"HK$ 40,000 No Limit Hold'em - Main EventAsia Pacific Poker Tour - APPT Macau, Macau",33rd,"$ 240,100"
20-Mar-2010,"$ 2,500 + 200 No Limit Hold'em - Main EventAsia Pacific Poker Tour - APPT Manila, Manila",29th,"$ 215,365"
13-Aug-2009,"HK$ 1,000 + 150 No Limit Hold'emAsian Poker Tour - APT Macau, Macau",2nd,"A$ 155,000"
15-Nov-2008,"₱ 40,000 No Limit Hold'em - Seven HandedAsia Pacific Poker Tour - APPT Manila, Manila",4th,"$ 162,212"
01-Sep-2008,"HK$ 25,000 No Limit Hold'em - Main EventAsia Pacific Poker Tour - APPT Macau, Taipa",52nd,"A$ 45,000"
04-Nov-2006,"$ 2,500 No Limit Hold'emPanAsia Poker Tour, Paranaque City",4th,"$ 46,326"
