Date,Event Name,Placement,Earning
05-Aug-2023,"$ 125,000 + 7,500 No Limit Hold'em - Main Event (Event #11)Triton Poker Super High Roller Series London, London",19th,"$ 226,000"
09-Jul-2023,"$ 9,700 + 800 No Limit Hold'em - WPT EveryOne for One DropThe Wynn Summer Classic, Las Vegas",197th,"$ 17,200"
03-Jul-2023,"$ 5,300 No Limit Hold'em - High Roller Championship (Online Bracelet Event 13) (NV/NJ)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",18th,"$ 14,688"
21-Jun-2023,"$ 10,000 Pot Limit Omaha Championship - 8-Handed (Bracelet Event 50)54th World Series of Poker - WSOP 2023, Las Vegas",77th,"$ 17,596"
07-Jun-2023,"$ 2,500 No Limit Hold'em - Freezeout (Bracelet Event 19)54th World Series of Poker - WSOP 2023, Las Vegas",132nd,"$ 4,387"
29-Mar-2023,"$ 15,000 Pot Limit Omaha - U.S. Poker Open #6PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",6th,"$ 55,800"
24-Mar-2023,"$ 10,000 No Limit Hold'em - U.S. Poker Open #2PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",6th,"$ 63,000"
04-Mar-2023,"$ 30,000 No Limit Hold'em - 7-Handed (Event #5)Triton Poker Super High Roller Series Vietnam, Hoi An",17th,"$ 71,800"
03-Feb-2023,"$ 10,150 No Limit Hold'em - 6-Handed (Event #69)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",11th,"$ 21,100"
16-Jan-2023,"$ 15,000 No Limit Hold'em - PokerGO Cup #5PokerGO Tour - 2023 PGT PokerGO Cup, Las Vegas",2nd,"$ 176,400"
19-Dec-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #35PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",2nd,"$ 72,800"
22-Oct-2022,"£ 4,850 + 450 No Limit Hold'em - EPT London Main Event (Event #18)European Poker Tour - EPT London, London",12th,"$ 46,461"
01-Oct-2022,"$ 50,000 No Limit Hold'em - Poker Masters #10PokerGO Tour - 2022 PGT Poker Masters, Las Vegas",4th,"$ 203,500"
24-Sep-2022,"$ 10,000 No Limit Hold'em - Poker Masters #4PokerGO Tour - 2022 PGT Poker Masters, Las Vegas",6th,"$ 44,400"
11-Sep-2022,"$ 25,000 Pot Limit Omaha (Event #7)Triton Poker Super High Roller Series Cyprus, Kyrenia",6th,"$ 56,000"
17-Aug-2022,"€ 10,200 Pot Limit Omaha (Event #37)European Poker Tour - EPT Barcelona, Barcelona",11th,"$ 31,049"
10-Aug-2022,"€ 25,000 No Limit Hold'em (Event #11)European Poker Tour - EPT Barcelona, Barcelona",6th,"$ 83,184"
