Date,Event Name,Placement,Earning
13-Aug-2023,"£ 10,000 + 400 No Limit Hold'em - Super High Roller (Ring Event #14)WSOP International Circuit - WSOPC Super Circuit London, London",2nd,"$ 155,275"
01-Aug-2023,"$ 200,000 + 12,000 No Limit Hold'em - 8-Handed (Event #7)Triton Poker Super High Roller Series London, London",3rd,"$ 2,766,191"
29-Jul-2023,"$ 20,000 + 2,400 + 20,000 No Limit Hold'em - Mystery Bounty 7-Handed (Event #3)Triton Poker Super High Roller Series London, London",1st,"$ 639,000"
16-Jul-2023,"$ 777 No Limit Hold'em - Lucky 7's (Online Bracelet Event 20) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",26th,"$ 5,765"
02-Jul-2023,"$ 500 No Limit Hold'em - Deepstack (Online Bracelet Event 12) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",358th,$ 848
23-Jun-2023,"$ 1,500 No Limit Hold'em - Millionaire Maker (Bracelet Event 53)54th World Series of Poker - WSOP 2023, Las Vegas",367th,"$ 6,239"
06-Jun-2023,"$ 25,000 No Limit Hold'em - High Roller - 8-Handed (Bracelet Event 16)54th World Series of Poker - WSOP 2023, Las Vegas",16th,"$ 56,931"
30-May-2023,"$ 25,000 No Limit Hold'em - High Roller 6-Handed (Bracelet Event 2)54th World Series of Poker - WSOP 2023, Las Vegas",25th,"$ 43,750"
24-Mar-2023,"€ 800 + 80 No Limit Hold'em - Norwegian Championship Heads-Up (Event #5) Poker North Masters & Norwegian Championship 2023, Bratislava",3rd,"$ 7,631"
12-Dec-2022,"$ 9,800 + 600 No Limit Hold'em - WPT World ChampionshipWorld Poker Tour - WPT World Championship at Wynn Las Vegas, Las Vegas",262nd,"$ 19,900"
26-Oct-2022,"£ 9,700 + 600 No Limit Hold'em - EPT London High Roller (Event #40)European Poker Tour - EPT London, London",15th,"$ 31,259"
20-Oct-2022,"£ 24,010 + 990 No Limit Hold'em (Event #10)European Poker Tour - EPT London, London",4th,"$ 95,058"
07-Sep-2022,"$ 50,000 No Limit Hold'em - 6-Handed (Event #3)Triton Poker Super High Roller Series Cyprus, Kyrenia",17th,"$ 92,000"
