Date,Event Name,Placement,Earning
31-Jul-2023,"$ 60,000 + 3,600 No Limit Hold'em - 7-Handed (Event #6)Triton Poker Super High Roller Series London, London",17th,"$ 98,000"
20-May-2023,"$ 100,000 No Limit Hold'em - Main Event (Event #11)Triton Poker Super High Roller Series Cyprus, Kyrenia",13th,"$ 190,000"
24-Mar-2023,"SFr 180 + 50 No Limit Hold'em - Freezeout3rd HSOP OPEN, Zizers",10th,$ 435
21-Feb-2023,"€ 25,000 No Limit Hold'em (Event #20)European Poker Tour - EPT Paris, Paris",3rd,"$ 155,808"
30-Jan-2023,"$ 24,500 + 500 No Limit Hold'em - PSPC Main Event (Event #48)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",21st,"$ 123,600"
08-Dec-2022,"€ 1,000 + 100 No Limit Hold'em - Eureka Main Event (Event #5)European Poker Tour - EPT Prague, Prague",54th,"$ 8,526"
10-Sep-2022,"$ 200,000 No Limit Hold'em - Coin Rivet Invitational (Event #6) Triton Poker Super High Roller Series Cyprus, Kyrenia",4th,"$ 2,100,000"
06-Sep-2022,"$ 30,000 No Limit Hold'em - 6-Handed (Event #2)Triton Poker Super High Roller Series Cyprus, Kyrenia",5th,"$ 272,300"
14-Jul-2022,"$ 50,000 No Limit Hold'em - High Roller (Event #83)53rd World Series of Poker - WSOP 2022, Las Vegas",7th,"$ 203,107"
17-May-2022,"€ 50,000 No Limit Hold'em - 7-Handed (Event #6)Triton Poker Series Madrid, Madrid",3rd,"$ 647,038"
21-Nov-2021,"$ 100,000 No Limit Hold'em - High Roller (Event #87)52nd World Series of Poker - WSOP 2021, Las Vegas",10th,"$ 167,869"
01-Sep-2020,"$ 25,000 No Limit Hold'em - Heads Up [Most Popular] (Event #79)World Series of Poker - WSOP Online 2020 at GGPoker, Online",1st,"$ 1,077,250"
01-Aug-2020,"$ 3,000 + 200 WPT World Championship 8-Max - Online (Event #3)World Poker Tour - WPT Online World Championship by partypoker, Online",62nd,"$ 11,151"
19-Jul-2020,"$ 525 Super Turbo Bounty No Limit Hold'em 6-Handed (Event #34)World Series of Poker - WSOP Online 2020 at GGPoker, Online",96th,$ 866
28-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #18)Super High Roller Bowl Online, Online",11th,"$ 20,822"
16-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - 6 Max - Poker Masters #09 (ONLINE)Poker Masters Online, Online",4th,"$ 68,250"
15-Nov-2018,"$ 1,000 + 100 No Limit Hold'em - Finalepartypoker LIVE - partypoker Caribbean Poker Party, Nassau",36th,"$ 5,500"
01-Jun-2018,"$ 100,000 No Limit Hold'em - High Roller (Event #5)49th World Series of Poker - WSOP 2018, Las Vegas",9th,"$ 240,265"
28-Nov-2017,"$ 25,000 No Limit Hold'em - $25K High Roller #1World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",4th,"$ 85,000"
06-Oct-2017,"€ 2,200 No Limit Hold'em - Turbo High Rollerpartypoker LIVE - partypoker Grand Prix Austria, Vienna",1st,"$ 39,900"
14-Sep-2017,"$ 50,000 No Limit Hold'em - Event #22017 Poker Masters, Las Vegas",2nd,"$ 550,000"
31-May-2017,"$ 48,000 + 2,000 No Limit Hold'em - Super High RollerAria Super High Roller 21, Las Vegas",1st,"$ 417,600"
23-May-2017,"$ 10,000 + 500 No Limit Hold'emAria 10k 1, Las Vegas",3rd,"$ 42,000"
30-Apr-2017,"€ 50,000 No Limit Hold'em -  Eight Max Shot Clock (Event 32)PokerStars Championship presented by Monte-Carlo Casino, Monte Carlo",4th,"$ 348,302"
22-Jan-2017,"A$ 98,000 + 2,000 No Limit Hold'em - $100,000 Challenge (Event #12)2017 Aussie Millions Poker Championship, Melbourne",3rd,"A$ 352,800"
28-Oct-2016,"$ 98,000 + 2,000 No Limit Hold'em - Super High RollerAria Super High Roller 12, Las Vegas",4th,"$ 266,445"
20-Aug-2016,"€ 48,500 + 1,500 No Limit Hold'em - Super High Roller 8 Handed (Event #16)European Poker Tour - EPT Barcelona, Barcelona",1st,"$ 299,880"
07-Jul-2016,"$ 48,000 + 2,000 No Limit Hold'emAria Super High Roller 10, Las Vegas",3rd,"$ 1,473,127"
17-Jun-2016,"$ 24,000 + 1,000 No Limit Hold'emAria High Roller 34, Las Vegas",1st,"$ 407,310"
10-Jun-2016,"$ 24,000 + 1,000 No Limit Hold'emAria High Roller 32, Las Vegas",1st,"$ 276,012"
03-Jun-2016,"$ 48,000 + 2,000 No Limit Hold'emAria Super High Roller 9, Las Vegas",1st,"$ 393,120"
27-May-2016,"$ 50,000 No Limit Hold'em - High RollerAria Super High Roller 7, Las Vegas",7th,"$ 637,392"
03-May-2016,"€ 5,000 + 200 No Limit Hold'em - Hyper Turbo 8Max #60European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",7th,"$ 122,400"
29-Apr-2016,"€ 1,000 + 75 No Limit Hold'em - Hyper Turbo #25European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",21st,"$ 17,743"
19-Apr-2016,"$ 25,500 No Limit Hold'em - High Roller #27World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",13th,"$ 2,199"
24-Jan-2016,"A$ 98,000 + 2,000 No Limit Hold'em $100,000 Challenge (Event #12)2016 Aussie Millions Poker Championship, Melbourne",6th,"$ 58,750"
08-Jan-2016,"$ 5,300 #26 No Limit Hold'em - PCA Main EventPokerStars Caribbean Adventure - PCA 2016, Paradise Island",18th,"A$ 281,260"
18-Dec-2015,"$ 100,000 WPT Alpha8 - No Limit Hold'em High Roller (Event #18)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",1st,"$ 196,901"
12-Dec-2015,"€ 2,000 + 200 #63 No Limit Hold'emEuropean Poker Tour - EPT Prague, Prague",22nd,"$ 32,360"
27-Oct-2015,"€ 2,000 + 200 #47 No Limit Hold'emEuropean Poker Tour - EPT Malta, St. Julian’s",2nd,"$ 1,589,219"
16-Oct-2015,"€ 1,100 No Limit Hold'em - Turbo #8World Series of Poker Europe - WSOPE 2015, Berlin",51st,"$ 6,399"
28-Aug-2015,"€ 10,000 + 300 No Limit Hold'em - High Roller 8Max #58European Poker Tour - EPT Barcelona, Barcelona",24th,"$ 71,627"
23-Jul-2015,"€ 4,350 No Limit Hold'em - Poker EM Velden Main Event26th Poker EM Casino Velden, Velden",18th,"$ 2,310"
05-Jul-2015,"$ 10,000 No Limit Hold'em Main Event (Event #68)46th World Series of Poker - WSOP 2015, Las Vegas",25th,"$ 36,590"
14-Jun-2015,"$ 1,000 No Limit Hold'em (Event #30)46th World Series of Poker - WSOP 2015, Las Vegas",59th,"$ 10,377"
07-May-2015,"€ 3,000 + 250 No Limit Hold'em - Escalator '8 Handed' (Event #69)European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",10th,"$ 262,574"
30-Apr-2015,"€ 98,000 + 2,000 No Limit Hold'em - Super High Roller (Event #14)European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",7th,"$ 4,917"
22-Mar-2015,"€ 5,000 + 300 #27 No Limit Hold'em - EPT Main EventEuropean Poker Tour - EPT Malta, St. Julian’s",9th,"$ 6,585"
11-Jan-2015,"$ 1,940 + 260 #22 No Limit Hold'em - TurboPokerStars Caribbean Adventure - PCA 2015, Paradise Island",4th,"$ 372,208"
27-Aug-2014,"€ 2,000 + 150 #42 No Limit Hold'em - Turbo 6MaxEuropean Poker Tour - EPT Barcelona, Barcelona",12th,"$ 65,217"
21-Aug-2014,"€ 5,000 + 300 #17 No Limit Hold'em - EPT Main EventEuropean Poker Tour - EPT Barcelona, Barcelona",101st,"$ 16,620"
16-Aug-2014,"€ 2,000 + 150 #4 No Limit Hold'em - 8 MaxEuropean Poker Tour - EPT Barcelona, Barcelona",1st,"$ 7,256"
07-Feb-2014,"€ 2,000 No Limit Hold'em - Main EventCasinos Austria Poker Tour - CAPT Seefeld, Seefeld",8th,"$ 16,021"
07-Oct-2013,"£ 2,000 + 150 No Limit Hold'em - Turbo Eight HandedEuropean Poker Tour - EPT London, London",9th,"$ 58,523"
14-Jun-2013,"€ 300 + 30 No Limit Hold'em - Marbella CupEstrellas Poker Tour - ESPT Marbella, Marbella",52nd,"$ 16,188"
02-Apr-2013,"€ 1,850 + 150 No Limit Hold'em - High Roller 8 HandedEstrellas Poker Tour - ESPT Valencia, Valencia",2nd,"$ 8,018"
10-Feb-2013,"$ 500 + 50 No Limit Hold'em - BountyLebanese Poker Tour 2013 - Stage III, Kyrenia",1st,$ 912
,,,"$ 8,877"
28-Jul-2023,"$ 25,000 + 1,500 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Super High Roller Series London, London",1st,"$ 4,695"
15-Apr-2023,"€ 1,000 + 100 No Limit Hold'em - Pokercode MastersPokercode Festival 2023, Madrid",1st,
08-Mar-2023,"$ 100,000 No Limit Hold'em - Main Event (Event #9)Triton Poker Super High Roller Series Vietnam, Hoi An",5th,"$ 609,853"
02-Feb-2023,"$ 100,000 No Limit Hold'em - 7-Handed (Event #66)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",2nd,"$ 27,581"
10-Dec-2022,"€ 1,000 + 100 No Limit Hold'em - Hyper Turbo Knockout (Event #15)European Poker Tour - EPT Prague, Prague",8th,"$ 965,000"
18-Sep-2022,"$ 400 No Limit Hold'em - COLOSSUS ONLINE (Online Bracelet Event #28)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",959th,"$ 1,014,400"
07-Sep-2022,"$ 50,000 No Limit Hold'em - 6-Handed (Event #3)Triton Poker Super High Roller Series Cyprus, Kyrenia",7th,"$ 6,355"
21-Aug-2022,"$ 210 No Limit Hold'em - Million Dollar Bounty ONLINE (Online Bracelet Event #7)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",1850th,$ 994
09-Jul-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #14PokerGO Tour - PGT Aria High Roller Summer Series 2022, Las Vegas",8th,"$ 260,300"
14-May-2022,"€ 30,000 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Series Madrid, Madrid",13th,$ 535
23-Aug-2021,"$ 400 No Limit Hold'em - COLOSSUS ONLINE (Event #22)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",249th,"$ 23,200"
02-Aug-2020,"$ 1,500 MILLIONAIRE MAKER (Event #48)World Series of Poker - WSOP Online 2020 at GGPoker, Online",285th,"$ 58,217"
26-Jul-2020,"$ 400 Pot Limit Omaha - PLOSSUS (Event #42)World Series of Poker - WSOP Online 2020 at GGPoker, Online",28th,"$ 2,809"
30-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #22)Super High Roller Bowl Online, Online",9th,"$ 4,494"
24-May-2020,"$ 25,000 + 500 No Limit Hold'em - Super High Roller (Event #5)Super High Roller Bowl Online, Online",3rd,"$ 3,649"
14-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - 6 Max - Poker Masters #05 (ONLINE)Poker Masters Online, Online",4th,"$ 25,025"
15-Jul-2018,"$ 1,000,000 No Limit Hold'em - The Big One for One Drop (Event #78)49th World Series of Poker - WSOP 2018, Las Vegas",2nd,"$ 213,000"
01-Dec-2017,"$ 25,000 No Limit Hold'em - Bellagio High Roller #14 -  ( Event #10 )World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",4th,"$ 72,625"
18-Oct-2017,"HK$ 960,000 + 40,000 No Limit Hold'em - Triton Macau Main EventTriton Poker Super High Roller Series Macau, Macau",2nd,"$ 6,000,000"
18-Sep-2017,"$ 100,000 No Limit Hold'em - Event #52017 Poker Masters, Las Vegas",3rd,"$ 67,500"
16-Jul-2017,"HK$ 240,000 + 10,000 No Limit Hold'em - 6 MaxTriton Poker Super High Roller Series Montenegro, Budva",1st,"HK$ 16,398,000"
30-May-2017,"$ 48,000 + 2,000 No Limit Hold'em - Super High RollerAria Super High Roller 20, Las Vegas",1st,"$ 2,100,086"
02-May-2017,"€ 5,200 No Limit Hold'em - Hyper Turbo Eight Max (Event 53)PokerStars Championship presented by Monte-Carlo Casino, Monte Carlo",1st,"$ 504,000"
01-Apr-2017,"HK$ 388,000 + 12,000 No Limit Hold'em - PokerStars Championship Super High Roller #12PokerStars Championship Macau, Macau",2nd,"HK$ 3,472,200"
22-Jan-2017,"A$ 10,000 + 600 No Limit Hold'em - Main Event (Event #11)2017 Aussie Millions Poker Championship, Melbourne",5th,"$ 444,893"
23-Aug-2016,"€ 25,000 + 500 No Limit Hold'em - Single Re-Entry 8 Handed (Event #33)European Poker Tour - EPT Barcelona, Barcelona",23rd,"$ 330,660"
08-Jul-2016,"$ 111,111 No Limit Hold'em High Roller for One Drop (single re-entry) (Event #67)47th World Series of Poker - WSOP 2016, Las Vegas",1st,"$ 62,281"
05-Jul-2016,"$ 5,000 No Limit Hold'em (Event #59)47th World Series of Poker - WSOP 2016, Las Vegas",39th,"HK$ 6,749,170"
14-Jun-2016,"$ 3,000 No Limit Hold'em 6-Handed  (Event #21)47th World Series of Poker - WSOP 2016, Las Vegas",47th,"$ 868,518"
08-Jun-2016,"$ 1,500 No Limit Hold'em 6-Handed  (Event #10)47th World Series of Poker - WSOP 2016, Las Vegas",18th,"A$ 335,000"
29-May-2016,"$ 300,000 No Limit Hold'em2016 Super High Roller Bowl, Las Vegas",2nd,"$ 253,002"
05-May-2016,"€ 2,000 + 200 No Limit Hold'em - 8 Handed #70European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",25th,"$ 53,002"
01-May-2016,"€ 49,000 + 1,000 No Limit Hold'em - Super High Roller #37European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",5th,"$ 4,981,775"
26-Apr-2016,"€ 10,000 + 300 No Limit Hold'em - High Roller #2European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",4th,"$ 15,823"
02-Mar-2016,"$ 1,100 No Limit Hold'em Bounty Turbo #56World Poker Tour - WPT L.A Poker Classic, Los Angeles",13th,"$ 8,716"
14-Jan-2016,"$ 2,200 #101 No Limit Hold'em - 8-Handed TurboPokerStars Caribbean Adventure - PCA 2016, Paradise Island",4th,"$ 17,380"
03-Jan-2016,"$ 196,000 + 4,000 No Limit Hold'em Triton Super High Roller Series (Event #3)World Poker Tour - WPT National Philippines, Paranaque City",1st,"$ 3,500,000"
14-Dec-2015,"$ 10,000 + 400 No Limit Hold'em WPT Main Event (Event #16)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",30th,"$ 4,918"
07-Nov-2015,"HK$ 240,000 + 10,000 No Limit Hold'em - High RollerAsia Pacific Poker Tour - APPT Asia Championship of Poker, Macau",7th,"$ 310,892"
21-Oct-2015,"€ 25,600 No Limit Hold'em - High Roller #10World Series of Poker Europe - WSOPE 2015, Berlin",6th,"$ 190,122"
02-Sep-2015,"€ 700 + 70 No Limit Hold'em - High RollerIPC Tour - Vienna, Vienna Simmering",1st,"$ 1,130"
22-Aug-2015,"€ 48,500 + 1,500 No Limit Hold'em - Super High Roller 8Max #19European Poker Tour - EPT Barcelona, Barcelona",11th,"$ 19,700"
20-Jul-2015,"€ 2,000 Poker EM Velden - Pot Limit Omaha26th Poker EM Casino Velden, Velden",11th,"$ 3,072,748"
17-Jun-2015,"$ 10,000 No Limit Hold'em Six Handed Championship (Event #37)46th World Series of Poker - WSOP 2015, Las Vegas",3rd,"$ 31,611"
04-Jun-2015,"$ 1,500 No Limit Hold'em Shootout (Event #14)46th World Series of Poker - WSOP 2015, Las Vegas",48th,"HK$ 889,000"
