Date,Event Name,Placement,Earning
12-Aug-2023,"£ 5,000 + 300 No Limit Hold'em - High Roller (Ring Event #13)WSOP International Circuit - WSOPC Super Circuit London, London",3rd,"$ 69,827"
29-Jul-2023,"$ 20,000 + 2,400 + 20,000 No Limit Hold'em - Mystery Bounty 7-Handed (Event #3)Triton Poker Super High Roller Series London, London",19th,"$ 34,600"
12-Jul-2023,"$ 50,000 No Limit Hold'em - High Roller - 8-Handed (Bracelet Event 84)54th World Series of Poker - WSOP 2023, Las Vegas",10th,"$ 132,181"
20-May-2023,"$ 100,000 No Limit Hold'em - Main Event (Event #11)Triton Poker Super High Roller Series Cyprus, Kyrenia",4th,"$ 946,000"
12-May-2023,"$ 15,000 + 15,000 No Limit Hold'em - Mystery Bounty 6-Handed (Event #3)Triton Poker Super High Roller Series Cyprus, Kyrenia",7th,"$ 92,100"
10-May-2023,"$ 25,000 No Limit Hold'em - GG Super Million$ Live (Event #1)Triton Poker Super High Roller Series Cyprus, Kyrenia",12th,"$ 67,100"
05-Mar-2023,"$ 50,000 No Limit Hold'em - 8-Handed (Event #6)Triton Poker Super High Roller Series Vietnam, Hoi An",16th,"$ 100,800"
15-Dec-2022,"$ 2,750 + 250 No Limit Hold'emWorld Poker Tour - WPT World Championship at Wynn Las Vegas, Las Vegas",20th,"$ 21,126"
22-Oct-2022,"£ 4,850 + 450 No Limit Hold'em - EPT London Main Event (Event #18)European Poker Tour - EPT London, London",32nd,"$ 16,730"
18-Oct-2022,"£ 960 + 140 No Limit Hold'em - UKIPT London Main Event (Event #1)European Poker Tour - EPT London, London",194th,"$ 1,835"
12-Sep-2022,"$ 100,000 No Limit Hold'em - Main Event (Event #8)Triton Poker Super High Roller Series Cyprus, Kyrenia",4th,"$ 946,000"
27-Jul-2022,"£ 5,000 + 300 No Limit Hold'em - Super High RollerUK & Ireland Poker Tour - UKIPT Nottingham, Nottingham",3rd,"$ 36,110"
14-Jul-2022,"$ 50,000 No Limit Hold'em - High Roller (Event #83)53rd World Series of Poker - WSOP 2022, Las Vegas",12th,"$ 87,500"
01-Jul-2022,"$ 3,000 8 Game Mix ChampionshipThe Wynn Summer Classic, Las Vegas",7th,"$ 11,752"
25-Jun-2022,"$ 5,000 Mixed No Limit Hold'em/Pot-Limit Omaha - 8-Handed (Event #53)53rd World Series of Poker - WSOP 2022, Las Vegas",94th,"$ 8,761"
15-Jun-2022,"$ 3,000 No Limit Hold'em - 6-Handed (Event #33)53rd World Series of Poker - WSOP 2022, Las Vegas",155th,"$ 5,254"
17-May-2022,"€ 50,000 No Limit Hold'em - 7-Handed (Event #6)Triton Poker Series Madrid, Madrid",9th,"$ 148,630"
14-Mar-2022,"€ 10,000 + 300 No Limit Hold'em - EPT High Roller (Event #46)European Poker Tour - EPT Prague, Prague",39th,"$ 19,801"
10-Mar-2022,"€ 1,000 + 100 No Limit Hold'em - Hyper Turbo (Event #25)European Poker Tour - EPT Prague, Prague",29th,"$ 2,570"
14-Dec-2021,"$ 25,000 No Limit Hold'em - PokerGO Tour High Roller (Event #27)World Poker Tour - WPT Five Diamond World Poker Classic at Bellagio, Las Vegas",7th,"$ 67,500"
21-Nov-2021,"$ 100,000 No Limit Hold'em - High Roller (Event #87)52nd World Series of Poker - WSOP 2021, Las Vegas",5th,"$ 434,523"
16-Nov-2021,"$ 10,000 No Limit Hold'em - Aria High Roller 39PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",6th,"$ 25,800"
15-Dec-2019,"€ 10,300 No Limit Hold'em - EPT Prague High Roller (Event #39)European Poker Tour - EPT Prague, Prague",28th,"$ 24,218"
03-Jul-2019,"$ 10,000 No Limit Hold'em - WSOP Main Event50th World Series of Poker - WSOP 2019, Las Vegas",108th,"$ 59,295"
10-Jun-2019,"$ 10,000 No Limit Hold'em - Aria High Roller 15Aria Summer High Rollers, Las Vegas",2nd,"$ 72,800"
09-May-2019,"HK$ 250,000 No Limit Hold'em - Turbo (Event #12)Triton Poker Super High Roller Series Montenegro, Budva",1st,"HK$ 3,410,000"
16-Dec-2018,"€ 10,300 No Limit Hold'em - EPT Prague High Roller #34European Poker Tour - EPT Prague, Prague",1st,"$ 434,500"
02-Jul-2018,"$ 10,000 No Limit Hold'em - Main Event Championship (Event #65)49th World Series of Poker - WSOP 2018, Las Vegas",38th,"$ 569,680"
18-Dec-2017,"€ 2,150 No Limit Hold'em - Turbo 6 Handed ( Event #41 )PokerStars Championship Prague, Prague",7th,"$ 189,165"
11-Sep-2017,"No Limit Hold'emDanish Championship 2017, Copenhagen",7th,"$ 11,747"
12-Dec-2016,"€ 2,000 + 200 No Limit Hold'em - Eureka High RollerEuropean Poker Tour - EPT Prague, Prague",153rd,"$ 14,535"
25-Feb-2016,"€ 615 + 50 No Limit Hold'em - Main EventMPT Poker Festival, Vejle",3rd,"$ 3,167"
12-Oct-2015,"€ 1,650 No Limit Hold'em - Monster Stack #4World Series of Poker Europe - WSOPE 2015, Berlin",4th,"$ 27,149"
15-Dec-2014,"€ 10,000 + 300 #45 No Limit Hold'em - EPT High RollerEuropean Poker Tour - EPT Prague, Prague",18th,"$ 67,568"
11-Oct-2014,"£ 2,000 + 200 #11 No Limit Hold'em - UKIPT High RollerEuropean Poker Tour - EPT London, London",2nd,"$ 40,986"
16-Aug-2014,"€ 1,000 + 100 #2 No Limit Hold'em - Estrellas Main EventEuropean Poker Tour - EPT Barcelona, Barcelona",109th,"$ 114,809"
01-Jul-2014,"$ 10,000 Seven Card Stud (Event #61)45th World Series of Poker - WSOP 2014, Las Vegas",7th,"$ 4,750"
30-May-2014,"DKr 15,000 No Limit Hold'em Main Event2014 Danish Championships, Copenhagen",6th,"$ 38,073"
15-Apr-2014,"€ 2,000 + 150 No Limit Hold'em Turbo 8-handedEuropean Poker Tour - EPT Sanremo, Sanremo",3rd,"$ 15,491"
