Date,Event Name,Placement,Earning
02-Jul-2023,"$ 980 + 120 No Limit Hold'em - TurboThe Wynn Summer Classic, Las Vegas",15th,"$ 6,184"
11-May-2023,"$ 20,000 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Super High Roller Series Cyprus, Kyrenia",13th,"$ 48,400"
14-Dec-2022,"€ 1,800 + 200 No Limit Hold'em - EPT Mystery Bounty (Event #33)European Poker Tour - EPT Prague, Prague",23rd,"$ 8,797"
14-Nov-2022,"€ 1,100 No Limit Hold'em - Bounty Hunter (Bracelet Event #14)World Series of Poker Europe - WSOPE 2022, Rozvadov",8th,"$ 5,836"
12-Jul-2022,"$ 4,600 + 400 No Limit Hold'em - WPT Venetian Resort Las VegasVenetian DeepStack Championship Series, Las Vegas",20th,"$ 38,200"
08-Jul-2022,"$ 2,400 No Limit Hold'em (Event 108)Venetian DeepStack Championship Series, Las Vegas",98th,"$ 4,550"
24-Jun-2022,"$ 3,500 No Limit Hold'em ChampionshipThe Wynn Summer Classic, Las Vegas",116th,"$ 9,521"
16-Mar-2022,"€ 1,000 + 100 No Limit Hold'em - Super Hyper Turbo (Event #57)European Poker Tour - EPT Prague, Prague",5th,"$ 5,365"
08-Nov-2021,"$ 1,000 No Limit Hold'em - Little One for One Drop (Event #68)52nd World Series of Poker - WSOP 2021, Las Vegas",140th,"$ 3,685"
19-Sep-2021,"$ 10,000 + 500 No Limit Hold'em - High Roller (Event #13)partypoker LIVE - Merit Poker presents partypoker MILLIONS North Cyprus, Kyrenia",10th,"$ 27,010"
26-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - 6 Max - Poker Masters #30 (ONLINE)Poker Masters Online, Online",10th,"$ 31,390"
08-Jan-2020,"$ 10,000 + 300 No Limit Hold'em - MILLIONS UK Main Eventpartypoker LIVE - partypoker MILLIONS UK, Nottingham",52nd,"$ 25,000"
20-Oct-2019,"€ 25,500 No Limit Hold'em - Platinum High Roller (Event #8)World Series of Poker Europe - WSOPE 2019, Rozvadov",3rd,"$ 281,436"
03-Jul-2019,"$ 10,000 No Limit Hold'em - WSOP Main Event50th World Series of Poker - WSOP 2019, Las Vegas",1st,"$ 10,000,000"
15-Dec-2018,"€ 1,100 No Limit Hold'em - Hyper Turbo #31European Poker Tour - EPT Prague, Prague",26th,"$ 2,511"
28-Apr-2018,"€ 5,300 No Limit Hold'em - EPT Main Event #12European Poker Tour - EPT Monte Carlo, Monte Carlo",80th,"$ 12,465"
16-Dec-2017,"€ 10,300 No Limit Hold'em - Pokerstars Championship High Roller ( Event #33 )PokerStars Championship Prague, Prague",3rd,"$ 285,021"
13-Oct-2017,"€ 1,500 + 150 No Limit Hold'em - WSOP Circuit Main Event (Ring Event #11)WSOP International Circuit - WSOPC Rozvadov, Rozvadov",1st,"$ 219,036"
26-Jul-2017,"€ 5,400 No Limit Hold'em - High RollerPoker EM 2017, Velden",1st,"$ 59,443"
29-Apr-2017,"€ 5,300 No Limit Hold'em - PokerStars Championship Main Event (Event 24)PokerStars Championship presented by Monte-Carlo Casino, Monte Carlo",32nd,"$ 16,793"
10-Dec-2015,"€ 5,000 + 300 #38 No Limit Hold'em EPT Main EventEuropean Poker Tour - EPT Prague, Prague",1st,"$ 825,151"
12-Sep-2015,"€ 500 No Limit Hold'em - DeepstackRotterdam Series of Poker, Rotterdam",1st,"$ 13,618"
07-Aug-2015,"€ 1,000 + 100 No Limit Hold'em partypoker WPTNWorld Poker Tour - partypoker WPT National Rozvadov, Rozvadov",33rd,"$ 2,572"
04-May-2015,"€ 2,000 + 200 No Limit Hold'em - (Event #46)European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",1st,"$ 97,429"
21-Feb-2015,"€ 1,000 + 100 No Limit Hold'em - Eureka Main Event (Event #2)Eureka Poker Tour - EKA Rozvadov, Rozvadov",8th,"$ 14,498"
21-Aug-2014,"€ 5,000 + 300 #17 No Limit Hold'em - EPT Main EventEuropean Poker Tour - EPT Barcelona, Barcelona",3rd,"$ 860,091"
16-Aug-2014,"€ 200 + 20 #3 No Limit Hold'em - Senior's EventEuropean Poker Tour - EPT Barcelona, Barcelona",1st,"$ 6,066"
31-May-2014,"€ 200 + 20 No Limit Hold'Em - Midnight Bounty Turbo FreezeoutEureka Poker Tour - EKA Rozvadov, Rozvadov",4th,"$ 1,634"
09-May-2014,"€ 250 Friend Of King's Series Main Event  #1Friend Of King's Series - European Poker Festival, Rozvadov",123rd,"$ 1,430"
29-Mar-2014,"€ 500 + 40 No Limit Hold'emDortmund Spring Masters, Dortmund",20th,"$ 1,924"
14-Nov-2013,"€ 500 + 50 No Limit Hold'emMaster Classics of Poker (MCOP) 2013, Amsterdam",14th,"$ 1,824"
19-Apr-2013,"€ 300 + 30 No Limit Hold'emEuropean Poker Tour - EPT Berlin, Berlin",8th,"$ 4,588"
,,,
27-Jun-2023,"$ 3,185 + 315 No Limit Hold'emThe Wynn Summer Classic, Las Vegas",81st,"$ 17,080"
