Date,Event Name,Placement,Earning
12-Dec-2022,"$ 9,800 + 600 No Limit Hold'em - WPT World ChampionshipWorld Poker Tour - WPT World Championship at Wynn Las Vegas, Las Vegas",31st,"$ 119,300"
30-Aug-2020,"$ 5,000 No Limit Hold'em Main Event (Event #77)World Series of Poker - WSOP Online 2020 at GGPoker, Online",705th,"$ 11,834"
29-Jul-2020,"$ 2,500 No Limit Hold'em 6-Handed (Event #44)World Series of Poker - WSOP Online 2020 at GGPoker, Online",52nd,"$ 7,454"
10-Jan-2020,"$ 10,000 + 300 No Limit Hold'em - High Rollerpartypoker LIVE - partypoker MILLIONS UK, Nottingham",6th,"$ 55,000"
11-Jul-2019,"$ 100,000 No Limit Hold'em - High Roller (Event #83)50th World Series of Poker - WSOP 2019, Las Vegas",4th,"$ 840,183"
27-May-2019,"$ 9,500 + 500 No Limit Hold'em - WPT ARIA Summer ChampionshipWorld Poker Tour - WPT ARIA Summer Championship, Las Vegas",2nd,"$ 285,650"
12-Jan-2019,"$ 49,500 + 500 No Limit Hold'em (Event #24)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",5th,"$ 121,040"
08-Jan-2019,"$ 25,000 No Limit Hold'em (Event #10)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",8th,"$ 67,520"
16-Dec-2018,"$ 10,000 + 500 Super High Roller Bowl QualifierSuper High Roller Bowl Q1, Las Vegas",3rd,"$ 50,000"
24-Aug-2018,"€ 25,000 + 1,000 No Limit Hold'em - Charity Event (Event #35)European Poker Tour - EPT Barcelona, Barcelona",5th,"$ 65,885"
18-Jun-2018,"$ 25,000 + 1,000 No Limit Hold'em - High RollerAria 25K-08, Las Vegas",4th,"$ 57,500"
01-May-2018,"€ 25,000 No Limit Hold'em #24European Poker Tour - EPT Monte Carlo, Monte Carlo",6th,"$ 94,496"
15-Dec-2017,"€ 25,500 No Limit Hold'em ( Event #28 )PokerStars Championship Prague, Prague",1st,"$ 438,493"
11-Dec-2017,"€ 25,000 + 500 No Limit Hold'em - Kings Super High Roller 8-MaxEurasian Poker Tour - EAPT Prague presented by partypoker, Prague",6th,"$ 117,684"
19-Aug-2017,"€ 50,000 No Limit Hold'em - PokerStars Championship Super High Roller #10PokerStars Championship Barcelona, Barcelona",1st,"$ 1,273,165"
06-Jul-2017,"$ 3,000 No Limit Hold'em (Event #68)48th World Series of Poker - WSOP 2017, Las Vegas",148th,"$ 4,945"
09-Jun-2017,"$ 24,000 + 1,000 No Limit Hold'em - High RollerAria High Roller 60, Las Vegas",6th,"$ 45,600"
31-May-2017,"$ 10,000 No Limit Hold'em - Tag Team Championship (Event #2)48th World Series of Poker - WSOP 2017, Las Vegas",1st,"$ 136,982"
03-May-2017,"€ 25,750 No Limit Hold'em - PokerStars Championship High Roller Eight Max (Event 57)PokerStars Championship presented by Monte-Carlo Casino, Monte Carlo",24th,"$ 49,996"
15-Dec-2016,"€ 2,000 + 200 No Limit Hold'em (Event #59)European Poker Tour - EPT Prague, Prague",13th,"$ 9,515"
14-Jul-2016,"$ 10,000 + 400 No Limit Hold'em - Bellagio Cup XIIBellagio Cup XII, Las Vegas",12th,"$ 36,394"
