Date,Event Name,Placement,Earning
08-Aug-2023,"$ 30,000 + 1,800 No Limit Short Deck Hold'em - Ante Only (Event #15)Triton Poker Super High Roller Series London, London",5th,"$ 94,300"
30-Jul-2023,"$ 50,000 + 3,000 No Limit Hold'em - 8-Handed (Event #5)Triton Poker Super High Roller Series London, London",14th,"$ 89,000"
09-Jul-2023,"$ 9,700 + 800 No Limit Hold'em - WPT EveryOne for One DropThe Wynn Summer Classic, Las Vegas",198th,"$ 17,200"
25-Jun-2023,"$ 25,000 Pot Limit Omaha - High Roller - 8-Handed (Bracelet Event 57)54th World Series of Poker - WSOP 2023, Las Vegas",11th,"$ 126,938"
12-May-2023,"$ 15,000 + 15,000 No Limit Hold'em - Mystery Bounty 6-Handed (Event #3)Triton Poker Super High Roller Series Cyprus, Kyrenia",5th,"$ 160,500"
03-May-2023,"€ 25,000 No Limit Hold'em (Event 34)European Poker Tour - EPT Monte Carlo, Monte Carlo",1st,"$ 296,264"
31-Mar-2023,"$ 25,000 No Limit Hold'em - U.S. Poker Open #8PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",1st,"$ 432,000"
13-Mar-2023,"$ 20,000 No Limit Hold'em - Short Deck (Event #15)Triton Poker Super High Roller Series Vietnam, Hoi An",3rd,"$ 91,000"
10-Mar-2023,"$ 25,000 No Limit Short Deck Hold'em - Ante Only (Event #11)Triton Poker Super High Roller Series Vietnam, Hoi An",5th,"$ 117,000"
07-Mar-2023,"$ 25,000 No Limit Hold'em - Turbo (Event #8)Triton Poker Super High Roller Series Vietnam, Hoi An",11th,"$ 54,600"
27-Jan-2023,"$ 25,000 No Limit Hold'em - 8-Handed (Event #31)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",3rd,"$ 491,550"
22-Jan-2023,"$ 98,000 + 1,000 No Limit Hold'em - PCA Super High Roller (Event #1)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",1st,"$ 1,082,230"
07-Oct-2022,"$ 15,000 No Limit Hold'em - Aria High Roller #24PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",1st,"$ 50,400"
07-Sep-2022,"$ 50,000 No Limit Hold'em - 6-Handed (Event #3)Triton Poker Super High Roller Series Cyprus, Kyrenia",6th,"$ 340,300"
23-May-2022,"€ 100,000 No Limit Short Deck Hold'em - SD Main Event (Event #12)Triton Poker Series Madrid, Madrid",6th,"$ 404,586"
14-May-2022,"€ 30,000 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Series Madrid, Madrid",3rd,"$ 353,772"
29-Aug-2021,"$ 25,000 No Limt Hold'em - Super High Roller Championship ONLINE (Event #21)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",13th,"$ 84,396"
15-Aug-2021,"$ 10,000 No Limit Hold'em - Super MILLION$ High Roller ONLINE (Event #11)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",21st,"$ 53,391"
02-Aug-2021,"$ 1,500 No Limit Hold'em - Millionaire Maker ONLINE (Event #7)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",39th,"$ 10,054"
