Date,Event Name,Placement,Earning
08-Aug-2023,"$ 10,000 No Limit Hold'em - Deep Stack - 8-Handed (Event 51)Seminole Hard Rock Poker Open (SHRPO), Hollywood",6th,"$ 47,700"
03-Aug-2023,"$ 50,000 No Limit Hold'em - Super High Roller (Event 34)Seminole Hard Rock Poker Open (SHRPO), Hollywood",3rd,"$ 148,410"
25-Jun-2023,"$ 25,000 Pot Limit Omaha - High Roller - 8-Handed (Bracelet Event 57)54th World Series of Poker - WSOP 2023, Las Vegas",43rd,"$ 50,224"
30-May-2023,"$ 25,000 No Limit Hold'em - High Roller 6-Handed (Bracelet Event 2)54th World Series of Poker - WSOP 2023, Las Vegas",9th,"$ 104,733"
06-Jun-2022,"$ 50,000 No Limit Hold'em - High Roller 8-Handed (Event #12)53rd World Series of Poker - WSOP 2022, Las Vegas",1st,"$ 1,328,068"
13-Apr-2022,"$ 250,000 No Limit Hold'em - Super High Roller Bowl EuropeSuper High Roller Series - SHRS Europe presented by Luxon Pay, Kyrenia",1st,"$ 3,200,000"
26-Mar-2022,"$ 25,000 No Limit Hold'em - US Poker Open #11PokerGO Tour - 2022 PGT U.S. Poker Open (USPO), Las Vegas",3rd,"$ 192,500"
24-Feb-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #1PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",4th,"$ 45,100"
04-Feb-2022,"$ 10,000 No Limit Hold'em - PokerGO Cup #3PokerGO Tour - 2022 PGT PokerGO Cup, Las Vegas",12th,"$ 16,000"
17-Jan-2022,"$ 25,000 + 500 No Limit Hold'em - Stairway to Millions #6PokerGO Tour - 2022 PGT Stairway to Millions, Las Vegas",1st,"$ 287,500"
20-Dec-2021,"$ 50,000 No Limit Hold'em - PokerGO Tour ChampionshipPokerGO Tour - 2021 PGT PokerGO Tour Championship, Las Vegas",4th,"$ 253,000"
16-Nov-2021,"$ 10,000 No Limit Hold'em - Aria High Roller 39PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",1st,"$ 146,200"
08-Oct-2021,"$ 100,000 No Limit Hold'em - Aria High Roller 25PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",1st,"$ 655,000"
