Date,Event Name,Placement,Earning
03-Jul-2023,"$ 10,000 No Limit Hold'em - WSOP Main Event  (Bracelet Event 76)54th World Series of Poker - WSOP 2023, Las Vegas",1082nd,"$ 17,500"
20-Jun-2023,"$ 500 No Limit Hold'em - Freezeout (Bracelet Event 46)54th World Series of Poker - WSOP 2023, Las Vegas",700th,$ 800
31-May-2023,"$ 700 + 300 No Limit Hold'em - Mystery Millions (Bracelet Event 3)54th World Series of Poker - WSOP 2023, Las Vegas",2356th,"$ 1,061"
23-Oct-2019,"$ 5,000 No Limit Hold'em - Week 11 - RGPS Showbound! Event #1 Poker After Dark (PAD) Season X, Las Vegas",4th,"$ 1,357"
18-Jun-2019,"$ 600 Mixed No Limit Hold'em/Pot Limit Omaha Deepstack 8-Handed (Event #42)50th World Series of Poker - WSOP 2019, Las Vegas",157th,$ 500
04-Jan-2018,"$ 250 No Limit Hold'em - (Event #25)New Year's Extravaganza 2018, Las Vegas",73rd,"$ 139,820"
26-Mar-2016,"$ 1,500 + 175 No Limit Hold'em - Main Event (Event #20)WSOP Circuit - WSOPC Bicycle Casino, Los Angeles (Bell Gardens)",2nd,"$ 120,952"
29-Jun-2015,"$ 1,500 No Limit Hold'em (Event #59)46th World Series of Poker - WSOP 2015, Las Vegas",5th,"$ 4,125"
19-Apr-2015,"$ 1,650 No Limit Hold'em Eight Handed (Event #16)World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",10th,"$ 20,788"
07-Nov-2014,"$ 5,000 No Limit Hold'em - Main Event Bounty ScrambleWorld Poker Tour - WPT bestbet Bounty Scramble, Jacksonville",17th,"$ 2,720"
31-May-2012,"$ 60 + 15 No Limit Hold'em - Deepstack2012 LA Poker Series, Los Angeles (Bell Gardens)",4th,"$ 4,343"
13-Jun-2011,"$ 1,590 No Limit Hold'emDeep Stack Extravaganza III, Las Vegas",19th,"$ 25,000"
05-Mar-2010,"$ 20,000 No Limit Hold'em NBC National Heads-Up Championship 2010, Las Vegas",9th,"$ 5,900"
18-Jul-2009,"$ 1,000 + 70 No Limit Hold'em - Championship Event2009 Stars & Stripes, Los Angeles (Bell Gardens)",6th,"$ 20,376"
12-Apr-2009,"€ 1,500 + 150 No Limit Hold'emPaddyPower Irish Poker Open 2009, Dublin",6th,"$ 4,840"
Apr-2008,"Final PartyPoker Poker Nations Cup , Cardiff",6th,"$ 18,400"
11-Feb-2008,"$ 20,000 Week 4 - World Champions Poker After Dark (PAD) Season III, Las Vegas",3rd,"$ 1,290"
02-Jul-2007,"$ 1,000 No Limit Hold'em38th World Series of Poker - WSOP 2007, Las Vegas",84th,"$ 4,725"
Jun-2007,"$ 20,000 Week 9 - Of Mouth and Men Poker After Dark (PAD) Season II, Las Vegas",2nd,$ 240
15-Jan-2007,"$ 20,000 Week 3 - WSOP Champions Poker After Dark (PAD) Season I, Las Vegas",5th,"$ 1,060"
07-Apr-2006,"$ 1,000 + 70 No Limit Hold'em2006 Sport of Kings, Inglewood",2nd,
26-Oct-2005,"$ 500 + 50 No Limit Hold'em2005 National Championship of Poker, Inglewood",8th,$ 940
05-Jul-2005,"$ 1,000 + 70 No Limit Hold'em Championship2005 Mini Series of Poker, Los Angeles (Bell Gardens)",7th,"$ 1,099"
26-Apr-2005,"$ 200 + 25 Pot Limit Hold'em2005 Stars & Stripes, Los Angeles (Bell Gardens)",18th,"$ 2,170"
17-Apr-2005,"$ 200 + 25 No Limit Hold'em2005 Stars & Stripes, Los Angeles (Bell Gardens)",9th,$ 750
,,,"$ 1,506"
25-Jun-2023,"$ 400 No Limit Hold'em - Ultra Deepstack (Online Bracelet Event 10) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",241st,$ 350
18-Jun-2023,"$ 500 No Limit Hold'em - Turbo (Online Bracelet Event 6) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",142nd,"$ 6,794"
24-Oct-2019,"$ 5,000 No Limit Hold'em - Week 11 - RGPS Showbound! Event #2 Poker After Dark (PAD) Season X, Las Vegas",5th,"$ 43,107"
06-Jul-2019,"$ 1,000 No Limit Hold'em - Little One for One Drop (Event #75)50th World Series of Poker - WSOP 2019, Las Vegas",510th,"$ 4,955"
30-May-2019,"$ 500 No Limit Hold'em - BIG 50 (Event #3)50th World Series of Poker - WSOP 2019, Las Vegas",3961st,"$ 7,300"
22-Dec-2017,"$ 340 No Limit Hold'em - Double Stack (Event #3)New Year's Extravaganza 2018, Las Vegas",17th,"$ 5,044"
04-Oct-2015,"$ 100 + 30 No Limit Hold'em #16Big Poker Oktober - 2015, Los Angeles (Bell Gardens)",131st,$ 800
07-Jun-2015,"$ 565 No Limit Hold'em - $100K MakerPhamous Poker Series - Goliath, Las Vegas",14th,"$ 1,741"
20-Nov-2014,"$ 570 No Limit Hold'em Deeper Stack  (Re-Entry)2014 Rock 'N' Roll Poker Open, Hollywood",6th,"$ 2,220"
30-Jul-2014,"$ 580 No Limit Hold'em $500k GTDWSOP Circuit - WSOPC West Palm Beach, West Palm Beach",17th,"$ 54,672"
25-Aug-2011,"$ 3,500 + 200 No Limit Hold'em - Main Event2011 Legends of Poker, Los Angeles (Bell Gardens)",67th,"$ 9,238"
