Date,Event Name,Placement,Earning
09-Aug-2023,"$ 60,000 + 3,000 No Limit Short Deck Hold'em - Main Event (Event #16)Triton Poker Super High Roller Series London, London",1st,"$ 828,000"
03-Aug-2023,"$ 250,000 + 12,500 No Limit Hold'em - Luxon Invitational (Event #9) Triton Poker Super High Roller Series London, London",23rd,"$ 342,000"
28-Jul-2023,"$ 25,000 + 1,500 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Super High Roller Series London, London",18th,"$ 39,000"
03-Jul-2023,"$ 10,000 No Limit Hold'em - WSOP Main Event  (Bracelet Event 76)54th World Series of Poker - WSOP 2023, Las Vegas",441st,"$ 37,500"
24-May-2023,"$ 50,000 No Limit Short Deck Hold'em - Main Event (Event #16)Triton Poker Super High Roller Series Cyprus, Kyrenia",3rd,"$ 330,000"
19-May-2023,"$ 25,000 Pot Limit Omaha (Event #10)Triton Poker Super High Roller Series Cyprus, Kyrenia",2nd,"$ 239,551"
11-May-2023,"$ 20,000 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Super High Roller Series Cyprus, Kyrenia",1st,"$ 663,000"
11-Mar-2023,"$ 50,000 No Limit Short Deck Hold'em - Ante Only (Event #12)Triton Poker Super High Roller Series Vietnam, Hoi An",5th,"$ 187,000"
06-Mar-2023,"$ 75,000 No Limit Hold'em - 8-Handed (Event #7)Triton Poker Super High Roller Series Vietnam, Hoi An",6th,"$ 389,000"
07-Dec-2022,"$ 800,000 No Limit Hold'em - Heads-Up High Stakes Duel III PokerGO High Stakes Duel III | Round 5 | Hellmuth vs Koon, Las Vegas",1st,"$ 1,600,000"
30-Sep-2022,"$ 25,000 No Limit Hold'em - Poker Masters #9PokerGO Tour - 2022 PGT Poker Masters, Las Vegas",6th,"$ 81,000"
15-Sep-2022,"$ 40,000 No Limit Short Deck Hold'em - Ante Only Single Bullet (Event #11)Triton Poker Super High Roller Series Cyprus, Kyrenia",5th,"$ 155,000"
07-Sep-2022,"$ 50,000 No Limit Hold'em - 6-Handed (Event #3)Triton Poker Super High Roller Series Cyprus, Kyrenia",9th,"$ 146,000"
