Date,Event Name,Placement,Earning
03-Jul-2023,"$ 10,000 No Limit Hold'em - WSOP Main Event  (Bracelet Event 76)54th World Series of Poker - WSOP 2023, Las Vegas",940th,"$ 22,500"
26-Jun-2023,"$ 1,500 No Limit 2-7 Lowball Draw (Bracelet Event 60)54th World Series of Poker - WSOP 2023, Las Vegas",1st,"$ 151,276"
10-Feb-2023,"$ 25,000 + 500 10-Game Championship (Event #7)PokerGO Tour - 2023 PGT Mixed Games, Las Vegas",1st,"$ 367,500"
13-Jun-2022,"$ 50,000 Pot Limit Omaha High Roller - 8-Handed (Event #28)53rd World Series of Poker - WSOP 2022, Las Vegas",6th,"$ 260,815"
02-Dec-2019,"$ 24,700 + 800 No Limit Hold'em - High Roller (Event #23)World Poker Tour - WPT Seminole Rock & Roll Poker Open, Hollywood",4th,"$ 111,150"
08-Aug-2019,"$ 50,000 No Limit Hold'em - Super High Roller (Event #18)Seminole Hard Rock Poker Open, Hollywood",1st,"$ 715,860"
27-Jun-2018,"$ 1,000 No Limit Hold'em - Tag Team (Event #55)49th World Series of Poker - WSOP 2018, Las Vegas",108th,$ 393
13-Jun-2018,"$ 3,000 No Limit Hold'em - 6 Handed (Event #28)49th World Series of Poker - WSOP 2018, Las Vegas",16th,"$ 20,975"
13-Apr-2018,"$ 3,500 No Limit Hold'em - WPT Showdown Championship (Event #12)Seminole Hard Rock Poker Showdown, Hollywood",92nd,"$ 7,298"
11-Jul-2017,"$ 1,000 + 111 No Limit Hold'em - The Little One for One Drop (Event #74)48th World Series of Poker - WSOP 2017, Las Vegas",225th,"$ 3,012"
06-Jul-2017,"$ 1,500 Razz (Event #69)48th World Series of Poker - WSOP 2017, Las Vegas",30th,"$ 3,191"
27-Jun-2017,"$ 1,500 No Limit Hold'em (Event #52)48th World Series of Poker - WSOP 2017, Las Vegas",17th,"$ 13,807"
15-Jun-2017,"$ 10,000 H.O.R.S.E. Championship (Event #30)48th World Series of Poker - WSOP 2017, Las Vegas",5th,"$ 83,415"
09-Jun-2017,"$ 565 Pot Limit Omaha (Event #18)48th World Series of Poker - WSOP 2017, Las Vegas",31st,"$ 6,214"
02-May-2017,"€ 25,500 No Limit Hold'em - Eight Max Shot Clock (Event 47)PokerStars Championship presented by Monte-Carlo Casino, Monte Carlo",8th,"$ 85,127"
04-Apr-2017,"$ 25,500 No Limit Hold'em High-Roller (Event #28)Seminole Hard Rock Poker Showdown, Hollywood",1st,"$ 794,600"
08-Jan-2017,"$ 4,717 + 283 No Limit Hold'em - PokerStars Championship Main Event (Event #23)PokerStars Championship Bahamas, Paradise Island",14th,"$ 32,200"
22-Aug-2016,"€ 5,000 + 300 No Limit Hold'em - EPT Main Event (Event #24)European Poker Tour - EPT Barcelona, Barcelona",50th,"$ 20,285"
29-Jun-2016,"$ 10,000 Pot-Limit Omaha 8-Handed Championship (Event #51)47th World Series of Poker - WSOP 2016, Las Vegas",36th,"$ 18,925"
24-Jun-2016,"$ 1,500 No Limit Hold'em Monster Stack (NO re-entry) (Event #41)47th World Series of Poker - WSOP 2016, Las Vegas",398th,"$ 4,319"
21-Jun-2016,"$ 2,500 Mixed Omaha/Seven Card Stud Hi-Lo 8 or Better (Event #36)47th World Series of Poker - WSOP 2016, Las Vegas",11th,"$ 10,586"
15-Jun-2016,"$ 10,000 H.O.R.S.E. Championship (Event #24)47th World Series of Poker - WSOP 2016, Las Vegas",1st,"$ 422,874"
11-Jun-2016,"$ 10,000 No Limit 2-7 Draw Lowball Championship (Event #16)47th World Series of Poker - WSOP 2016, Las Vegas",1st,"$ 273,335"
18-Feb-2016,"€ 10,000 + 300 #54 No Limit Hold'em High Roller - 8 HandedEuropean Poker Tour - EPT Dublin, Dublin",18th,"$ 23,989"
24-Jan-2016,"A$ 98,000 + 2,000 No Limit Hold'em $100,000 Challenge (Event #12)2016 Aussie Millions Poker Championship, Melbourne",3rd,"A$ 602,700"
08-Jan-2016,"$ 5,300 #26 No Limit Hold'em - PCA Main EventPokerStars Caribbean Adventure - PCA 2016, Paradise Island",20th,"$ 421,932"
27-Nov-2015,"$ 3,500 No Limit Hold'em Main Event (Event #8)2015 Rock 'N' Roll Poker Open, Hollywood",29th,"$ 32,360"
26-Oct-2015,"€ 10,000 + 200 #41 No Limit Hold'em   - High Roller - 8 HandedEuropean Poker Tour - EPT Malta, St. Julian’s",10th,"$ 11,521"
26-Aug-2015,"€ 1,000 + 100 No Limit Hold'em - Hyperturbo #46European Poker Tour - EPT Barcelona, Barcelona",7th,"$ 29,350"
26-Jun-2015,"$ 10,000 Pot Limit Omaha Championship (Event #54)46th World Series of Poker - WSOP 2015, Las Vegas",2nd,"$ 9,728"
15-Jun-2015,"$ 5,000 No Limit Hold'em Six Handed (Event #32)46th World Series of Poker - WSOP 2015, Las Vegas",1st,"$ 572,989"
02-May-2015,"€ 10,000 + 600 No Limit Hold'em - EPT Main Event (Event #27)European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",28th,"$ 633,357"
13-Apr-2015,"$ 2,200 Eight Game Mix (Event #10)World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",1st,"$ 33,552"
03-Feb-2015,"$ 2,200 No Limit Hold'em - Six Max #152015 World Poker Tour - WPT Lucky Hearts Poker Open, Hollywood",2nd,"$ 18,000"
14-Jan-2015,"$ 9,700 + 600 #34 No Limit Hold'em - Turbo 6 HandedPokerStars Caribbean Adventure - PCA 2015, Paradise Island",4th,"$ 36,520"
05-Dec-2014,"$ 97,000 + 3,000 No Limit Texas Hold'em Super High RollerWorld Poker Tour - WPT Alpha8 Saint Kitts, St. Kitts",1st,"$ 86,160"
28-Aug-2014,"$ 5,300 No Limit Hold'em SHRPO Main Event (#Event 16)2014 Seminole Hard Rock Poker Open, Hollywood",209th,"$ 727,500"
27-Jun-2014,"$ 100,000 + 2,000 No Limit Hold'em Super High RollerSuper High Roller , Las Vegas",2nd,"$ 7,483"
02-Jun-2014,"$ 1,500 No Limit Hold'em - Six Handed (Event #11)45th World Series of Poker - WSOP 2014, Las Vegas",86th,"$ 1,622,181"
21-Mar-2014,"$ 3,500 No Limit Hold'em Main EventWorld Poker Tour - WPT Jacksonville bestbet Open, Jacksonville",16th,"$ 3,856"
14-Feb-2014,"$ 97,500 + 2,500 No Limit Hold'em - WPT Alpha8World Poker Tour - WPT Alpha8 Johannesburg, Johannesburg",3rd,"$ 9,722"
02-Feb-2014,"A$ 25,000 No Limit Hold'em - $25,000 Challenge2014 Aussie Millions Poker Championship, Melbourne",3rd,"$ 200,000"
07-Jan-2014,"$ 2,000 + 200 Open Face ChinesePokerStars Caribbean Adventure - PCA 2014, Paradise Island",5th,"A$ 265,538"
24-Jun-2013,"$ 3,000 No Limit Hold'em (Event #44)44th World Series of Poker - WSOP 2013, Las Vegas",16th,"$ 232,302"
17-Jun-2013,"$ 1,500 Pot Limit Omaha Hi/Lo (Event #31)44th World Series of Poker - WSOP 2013, Las Vegas",83rd,"$ 8,740"
09-Jun-2013,"$ 5,000 Pot Limit Hold'em (Event #19)44th World Series of Poker - WSOP 2013, Las Vegas",22nd,"$ 21,773"
13-May-2013,"€ 98,000 + 2,000 No Limit Hold'em - Super High Roller - 8 MaxEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",2nd,"$ 2,830"
06-May-2013,"€ 2,000 + 150 Open Face Chinese Poker - Re-EntryEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",1st,"$ 7,881"
10-Mar-2013,"£ 5,000 + 250 No Limit Hold'em - EPT Main EventEuropean Poker Tour - EPT London, London",25th,"$ 1,462,964"
03-Dec-2012,"€ 3,300 No Limit Hold'em - Main EventWorld Poker Tour - WPT Prague, Prague",12th,"$ 62,940"
26-Sep-2012,"€ 10,000 + 450 No Limit Hold'em - Mixed Max (Event #5)World Series Of Poker Europe - WSOPE 2012, Cannes",14th,"$ 22,572"
10-Sep-2012,"€ 7,500 No Limit Hold'em - Main EventWorld Poker Tour - WPT Rendez-Vous à Paris, Paris",27th,"$ 30,420"
05-Jul-2012,"$ 10,000 No Limit 2-7 Draw Lowball (Event #60)43rd World Series of Poker - WSOP 2012, Las Vegas",12th,"$ 26,671"
21-Jun-2012,"$ 10,000 Pot Limit Omaha (Event #39)43rd World Series of Poker - WSOP 2012, Las Vegas",8th,"$ 16,751"
02-Jun-2012,"$ 1,500 No Limit Hold'em - Re-Entry (Event #9A)43rd World Series of Poker - WSOP 2012, Las Vegas",260th,"$ 19,272"
05-Mar-2012,"$ 9,500 + 500 No Limit Hold'em - Championship BountyWorld Poker Tour - WPT Bay 101 Shooting Star, San Jose",27th,"$ 72,132"
14-Dec-2011,"$ 20,000 Mix-Max No-Limit Hold'Em - League Main Event 2011-12 Epic Poker League - Event 3, Las Vegas",7th,"$ 3,216"
12-Oct-2011,"€ 10,000 + 400 Mixed No Limit Hold'emWorld Series Of Poker Europe - WSOPE 2011, Cannes",9th,"$ 19,200"
03-Oct-2011,"£ 2,000 + 150 European 8 Game ChampionshipsEuropean Poker Tour - EPT London, London",7th,"$ 89,680"
09-Aug-2011,"$ 20,000 No Limit Hold'em Six Handed - League Main Event 2011-12 Epic Poker League - Event 1, Las Vegas",3rd,"$ 35,558"
20-Jun-2011,"$ 5,000 Pot Limit Omaha - Six Handed42nd World Series of Poker - WSOP 2011, Las Vegas",1st,"$ 6,658"
06-Jun-2011,"$ 10,000 Omaha Hi/Lo Championship42nd World Series of Poker - WSOP 2011, Las Vegas",27th,"$ 360,970"
13-May-2011,"€ 2,000 EPT 7 Champion of Champions Event European Poker Tour - EPT Madrid Grand Final, Madrid",1st,"$ 619,575"
12-Apr-2011,"$ 10,000 No Limit Hold'em - High Roller Bounty ShootoutNorth American Poker Tour - NAPT Uncasville, Uncasville",1st,"$ 16,329"
13-Jan-2011,"$ 25,000 + 500 No Limit Hold'em - High Roller EventPokerStars Caribbean Adventure - PCA 2011, Paradise Island",8th,"$ 74,212"
12-Nov-2010,"$ 4,750 + 250 No Limit Hold'em - Main EventNorth American Poker Tour - NAPT Los Angeles, Los Angeles (Bell Gardens)",7th,"$ 246,600"
28-Sep-2010,"£ 2,000 + 150 European 8 Game ChampionshipEuropean Poker Tour - EPT London, London",3rd,"$ 129,480"
01-Jul-2010,"$ 10,000 Pot Limit Omaha Championship41st World Series of Poker - WSOP 2010, Las Vegas",10th,"$ 84,857"
16-Jun-2010,"$ 1,500 H.O.R.S.E.41st World Series of Poker - WSOP 2010, Las Vegas",44th,"$ 30,782"
15-Apr-2010,"€ 5,000 + 300 No Limit Hold'em - Main EventEuropean Poker Tour - EPT Sanremo, Sanremo",100th,"$ 50,867"
