Date,Event Name,Placement,Earning
05-Aug-2023,"$ 125,000 + 7,500 No Limit Hold'em - Main Event (Event #11)Triton Poker Super High Roller Series London, London",2nd,"$ 2,830,000"
02-May-2023,"€ 25,000 No Limit Hold'em (Event 29)European Poker Tour - EPT Monte Carlo, Monte Carlo",2nd,"$ 225,547"
25-Feb-2023,"€ 25,000 No Limit Hold'em - Single Re-Entry (Event #34)European Poker Tour - EPT Paris, Paris",3rd,"$ 153,773"
27-Jan-2023,"$ 25,000 No Limit Hold'em - 8-Handed (Event #31)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",5th,"$ 220,700"
05-May-2022,"€ 25,000 No Limit Hold'em - EPT Monte Carlo High Roller (Event 36)European Poker Tour - EPT Monte Carlo, Monte Carlo",7th,"$ 171,416"
05-Sep-2020,"$ 1,050 No Limit Hold'em - Beat the Pros [Bounty] (Event #82)World Series of Poker - WSOP Online 2020 at GGPoker, Online",196th,"$ 1,617"
02-Aug-2020,"$ 1,500 MILLIONAIRE MAKER (Event #48)World Series of Poker - WSOP Online 2020 at GGPoker, Online",199th,"$ 6,076"
09-Dec-2019,"€ 50,000 No Limit Hold'em - EPT Super High Roller (Event #12)European Poker Tour - EPT Prague, Prague",5th,"$ 212,552"
27-Oct-2019,"€ 10,000 + 350 No Limit Hold'em - WSOPE Main Event Turbo EditionWorld Series of Poker Europe - WSOPE 2019, Rozvadov",1st,"$ 41,175"
22-Oct-2019,"€ 2,200 Pot Limit Omaha - 8-Handed (Event #11)World Series of Poker Europe - WSOPE 2019, Rozvadov",35th,"$ 3,581"
25-Aug-2019,"€ 2,200 No Limit Hold'em - EPT National High Roller (Event #19)European Poker Tour - EPT Barcelona, Barcelona",189th,"$ 4,124"
30-Apr-2019,"€ 50,000 No Limit Hold'em (Event #20)European Poker Tour - EPT Monte Carlo, Monte Carlo",6th,"$ 201,065"
24-Oct-2018,"€ 25,000 + 500 No Limit Hold'em - Highroller (Event #8)World Series of Poker Europe - WSOPE 2018, Rozvadov",11th,"$ 67,868"
28-Aug-2018,"€ 50,000 No Limit Hold'em (Event #17)European Poker Tour - EPT Barcelona, Barcelona",2nd,"$ 818,765"
09-Apr-2018,"€ 50,000 + 1,000 No Limit Hold'em - €50k Super High Roller #5partypoker LIVE - partypoker MILLIONS Barcelona Grand Final, Barcelona",5th,"$ 257,836"
08-Jan-2018,"$ 49,700 + 300 #8 No Limit Hold'em - High RollerPokerStars Caribbean Adventure - PCA 2018, Paradise Island",3rd,"$ 339,480"
15-Dec-2017,"€ 5,200 No Limit Hold'em - Hyperturbo  ( Event #32 )PokerStars Championship Prague, Prague",4th,"$ 31,536"
22-Aug-2017,"€ 2,150 No Limit Hold'em - Turbo - 8 Handed #25PokerStars Championship Barcelona, Barcelona",25th,"$ 5,064"
16-Dec-2016,"€ 25,000 + 500 No Limit Hold'em - 8-Handed (Single Day HR III)European Poker Tour - EPT Prague, Prague",5th,"$ 58,471"
15-Dec-2016,"€ 25,000 + 500 No Limit Hold'em - 8-Handed (Single Day HR II)European Poker Tour - EPT Prague, Prague",2nd,"$ 166,065"
19-Oct-2016,"€ 1,000 + 100 No Limit Hold'em (Event #10)European Poker Tour - EPT Malta, St. Julian’s",8th,"$ 2,255"
