Date,Event Name,Placement,Earning
08-Aug-2023,"$ 10,000 No Limit Hold'em - Deep Stack - 8-Handed (Event 51)Seminole Hard Rock Poker Open (SHRPO), Hollywood",9th,"$ 32,000"
16-Jul-2023,"$ 777 No Limit Hold'em - Lucky 7's (Online Bracelet Event 20) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",163rd,"$ 1,305"
12-Jul-2023,"$ 50,000 No Limit Hold'em - High Roller - 8-Handed (Bracelet Event 84)54th World Series of Poker - WSOP 2023, Las Vegas",21st,"$ 88,506"
02-Jul-2023,"$ 500 No Limit Hold'em - Deepstack (Online Bracelet Event 12) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",216th,"$ 1,090"
25-Jun-2023,"$ 25,000 Pot Limit Omaha - High Roller - 8-Handed (Bracelet Event 57)54th World Series of Poker - WSOP 2023, Las Vegas",8th,"$ 209,392"
21-Jun-2023,"$ 10,000 Pot Limit Omaha Championship - 8-Handed (Bracelet Event 50)54th World Series of Poker - WSOP 2023, Las Vegas",98th,"$ 16,088"
14-Jun-2023,"$ 7,000 + 3,000 No Limit Hold'em - Secret Bounty (Bracelet Event 35)54th World Series of Poker - WSOP 2023, Las Vegas",4th,"$ 233,690"
09-Jun-2023,"$ 3,200 + 300 No Limit Hold'em - BetMGM Poker Championship2023 Aria Poker Classic, Las Vegas",40th,"$ 12,542"
21-May-2023,"$ 525 No Limit Hold'em - Main Event - 8-Max (Online Ring Event 12)World Series of Poker Circuit - WSOPC ONLINE Circuit, Online",17th,"$ 2,149"
28-Apr-2023,"$ 3,500 No Limit Hold'em - WPT Showdown Championship (Event 47)World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",191st,"$ 6,300"
03-Apr-2023,"$ 50,000 No Limit Hold'em - U.S. Poker Open #10PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",3rd,"$ 296,000"
18-Mar-2023,"$ 25,000 Pot Limit Omaha - Championship (Event #8)PokerGO Tour - 2023 PGT PLO Series, Las Vegas",10th,"$ 62,250"
08-Mar-2023,"$ 10,500 Pot Limit Omaha - High RollerWynn Millions Poker Series, Las Vegas",5th,"$ 53,130"
22-Feb-2023,"$ 3,000 No Limit Hold'em - High Roller (Ring Event 17)World Series of Poker Circuit - WSOPC Las Vegas, Las Vegas",6th,"$ 14,154"
03-Feb-2023,"$ 2,910 + 190 No Limit Hold'em (Event #68)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",13th,"$ 8,800"
28-Jan-2023,"$ 25,000 Pot Limit Omaha - PCA PLO High Roller (Event #33)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",3rd,"$ 163,750"
25-Jan-2023,"$ 2,200 No Limit Hold'em - Deep Stack (Event #17)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",1st,"$ 144,610"
