Date,Event Name,Placement,Earning
03-Jul-2023,"$ 10,000 No Limit Hold'em - WSOP Main Event  (Bracelet Event 76)54th World Series of Poker - WSOP 2023, Las Vegas",403rd,"$ 40,000"
02-Mar-2023,"A$ 1,800 + 200 No Limit Hold'em - WPT Prime Gold Coast Main EventWorld Poker Tour Prime - WPT Prime Gold Coast, Gold Coast",156th,"A$ 1,720"
03-Nov-2021,"$ 10,000 Pot Limit Omaha Hi/Lo - 8 Handed Championship (Event #66)52nd World Series of Poker - WSOP 2021, Las Vegas",32nd,"$ 1,161"
20-Jan-2021,"A$ 2,500 + 250 No Limit Hold'em - Event #4 GoliathAustralian Poker Tour - APT Brisbane, Brisbane",2nd,"$ 16,077"
22-Oct-2019,"A$ 2,050 + 250 No Limit Hold'em - VPC #10 Main Event2019 Victorian Poker Championships, Melbourne",31st,"A$ 53,500"
28-Jun-2019,"$ 10,000 Pot Limit Omaha - Hi-Lo 8 or Better 8-Handed Championship (Event #65)50th World Series of Poker - WSOP 2019, Las Vegas",3rd,"$ 41,373"
13-Jun-2019,"$ 1,000 No Limit Hold'em - Seniors Championship (Event #32) 50th World Series of Poker - WSOP 2019, Las Vegas",398th,"A$ 5,190"
31-Jan-2019,"A$ 2,250 + 250 Pot Limit Omaha #192019 Aussie Millions Poker Championship, Melbourne",4th,"$ 3,563"
19-Oct-2018,"A$ 2,050 + 250 No Limit Hold'em - VPC #10 Main Event2018 Victorian Poker Championships, Melbourne",18th,"$ 201,041"
25-Jun-2018,"$ 3,500 No Limit Hold'em - MSPT Big Blind Ante Event #89DeepStack Championship Poker Series, Las Vegas",112th,"$ 2,560"
22-Jun-2018,"$ 2,500 Mixed Omaha Hi-Lo/Stud Hi-Lo (Event #46)49th World Series of Poker - WSOP 2018, Las Vegas",49th,"A$ 29,360"
01-Jun-2018,"NZ$ 2,200 No Limit Hold'em - WPT New Zealand Main Event (Event #6)World Poker Tour - WPT New Zealand, Auckland",24th,"$ 21,154"
06-Dec-2017,"A$ 4,750 + 250 No Limit Hold'em - $5K Challenge (Re-Entry) 2 Day Event ( Event #5)WSOP International Circuit - WSOPC Sydney, Sydney",10th,"A$ 9,510"
04-Aug-2017,"A$ 2,800 + 200 No Limit Hold'em - Main Event  (Event #11)2017 Sydney Championships, Sydney",9th,"$ 6,773"
16-Jun-2017,"$ 1,500 Pot Limit Omaha Hi/Lo/ Limit Omaha Hi/Lo (Event #32)48th World Series of Poker - WSOP 2017, Las Vegas",85th,"$ 6,664"
12-Aug-2016,"A$ 1,500 + 150 No Limit Hold'em - Joe Hachem Poker Challenge Main Event (Event #10)2016 Joe Hachem Poker Challenge, Melbourne",27th,"$ 3,891"
21-Jun-2016,"$ 5,000 No Limit Hold'em Six-Handed (Event #35)47th World Series of Poker - WSOP 2016, Las Vegas",44th,"NZ$ 5,760"
10-Dec-2015,"$ 10,000 + 400 Pot Limit Omaha (Event #9)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",3rd,"$ 4,030"
01-Jul-2015,"$ 10,000 H.O.R.S.E. Championship (Event #63)46th World Series of Poker - WSOP 2015, Las Vegas",5th,"A$ 20,362"
22-Jun-2015,"$ 3,000 Pot Limit Omaha Six Handed (Event #46)46th World Series of Poker - WSOP 2015, Las Vegas",68th,"$ 15,529"
19-Apr-2015,"A$ 2,250 + 150 No Limit Hold'em - High RollerPoker SA Classic Series, Maylands",1st,"A$ 28,000"
12-Apr-2014,"A$ 2,200 + 200 No Limit Hold'em - High Roller Events - Diamond Event2014 Poker SA Poker Room Recurring Tournaments, Maylands",3rd,"$ 22,226"
26-Feb-2014,"$ 2,140 Pot Limit OmahaWorld Poker Tour - WPT L.A. Poker Classic, Los Angeles",4th,"$ 2,275"
07-Apr-2013,"A$ 1,650 Pot Limit OmahaWorld Series of Poker Asia-Pacific - WSOP APAC 2013, Melbourne",17th,"A$ 3,685"
17-Jan-2013,"A$ 1,100 No Limit Hold'em - Day 1 Flight 12013 Aussie Millions Poker Championship, Melbourne",14th,"$ 2,841"
24-Feb-2012,"$ 10,000 No Limit Hold'em - Championship2012 L.A. Poker Classic, Los Angeles",12th,"$ 9,523"
19-Jan-2012,"A$ 1,000 + 100 No Limit Hold'em - Six Handed2012 Aussie Millions Poker Championship, Melbourne",27th,"$ 57,715"
22-Jun-2011,"$ 2,500 Pot Limit Hold'em/Omaha42nd World Series of Poker - WSOP 2011, Las Vegas",12th,"$ 114,308"
05-Mar-2011,"$ 4,750 + 250 Main Event - No Limit Hold'emThe Big Event, Los Angeles (Bell Gardens)",2nd,"$ 5,027"
26-Jan-2011,"A$ 5,000 + 300 Pot Limit Omaha2011 Aussie Millions Poker Championship, Melbourne",5th,"A$ 39,300"
20-Aug-2010,"$ 5,000 No Limit Hold'em - Championship Event2010 Legends of Poker, Los Angeles (Bell Gardens)",43rd,"$ 30,539"
27-Jun-2010,"No Limit Hold'em - Tournament of Champions 41st World Series of Poker - WSOP 2010, Las Vegas",4th,"A$ 27,000"
29-Mar-2010,"A$ 1,000 + 100 Mixed Event - 8 GameJoe Hachem Deep Stack Series 4, Melbourne",3rd,"$ 25,362"
07-Dec-2009,"APPT Tournament of ChampionsAsia Pacific Poker Tour - APPT Sydney, Sydney",3rd,"$ 13,600"
10-Aug-2009,"A$ 1,250 State of Origin - Team Event2009 Victorian Poker Championship, Melbourne",11th,"A$ 3,460"
12-Mar-2009,"A$ 340 No Limit Hold'em - Terminator2009 Joe Hachem Deep Stack Series, Melbourne",16th,"$ 3,620"
11-Aug-2008,"A$ 1,000 + 100 H.O.R.S.E.2008 Victorian Poker Championship, Melbourne",5th,"A$ 9,500"
24-Jun-2008,"$ 1,500 Pot Limit Omaha Hi/Lo39th World Series of Poker - WSOP 2008, Las Vegas",35th,"$ 10,029"
10-Mar-2008,"$ 9,600 + 400 No Limit Hold'em - Championship EventWorld Poker Tour - WPT Bay 101 Shooting Star, San Jose",20th,"$ 60,610"
23-Nov-2007,"$ 2,500 APPT Main Event - No Limit Hold'emAsia Pacific Poker Tour - APPT Macau, Taipa",8th,"A$ 3,115"
29-Jul-2007,"A$ 1,100 No Limit Hold'em2007 Victorian Poker Championships, Melbourne",10th,"$ 3,207"
Jun-2007,"$ 20,000 Week 1 - Champions Week Poker After Dark (PAD) Season II, Las Vegas",1st,"$ 18,018"
14-Dec-2006,"$ 15,000 + 400 WPT Doyle Brunson North American Poker Classic - No Limit Hold'emFifth Annual Five Diamond World Poker Classic, Las Vegas",1st,"$ 300,000"
19-Jul-2006,"$ 2,500 Pot Limit Hold'em37th World Series of Poker - WSOP 2006, Las Vegas",4th,"A$ 15,000"
30-Jun-2006,"$ 2,500 Short Handed No Limit Hold'em37th World Series of Poker - WSOP 2006, Las Vegas",2nd,"$ 14,835"
30-Apr-2006,"A$ 680 + 70 Main Event - No Limit Hold'em2006 Melbourne Texas Hold'em Championship, Melbourne",3rd,"$ 10,200"
04-Jan-2006,"$ 7,800 WPT - Main Event - No Limit Hold'emPokerStars Caribbean Adventure - PCA 2006, Paradise Island",67th,"$ 25,000"
18-Nov-2005,"$ 1,000 + 60 No Limit Hold'emBellagio Weekly Tournaments - Nov 2005, Las Vegas",7th,"A$ 3,570"
04-Jul-2005,"$ 1,000 No Limit Hold'em36th World Series of Poker - WSOP 2005, Las Vegas",10th,"$ 3,281"
22-Aug-2004,"A$ 1,000 + 100 No Limit Hold'em Main Event2004 Victorian Poker Championships, Melbourne",9th,"A$ 1,500"
08-May-2004,"A$ 25 + 25 TerminatorMelbourne Hold'em Championships, Melbourne",6th,"$ 1,243"
04-May-2004,"A$ 105 + 20 No Limit Hold'emMelbourne Hold'em Championships, Melbourne",18th,A$ 614
02-Jan-2003,"A$ 360 Hold'emCrown Australasian Poker Championships - 2003, Melbourne",8th,$ 393
24-Aug-2001,"A$ 1,500 No Limit Hold'emAustralasian Poker Championships - 2001, Melbourne",16th,"A$ 3,680"
,,,"$ 3,417"
28-Jun-2023,"$ 1,500 Pot Limit Omaha Hi-Lo 8 or Better (Bracelet Event 66)54th World Series of Poker - WSOP 2023, Las Vegas",139th,"$ 4,619"
27-Feb-2023,"A$ 4,700 + 300 No Limit Hold'em - 5k Challenge (Event 6)World Poker Tour Prime - WPT Prime Gold Coast, Gold Coast",2nd,"$ 20,000"
28-Oct-2021,"$ 2,500 Nine Game Mix - 6 Handed (Event #54)52nd World Series of Poker - WSOP 2021, Las Vegas",14th,"$ 24,288"
20-Jan-2020,"A$ 1,025 + 125 Pot Limit Omaha Hi/Lo (Event #18)2020 Aussie Millions Poker Championship, Melbourne",8th,"A$ 4,920"
04-Oct-2019,"A$ 2,250 + 250 No Limit Hold'em - WPT Australia Main Event (Event #8)World Poker Tour - WPT Australia, Gold Coast",16th,"$ 4,351"
19-Jun-2019,"$ 25,000 Pot Limit Omaha - High Roller 8-Handed (Event #45)50th World Series of Poker - WSOP 2019, Las Vegas",39th,"$ 120,000"
06-Mar-2019,"A$ 3,000 No Limit Hold'em - $3k ChallengeAsia Poker League - APL Million Sydney, Sydney",3rd,"$ 2,207,575"
11-Dec-2018,"$ 10,000 + 400 No Limit Hold'em - WPT Five Diamond World Poker Classic Main EventWorld Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",85th,"$ 90,482"
10-Jul-2018,"$ 1,500 No Limit Hold'em/Pot Limit Omaha Mixed (Event #72)49th World Series of Poker - WSOP 2018, Las Vegas",58th,"$ 256,800"
23-Jun-2018,"$ 10,000 Pot Limit Omaha - Championship (Event #49)49th World Series of Poker - WSOP 2018, Las Vegas",61st,"A$ 26,860"
03-Jun-2018,"NZ$ 5,300 No Limit Hold'em - WPT High Roller (Event #7)World Poker Tour - WPT New Zealand, Auckland",2nd,"$ 19,946"
27-Apr-2018,"A$ 1,500 + 150 No Limit Hold'em -Main Event2018 Crown Poker Championship CPC, Melbourne",32nd,"$ 12,000"
