Date,Event Name,Placement,Earning
18-Jul-2023,"$ 1,000 No Limit Hold'em - Super Turbo (Bracelet Event 95)54th World Series of Poker - WSOP 2023, Las Vegas",95th,"$ 2,316"
15-Jun-2023,"$ 2,000 No Limit Hold'em (Bracelet Event 37)54th World Series of Poker - WSOP 2023, Las Vegas",66th,"$ 7,837"
03-Jul-2022,"$ 10,000 No Limit Hold'em - WSOP Main Event (Event #70)53rd World Series of Poker - WSOP 2022, Las Vegas",168th,"$ 53,900"
05-Mar-2019,"HK$ 1,000,000 No Limit Hold'em - Short Deck Ante Only (Event #5)Triton Poker Super High Roller Series Jeju, Jeju",7th,"HK$ 3,700,000"
03-Dec-2018,"KRW 11,300,000 + 700,000 No Limit Hold'em - High Roller (Event #8)Jeju Red Dragon 2018, Jeju",12th,"$ 471,368"
19-Mar-2018,"HK$ 40,000 No Limit Hold'em - APPT Main Event (Event #7)Asia Pacific Poker Tour - APPT Macau, Macau",7th,"$ 19,185"
27-Oct-2017,"HK$ 240,000 + 10,000 No Limit Hold'em - High Roller2017 Asia Championship of Poker (ACOP), Macau",4th,"HK$ 431,500"
25-Aug-2017,"€ 10,300 No Limit Hold'em - PokerStars Championship High Roller #41PokerStars Championship Barcelona, Barcelona",55th,"$ 55,007"
03-May-2017,"€ 25,750 No Limit Hold'em - PokerStars Championship High Roller Eight Max (Event 57)PokerStars Championship presented by Monte-Carlo Casino, Monte Carlo",2nd,"HK$ 1,240,000"
06-Apr-2017,"HK$ 200,000 + 6,000 No Limit Hold'em #35PokerStars Championship Macau, Macau",6th,"$ 158,926"
04-Nov-2016,"HK$ 490,000 + 10,000 No Limit Hold'em Main EventTriton Poker Super High Roller Series Philippines, Paranaque City",4th,"$ 26,136"
14-Dec-2015,"€ 10,000 + 300 #81 No Limit Hold'em -High Roller -  8 HandedEuropean Poker Tour - EPT Prague, Prague",29th,"$ 747,332"
13-Nov-2015,"HK$ 480,000 + 20,000 No Limit Hold'em - Super High RollerAsia Pacific Poker Tour - APPT Asia Championship of Poker, Macau",2nd,"HK$ 645,000"
05-Jul-2014,"$ 10,000 World Championship - No Limit Hold'em (Event #65)45th World Series of Poker - WSOP 2014, Las Vegas",293rd,"$ 83,010"
30-Apr-2014,"€ 25,000 + 500 No Limit Hold'em - High Roller 8 MaxEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",4th,"HK$ 4,533,500"
18-Dec-2013,"$ 48,000 + 2,000 No Limit Hold'em High Roller Day 1World Poker Tour - WPT South Korea, Jeju",1st,"$ 584,560"
06-May-2013,"€ 10,000 + 600 No Limit Hold'em - Main EventEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",11th,"$ 24,501"
31-Aug-2012,"HK$ 2,000,000 No Limit Hold'em - Super High Roller2012 Macau High Stakes Challenge Super High Roller, Macau",5th,"HK$ 5,574,000"
07-Jul-2012,"$ 10,000 World Championship - No Limit Hold'em (Event #61)43rd World Series of Poker - WSOP 2012, Las Vegas",237th,"$ 719,171"
02-Jun-2012,"$ 1,500 No Limit Hold'em - Re-Entry (Event #9A)43rd World Series of Poker - WSOP 2012, Las Vegas",52nd,"$ 33,734"
28-May-2012,"$ 1,500 No Limit Hold'em (Event #2)43rd World Series of Poker - WSOP 2012, Las Vegas",25th,"$ 590,816"
13-Jun-2011,"$ 2,500 8 Game42nd World Series of Poker - WSOP 2011, Las Vegas",6th,"$ 288,000"
14-Mar-2011,"$ 9,500 + 500 WPT Shooting Star Champinoship - No Limit Hold'emWorld Poker Tour - WPT Bay 101 Shooting Star, San Jose",25th,"$ 78,675"
03-Jan-2011,"$ 100,000 Week 1 - Big Heat Poker After Dark (PAD) Season VII, Las Vegas",6th,"HK$ 12,765,000"
29-Sep-2010,"£ 5,000 + 250 No Limit Hold'em - EPT Main Event (UKIPT Grand Final)European Poker Tour - EPT London, London",2nd,"$ 1,645,756"
25-Jun-2010,"$ 1,500 No Limit Hold'em41st World Series of Poker - WSOP 2010, Las Vegas",297th,"$ 38,453"
09-Jun-2010,"$ 10,000 World Championship No Limit Deuce to Seven Draw41st World Series of Poker - WSOP 2010, Las Vegas",4th,"$ 12,315"
28-May-2010,"$ 50,000 The Players Championship Event 8 Game41st World Series of Poker - WSOP 2010, Las Vegas",4th,"$ 15,287"
Dec-2009,"Heat 10 Full Tilt Poker Million VIII, Sky Sports",4th,"$ 42,897"
25-Sep-2009,"Caesars Cup - Europe vs USAWorld Series Of Poker Europe - WSOPE 2009, London",2nd,"$ 22,100"
29-Jun-2009,"$ 2,500 Deuce to Seven Triple Draw40th World Series of Poker - WSOP 2009, Las Vegas",4th,"$ 852,868"
10-Jun-2009,"$ 10,000 World Championship No Limit Deuce to Seven Draw40th World Series of Poker - WSOP 2009, Las Vegas",4th,"$ 2,801"
30-Mar-2009,"$ 20,000 Week 3 - International III Poker After Dark (PAD) Season V, Las Vegas",1st,"$ 78,088"
05-Oct-2008,"£ 20,000 + 300 No Limit Hold'em - High RollerEuropean Poker Tour - EPT London, London",2nd,"$ 436,865"
01-Sep-2008,"HK$ 25,000 No Limit Hold'em - Main EventAsia Pacific Poker Tour - APPT Macau, Taipa",26th,"$ 44,941"
14-Jun-2008,"$ 5,000 Pot Limit Omaha39th World Series of Poker - WSOP 2008, Las Vegas",6th,"$ 75,964"
06-Jun-2008,"$ 5,000 No Limit Hold'em - Shootout39th World Series of Poker - WSOP 2008, Las Vegas",7th,"$ 120,000"
25-Feb-2008,"$ 20,000 Week 6 - International Poker After Dark (PAD) Season III, Las Vegas",5th,"$ 598,770"
26-Nov-2007,"$ 15,000 High Roller Event - No Limit Hold'emAsia Pacific Poker Tour - APPT Macau, Taipa",6th,"HK$ 63,215"
27-Jun-2007,"$ 2,000 Omaha Hi/Lo Split38th World Series of Poker - WSOP 2007, Las Vegas",10th,"$ 8,096"
18-Jun-2007,"$ 2,500 No Limit Hold'em - Six Handed38th World Series of Poker - WSOP 2007, Las Vegas",57th,"$ 154,296"
Jun-2007,"$ 20,000 Week 7 - Poker Prowess Poker After Dark (PAD) Season II, Las Vegas",2nd,"$ 16,920"
29-May-2007,"$ 9,700 + 300 No Limit Hold'em - Championship Event2007 Mandalay Bay Poker Championship, Las Vegas",12th,"$ 46,080"
23-Nov-2006,"No Limit Hold'emFullTiltPoker.Net Championship, Las Vegas",5th,"$ 9,719"
26-Aug-2006,"$ 9,700 + 300 WPT Championship Event - No Limit Hold'em2006 Legends of Poker, Los Angeles (Bell Gardens)",8th,"$ 4,091"
24-Jul-2006,"$ 1,000 7 Card Stud Hi/Lo37th World Series of Poker - WSOP 2006, Las Vegas",24th,"$ 26,235"
08-Jul-2006,"$ 1,000 No Limit Hold'em37th World Series of Poker - WSOP 2006, Las Vegas",25th,"$ 25,000"
28-Jun-2006,"$ 1,500 Pot Limit Hold'em37th World Series of Poker - WSOP 2006, Las Vegas",8th,"$ 88,730"
04-Jun-2006,"$ 10,000 + 200 WPT Championship Event - No Limit Hold'emMandalay Bay Poker Championship, Las Vegas",27th,"$ 4,302"
06-Apr-2006,"$ 9,700 + 300 Championship Event - No Limit Hold'emFoxwoods Poker Classic 2006, Mashantucket",31st,"$ 11,589"
14-Jan-2006,"A$ 100,000 Speed Poker Million Dollar ChallengeCrown Australian Poker Championships 2006, Melbourne",1st,"$ 37,606"
25-Nov-2005,"$ 120,000 No Limit Hold'em $120,000 Full Tilt Poker Invitational, Monte Carlo",2nd,"$ 20,160"
20-Nov-2005,"$ 25,000 No Limit Hold'em2005 Monte Carlo Millions, Monte Carlo",6th,"$ 12,525"
22-Aug-2005,"$ 10,000 Championship Event - No Limit Hold'emWSOP Circuit - WSOPC Tunica, Robinsonville",8th,"A$ 1,000,000"
07-Jul-2005,"$ 10,000 No Limit Texas Hold'em - World Championship Event36th World Series of Poker - WSOP 2005, Las Vegas",31st,"$ 732,901"
24-Jun-2005,"$ 2,500 No Limit Hold'em36th World Series of Poker - WSOP 2005, Las Vegas",26th,"$ 280,000"
13-Jun-2005,"$ 2,000 Pot Limit Omaha36th World Series of Poker - WSOP 2005, Las Vegas",17th,"$ 100,000"
11-Apr-2005,"$ 2,000 + 80 No Limit Hold'emThird Annual Five-Star World Poker Classic, Las Vegas",25th,"$ 51,015"
05-Mar-2005,"Heads-Up No Limit Hold'em2005 National Heads-Up Poker Championship, Las Vegas",5th,"$ 274,090"
06-Dec-2004,"$ 1,500 + 70 Seven Card Stud Hi/LoFive-Diamond World Poker Classic, Las Vegas",10th,"$ 12,145"
02-Dec-2004,"$ 1,500 + 70 Limit Hold'emFive-Diamond World Poker Classic, Las Vegas",8th,"$ 11,565"
07-Nov-2004,"$ 2,000 + 150 Seven Card Stud2004 World Poker Finals, Mashantucket",1st,"$ 3,525"
14-Oct-2004,"$ 1,500 + 70 No Limit Hold'em Final Day2004 Festa al Lago III Poker Tournament, Las Vegas",1st,"$ 75,000"
28-Sep-2004,"$ 6,000 + 200 No Limit Hold'em Final Day2004 Ultimatebet.com Poker Classic, Palm Beach",5th,"$ 2,815"
08-Jul-2004,"$ 10,000 No-Limit Hold'emChampionship Poker, Verona",3rd,"$ 6,053"
18-May-2004,"$ 3,000 No-Limit Hold'em35th World Series of Poker - WSOP 2004, Las Vegas",15th,"$ 41,340"
13-May-2004,"$ 5,000 Seven Card Stud World Championship35th World Series of Poker - WSOP 2004, Las Vegas",6th,"$ 151,485"
28-Apr-2004,"$ 1,000 No-Limit Hold'em35th World Series of Poker - WSOP 2004, Las Vegas",2nd,"$ 130,000"
10-Apr-2004,"$ 5,000 + 150 No Limit Hold'emWorld Poker Tour - WPT Championship, Las Vegas",7th,"$ 125,000"
30-Mar-2004,"$ 5,000 + 100 WPT No Limit Hold'em Championship2004 World Poker Challenge, Reno",16th,"$ 16,180"
24-Feb-2004,"Main Event - No Limit Hold'em World Poker Tour - WPT Invitational, Los Angeles",3rd,"$ 33,840"
16-Jun-2003,"$ 500 + 40 Pot Limit Hold'emCalifornia State Poker Championship 2003, Los Angeles",6th,"$ 193,020"
16-May-2003,"$ 2,500 Pot Limit Omaha34th World Series of Poker - WSOP 2003, Las Vegas",1st,"$ 63,420"
08-May-2003,"$ 5,000 Pot Limit Omaha34th World Series of Poker - WSOP 2003, Las Vegas",7th,"$ 13,070"
20-Apr-2003,"$ 1,500 Pot Limit Hold'em34th World Series of Poker - WSOP 2003, Las Vegas",10th,"$ 18,000"
12-Apr-2003,"$ 2,500 No Limit Hold'emWorld Poker Tour - WPT Championship, Las Vegas",5th,"$ 4,445"
06-Feb-2003,"$ 1,500 + 80 Seven Card Stud Championship2003 L.A. Poker Classic, Los Angeles",1st,"$ 203,840"
07-Dec-2002,"$ 1,000 + 60 Omaha Hi/LoBellagio Five Diamond Poker Classic - 2002, Las Vegas",10th,"$ 13,800"
01-Oct-2002,"$ 1,000 Pot Limit Hold'em2002 Four Queens Poker Classic, Las Vegas",7th,"$ 3,540"
08-Sep-2002,"$ 1,500 Pot Limit Hold'emHall of Fame Poker Classic 2002, Las Vegas",1st,"$ 21,996"
03-Sep-2002,"$ 500 Omaha Hi/LoHall of Fame Poker Classic 2002, Las Vegas",1st,"$ 141,555"
27-Aug-2002,"$ 1,000 + 60 Pot Limit Hold'em2002 Legends of Poker, Los Angeles (Bell Gardens)",4th,"$ 1,559"
02-Aug-2002,"$ 300 + 30 No Limit Hold'em2002 Legends of Poker, Los Angeles (Bell Gardens)",1st,"$ 2,080"
13-Jun-2002,"$ 300 + 30 LowballCalifornia State Poker Championship 2002, Los Angeles",7th,"$ 36,850"
