Date,Event Name,Placement,Earning
15-Nov-2018,"$ 10,000 + 300 No Limit Hold'em - High Rollerpartypoker LIVE - partypoker Caribbean Poker Party, Nassau",20th,"$ 20,000"
11-Jul-2018,"$ 1,000 No Limit Hold'em - Double Stack (Event #73)49th World Series of Poker - WSOP 2018, Las Vegas",152nd,"$ 1,571"
08-Jun-2018,"$ 565 Pot Limit Omaha (Event #19)49th World Series of Poker - WSOP 2018, Las Vegas",6th,"$ 33,477"
02-Jun-2018,"$ 565 No Limit Hold'em - Colossus (Event #7)49th World Series of Poker - WSOP 2018, Las Vegas",173rd,"$ 3,754"
21-Apr-2018,"C$ 1,000 + 100 No Limit Hold'em - MILLIONS Open  #1partypoker LIVE - partypoker MILLIONS North America, Kahnawake",130th,"C$ 3,000"
13-Nov-2017,"C$ 10,000 + 300 No Limit Hold'em - High Roller 8-Max Re-entry  ( Event #12 )World Poker Tour - WPT Montreal, Kahnawake",1st,"$ 2,361"
24-Jun-2017,"$ 10,000 Seven Card Stud Hi/Lo Championship (Event #48)48th World Series of Poker - WSOP 2017, Las Vegas",5th,"C$ 130,000"
08-May-2017,"C$ 2,300 + 200 No Limit Hold'em Hold'em Second Chance (Event #5)partypoker LIVE - partypoker MILLION North America, Kahnawake",1st,"$ 102,505"
17-Dec-2016,"Pot Limit Omaha2016 Tencent Poker Tournament, Sanya",32nd,"$ 72,876"
22-Jun-2016,"$ 3,000 Limit Hold'em 6-Handed (Event #38)47th World Series of Poker - WSOP 2016, Las Vegas",34th,"C$ 57,000"
13-Jun-2016,"$ 1,000 Pot-Limit Omaha (Event #19)47th World Series of Poker - WSOP 2016, Las Vegas",152nd,"$ 41,738"
26-Apr-2016,"C$ 365 No Limit Hold'em (Event #7)WSOP International Circuit - WSOPC Montreal, Montreal",8th,$ 288
17-Jan-2016,"$ 2,650 No Limit Hold'em (Event #9)2016 WPTDeepStacks - WPTDS Lucky Hearts Poker Open, Hollywood",9th,"$ 4,578"
21-Oct-2015,"€ 25,600 No Limit Hold'em - High Roller #10World Series of Poker Europe - WSOPE 2015, Berlin",1st,"$ 1,554"
09-Oct-2015,"€ 550 No Limit Hold'em - The Oktoberfest #2World Series of Poker Europe - WSOPE 2015, Berlin",186th,"C$ 1,103"
18-Sep-2015,"$ 1,000 + 90 No Limit Hold'em - Six Max (Event #14)World Poker Tour - WPT Borgata Poker Open, Atlantic City",1st,$ 870
14-Aug-2015,"$ 1,100 No Limit Hold'em - Turbo Freezeout (Event #19)Seminole Hard Rock Poker Open, Hollywood",16th,"$ 10,000"
28-Jun-2015,"$ 111,111 No Limit Hold'em High Roller for One-Drop (Event #58)46th World Series of Poker - WSOP 2015, Las Vegas",1st,"$ 628,915"
14-Jun-2015,"$ 3,000 Pot-Limit Omaha Hi-low Split-8 or Better (Event #31)46th World Series of Poker - WSOP 2015, Las Vegas",19th,"$ 1,098"
01-Jun-2015,"$ 1,500 Pot Limit Hold'em (Event #8)46th World Series of Poker - WSOP 2015, Las Vegas",24th,"$ 70,990"
14-Apr-2015,"$ 2,200 No Limit Hold'em Six Max (Event #11)World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",7th,"$ 2,460"
13-Feb-2015,"C$ 4,700 + 300 No Limit Hold'em WPT Main Event2015 Fallsview Poker Classic, Niagara Falls",43rd,"$ 3,989,985"
08-Jan-2015,"$ 9,700 + 600 #7 No Limit Hold'em - Main EventPokerStars Caribbean Adventure - PCA 2015, Paradise Island",42nd,"$ 9,408"
10-Oct-2014,"A$ 5,000 8 Game Mixed EventWorld Series of Poker Asia-Pacific - WSOP APAC 2014, Melbourne",3rd,"$ 5,883"
24-Aug-2014,"€ 1,000 + 100 #26 No Limit Hold'emEuropean Poker Tour - EPT Barcelona, Barcelona",32nd,"$ 9,775"
16-Jun-2014,"$ 5,000 No Limit Hold'em - Eight Handed (Event #35)45th World Series of Poker - WSOP 2014, Las Vegas",37th,"C$ 10,210"
20-May-2014,"C$ 10,000 + 400 No Limit Hold'Em - High RollerPokerStars Canada Cup, Kahnawake",4th,"$ 8,120"
19-Apr-2014,"€ 2,000 + 200 No Limit Hold'em - Deepstack - 8 HandedEuropean Poker Tour - EPT Sanremo, Sanremo",11th,"$ 27,700"
01-Mar-2014,"$ 10,000 No Limit Hold'em - WPT LA Poker Classic Main EventWorld Poker Tour - WPT L.A. Poker Classic, Los Angeles",61st,"A$ 34,291"
12-Dec-2013,"€ 5,000 + 300 No Limit Hold'em - EPT Main EventEuropean Poker Tour - EPT Prague, Prague",63rd,"$ 30,306"
16-Oct-2013,"€ 2,000 + 200 No Limit Hold'em (Event #4)World Series of Poker Europe - WSOPE 2013, Enghien-les-Bains",16th,"$ 3,839"
05-Sep-2013,"€ 10,000 + 300 No Limit Hold'em - High Roller Re-EntryEuropean Poker Tour - EPT Barcelona, Barcelona",5th,"$ 12,847"
05-Jul-2013,"$ 10,000 Pot Limit Omaha (Event #61)44th World Series of Poker - WSOP 2013, Las Vegas",18th,"C$ 34,620"
19-Jun-2013,"$ 3,000 Pot Limit Omaha (Event #35)44th World Series of Poker - WSOP 2013, Las Vegas",24th,"$ 31,868"
31-May-2013,"$ 1,500 No Limit Hold'em - 6 Handed (Event #4)44th World Series of Poker - WSOP 2013, Las Vegas",44th,"$ 5,105"
07-May-2013,"€ 5,000 + 200 No Limit Hold'em - 8 Max TurboEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",5th,"$ 18,970"
04-Apr-2013,"A$ 1,100 No Limit Hold'em - AccumulatorWorld Series of Poker Asia-Pacific - WSOP APAC 2013, Melbourne",4th,"$ 18,088"
12-Mar-2013,"£ 2,000 + 150 No Limit Hold'emEuropean Poker Tour - EPT London, London",11th,"$ 10,433"
07-Feb-2013,"€ 10,000 + 300 No Limit Hold'em - High Roller Single RebuyEuropean Poker Tour - EPT Deauville, Deauville",7th,"$ 157,846"
07-Dec-2012,"€ 10,000 + 300 No Limit Hold'em - High RollerWorld Poker Tour - WPT Prague, Prague",6th,"$ 32,691"
03-Jul-2012,"$ 10,000 No Limit Hold'em - Six Handed (Event #57)43rd World Series of Poker - WSOP 2012, Las Vegas",38th,"$ 11,915"
17-Jun-2012,"$ 1,000 No Limit Hold'em (Event #33)43rd World Series of Poker - WSOP 2012, Las Vegas",260th,"$ 4,892"
05-Mar-2012,"$ 9,500 + 500 No Limit Hold'em - Championship BountyWorld Poker Tour - WPT Bay 101 Shooting Star, San Jose",13th,"$ 18,358"
03-Feb-2012,"€ 2,000 + 200 No Limit Hold'emEuropean Poker Tour - EPT Deauville, Deauville",8th,"A$ 71,870"
09-Jan-2012,"$ 5,000 + 250 No Limit Hold'em - 8 MaxPokerStars Caribbean Adventure - PCA 2012, Paradise Island",1st,"$ 75,214"
05-Jan-2012,"$ 100,000 No Limit Hold'em - Super High Roller EventPokerStars Caribbean Adventure - PCA 2012, Paradise Island",4th,"$ 9,541"
19-Oct-2011,"€ 240 No Limit Hold'em - Charity EventWorld Series Of Poker Europe - WSOPE 2011, Cannes",3rd,"$ 51,829"
23-Jun-2011,"$ 5,000 No Limit Hold'em - Six Handed42nd World Series of Poker - WSOP 2011, Las Vegas",15th,"$ 36,390"
11-Mar-2011,"$ 10,000 + 300 Bounty ShootoutThe Big Event, Los Angeles (Bell Gardens)",6th,"$ 21,832"
08-Feb-2011,"No Limit Hold'em - November Nine FreerollMega Stack Challenge XIX, Mashantucket",5th,"$ 1,836"
05-Jul-2010,"$ 10,000 World Championship - No Limit Hold'em41st World Series of Poker - WSOP 2010, Las Vegas",1st,"$ 25,620"
