Date,Event Name,Placement,Earning
05-Aug-2023,"$ 125,000 + 7,500 No Limit Hold'em - Main Event (Event #11)Triton Poker Super High Roller Series London, London",14th,"$ 282,000"
31-Jul-2023,"$ 60,000 + 3,600 No Limit Hold'em - 7-Handed (Event #6)Triton Poker Super High Roller Series London, London",9th,"$ 156,000"
29-Jul-2023,"$ 20,000 + 2,400 + 20,000 No Limit Hold'em - Mystery Bounty 7-Handed (Event #3)Triton Poker Super High Roller Series London, London",16th,"$ 38,600"
07-Jul-2023,"$ 1,000 + 500 Pot Limit Omaha Bounty (Bracelet Event 78)54th World Series of Poker - WSOP 2023, Las Vegas",40th,"$ 3,787"
26-Jun-2023,"$ 3,000 No Limit Hold'em - Freezeout (Bracelet Event 59)54th World Series of Poker - WSOP 2023, Las Vegas",111th,"$ 6,499"
22-Jun-2023,"$ 1,000 Pot Limit Omaha Championship (Online Bracelet Event 9) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",27th,"$ 3,518"
15-Jun-2023,"$ 2,000 No Limit Hold'em (Bracelet Event 37)54th World Series of Poker - WSOP 2023, Las Vegas",36th,"$ 12,807"
31-May-2023,"$ 1,500 Mixed Games: Dealer's Choice (Bracelet Event 5)54th World Series of Poker - WSOP 2023, Las Vegas",14th,"$ 6,220"
16-May-2023,"$ 75,000 No Limit Hold'em - 8-Handed (Event #8)Triton Poker Super High Roller Series Cyprus, Kyrenia",10th,"$ 140,500"
06-May-2023,"€ 5,150 No Limit Hold'em - 6-Handed (Event 52)European Poker Tour - EPT Monte Carlo, Monte Carlo",10th,"$ 10,142"
28-Apr-2023,"€ 1,100 Mixed Games: 8-Game Mix (Event 11)European Poker Tour - EPT Monte Carlo, Monte Carlo",3rd,"$ 7,048"
25-Mar-2023,"$ 10,000 No Limit Hold'em - U.S. Poker Open #3PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",6th,"$ 55,800"
23-Mar-2023,"$ 10,000 No Limit Hold'em - U.S. Poker Open #1PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",5th,"$ 78,750"
15-Mar-2023,"$ 10,000 Pot Limit Omaha (Event #5)PokerGO Tour - 2023 PGT PLO Series, Las Vegas",13th,"$ 22,400"
07-Mar-2023,"$ 25,000 No Limit Hold'em - Turbo (Event #8)Triton Poker Super High Roller Series Vietnam, Hoi An",2nd,"$ 460,000"
10-Feb-2023,"$ 25,000 + 500 10-Game Championship (Event #7)PokerGO Tour - 2023 PGT Mixed Games, Las Vegas",8th,"$ 57,000"
01-Dec-2022,"$ 520 + 80 No Limit Hold'emWorld Poker Tour - WPT World Championship at Wynn Las Vegas, Las Vegas",43rd,"$ 6,575"
09-Nov-2022,"€ 2,000 Eight-Game Mix (Bracelet Event #10)World Series of Poker Europe - WSOPE 2022, Rozvadov",6th,"$ 8,555"
28-Sep-2022,"€ 440 + 60 No Limit Hold'em - WPO Main Event (Event #11)Winamax Poker Open - WPO Bratislava, Bratislava",5th,"$ 33,687"
01-Sep-2022,"$ 1,000 + 100 No Limit Hold'em - Irish Open (Event #14)Luxon Pay Mediterranean Poker Party (MPP), Kyrenia",68th,"$ 2,000"
19-Aug-2022,"€ 10,300 No Limit Hold'em - EPT Barcelona High Roller (Event #51)European Poker Tour - EPT Barcelona, Barcelona",47th,"$ 22,034"
14-Aug-2022,"€ 2,200 No Limit Hold'em - ESPT High Roller (Event #26)European Poker Tour - EPT Barcelona, Barcelona",264th,"$ 3,900"
13-Jul-2022,"$ 5,000 No Limit Hold'em - Freezeout - 8-Handed (Event #81)53rd World Series of Poker - WSOP 2022, Las Vegas",17th,"$ 22,421"
01-Jul-2022,"$ 7,000 No Limit Hold'em - Super Turbo Bounty (Event #67)53rd World Series of Poker - WSOP 2022, Las Vegas",1st,"$ 587,520"
21-Jun-2022,"$ 5,000 No Limit Hold'em - 6-Handed (Event #46)53rd World Series of Poker - WSOP 2022, Las Vegas",76th,"$ 10,066"
18-Jun-2022,"$ 3,000 Pot Limit Omaha - 6-Handed (Event #39)53rd World Series of Poker - WSOP 2022, Las Vegas",36th,"$ 8,733"
13-Jun-2022,"$ 1,500 No Limit Hold'em - Mystery BountyThe Wynn Summer Classic, Las Vegas",110th,"$ 7,059"
11-May-2022,"€ 440 + 60 No Limit Hold'em - Main Event (Event #22)Winamax Poker Open - WPO Madrid, Madrid",36th,"$ 3,161"
11-Feb-2022,"$ 3,300 No Limit Hold'em - Enjoy Poker Tour High RollerAmericas Cardroom Enjoy Poker Tour - Punta del Este, Punta del Este",6th,"$ 14,190"
29-Oct-2021,"$ 10,000 No Limit Hold'em - 6 Handed Championship (Event #56)52nd World Series of Poker - WSOP 2021, Las Vegas",18th,"$ 33,042"
12-Oct-2021,"$ 5,000 No Limit Hold'em - 6 Handed (Event #25)52nd World Series of Poker - WSOP 2021, Las Vegas",26th,"$ 17,995"
09-Jul-2021,"$ 2,175 + 225 No Limit Hold'em - WPTDeepStacks Main Event (Event #98)DeepStack Championship Poker Series (MSPT, WPT, WPTDS, PokerGO Tour), Las Vegas",147th,"$ 4,535"
02-Jul-2021,"$ 4,625 + 375 No Limit Hold'em - WPT Venetian (Event #88)DeepStack Championship Poker Series (MSPT, WPT, WPTDS, PokerGO Tour), Las Vegas",8th,"$ 115,685"
11-Dec-2019,"$ 2,500 No Limit Hold'em - Final Millonaria (Championship Ring #2)WSOP International Circuit - WSOPC Uruguay, Punta del Este",51st,"$ 3,000"
21-Nov-2019,"$ 500 + 50 No Limit Hold'em - Bountypartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",8th,"$ 1,600"
23-Aug-2019,"€ 550 No Limit Hold'em - EPT Cup (Event #12)European Poker Tour - EPT Barcelona, Barcelona",7th,"$ 32,923"
12-Jul-2019,"$ 3,000 Pot Limit Omaha - 6-Handed (Event #85)50th World Series of Poker - WSOP 2019, Las Vegas",19th,"$ 15,848"
28-Jun-2019,"$ 10,000 + 300 No Limit Hold'em - MILLIONS Vegaspartypoker LIVE - partypoker MILLIONS Vegas, Las Vegas",57th,"$ 25,000"
23-Jun-2019,"$ 1,510 + 90 No Limit Hold'emThe Wynn Summer Classic, Las Vegas",27th,"$ 4,004"
14-Jun-2019,"$ 1,000 No Limit Hold'em - Double Stack (Event #34)50th World Series of Poker - WSOP 2019, Las Vegas",704th,"$ 1,690"
08-May-2019,"ARS$ 15,000 No Limit Hold'em - Main Event2019 Circuito Argentino de Poker (CAP) - Rosario, Rosario",2nd,"ARS$ 1,372,235"
21-Mar-2019,"$ 1,000 + 100 No Limit Hold'em - Bounty Hunter (Event #5)partypoker LIVE - partypoker MILLIONS South America, Rio De Janeiro",14th,"$ 30,584"
08-Jan-2019,"$ 2,150 No Limit Hold'em Turbo KO (Event #12)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",1st,"$ 1,500"
14-Nov-2018,"ARS$ 50,000 No Limit Hold'em - Super High Roller2018 Circuito Argentino de Poker (CAP) Gran Final, Rosario",1st,"$ 52,420"
08-Jul-2018,"$ 3,000 Pot Limit Omaha - 6 Handed (Event #69)49th World Series of Poker - WSOP 2018, Las Vegas",93rd,"ARS$ 1,550,925"
27-Jun-2018,"$ 1,000 No Limit Hold'em - Tag Team (Event #55)49th World Series of Poker - WSOP 2018, Las Vegas",105th,"$ 43,087"
14-Jun-2018,"$ 1,020 + 80 No Limit Hold'em2018 The Wynn Summer Classic, Las Vegas",112th,"$ 4,687"
13-May-2018,"ARS$ 25,000 No Limit Hold'em - High Roller2018 Circuito Argentino de Poker (CAP) - Rosario, Rosario",3rd,$ 788
03-May-2018,"€ 2,200 No Limit Hold'em - Deepstack #34European Poker Tour - EPT Monte Carlo, Monte Carlo",16th,"$ 4,219"
16-Mar-2018,"$ 3,000 No Limit Hold'em - High Roller (Event #3)WPT DeepStacks - WPTDS Argentina, Puerto Iguazu",1st,"ARS$ 394,825"
26-Feb-2018,"$ 500 + 50 No Limit Hold'em - Warm Uppartypoker LIVE - partypoker Latin American Poker Championship, Punta del Este",20th,"$ 17,220"
05-Dec-2017,"R$ 8,000 No Limit Hold'em - High Roller (Event #29)Brazilian Series of Poker - BSOP Millions 2017, Sao Paulo",17th,"$ 6,292"
30-Nov-2017,"R$ 5,000 Pot Limit Omaha - 6-Handed (Event #10)Brazilian Series of Poker - BSOP Millions 2017, Sao Paulo",17th,"$ 50,708"
01-Nov-2017,"$ 1,500 No Limit Hold'em - WPT Main Event ( Event #2 )World Poker Tour - Brasil Poker Live presents WPT Uruguay, Punta del Este",29th,"$ 1,600"
01-Jul-2017,"$ 888 No Limit Hold'em - Crazy Eights (Event #60)48th World Series of Poker - WSOP 2017, Las Vegas",399th,"R$ 24,800"
17-Jun-2017,"$ 1,500 No Limit Hold'em (Event #33)48th World Series of Poker - WSOP 2017, Las Vegas",25th,"$ 7,621"
10-Jun-2017,"$ 1,500 No Limit Hold'em - Millionaire Maker (Event #20)48th World Series of Poker - WSOP 2017, Las Vegas",209th,"R$ 9,780"
05-Jun-2017,"$ 1,000 No Limit Hold'em - Tag Team (Event #10)48th World Series of Poker - WSOP 2017, Las Vegas",88th,"$ 3,034"
02-Jun-2017,"$ 565 No Limit Hold'em - The Colossus III (Event #5)48th World Series of Poker - WSOP 2017, Las Vegas",1108th,"$ 3,005"
04-May-2017,"€ 2,200 No Limit Hold'em - Eight Max (Event 62)PokerStars Championship presented by Monte-Carlo Casino, Monte Carlo",7th,"$ 3,445"
10-Mar-2017,"$ 1,100 No Limit Hold'em (Event #1)PokerStars Championship Panama, Panama City",3rd,"$ 11,858"
03-Feb-2017,"$ 900 No Limit Hold'em - Main EventBrazilian Series of Poker - BSOP Punta del Este, Punta del Este",51st,"$ 6,948"
12-Jan-2017,"$ 25,000 + 750 No Limit Hold'em - PokerStars Championship High Roller (Event #66)PokerStars Championship Bahamas, Paradise Island",6th,$ 830
29-Nov-2016,"R$ 8,000 No Limit Hold'em #25 LAPT Brazil EventBrazilian Series of Poker - BSOP Millions 2016, Sao Paulo",1st,"$ 1,366"
25-Nov-2016,"R$ 3,500 No Limit Hold'em #12 Main EventBrazilian Series of Poker - BSOP Millions 2016, Sao Paulo",197th,"$ 9,848"
17-Nov-2016,"ARS$ 9,000 No Limit Hold'em - Main EventCircuito Argentino De Poker - CAP 2016 Grand Final, Santa Fe",27th,"$ 12,960"
26-Aug-2016,"€ 2,000 + 150 No Limit Hold'em - Hyperturbo Bounty 8 Handed (Event #52)European Poker Tour - EPT Barcelona, Barcelona",10th,"$ 2,085"
04-Jul-2016,"$ 1,000 No Limit Hold'em (30-minute levels) (2-day event) (Event #58)47th World Series of Poker - WSOP 2016, Las Vegas",89th,"$ 208,400"
27-Jun-2016,"$ 1,500 No Limit Hold'em Bounty (Event #46)47th World Series of Poker - WSOP 2016, Las Vegas",137th,"R$ 341,182"
14-Jun-2016,"$ 3,000 No Limit Hold'em 6-Handed  (Event #21)47th World Series of Poker - WSOP 2016, Las Vegas",81st,"$ 100,064"
03-Jun-2016,"$ 1,675 No Limit Hold'em - Poker Night In America TV Flight A (Event #7)Grand Poker Series, Las Vegas",9th,"R$ 6,940"
05-May-2016,"€ 1,000 + 100 No Limit Hold'em - Turbo 8 Handed #73European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",6th,"$ 2,026"
30-Apr-2016,"€ 500 + 50 No Limit Hold'em - Hyper Turbo #34European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",22nd,"ARS$ 45,936"
19-Mar-2016,"ARS$ 6,800 No Limit Hold'emMadero Poker Summer Cup 2016, Buenos Aires",4th,"$ 2,963"
17-Nov-2015,"$ 1,750 No Limit Hold'emPeters Poker Tour, Santo Domingo",22nd,"$ 4,821"
15-Aug-2015,"$ 5,250 No Limit Hold'em - Championship Freezeout (Event #21)Seminole Hard Rock Poker Open, Hollywood",135th,"$ 2,177"
08-Aug-2015,"$ 500 No Limit Hold'em - Side EventJackies Poker Tour III, Panama City",5th,"$ 1,921"
22-Jun-2015,"$ 1,500 No Limit Hold'em (Event #45)46th World Series of Poker - WSOP 2015, Las Vegas",69th,"$ 5,322"
09-Jun-2015,"$ 1,000 No Limit Hold'em (Event #22)46th World Series of Poker - WSOP 2015, Las Vegas",18th,"$ 5,090"
24-Apr-2015,"$ 1,000 No Limit Hold'emIguazu Series of Poker, Puerto Iguazu",12th,"$ 9,595"
28-Nov-2014,"R$ 600 Pot Limit Omaha - CourchevelBrazilian Series of Poker - BSOP Millions 2014, Sao Paulo",31st,"$ 1,551"
15-Oct-2014,"$ 1,550 + 150 No Limit Hold'em - Main EventLatin America Poker Tour VII - Peru, Lima",17th,"ARS$ 110,282"
24-Aug-2014,"€ 1,000 + 100 #26 No Limit Hold'emEuropean Poker Tour - EPT Barcelona, Barcelona",86th,"$ 7,407"
01-May-2014,"€ 2,000 + 200 No Limit Hold'em - Deepstack 8 HandedEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",11th,"$ 5,335"
21-Mar-2014,"$ 1,000 + 100 No Limit Hold'em - Unlimited Re-Entry Day 1Latin America Poker Tour VII - Chile, Vina del Mar",4th,"$ 7,500"
13-Jan-2014,"$ 1,000 + 100 No Limit Hold'em TurboPokerStars Caribbean Adventure - PCA 2014, Paradise Island",7th,"$ 6,200"
07-Oct-2013,"£ 2,000 + 150 No Limit Hold'em - Turbo Eight HandedEuropean Poker Tour - EPT London, London",8th,"$ 5,451"
18-Sep-2013,"$ 1,500 + 150 No Limit Hold'em - Main EventLatin American Poker Tour - LAPT Panama, Panama City",22nd,"$ 11,495"
13-Jul-2013,"$ 5,000 Open Face Chinese2013 Carnivale of Poker, Las Vegas",2nd,"$ 3,900"
20-Jun-2013,"$ 1,500 No Limit Hold'em - Shootout (Event #36)44th World Series of Poker - WSOP 2013, Las Vegas",5th,"R$ 1,110"
05-Jun-2013,"Col$ 1,800,000 + 200,000 No Limit Hold'em - Main EventLatin America Poker Tour VI - Colombia National Poker Championship, Medellin",72nd,$ 442
