Date,Event Name,Placement,Earning
03-Jul-2023,"$ 10,000 No Limit Hold'em - WSOP Main Event  (Bracelet Event 76)54th World Series of Poker - WSOP 2023, Las Vegas",1358th,"$ 15,000"
27-Jun-2023,"$ 888 No Limit Hold'em - Crazy 8's (Online Bracelet Event 11) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",53rd,"$ 3,895"
15-Jun-2023,"$ 2,000 No Limit Hold'em (Bracelet Event 37)54th World Series of Poker - WSOP 2023, Las Vegas",43rd,"$ 12,807"
19-Feb-2023,"$ 215 No Limit Hold'em - 8-Max (Online Ring Event 3)World Series of Poker Circuit - WSOPC ONLINE Circuit Michigan, Online",12th,$ 654
25-Sep-2022,"$ 400 No Limit Hold'em - Ultra Deepstack PKO ONLINE (Online Bracelet Event #3)World Series of Poker - WSOP ONLINE at WSOP.com (Michigan), Online",13th,$ 998
10-Jul-2022,"$ 1,000 No Limit Hold'em - Online Bracelet Championship (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",61st,"$ 3,454"
28-Jun-2022,"$ 1,000 No Limit Hold'em - High Roller 6-Max (Event #18) ONLINEWorld Series of Poker Circuit - WSOPC ONLINE Super Circuit, Online",25th,"$ 2,099"
25-Jun-2022,"$ 5,000 Mixed No Limit Hold'em/Pot-Limit Omaha - 8-Handed (Event #53)53rd World Series of Poker - WSOP 2022, Las Vegas",107th,"$ 8,010"
07-Jun-2022,"$ 1,500 No Limit Hold'em - 6-Handed (Event #14)53rd World Series of Poker - WSOP 2022, Las Vegas",7th,"$ 61,098"
05-Jun-2022,"$ 500 No Limit Hold'em - BIG $500 (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",72nd,"$ 1,598"
01-Jun-2022,"$ 2,500 No Limit Hold'em - Freezeout (Event #3)53rd World Series of Poker - WSOP 2022, Las Vegas",105th,"$ 4,027"
