Date,Event Name,Placement,Earning
06-Aug-2023,"$ 2,700 No Limit Hold'em - Deep Stack (Event 43)Seminole Hard Rock Poker Open (SHRPO), Hollywood",17th,"$ 11,885"
16-Jul-2023,"$ 777 No Limit Hold'em - Lucky 7's (Online Bracelet Event 20) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",167th,"$ 1,305"
14-Jul-2023,"$ 1,500 No Limit Hold'em - The Closer (Bracelet Event 88)54th World Series of Poker - WSOP 2023, Las Vegas",374th,"$ 2,628"
07-Jul-2023,"$ 777 No Limit Hold'em - Lucky 7's - 7-Handed (Bracelet Event 77)54th World Series of Poker - WSOP 2023, Las Vegas",415th,"$ 1,557"
30-Jun-2023,"$ 400 No Limit Hold'em - The Colossus (Bracelet Event 70)54th World Series of Poker - WSOP 2023, Las Vegas",862nd,"$ 1,060"
19-Jun-2023,"$ 1,300 + 200 + 700 No Limit Hold'em - Mystery BountyThe Wynn Summer Classic, Las Vegas",241st,"$ 3,625"
13-Jun-2023,"$ 3,000 No Limit Hold'em - 6-Handed (Bracelet Event 32)54th World Series of Poker - WSOP 2023, Las Vegas",180th,"$ 4,800"
06-Jun-2023,"$ 1,500 No Limit Hold'em - 6-Handed (Bracelet Event 15)54th World Series of Poker - WSOP 2023, Las Vegas",151st,"$ 3,564"
04-Jun-2023,"$ 500 No Limit Hold'em - Bankroll Builder (Online Bracelet Event 2) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",202nd,"$ 1,311"
01-May-2023,"$ 25,500 No Limit Hold'em - High Roller (Event 55)World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",6th,"$ 103,700"
20-Apr-2023,"$ 215 No Limit Hold'em - 8-Max (Online Ring Event 9)World Series of Poker Circuit - WSOPC ONLINE Circuit, Online",20th,$ 635
19-Mar-2023,"$ 215 No Limit Hold'em - Monster Stack (Online Ring Event 11)World Series of Poker Circuit - WSOPC ONLINE Super Circuit, Online",41st,$ 629
10-Mar-2023,"$ 320 No Limit Hold'em - 6-Max (Online Ring Event 2)World Series of Poker Circuit - WSOPC ONLINE Super Circuit, Online",10th,"$ 1,198"
23-Feb-2023,"$ 1,100 +$500 No Limit Hold'em - Mystery BountyWynn Millions Poker Series, Las Vegas",24th,"$ 7,127"
21-Feb-2023,"$ 600 No Limit Hold'emWynn Millions Poker Series, Las Vegas",1st,"$ 74,670"
09-Feb-2023,"$ 1,600 No Limit Hold'em - MSPT Poker Bowl (Event 54)Venetian DeepStack Showdown, Las Vegas",77th,"$ 2,877"
25-Jan-2023,"$ 2,200 No Limit Hold'em - Deep Stack (Event #17)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",2nd,"$ 90,500"
11-Jan-2023,"$ 10,000 No Limit Hold'em - PokerGO Cup #1PokerGO Tour - 2023 PGT PokerGO Cup, Las Vegas",3rd,"$ 108,000"
08-Dec-2022,"$ 970 + 130 No Limit Hold'em - WPT Prime ChampionshipWorld Poker Tour - WPT World Championship at Wynn Las Vegas, Las Vegas",270th,"$ 2,650"
25-Nov-2022,"$ 3,500 No Limit Hold'em - WPT Rock 'N' Roll Championship (Event 26)WPT Rock 'N' Roll Poker Open, Hollywood",142nd,"$ 6,300"
03-Nov-2022,"$ 1,600 No Limit Hold'em - MSPT (Event 5)DeepStack Extravaganza IV, Las Vegas",47th,"$ 4,490"
25-Sep-2022,"$ 5,000 No Limit Hold'em - WSOP Online Main Event ONLINE (Online Bracelet Event #33)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",11th,"$ 138,149"
18-Sep-2022,"$ 400 No Limit Hold'em - COLOSSUS ONLINE (Online Bracelet Event #28)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",670th,"$ 1,308"
11-Sep-2022,"$ 400 Pot Limit Omaha - PLOSSUS ONLINE (Online Bracelet Event #23)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",24th,"$ 2,900"
04-Sep-2022,"$ 100 No Limit Hold'em - FLIP & GO ONLINE (Online Bracelet Event #18)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",326th,$ 834
28-Aug-2022,"$ 400 No Limit Hold'em - Double Stack Bounty ONLINE (Online Bracelet Event #11)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",259th,$ 673
21-Aug-2022,"$ 800 No Limit Hold'em - Monster Stack ONLINE (Online Bracelet Event #6)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",207th,"$ 1,697"
14-Aug-2022,"$ 500 No Limit Hold'em - The Housewarming ONLINE (Online Bracelet Event #1)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",77th,"$ 3,739"
17-Jul-2022,"$ 525 No Limit Hold'em - Main Event 8-Max (Event #12) ONLINEWorld Series of Poker Circuit - WSOPC ONLINE Series, Online",15th,"$ 4,239"
16-Jul-2022,"$ 5,000 No Limit Hold'em (Event #87)53rd World Series of Poker - WSOP 2022, Las Vegas",53rd,"$ 10,106"
10-Jul-2022,"$ 1,000 No Limit Hold'em - Online Bracelet Championship (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",18th,"$ 8,635"
26-Jun-2022,"$ 525 No Limit Hold'em - Main Event 8-Max (Event #16) ONLINEWorld Series of Poker Circuit - WSOPC ONLINE Super Circuit, Online",64th,"$ 1,309"
21-Jun-2022,"$ 2,000 No Limit Hold'em - Super High Roller 6-Max (Event #11) ONLINEWorld Series of Poker Circuit - WSOPC ONLINE Super Circuit, Online",14th,"$ 3,580"
19-Jun-2022,"$ 1,000 Pot Limit Omaha - 6-Max (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",35th,"$ 3,279"
06-Jun-2022,"$ 600 No Limit Hold'em - Deep Stack (Event #11)53rd World Series of Poker - WSOP 2022, Las Vegas",795th,$ 960
15-May-2022,"$ 525 No Limit Hold'em - Monster Stack (Ring Event 3)World Series of Poker Circuit - WSOP ONLINE Circuit, Online",28th,$ 803
22-Mar-2022,"$ 3,200 No Limit Hold'em - High Roller - 6-Max ONLINE (Ring Event 11)World Series of Poker Circuit - WSOP ONLINE Super Circuit, Online",8th,"$ 13,965"
16-Mar-2022,"$ 10,000 No Limit Hold'em - US Poker Open #1PokerGO Tour - 2022 PGT U.S. Poker Open (USPO), Las Vegas",6th,"$ 55,800"
13-Mar-2022,"$ 215 No Limit Hold'em - Monster Stack ONLINE (Ring Event 2)World Series of Poker Circuit - WSOP ONLINE Super Circuit, Online",36th,$ 709
27-Feb-2022,"$ 525 No Limit Hold'em - Main Event 8-Max (Event 10)World Series of Poker Circuit - WSOPC ONLINE Circuit, Online",40th,"$ 1,425"
30-Jan-2022,"$ 525 WSOP Online Circuit Main Event - 8-Max ONLINE (Event 12)World Series of Poker Circuit - WSOPC ONLINE Circuit, Online",32nd,"$ 1,863"
24-Jan-2022,"$ 25,500 No Limit Hold'em - High Roller (Event #28)World Poker Tour - 2022 WPT Lucky Hearts Poker Open, Hollywood",2nd,"$ 540,000"
14-Jan-2022,"$ 4,000 + 100 No Limit Hold'em - Stairway to Millions #3PokerGO Tour - 2022 PGT Stairway to Millions, Las Vegas",2nd,"$ 57,120"
17-Dec-2021,"$ 5,300 No Limit Hold'em - ChampionshipThe Wynn Winter Classic, Las Vegas",4th,"$ 196,391"
