Date,Event Name,Placement,Earning
08-Aug-2023,"$ 10,000 No Limit Hold'em - Deep Stack - 8-Handed (Event 51)Seminole Hard Rock Poker Open (SHRPO), Hollywood",4th,"$ 76,000"
03-Jul-2023,"$ 5,300 No Limit Hold'em - High Roller Championship (Online Bracelet Event 13) (NV/NJ)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",42nd,"$ 11,832"
25-Jun-2023,"$ 3,000 Limit Hold'em 6-Handed (Bracelet Event 58)54th World Series of Poker - WSOP 2023, Las Vegas",17th,"$ 8,061"
04-Jun-2023,"$ 1,000 No Limit Hold'em - Deepstack (Online Bracelet Event 3) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",80th,"$ 2,754"
01-Jun-2023,"$ 1,500 Limit Hold'em (Bracelet Event 7)54th World Series of Poker - WSOP 2023, Las Vegas",44th,"$ 3,275"
24-Mar-2023,"$ 2,200 No Limit Hold'em - Main Event (Event 15)Live! Poker Classic, Hanover",21st,"$ 6,947"
23-Feb-2023,"$ 1,100 No Limit Hold'em - Event 3Liberty Bell Poker Open, Philadelphia",21st,"$ 3,790"
19-Jan-2023,"$ 25,500 No Limit Hold'em - High Roller (Event 25)2023 Lucky Hearts Poker Open, Hollywood",7th,"$ 67,600"
08-Dec-2022,"$ 970 + 130 No Limit Hold'em - WPT Prime ChampionshipWorld Poker Tour - WPT World Championship at Wynn Las Vegas, Las Vegas",99th,"$ 5,640"
09-Oct-2022,"$ 500 No Limit Hold'em -  BIG 500 ONLINE (Online Bracelet Event #5)World Series of Poker - WSOP ONLINE at WSOP.com (Pennsylvania), Online",5th,"$ 5,327"
19-Aug-2022,"$ 1,100 No Limit Hold'em - Live! Classic Main EventLive! Summer Classic, Hanover",78th,"$ 2,103"
05-Aug-2022,"$ 5,300 No Limit Hold'em - SHRPO Championship (Event 32)Seminole Hard Rock Poker Open (SHRPO), Hollywood",18th,"$ 44,685"
08-Jul-2022,"$ 2,400 No Limit Hold'em (Event 108)Venetian DeepStack Championship Series, Las Vegas",27th,"$ 11,500"
