Date,Event Name,Placement,Earning
16-Jul-2023,"$ 777 No Limit Hold'em - Lucky 7's (Online Bracelet Event 20) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",144th,"$ 1,414"
15-Jul-2023,"$ 2,000 No Limit Hold'em - Freezeout Championship (Online Bracelet Event 18) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",40th,"$ 4,077"
10-Jul-2023,"$ 25,000 H.O.R.S.E. (Bracelet Event 80)54th World Series of Poker - WSOP 2023, Las Vegas",1st,"$ 711,313"
02-Jul-2023,"$ 500 No Limit Hold'em - Deepstack (Online Bracelet Event 12) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",70th,"$ 2,180"
18-Jun-2023,"$ 50,000 Mixed Games: Poker Players Championship - 7-Handed (Bracelet Event 43)54th World Series of Poker - WSOP 2023, Las Vegas",9th,"$ 141,125"
11-Jun-2023,"$ 1,500 Mixed Games: Eight-Game Mix - 6-Handed (Bracelet Event 27)54th World Series of Poker - WSOP 2023, Las Vegas",64th,"$ 3,234"
08-Jun-2023,"$ 10,000 Limit Hold'em Championship (Bracelet Event 22)54th World Series of Poker - WSOP 2023, Las Vegas",1st,"$ 316,226"
06-Jun-2023,"$ 1,500 No Limit Hold'em - 6-Handed (Bracelet Event 15)54th World Series of Poker - WSOP 2023, Las Vegas",255th,"$ 2,625"
04-Jun-2023,"$ 5,000 No Limit Hold'em - Freezeout - 8-Handed (Bracelet Event 12)54th World Series of Poker - WSOP 2023, Las Vegas",39th,"$ 15,873"
01-Jun-2023,"$ 333 No Limit Hold'em - Triple Treys Summer Tip Off (Online Bracelet Event 1) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",198th,$ 952
16-Mar-2023,"$ 10,000 PLO/PLO8/Big O Mix (Event #6)PokerGO Tour - 2023 PGT PLO Series, Las Vegas",9th,"$ 34,400"
13-Mar-2023,"$ 10,000 Pot Limit Omaha (Event #3)PokerGO Tour - 2023 PGT PLO Series, Las Vegas",6th,"$ 78,000"
21-Aug-2022,"$ 210 No Limit Hold'em - Million Dollar Bounty ONLINE (Online Bracelet Event #7)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",2294th,$ 466
25-Jun-2022,"$ 5,000 Mixed No Limit Hold'em/Pot-Limit Omaha - 8-Handed (Event #53)53rd World Series of Poker - WSOP 2022, Las Vegas",113th,"$ 8,010"
21-Jun-2022,"$ 1,500 Pot Limit Omaha (Event #45)53rd World Series of Poker - WSOP 2022, Las Vegas",216th,"$ 2,405"
19-Jun-2022,"$ 700 No Limit Hold'em - Super Bounty (Event #41)53rd World Series of Poker - WSOP 2022, Las Vegas",11th,"$ 13,357"
12-Jun-2022,"$ 1,000 No Limit Hold'em - Flip & Go Presented by GG Poker (Event #24)53rd World Series of Poker - WSOP 2022, Las Vegas",136th,"$ 2,000"
04-Jun-2022,"$ 25,000 No Limit Hold'em - High Roller 8-Handed (Event #8)53rd World Series of Poker - WSOP 2022, Las Vegas",3rd,"$ 616,047"
21-Nov-2021,"$ 1,000 No Limit Hold'em - Super Turbo (Event #86)52nd World Series of Poker - WSOP 2021, Las Vegas",10th,"$ 10,604"
13-Nov-2021,"$ 10,000 Seven Card Stud Hi/Lo Championship (Event #73)52nd World Series of Poker - WSOP 2021, Las Vegas",9th,"$ 30,290"
07-Nov-2021,"$ 3,200 No Limit Hold'em - High Roller 8-Handed (Event #7) ONLINEWorld Series of Poker - 2021 WSOP Online Gold Bracelet Events, Online",4th,"$ 96,049"
03-Nov-2021,"$ 10,000 Pot Limit Omaha Hi/Lo - 8 Handed Championship (Event #66)52nd World Series of Poker - WSOP 2021, Las Vegas",1st,"$ 484,791"
20-Oct-2021,"$ 1,500 Pot Limit Omaha - 8 Handed (Event #39)52nd World Series of Poker - WSOP 2021, Las Vegas",1st,"$ 204,766"
11-Oct-2021,"$ 1,500 8 Game - 6 Handed (Event #23)52nd World Series of Poker - WSOP 2021, Las Vegas",64th,"$ 2,415"
19-Aug-2021,"$ 1,100 No Limit Hold'em (Event #8)World Series of Poker Event, Cherokee",22nd,"$ 2,534"
11-Aug-2019,"$ 2,650 No Limit Hold'em (Event #21)Seminole Hard Rock Poker Open, Hollywood",16th,"$ 11,800"
03-Jul-2019,"$ 10,000 No Limit Hold'em - WSOP Main Event50th World Series of Poker - WSOP 2019, Las Vegas",485th,"$ 27,390"
28-Jun-2019,"$ 888 No Limit Hold'em - Crazy Eights (Event #64)50th World Series of Poker - WSOP 2019, Las Vegas",544th,"$ 2,693"
20-Jun-2019,"$ 2,500 No Limit Hold'em (Event #48)50th World Series of Poker - WSOP 2019, Las Vegas",9th,"$ 30,643"
11-Dec-2018,"$ 10,000 + 400 No Limit Hold'em - WPT Five Diamond World Poker Classic Main EventWorld Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",119th,"$ 18,584"
04-Jun-2018,"$ 1,500 Dealers Choice 6 Handed (Event #12)49th World Series of Poker - WSOP 2018, Las Vegas",23rd,"$ 4,219"
13-Jul-2017,"$ 24,000 + 1,000 No Limit Hold'em - High RollerAria High Roller 70, Las Vegas",2nd,"$ 210,000"
26-Jun-2017,"$ 10,000 Pot Limit Omaha Hi/Lo - Championship (Event #51)48th World Series of Poker - WSOP 2017, Las Vegas",3rd,"$ 216,077"
01-Jul-2016,"$ 888 No Limit Hold'em Crazy Eights 8-Handed (re-entry) (Event #54)47th World Series of Poker - WSOP 2016, Las Vegas",829th,"$ 1,344"
21-Jun-2016,"$ 2,500 Mixed Omaha/Seven Card Stud Hi-Lo 8 or Better (Event #36)47th World Series of Poker - WSOP 2016, Las Vegas",31st,"$ 5,147"
20-May-2016,"$ 1,675 No Limit Hold'em - Main Event (Event #10)WSOP Circuit - WSOPC New Orleans, New Orleans",73rd,"$ 2,932"
28-Aug-2014,"$ 5,300 No Limit Hold'em SHRPO Main Event (#Event 16)2014 Seminole Hard Rock Poker Open, Hollywood",224th,"$ 7,483"
16-Jun-2014,"$ 5,000 No Limit Hold'em - Eight Handed (Event #35)45th World Series of Poker - WSOP 2014, Las Vegas",2nd,"$ 391,575"
30-May-2014,"$ 1,500 No Limit Hold'em - Shootout (Event #6)45th World Series of Poker - WSOP 2014, Las Vegas",4th,"$ 72,846"
01-Jul-2013,"$ 2,500 No Limit Hold'em (Event #56)44th World Series of Poker - WSOP 2013, Las Vegas",5th,"$ 164,768"
02-Jun-2013,"$ 2,500 Eight Game Mix (Event #8)44th World Series of Poker - WSOP 2013, Las Vegas",15th,"$ 8,262"
10-Jun-2012,"$ 2,500 Limit 2-7 Triple Draw Lowball (Event #22)43rd World Series of Poker - WSOP 2012, Las Vegas",9th,"$ 10,970"
05-Mar-2012,"$ 9,500 + 500 No Limit Hold'em - Championship BountyWorld Poker Tour - WPT Bay 101 Shooting Star, San Jose",22nd,"$ 22,420"
29-Jun-2011,"$ 5,000 No Limit Hold'em - Triple Chance42nd World Series of Poker - WSOP 2011, Las Vegas",69th,"$ 10,790"
06-Jun-2011,"$ 10,000 Omaha Hi/Lo Championship42nd World Series of Poker - WSOP 2011, Las Vegas",9th,"$ 42,514"
29-Nov-2010,"$ 1,000 + 80 Pot Limit Omaha2010 Doyle Brunson Five Diamond World Poker Classic, Las Vegas",1st,"$ 16,975"
08-Jun-2010,"$ 5,000 No Limit Hold'em41st World Series of Poker - WSOP 2010, Las Vegas",26th,"$ 25,386"
07-Jan-2010,"$ 5,000 + 250 8 Game ChampionshipPokerStars Caribbean Adventure - PCA 2010, Paradise Island",7th,"$ 15,520"
03-Nov-2009,"$ 4,800 + 200 No Limit Hold'em2009 World Poker Finals, Mashantucket",6th,"$ 28,061"
01-Jun-2009,"$ 1,500 Pot Limit Omaha40th World Series of Poker - WSOP 2009, Las Vegas",31st,"$ 5,797"
29-Jun-2008,"$ 10,000 World Championship Pot Limit Omaha39th World Series of Poker - WSOP 2008, Las Vegas",12th,"$ 53,721"
12-Mar-2008,"$ 1,000 + 60 Pot Limit OmahaThe Wynn Classic, Las Vegas",1st,"$ 59,364"
03-Dec-2007,"$ 5,000 + 150 No Limit Hold'em - Championship EventWSOP Circuit - WSOPC New Orleans, New Orleans",2nd,"$ 130,050"
03-Jun-2007,"$ 2,500 Omaha/Seven Card Stud Hi/Lo 8 or Better38th World Series of Poker - WSOP 2007, Las Vegas",9th,"$ 11,658"
16-Jul-2006,"$ 2,000 No Limit Hold'em Shootout37th World Series of Poker - WSOP 2006, Las Vegas",48th,"$ 4,805"
03-Mar-2006,"Heads Up No Limit Hold'em2006 National Heads-Up Poker Championship, Las Vegas",9th,"$ 25,000"
19-Sep-2005,"$ 9,700 + 300 Championship Event - No Limit Hold'emWorld Poker Tour - WPT Borgata Poker Open, Atlantic City",41st,"$ 12,489"
19-Sep-2004,"$ 10,000 + 300 No Limit Hold'emWorld Poker Tour - WPT Borgata Poker Open, Atlantic City",3rd,"$ 286,900"
11-May-2004,"$ 5,000 Omaha Hi-Lo Split World Championship35th World Series of Poker - WSOP 2004, Las Vegas",16th,"$ 5,680"
18-Feb-2004,"$ 1,500 + 80 Seven Card Stud Hi/Lo2004 L.A. Poker Classic, Los Angeles",5th,"$ 7,290"
18-Oct-2003,"$ 4,000 + 100 No Limit Hold'em Championship Final Day - WPT2003 Ultimatebet.com Poker Classic II, Palm Beach",11th,"$ 12,530"
25-Jun-2003,"$ 1,000 + 60 Limit Hold'emFesta al Lago, Las Vegas",5th,"$ 6,242"
10-Jan-2003,"$ 500 + 40 Limit Hold'emThe Fourth Annual Jack Binion World Poker Open, Tunica",4th,"$ 19,846"
22-Apr-2001,"$ 1,500 + 90 Omaha Hi-Lo Split Eight or Better32nd World Series of Poker - WSOP 2001, Las Vegas",23rd,"$ 2,670"
01-Apr-2001,"$ 500 + 40 Limit Omaha Hi/LoThe Second Annual Jack Binion World Poker Open, Tunica",10th,"$ 1,390"
08-Dec-2000,"$ 1,000 + 60 No Limit Hold'em2000 United States Poker Championship, Atlantic City",9th,"$ 1,872"
23-Jul-2000,"$ 2,000 No Limit Hold'emTournament of Champions, Las Vegas",3rd,"$ 71,820"
02-Apr-2000,"$ 500 + 40 Limit Hold'emThe First Annual Jack Binion World Poker Open, Tunica",6th,"$ 5,042"
05-May-1999,"$ 3,000 Limit Hold'em30th World Series of Poker - WSOP 1999, Las Vegas",1st,"$ 202,800"
,,,
16-Jul-2023,"$ 500 No Limit Hold'em - Summer Saver (Online Bracelet Event 19) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",166th,"$ 1,164"
14-Jul-2023,"$ 1,000 No Limit Hold'em - Flip & GO - Presented by GGPoker (Bracelet Event 89)54th World Series of Poker - WSOP 2023, Las Vegas",90th,"$ 2,100"
06-Jul-2023,"$ 400 No Limit Hold'em - Turbo (Online Bracelet Event 14) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",143rd,$ 827
25-Jun-2023,"$ 25,000 Pot Limit Omaha - High Roller - 8-Handed (Bracelet Event 57)54th World Series of Poker - WSOP 2023, Las Vegas",37th,"$ 58,177"
14-Jun-2023,"$ 1,500 Pot Limit Omaha (Bracelet Event 34)54th World Series of Poker - WSOP 2023, Las Vegas",13th,"$ 16,028"
11-Jun-2023,"$ 400 No Limit Hold'em - 8-Max (Online Bracelet Event 5) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",122nd,"$ 1,500"
08-Jun-2023,"$ 1,000 Pot Limit Omaha (Bracelet Event 21)54th World Series of Poker - WSOP 2023, Las Vegas",96th,"$ 2,773"
06-Jun-2023,"$ 600 No Limit Hold'em - Ultra Deepstack (Online Bracelet Event 4) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",152nd,"$ 1,788"
04-Jun-2023,"$ 500 No Limit Hold'em - Bankroll Builder (Online Bracelet Event 2) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",133rd,"$ 1,486"
18-Mar-2023,"$ 25,000 Pot Limit Omaha - Championship (Event #8)PokerGO Tour - 2023 PGT PLO Series, Las Vegas",7th,"$ 103,750"
15-Mar-2023,"$ 10,000 Pot Limit Omaha (Event #5)PokerGO Tour - 2023 PGT PLO Series, Las Vegas",5th,"$ 89,600"
06-Sep-2022,"$ 5,000 Pot Limit Omaha Championship ONLINE (Online Bracelet Event #19)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",21st,"$ 10,790"
29-Jun-2022,"$ 10,000 Pot Limit Omaha Hi-Lo 8 or Better Championship (Event #63)53rd World Series of Poker - WSOP 2022, Las Vegas",7th,"$ 83,920"
22-Jun-2022,"$ 1,500 Eight Game Mix - Six-Handed (Event #48)53rd World Series of Poker - WSOP 2022, Las Vegas",65th,"$ 3,004"
19-Jun-2022,"$ 1,000 Pot Limit Omaha - 6-Max (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",36th,"$ 3,279"
16-Jun-2022,"$ 2,500 Mixed Big Bet (Event #35)53rd World Series of Poker - WSOP 2022, Las Vegas",32nd,"$ 4,375"
09-Jun-2022,"$ 25,000 Pot Limit Omaha High Roller 8-Handed (Event #19)53rd World Series of Poker - WSOP 2022, Las Vegas",3rd,"$ 644,365"
20-Jan-2022,"$ 2,200 No Limit Hold'em - Deep Stack (Event #19)World Poker Tour - 2022 WPT Lucky Hearts Poker Open, Hollywood",32nd,"$ 4,625"
19-Nov-2021,"$ 50,000 Pot Limit Omaha - High Roller (Event #84)52nd World Series of Poker - WSOP 2021, Las Vegas",7th,"$ 165,452"
12-Nov-2021,"$ 1,500 No Limit Hold'em/Pot Limit Omaha - 8 Handed (Event #72)52nd World Series of Poker - WSOP 2021, Las Vegas",40th,"$ 5,057"
04-Nov-2021,"$ 10,000 No Limit Hold'em - WSOP Main Event (Event #67)52nd World Series of Poker - WSOP 2021, Las Vegas",411th,"$ 30,000"
31-Oct-2021,"$ 50,000 Poker Players Championship (Event #60)52nd World Series of Poker - WSOP 2021, Las Vegas",6th,"$ 161,422"
13-Oct-2021,"$ 1,500 H.O.R.S.E. (Event #27)52nd World Series of Poker - WSOP 2021, Las Vegas",53rd,"$ 3,215"
10-Oct-2021,"$ 1,000 No Limit Hold'em Flip & Go Presented by GGPoker (Event #20)52nd World Series of Poker - WSOP 2021, Las Vegas",46th,"$ 4,355"
05-Aug-2020,"$ 400 Pot Limit Omaha (Event #51)World Series of Poker - WSOP Online 2020 at GGPoker, Online",94th,"$ 1,226"
12-Jul-2019,"$ 1,500 No Limit Hold'em - The Closer (Event #84)50th World Series of Poker - WSOP 2019, Las Vegas",302nd,"$ 2,385"
02-Jul-2019,"$ 10,000 Limit Hold'em Championship (Event #72)50th World Series of Poker - WSOP 2019, Las Vegas",6th,"$ 53,095"
24-Jun-2019,"$ 50,000 Poker Players Championship (Event #58)50th World Series of Poker - WSOP 2019, Las Vegas",2nd,"$ 679,426"
03-Jun-2019,"$ 1,500 Dealers Choice - 6-Handed (Event #10)50th World Series of Poker - WSOP 2019, Las Vegas",10th,"$ 10,101"
07-Jun-2018,"$ 1,500 No Limit Hold'em - 6 Handed (Event #17)49th World Series of Poker - WSOP 2018, Las Vegas",173rd,"$ 2,342"
20-Apr-2018,"$ 1,675 No Limit Hold'em - Main Event (Event #10)WSOP Circuit - WSOPC Cherokee, Cherokee",30th,"$ 8,061"
29-Jun-2017,"$ 2,500 Omaha Hi/lLo/ Seven Card Stud Hi/Lo Mixed (Event #57)48th World Series of Poker - WSOP 2017, Las Vegas",48th,"$ 4,196"
22-Jun-2017,"$ 3,000 H.O.R.S.E. (Event #44)48th World Series of Poker - WSOP 2017, Las Vegas",36th,"$ 5,496"
24-Jun-2016,"$ 1,500 No Limit Hold'em Monster Stack (NO re-entry) (Event #41)47th World Series of Poker - WSOP 2016, Las Vegas",50th,"$ 20,844"
18-Jun-2016,"$ 3,000 Pot-Limit Omaha Six-Handed (Event #30)47th World Series of Poker - WSOP 2016, Las Vegas",62nd,"$ 4,879"
04-Jun-2015,"$ 10,000 Pot Limit Hold'em Championship (Event #15)46th World Series of Poker - WSOP 2015, Las Vegas",12th,"$ 24,412"
25-Jun-2014,"$ 5,000 No Limit Hold'em (Event #49)45th World Series of Poker - WSOP 2014, Las Vegas",12th,"$ 43,081"
13-Jun-2014,"$ 2,500 No Limit Hold'em (Event #29)45th World Series of Poker - WSOP 2014, Las Vegas",76th,"$ 6,599"
14-Feb-2014,"$ 1,675 No Limit Hold'em Main EventWSOP Circuit - WSOPC West Palm Beach, West Palm Beach",17th,"$ 10,206"
19-Jun-2013,"$ 3,000 Pot Limit Omaha (Event #35)44th World Series of Poker - WSOP 2013, Las Vegas",58th,"$ 5,765"
30-May-2013,"$ 1,000 No Limit Hold'em (Event #3)44th World Series of Poker - WSOP 2013, Las Vegas",66th,"$ 5,353"
29-May-2012,"$ 3,000 No Limit Hold'em/Pot Limit Omaha - Heads-Up (Event #3)43rd World Series of Poker - WSOP 2012, Las Vegas",16th,"$ 9,644"
