Date,Event Name,Placement,Earning
18-Jul-2023,"$ 1,000 No Limit Hold'em - Super Turbo (Bracelet Event 95)54th World Series of Poker - WSOP 2023, Las Vegas",198th,"$ 1,601"
12-Jun-2023,"$ 100,000 No Limit Hold'em - High Roller - 8-Handed (Bracelet Event 29)54th World Series of Poker - WSOP 2023, Las Vegas",7th,"$ 362,279"
07-Jun-2023,"$ 2,500 No Limit Hold'em - Freezeout (Bracelet Event 19)54th World Series of Poker - WSOP 2023, Las Vegas",23rd,"$ 14,330"
14-May-2023,"$ 50,000 No Limit Hold'em - 7-Handed (Event #6)Triton Poker Super High Roller Series Cyprus, Kyrenia",9th,"$ 135,000"
12-May-2023,"$ 15,000 + 15,000 No Limit Hold'em - Mystery Bounty 6-Handed (Event #3)Triton Poker Super High Roller Series Cyprus, Kyrenia",13th,"$ 39,500"
10-Mar-2023,"$ 25,000 No Limit Short Deck Hold'em - Ante Only (Event #11)Triton Poker Super High Roller Series Vietnam, Hoi An",8th,"$ 57,000"
27-Jan-2023,"$ 25,000 No Limit Hold'em - 8-Handed (Event #31)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",1st,"$ 574,530"
19-Dec-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #35PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",1st,"$ 119,600"
19-Oct-2022,"$ 10,000 + 400 No Limit Hold'em - WPT Five Diamond World Poker Classic (Event #27)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",18th,"$ 44,700"
12-Oct-2022,"$ 10,000 No Limit Hold'em - Bellagio High Roller #5 (Event #10)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",1st,"$ 75,792"
05-Oct-2022,"$ 300,000 No Limit Hold'em - Super High Roller Bowl VIIPokerGO Tour - PGT Super High Roller Bowl VII (SHRB), Las Vegas",4th,"$ 720,000"
25-Sep-2022,"$ 5,000 No Limit Hold'em - WSOP Online Main Event ONLINE (Online Bracelet Event #33)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",64th,"$ 46,028"
16-Jul-2022,"$ 5,000 No Limit Hold'em (Event #87)53rd World Series of Poker - WSOP 2022, Las Vegas",83rd,"$ 8,085"
11-Jul-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #16PokerGO Tour - PGT Aria High Roller Summer Series 2022, Las Vegas",1st,"$ 124,200"
02-Jul-2022,"$ 700 No Limit Hold'em - Million Dollar Bounty (Event #68)53rd World Series of Poker - WSOP 2022, Las Vegas",718th,"$ 2,070"
06-Dec-2021,"$ 10,000 No Limit Hold'em - PokerGO Tour High Roller (Event #9)World Poker Tour - WPT Five Diamond World Poker Classic at Bellagio, Las Vegas",1st,"$ 128,000"
16-Nov-2021,"$ 10,000 No Limit Hold'em - Aria High Roller 39PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",2nd,"$ 94,600"
19-Oct-2021,"$ 50,000 No Limit Hold'em High Roller - 8 Handed (Event #38)52nd World Series of Poker - WSOP 2021, Las Vegas",2nd,"$ 700,228"
05-Sep-2021,"$ 25,000 + 500 No Limit Hold'em - Super High Roller Championship 7-Max (Event #13) ONLINEWorld Poker Tour - WPT World Online Championships, Online",3rd,"$ 155,695"
