Date,Event Name,Placement,Earning
11-Jul-2023,"$ 3,000 Pot Limit Omaha - 6-Handed (Bracelet Event 82)54th World Series of Poker - WSOP 2023, Las Vegas",102nd,"$ 5,281"
14-Jun-2023,"$ 1,500 Pot Limit Omaha (Bracelet Event 34)54th World Series of Poker - WSOP 2023, Las Vegas",73rd,"$ 3,801"
16-Dec-2022,"$ 1,450 + 150 No Limit Hold'em - Mystery BountyWorld Poker Tour - WPT World Championship at Wynn Las Vegas, Las Vegas",10th,"$ 41,425"
27-Aug-2022,"$ 5,250 No Limit Hold'em - WPT Legends of Poker (Event #32)World Poker Tour - WPT Legends of Poker, Los Angeles (Bell Gardens)",36th,"$ 15,400"
03-Jul-2022,"$ 10,000 No Limit Hold'em - WSOP Main Event (Event #70)53rd World Series of Poker - WSOP 2022, Las Vegas",918th,"$ 17,000"
29-Jun-2022,"$ 1,000 No Limit Hold'em - Super Bounty (Event #62)53rd World Series of Poker - WSOP 2022, Las Vegas",223rd,"$ 1,878"
28-Apr-2022,"$ 1,500 No Limit Hold'em - WPTDS Main Event (Event 10)WPTDeepStacks - WPTDS Thunder Valley, Lincoln",30th,"$ 8,900"
21-Jan-2022,"$ 1,700 No Limit Hold'em - WSOP Circuit Main Event (Event #10)World Series of Poker Circuit - WSOPC California, Lincoln",35th,"$ 3,643"
23-Oct-2021,"$ 10,000 Pot Limit Omaha Deepstack - 8 Handed Championship (Event #45)52nd World Series of Poker - WSOP 2021, Las Vegas",39th,"$ 17,654"
26-Jul-2021,"$ 1,000 Pot Limit Omaha Championship ONLINE (WSOP Event #27)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",28th,"$ 2,239"
16-Jan-2020,"$ 3,250 No Limit Hold'em - High Roller (Event #10)WSOP Circuit - WSOPC Thunder Valley, Lincoln",1st,"$ 49,035"
12-Jul-2019,"$ 1,500 No Limit Hold'em - The Closer (Event #84)50th World Series of Poker - WSOP 2019, Las Vegas",10th,"$ 37,215"
10-Jun-2019,"$ 600 Pot Limit Omaha - Deep Stack (Event #25)50th World Series of Poker - WSOP 2019, Las Vegas",117th,"$ 1,417"
02-Mar-2019,"$ 10,000 No Limit Hold'em - WPT Championship Main Event (Event #62)2019 Los Angeles Poker Classic (LAPC), Los Angeles",33rd,"$ 26,830"
12-Jul-2018,"$ 1,500 No Limit Hold'em - The Closer (Event #75)49th World Series of Poker - WSOP 2018, Las Vegas",200th,"$ 3,515"
09-Jun-2018,"$ 1,500 No Limit Hold'em - Millionaire Maker (Event #21)49th World Series of Poker - WSOP 2018, Las Vegas",42nd,"$ 26,713"
03-Jun-2018,"$ 1,100 No Limit Hold'em - Mid-States Poker Tour - MSPT The VenetianDeepStack Championship Poker Series, Las Vegas",240th,"$ 3,613"
24-May-2018,"$ 15,000 No Limit Hold'em - WPT Tournament of Champions World Poker Tour - Season XVI WPT Tournament of Champions, Las Vegas",6th,"$ 67,800"
24-Sep-2017,"$ 2,200 No Limit Hold'em - High Roller ( Event #13)WSOP Circuit - WSOPC Thunder Valley, Lincoln",1st,"$ 43,500"
04-Aug-2017,"$ 1,650 No Limit Hold'em - Main EventAnte Up Poker Tour - AUPT World Championship, Lincoln",35th,"$ 4,078"
19-Jun-2017,"$ 10,000 Limit Hold'em Championship (Event #38)48th World Series of Poker - WSOP 2017, Las Vegas",5th,"$ 71,949"
08-Jun-2017,"$ 1,500 No Limit Hold'em - 6 Handed (Event #16)48th World Series of Poker - WSOP 2017, Las Vegas",96th,"$ 3,222"
31-May-2017,"$ 10,000 No Limit Hold'em - Tag Team Championship (Event #2)48th World Series of Poker - WSOP 2017, Las Vegas",7th,"$ 12,003"
05-Aug-2016,"$ 1,650 No Limit Hold'em - Main EventAnte Up Poker Tour - AUPT World Championship, Lincoln",45th,"$ 3,043"
13-Jun-2016,"$ 1,000 Pot-Limit Omaha (Event #19)47th World Series of Poker - WSOP 2016, Las Vegas",72nd,"$ 2,367"
12-Mar-2016,"$ 3,500 No Limit Hold'em - Rolling Thunder Main EventWorld Poker Tour - WPT Rolling Thunder, Lincoln",12th,"$ 20,025"
05-Jul-2015,"$ 10,000 No Limit Hold'em Main Event (Event #68)46th World Series of Poker - WSOP 2015, Las Vegas",434th,"$ 21,786"
12-Jun-2015,"$ 1,500 No Limit Hold'em Monster Stack (Event #28)46th World Series of Poker - WSOP 2015, Las Vegas",341st,"$ 5,242"
29-May-2015,"$ 565 No Limit Hold'em The Colossus (Event #5)46th World Series of Poker - WSOP 2015, Las Vegas",2101st,"$ 1,185"
09-Aug-2014,"$ 1,650 No Limit Hold'em World Championship Main Event #13Ante Up Poker Tour - AUPT World Championship, Lincoln",10th,"$ 6,674"
20-Jun-2014,"$ 5,000 Pot Limit Omaha - Six Handed (Event #42)45th World Series of Poker - WSOP 2014, Las Vegas",20th,"$ 16,888"
08-Jun-2014,"$ 1,000 No Limit Hold'em (Event #21)45th World Series of Poker - WSOP 2014, Las Vegas",38th,"$ 6,692"
15-Mar-2014,"$ 3,200 + 300 WPT Rolling Thunder Main EventWorld Poker Tour - WPT Rolling Thunder, Lincoln",1st,"$ 302,750"
26-Aug-2013,"$ 100,000 No Limit Hold'em - WPT Alpha8Seminole Hard Rock 2013 Poker Open, Hollywood",2nd,"$ 476,890"
02-Jul-2013,"$ 5,000 No Limit Hold'em (Event #57)44th World Series of Poker - WSOP 2013, Las Vegas",20th,"$ 24,872"
25-Jun-2013,"$ 1,500 No Limit Hold'em - Ante Only (Event #45)44th World Series of Poker - WSOP 2013, Las Vegas",34th,"$ 5,125"
04-Jun-2013,"$ 2,500 No Limit Hold'em - 6 Handed (Event #11)44th World Series of Poker - WSOP 2013, Las Vegas",83rd,"$ 4,540"
16-Jun-2012,"$ 1,500 No Limit Hold'em (Event #31)43rd World Series of Poker - WSOP 2012, Las Vegas",12th,"$ 38,214"
28-Jan-2012,"A$ 25,000 + 500 No Limit Hold'em - Semi Shootout2012 Aussie Millions Poker Championship, Melbourne",3rd,"A$ 95,000"
21-Jun-2011,"$ 2,500 No Limit Hold'em42nd World Series of Poker - WSOP 2011, Las Vegas",151st,"$ 97,800"
02-Jun-2011,"$ 5,000 No Limit Hold'em42nd World Series of Poker - WSOP 2011, Las Vegas",29th,"$ 5,207"
21-Jun-2010,"$ 1,500 No Limit Hold'em - Shootout41st World Series of Poker - WSOP 2010, Las Vegas",13th,"$ 22,563"
28-Apr-2010,"€ 5,000 + 250 No Limit Hold'em - Six MaxEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",6th,"$ 8,637"
16-Feb-2010,"Heat 5 Party Poker Premier League IV, Las Vegas",6th,"$ 29,288"
13-Feb-2010,"Heat 2 Party Poker Premier League IV, Las Vegas",4th,"$ 6,000"
Dec-2009,"Heat 9 Full Tilt Poker Million VIII, Sky Sports",5th,"$ 12,000"
20-Aug-2009,"HK$ 3,300 + 200 No Limit Hold'emAsian Poker Tour - APT Macau, Macau",1st,"HK$ 76,600"
03-Jul-2009,"$ 10,000 World Championship No Limit Hold'em40th World Series of Poker - WSOP 2009, Las Vegas",108th,"$ 9,883"
30-May-2009,"$ 1,000 No Limit Hold'em40th World Series of Poker - WSOP 2009, Las Vegas",68th,"$ 40,288"
17-Jan-2009,"A$ 100,000 + 500 No Limit Hold'em Challenge2009 Aussie Millions Poker Championship, Melbourne",3rd,"$ 8,062"
29-Nov-2008,"Heat 12 PartyPoker.com Premier League Poker III, London",4th,"A$ 300,000"
27-Nov-2008,"Heat 7 PartyPoker.com Premier League Poker III, London",2nd,"$ 213,111"
25-Nov-2008,"Heat 4 PartyPoker.com Premier League Poker III, London",1st,"$ 6,000"
01-Jul-2008,"$ 1,500 Limit Hold'em - Shootout39th World Series of Poker - WSOP 2008, Las Vegas",88th,"$ 12,000"
25-Jun-2008,"$ 1,000 No Limit Hold'em39th World Series of Poker - WSOP 2008, Las Vegas",24th,"$ 20,000"
15-Jun-2008,"$ 10,000 World Championship Limit Hold'em39th World Series of Poker - WSOP 2008, Las Vegas",5th,"$ 5,055"
04-Jun-2008,"$ 2,000 No Limit Hold'em39th World Series of Poker - WSOP 2008, Las Vegas",7th,"$ 18,144"
12-Apr-2008,"$ 2,500 + 120 No Limit Hold'emWorld Poker Tour - WPT World Championship, Las Vegas",7th,"$ 128,075"
02-Mar-2008,"Finals NBC National Heads-Up Championship 2008, Las Vegas",9th,"$ 94,167"
10-Dec-2007,"$ 5,000 + 180 No Limit Hold'em2007 Doyle Brunson Five Diamond World Poker Classic, Las Vegas",1st,"$ 13,365"
01-Nov-2007,"$ 910 + 90 No Limit Hold'em2007 World Poker Finals, Mashantucket",15th,"$ 25,000"
17-Aug-2007,"$ 4,850 + 150 No Limit Hold'em2007 Legends of Poker, Los Angeles (Bell Gardens)",7th,"$ 523,075"
06-Jul-2007,"$ 10,000 World Championship No Limit Hold'em38th World Series of Poker - WSOP 2007, Las Vegas",493rd,"$ 4,840"
24-Jun-2007,"$ 1,500 Mixed Hold'em (Limit/No Limit)38th World Series of Poker - WSOP 2007, Las Vegas",14th,"$ 14,250"
10-Apr-2007,"$ 3,000 + 180 No Limit Hold'emFifth Annual Five Star World Poker Classic, Las Vegas",1st,"$ 25,101"
25-Mar-2007,"$ 5,000 + 150 No Limit Hold'em - Championship EventWorld Poker Challenge, Reno",1st,"$ 7,309"
21-Jan-2007,"$ 10,000 Main Event - No Limit Hold'em2007 Gold Strike World Poker Open, Tunica",6th,"$ 272,320"
09-Nov-2006,"$ 2,800 + 200 No Limit Hold'em2006 World Poker Finals, Mashantucket",1st,"$ 683,473"
07-Oct-2006,"$ 1,500 + 90 No Limit Hold'emFesta Al Lago V Poker Tournament, Las Vegas",5th,"$ 142,810"
07-Aug-2006,"$ 1,500 No Limit Hold'em37th World Series of Poker - WSOP 2006, Las Vegas",2nd,"$ 312,388"
18-Jul-2006,"$ 1,500 No Limit Hold'em37th World Series of Poker - WSOP 2006, Las Vegas",36th,"$ 22,425"
