Date,Event Name,Placement,Earning
15-Mar-2023,"A$ 2,400 + 100 No Limit Hold'em - The Centurion (Event 6)Australian Poker League Poker Tour - APLPT Melbourne, Melbourne",17th,"A$ 5,130"
03-Sep-2022,"$ 10,000 + 400 No Limit Hold'em - MPP High Roller (Event #19)Luxon Pay Mediterranean Poker Party (MPP), Kyrenia",6th,"$ 3,411"
29-Aug-2021,"$ 25,000 No Limt Hold'em - Super High Roller Championship ONLINE (Event #21)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",2nd,"$ 65,000"
17-Jan-2021,"$ 3,000 + 200 No Limit Hold'em - WPT Montreal Main EventWorld Poker Tour - WPT Montreal Online, Online",94th,"$ 934,604"
22-Aug-2020,"$ 3,000 + 200 WPT World Championship Mix-Max - Online (Event #6)World Poker Tour - WPT Online World Championship by partypoker, Online",128th,"$ 7,080"
08-Aug-2020,"$ 800 Double Stack Pot Limit Omaha (Event #53)World Series of Poker - WSOP Online 2020 at GGPoker, Online",116th,"$ 6,489"
02-Aug-2020,"$ 500 Turbo Deepstack No Limit Hold'em (Event #49)World Series of Poker - WSOP Online 2020 at GGPoker, Online",209th,"$ 1,795"
31-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #25)Super High Roller Bowl Online, Online",7th,"$ 1,518"
30-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #24)Super High Roller Bowl Online, Online",6th,"$ 41,200"
24-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #6)Super High Roller Bowl Online, Online",9th,"$ 27,028"
26-Apr-2020,"$ 50,000 + 1,000 No Limit Hold'em - Main Event - Poker Masters #29 (ONLINE)Poker Masters Online, Online",8th,"$ 26,975"
18-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - 6 Max - Poker Masters #13 (ONLINE)Poker Masters Online, Online",4th,"$ 163,625"
15-Mar-2020,"$ 50,000 No Limit Hold'empartypoker LIVE - partypoker MILLIONS Sochi Super High Roller Series, Sochi",5th,"$ 61,200"
02-Feb-2020,"A$ 250,000 No Limit Hold'em - Super High Roller Bowl AustraliaSuper High Roller Bowl Australia, Gold Coast",2nd,"$ 124,000"
17-Jan-2020,"A$ 10,000 + 600 No Limit Hold'em - Aussie Millions Main Event (Event #14)2020 Aussie Millions Poker Championship, Melbourne",85th,"A$ 1,200,000"
07-Jan-2020,"$ 25,000 + 500 No Limit Hold'em - Super High Rollerpartypoker LIVE - partypoker MILLIONS UK, Nottingham",1st,"$ 803,396"
18-Dec-2019,"$ 5,000 + 300 No Limit Hold'em - Championship EventThe Wynn Winter Classic, Las Vegas",12th,"A$ 15,580"
20-Nov-2019,"$ 50,000 No Limit Hold'empartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",3rd,"$ 10,762"
16-Nov-2019,"$ 10,000 + 300 No Limit Hold'em - MILLIONS  High Rollerpartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",4th,"$ 350,000"
10-Nov-2019,"$ 25,000 Pot Limit Omaha - Poker Masters #7 $25K PLO2019 Poker Masters, Las Vegas",4th,"$ 39,474"
24-Oct-2019,"€ 2,500 No Limit Short Deck Hold'em (Event #13)World Series of Poker Europe - WSOPE 2019, Rozvadov",1st,"$ 400,000"
17-Oct-2019,"€ 2,500 8 Game Mix - 6-Handed (Event #5)World Series of Poker Europe - WSOPE 2019, Rozvadov",9th,"$ 97,400"
02-Oct-2019,"$ 3,000 + 300 No Limit Hold'em - WPT Main Event (Event #5)World Poker Tour - WPT UK in partnership with partypoker LIVE, Nottingham",43rd,"$ 85,000"
28-Aug-2019,"€ 10,300 Pot Limit Omaha (Event #30)European Poker Tour - EPT Barcelona, Barcelona",3rd,"$ 113,263"
24-Aug-2019,"€ 100,000 No Limit Hold'em - Super High Roller (Event #15)European Poker Tour - EPT Barcelona, Barcelona",4th,"$ 7,595"
02-Aug-2019,"£ 50,000 No Limit Hold'em - 8 Handed (Event #3)Triton Poker Super High Roller Series London, London",4th,"$ 8,500"
13-Jul-2019,"$ 10,000 No Limit Hold'em Championship 6-Handed (Event #86)50th World Series of Poker - WSOP 2019, Las Vegas",2nd,"$ 154,469"
01-Jul-2019,"$ 5,000 No Limit Hold'em - 6-Handed (Event #70)50th World Series of Poker - WSOP 2019, Las Vegas",43rd,"$ 712,919"
03-May-2019,"A$ 4,750 + 250 No Limit Hold'em - High Roller Shot Clock2019 Crown Poker Championship, Melbourne",1st,"$ 583,870"
10-Aug-2018,"A$ 1,500 + 150 No Limit Hold'em - Main Event (Event #10)Melbourne Poker Championships 2018, Melbourne",28th,"$ 389,832"
21-Jun-2018,"$ 2,500 No Limit Hold'em (Event #43)49th World Series of Poker - WSOP 2018, Las Vegas",80th,"$ 12,420"
15-Jun-2018,"$ 5,000 No Limit Hold'em - MSPT 5k #69DeepStack Championship Poker Series, Las Vegas",3rd,"A$ 103,455"
17-Mar-2018,"HK$ 400,000 No Limit hold'em - Super High Roller (Event #6)Asia Pacific Poker Tour - APPT Macau, Macau",5th,"$ 72,556"
23-Jan-2018,"A$ 1,025 + 125 No Limit Holdem - Six Max (Event #6)2018 Aussie Millions Poker Championship, Melbourne",58th,"A$ 4,315"
06-Dec-2017,"HK$ 20,000 + 2,000 No Limit Hold'em - APT Championships MacauAsian Poker Tour - APT Macau Championships, Macau",6th,"$ 3,197"
11-Aug-2017,"A$ 1,500 + 150 No Limit Hold'em - Main Event (Event #10)Melbourne Poker Championships 2017, Melbourne",32nd,"$ 5,653"
03-Apr-2017,"HK$ 40,000 + 2,400 No Limit Hold'em - PokerStars Championship Main Event #21PokerStars Championship Macau, Macau",60th,"$ 120,000"
22-Jan-2017,"A$ 10,000 + 600 No Limit Hold'em - Main Event (Event #11)2017 Aussie Millions Poker Championship, Melbourne",42nd,"HK$ 2,068,000"
28-Oct-2016,"HK$ 3,600 + 400 No Limit Hold'em - Spadie (Event #1)2016 Asia Championship of Poker (ACOP), Macau",50th,"$ 263,665"
05-Aug-2016,"A$ 2,800 + 200 No Limit Hold'em Main Event (Event #8)2016 Sydney Championships, Sydney",1st,"A$ 2,450"
15-Mar-2015,"A$ 1,000 + 100 No Limit Hold'em - Six Max #2Australia New Zealand Poker Tour - ANZPT Sydney, Sydney",12th,"$ 1,960"
03-Dec-2014,"A$ 4,750 + 250 No Limit Hold'em $5k Challenge #5Star Poker Summer Series 2014, Sydney",8th,"HK$ 115,400"
30-Oct-2014,"HK$ 8,800 No Limit Hold'em SpadieAsia Pacific Poker Tour - APPT Asia Championship of Poker, Macau",41st,"$ 14,765"
02-Oct-2014,"A$ 1,100 No Limit Hold'em AccumulatorWorld Series of Poker Asia-Pacific - WSOP APAC 2014, Melbourne",10th,"A$ 4,110"
16-Oct-2013,"€ 2,000 + 200 No Limit Hold'em (Event #4)World Series of Poker Europe - WSOPE 2013, Enghien-les-Bains",20th,"$ 3,239"
11-Apr-2013,"A$ 10,000 No Limit Hold'em - WSOP APACWorld Series of Poker Asia-Pacific - WSOP APAC 2013, Melbourne",5th,"HK$ 79,300"
09-Aug-2012,"A$ 1,500 + 150 No Limit Hold'em - Main Event2012 Sydney Championships, Sydney",3rd,"$ 10,203"
10-Nov-2011,"A$ 40 + 10 No Limit Hold'em - Opening EventJoe Hachem Deep Stack Series 8, Melbourne",3rd,"A$ 25,000"
05-Oct-2011,"A$ 200 No Limit Hold'Em - Wednesday Wonder2011 Melbourne Crown Casino Recurring Tournaments, Melbourne",7th,"$ 18,880"
21-Mar-2010,"A$ 200 + 30 No Limit Hold'emJoe Hachem Deep Stack Series 4, Melbourne",42nd,"HK$ 8,290"
,,,"$ 1,069"
08-Sep-2022,"$ 75,000 No Limit Hold'em - 8-Handed (Event #5)Triton Poker Super High Roller Series Cyprus, Kyrenia",1st,"A$ 297,203"
13-Aug-2022,"€ 50,000 No Limit Hold'em (Event #20)European Poker Tour - EPT Barcelona, Barcelona",2nd,"$ 226,295"
22-Aug-2021,"$ 1,050 No Limit Hold'em - WSOP GGMasters High Roller Freezeout ONLINE (Event #16)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",213th,"A$ 3,025"
30-Aug-2020,"$ 5,000 No Limit Hold'em Main Event (Event #77)World Series of Poker - WSOP Online 2020 at GGPoker, Online",52nd,"$ 2,309"
09-Aug-2020,"$ 8,000 No Limit Hold'em Asia Championship (Event #55)World Series of Poker - WSOP Online 2020 at GGPoker, Online",377th,"A$ 11,969"
08-Aug-2020,"$ 3,000 + 200 WPT World Championship 6-Max - Online (Event #4)World Poker Tour - WPT Online World Championship by partypoker, Online",80th,"$ 10,144"
22-Jul-2020,"$ 1,500 FIFTY STACK No Limit Hold'em (Event #36)World Series of Poker - WSOP Online 2020 at GGPoker, Online",177th,"HK$ 15,000"
31-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #27)Super High Roller Bowl Online, Online",4th,"$ 1,934"
25-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #7)Super High Roller Bowl Online, Online",13th,"A$ 9,831"
10-May-2020,"$ 3,000 + 200 No Limit Hold'em - WPT Online Championship Main EventWorld Poker Tour - WPT Online Championship by partypoker, Online",198th,"$ 8,565"
18-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - Poker Masters #14 (ONLINE)Poker Masters Online, Online",16th,"$ 8,788"
16-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - Poker Masters #10 (ONLINE)Poker Masters Online, Online",1st,"A$ 201,994"
11-Mar-2020,"$ 100,000 No Limit Hold'empartypoker LIVE - partypoker MILLIONS Sochi Super High Roller Series, Sochi",6th,"$ 211,392"
22-Jan-2020,"A$ 98,000 + 2,000 No Limit Hold'em - 100K Challenge (Event #23)2020 Aussie Millions Poker Championship, Melbourne",1st,"A$ 44,989"
10-Jan-2020,"$ 10,000 + 300 No Limit Hold'em - High Rollerpartypoker LIVE - partypoker MILLIONS UK, Nottingham",2nd,"$ 47,297"
04-Jan-2020,"$ 1,000 + 100 No Limit Hold'em - MILLIONS Minipartypoker LIVE - partypoker MILLIONS UK, Nottingham",78th,"A$ 7,800"
11-Dec-2019,"€ 10,200 No Limit Hold'em (Event #21)European Poker Tour - EPT Prague, Prague",2nd,"$ 8,022"
19-Nov-2019,"$ 10,000 + 300 No Limit Hold'em - MILLIONS Main Eventpartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",83rd,A$ 875
12-Nov-2019,"$ 25,000 No Limit Hold'em - Poker Masters #9 $25K NLHE2019 Poker Masters, Las Vegas",1st,$ 849
08-Nov-2019,"$ 10,000 Big Bet Mix - Poker Masters #5 $10K Big Bet Mix2019 Poker Masters, Las Vegas",2nd,A$ 400
20-Oct-2019,"€ 25,500 No Limit Hold'em - Platinum High Roller (Event #8)World Series of Poker Europe - WSOPE 2019, Rozvadov",1st,$ 368
11-Oct-2019,"€ 1,550 + 150 No Limit Hold'em - WSOP CIRCUIT MAIN EVENT (Event #13)WSOP International Circuit - WSOPC Rozvadov, Rozvadov",12th,
30-Sep-2019,"$ 5,000 + 300 No Limit Hold'em - Devilfish Cup (Event #3)World Poker Tour - WPT UK in partnership with partypoker LIVE, Nottingham",9th,"$ 1,730,000"
27-Aug-2019,"€ 50,000 No Limit Hold'em (Event #28)European Poker Tour - EPT Barcelona, Barcelona",11th,"$ 587,498"
23-Aug-2019,"€ 2,150 No Limit Hold'em Hyper Turbo (Event #14)European Poker Tour - EPT Barcelona, Barcelona",13th,"$ 2,264"
31-Jul-2019,"£ 25,000 No Limit Hold'em - 6 Handed Turbo (Event #1)Triton Poker Super High Roller Series London, London",6th,"$ 39,214"
12-Jul-2019,"$ 3,000 Pot Limit Omaha - 6-Handed (Event #85)50th World Series of Poker - WSOP 2019, Las Vegas",123rd,"$ 2,503"
22-Jun-2019,"$ 10,000 Pot Limit Omaha - 8-Handed Championship (Event #52)50th World Series of Poker - WSOP 2019, Las Vegas",53rd,"$ 8,250"
15-Oct-2018,"A$ 5,000 + 300 No Limit Hold'em - VPC #4 Heads-Up Team Event2018 Victorian Poker Championships, Melbourne",2nd,"$ 3,328"
30-Jun-2018,"$ 2,000 + 200 No Limit Hold'em  - Main Event (Event #55)2018 Goliath Phamous Poker Series, Las Vegas",10th,"$ 79,200"
18-Jun-2018,"$ 1,600 + 55 No Limit Hold'em - MSPT #75DeepStack Championship Poker Series, Las Vegas",127th,"$ 22,500"
06-Jun-2018,"$ 10,000 No Limit Hold'em - Heads Up Championship (Event #16)49th World Series of Poker - WSOP 2018, Las Vegas",5th,"$ 6,965"
28-Jan-2018,"A$ 10,000 + 600 No Limit Hold'em - Main Event (Event #11)2018 Aussie Millions Poker Championship, Melbourne",9th,"$ 22,800"
17-Jan-2018,"A$ 1,025 + 125 No Limit Hold'em - Opening Event (Event #1)2018 Aussie Millions Poker Championship, Melbourne",50th,"$ 291,550"
18-Oct-2017,"HK$ 960,000 + 40,000 No Limit Hold'em - Triton Macau Main EventTriton Poker Super High Roller Series Macau, Macau",3rd,"$ 252,000"
11-Aug-2017,"A$ 4,750 + 250 No Limit Hold'em - High Roller Shot Clock (Event #9)Melbourne Poker Championships 2017, Melbourne",1st,"A$ 1,746,360"
01-Apr-2017,"HK$ 388,000 + 12,000 No Limit Hold'em - PokerStars Championship Super High Roller #12PokerStars Championship Macau, Macau",4th,"$ 1,197,663"
07-Nov-2016,"HK$ 95,000 + 5,000 No Limit Hold'em - Main Event (Event #10)2016 Asia Championship of Poker (ACOP), Macau",3rd,"$ 165,000"
22-Sep-2016,"A$ 1,800 + 200 No Limit Hold'em - Western Classic Main EventWestern Classic Poker Championships 2016, Perth",1st,"$ 3,500"
14-Aug-2015,"A$ 1,500 + 150 No Limit Hold'em - JHPC Main Event (Event #9)Joe Hachem Poker Challenge, Melbourne",22nd,"$ 103,708"
30-Jan-2015,"A$ 2,250 + 250 #17 Shot Clock No Limit Holdem Six Max2015 Aussie Millions Poker Championship, Melbourne",11th,"$ 30,000"
02-Nov-2014,"HK$ 25,000 No Limit Hold'em ACOP Warm UpAsia Pacific Poker Tour - APPT Asia Championship of Poker, Macau",13th,"$ 416,500"
