Date,Event Name,Placement,Earning
04-Aug-2023,"$ 5,300 No Limit Hold'em - SHRPO Championship (Event 37)Seminole Hard Rock Poker Open (SHRPO), Hollywood",6th,"$ 180,130"
14-Jul-2023,"$ 1,000 No Limit Hold'em - Flip & GO - Presented by GGPoker (Bracelet Event 89)54th World Series of Poker - WSOP 2023, Las Vegas",83rd,"$ 2,100"
10-Jul-2023,"$ 2,500 No Limit Hold'em (Bracelet Event 79)54th World Series of Poker - WSOP 2023, Las Vegas",165th,"$ 5,471"
27-Jun-2023,"$ 888 No Limit Hold'em - Crazy 8's (Online Bracelet Event 11) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",52nd,"$ 3,895"
22-Jun-2023,"$ 1,000 Pot Limit Omaha Championship (Online Bracelet Event 9) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",34th,"$ 2,912"
20-Jun-2023,"$ 3,200 No Limit Hold'em - High Roller (Online Bracelet Event 8) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",6th,"$ 53,030"
13-Jun-2023,"$ 3,000 No Limit Hold'em - 6-Handed (Bracelet Event 32)54th World Series of Poker - WSOP 2023, Las Vegas",60th,"$ 7,533"
08-Jun-2023,"$ 10,000 Limit Hold'em Championship (Bracelet Event 22)54th World Series of Poker - WSOP 2023, Las Vegas",21st,"$ 16,000"
05-Jun-2023,"$ 600 Pot Limit Omaha - Deep Stack (Bracelet Event 13)54th World Series of Poker - WSOP 2023, Las Vegas",111th,"$ 1,773"
04-Jun-2023,"$ 500 No Limit Hold'em - Bankroll Builder (Online Bracelet Event 2) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",55th,"$ 2,097"
30-May-2023,"$ 25,000 No Limit Hold'em - High Roller 6-Handed (Bracelet Event 2)54th World Series of Poker - WSOP 2023, Las Vegas",26th,"$ 43,750"
14-Dec-2022,"€ 1,800 + 200 No Limit Hold'em - EPT Mystery Bounty (Event #33)European Poker Tour - EPT Prague, Prague",58th,"$ 4,377"
12-Dec-2022,"€ 1,000 + 50 No Limit Hold'em - Hyper Turbo (Event #25)European Poker Tour - EPT Prague, Prague",49th,"$ 1,981"
17-Jul-2022,"$ 1,000 No Limit Hold'em - Super Turbo (Event #88)53rd World Series of Poker - WSOP 2022, Las Vegas",144th,"$ 1,751"
14-Jul-2022,"$ 50,000 No Limit Hold'em - High Roller (Event #83)53rd World Series of Poker - WSOP 2022, Las Vegas",17th,"$ 80,000"
03-Jul-2022,"$ 10,000 No Limit Hold'em - WSOP Main Event (Event #70)53rd World Series of Poker - WSOP 2022, Las Vegas",75th,"$ 101,700"
30-Jun-2022,"$ 600 Pot Limit Omaha - Deep Stack (Event #64)53rd World Series of Poker - WSOP 2022, Las Vegas",56th,"$ 3,069"
16-Jun-2022,"$ 1,500 No Limit Hold'em - Freezeout (Event #34)53rd World Series of Poker - WSOP 2022, Las Vegas",133rd,"$ 3,217"
11-Jun-2022,"$ 3,000 Limit Hold'em - Six-Handed (Event #23)53rd World Series of Poker - WSOP 2022, Las Vegas",18th,"$ 6,174"
04-Jun-2022,"$ 25,000 No Limit Hold'em - High Roller 8-Handed (Event #8)53rd World Series of Poker - WSOP 2022, Las Vegas",6th,"$ 241,791"
02-May-2022,"€ 5,300 No Limit Hold'em - EPT Monte Carlo Main Event (Event 21)European Poker Tour - EPT Monte Carlo, Monte Carlo",94th,"$ 12,150"
04-Nov-2021,"$ 10,000 No Limit Hold'em - WSOP Main Event (Event #67)52nd World Series of Poker - WSOP 2021, Las Vegas",1st,"$ 8,000,000"
