Date,Event Name,Placement,Earning
18-Jul-2023,"$ 1,000 No Limit Hold'em - High Roller 6-Max (Online Ring Event #18)World Series of Poker Circuit - WSOPC ONLINE Super Circuit, Online",4th,"$ 22,008"
08-Jul-2023,"$ 1,000 No Limit Hold'em - Championship (Online Bracelet Event 15) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",77th,"$ 2,457"
16-Jun-2023,"$ 1,500 No Limit Hold'em - Monster Stack (Bracelet Event 39)54th World Series of Poker - WSOP 2023, Las Vegas",738th,"$ 3,235"
09-Jun-2023,"$ 3,200 + 300 No Limit Hold'em - BetMGM Poker Championship2023 Aria Poker Classic, Las Vegas",54th,"$ 11,229"
04-Jun-2023,"$ 1,000 No Limit Hold'em - Deepstack (Online Bracelet Event 3) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",63rd,"$ 2,843"
16-Mar-2023,"$ 1,100 No Limit Hold'emWynn Millions Poker Series, Las Vegas",52nd,"$ 3,860"
09-Mar-2023,"$ 3,000 No Limit Hold'emWynn Millions Poker Series, Las Vegas",21st,"$ 7,478"
24-Feb-2023,"€ 10,300 No Limit Hold'em - EPT Paris High Roller (Event #29)European Poker Tour - EPT Paris, Paris",7th,"$ 133,763"
15-Feb-2023,"€ 1,100 No Limit Hold'em - Freezeout (Event #1)European Poker Tour - EPT Paris, Paris",43rd,"$ 2,194"
01-Feb-2023,"$ 1,940 + 260 No Limit Hold'em - Deep Stack (Event #60)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",26th,"$ 4,850"
26-Jan-2023,"$ 1,716 + 284 + 1,000 No Limit Hold'em - PCA Mystery Bounty Championship (Event #23)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",27th,"$ 7,050"
27-Oct-2022,"£ 1,920 + 280 No Limit Hold'em - Deep Stack (Event #44)European Poker Tour - EPT London, London",6th,"$ 16,970"
18-Oct-2022,"£ 960 + 140 No Limit Hold'em - UKIPT London Main Event (Event #1)European Poker Tour - EPT London, London",1st,"$ 263,202"
14-Aug-2022,"€ 2,200 No Limit Hold'em - ESPT High Roller (Event #26)European Poker Tour - EPT Barcelona, Barcelona",16th,"$ 26,253"
11-Jul-2022,"$ 2,500 No Limit Hold'em (Event #78)53rd World Series of Poker - WSOP 2022, Las Vegas",70th,"$ 7,654"
02-Jul-2022,"$ 700 No Limit Hold'em - Million Dollar Bounty (Event #68)53rd World Series of Poker - WSOP 2022, Las Vegas",1544th,"$ 1,161"
22-Nov-2021,"$ 5,000 No Limit Hold'em - 8 Handed (Event #88)52nd World Series of Poker - WSOP 2021, Las Vegas",72nd,"$ 8,061"
16-Nov-2021,"$ 1,500 No Limit Hold'em - Fifty Stack (Event #77)52nd World Series of Poker - WSOP 2021, Las Vegas",71st,"$ 4,674"
11-Nov-2021,"$ 2,500 No Limit Hold'em - Card Player Poker Tour - CPPT (Event #55)DeepStack Championship Poker Series II, Las Vegas",46th,"$ 7,098"
04-Nov-2021,"$ 10,000 No Limit Hold'em - WSOP Main Event (Event #67)52nd World Series of Poker - WSOP 2021, Las Vegas",844th,"$ 15,000"
22-Oct-2021,"$ 1,000 No Limit Hold'em - Double Stack (Event #43)52nd World Series of Poker - WSOP 2021, Las Vegas",145th,"$ 3,124"
03-Sep-2020,"$ 1,050 No Limit Hold'em - Bounty [Spin the Wheel] (Event #81)World Series of Poker - WSOP Online 2020 at GGPoker, Online",242nd,"$ 2,306"
16-Aug-2020,"$ 500 No Limit Hold'em Mini Main Event (Event #63)World Series of Poker - WSOP Online 2020 at GGPoker, Online",600th,"$ 2,479"
02-Aug-2020,"$ 1,500 MILLIONAIRE MAKER (Event #48)World Series of Poker - WSOP Online 2020 at GGPoker, Online",750th,"$ 2,115"
10-May-2020,"$ 3,000 + 200 No Limit Hold'em - WPT Online Championship Main EventWorld Poker Tour - WPT Online Championship by partypoker, Online",23rd,"$ 28,755"
29-Oct-2019,"C$ 3,000 + 300 No Limit Hold'em - WPT Main EventWorld Poker Tour - WPT Montreal in partnership with partypoker LIVE, Kahnawake",6th,"C$ 110,000"
20-Oct-2019,"€ 1,200 + 120 No Limit Hold'em - BOM High Roller (Event #26)Battle of Malta 2019, St Julians",19th,"$ 83,720"
30-Aug-2019,"€ 10,300 No Limit Hold'em - EPT High Roller (Event #43)European Poker Tour - EPT Barcelona, Barcelona",65th,"$ 4,313"
25-Aug-2019,"€ 2,200 No Limit Hold'em - EPT National High Roller (Event #19)European Poker Tour - EPT Barcelona, Barcelona",93rd,"$ 21,362"
17-Jun-2019,"$ 1,600 No Limit Hold'em - MSPT Event (Event #62)DeepStack Championship Poker Series, Las Vegas",249th,"$ 6,888"
30-May-2019,"€ 1,100 No Limit Hold'em - Main Event888poker LIVE - Barcelona, Barcelona",12th,"$ 3,888"
31-Jan-2019,"£ 1,000 + 100 No Limit Hold'em - Main EventGrosvenor UK Poker Tour - GUKPT London Leg 1, London",18th,"$ 7,248"
08-Jan-2019,"$ 2,200 No Limit Hold'em (Event #8)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",17th,"$ 5,381"
14-Jul-2018,"$ 5,000 + 225 No Limit Hold'em - CPPT #126DeepStack Championship Poker Series, Las Vegas",9th,"$ 13,860"
11-Jul-2018,"$ 10,000 No Limit Hold'em - 6 Handed Big Blind Ante (Event #74)49th World Series of Poker - WSOP 2018, Las Vegas",39th,"$ 48,068"
28-Jun-2018,"$ 5,000 No Limit Hold'em - 6 Handed (Event #58)49th World Series of Poker - WSOP 2018, Las Vegas",83rd,"$ 16,911"
19-Jun-2018,"$ 1,500 No Limit Hold'em - Shootout (Event #39)49th World Series of Poker - WSOP 2018, Las Vegas",55th,"$ 7,477"
09-Jun-2018,"$ 1,500 No Limit Hold'em - Millionaire Maker (Event #21)49th World Series of Poker - WSOP 2018, Las Vegas",426th,"$ 5,227"
31-May-2018,"€ 1,000 + 100 No Limit Hold'em - 888poker LIVE Barcelona Main Event888poker LIVE - Barcelona, Barcelona",62nd,"$ 4,038"
21-Apr-2018,"C$ 1,000 + 100 No Limit Hold'em - MILLIONS Open  #1partypoker LIVE - partypoker MILLIONS North America, Kahnawake",6th,"$ 4,109"
07-Apr-2018,"€ 1,000 + 100 No Limit Hold'em - Open #1partypoker LIVE - partypoker MILLIONS Barcelona Grand Final, Barcelona",185th,"C$ 28,000"
28-Jan-2018,"A$ 10,000 + 600 No Limit Hold'em - Main Event (Event #11)2018 Aussie Millions Poker Championship, Melbourne",76th,"$ 22,038"
06-Nov-2017,"€ 5,000 + 250 No Limit Hold'em - Turbo KnockoutWorld Series of Poker Europe - WSOPE 2017, Rozvadov",2nd,"$ 3,677"
16-Aug-2017,"€ 1,100 No Limit Hold'em - PokerStars National Championship #6PokerStars Championship Barcelona, Barcelona",38th,"A$ 15,000"
28-Jul-2017,"HK$ 28,000 No Limit Hold'em - Main Event2017 MBP Summer Showdown, Macau",26th,"$ 12,122"
19-Jun-2017,"$ 1,000 No Limit Hold'em (Event #37)48th World Series of Poker - WSOP 2017, Las Vegas",168th,"$ 27,446"
08-Jun-2017,"$ 1,100 No Limit Hold'em - Bounty #40Deepstack Extravaganza III, Las Vegas",43rd,"$ 14,237"
31-May-2017,"$ 10,000 No Limit Hold'em - Tag Team Championship (Event #2)48th World Series of Poker - WSOP 2017, Las Vegas",6th,"HK$ 117,100"
29-Apr-2017,"€ 5,300 No Limit Hold'em - PokerStars Championship Main Event (Event 24)PokerStars Championship presented by Monte-Carlo Casino, Monte Carlo",83rd,"$ 14,994"
27-Jan-2017,"A$ 2,250 + 250 No Limit Hold'em - Shot Clock Six Max (Event #20)2017 Aussie Millions Poker Championship, Melbourne",22nd,"$ 1,974"
Nov-2016,"SKr 2,000 Omaha Pot LimitMalmo Autumn Poker Week 2016, Malmo",2nd,"$ 1,639"
12-Jul-2016,"$ 1,111 No Limit Hold'em Little One for One Drop  (Event #69)47th World Series of Poker - WSOP 2016, Las Vegas",521st,"$ 23,636"
01-Jul-2016,"$ 888 No Limit Hold'em Crazy Eights 8-Handed (re-entry) (Event #54)47th World Series of Poker - WSOP 2016, Las Vegas",496th,"$ 10,389"
10-Jun-2016,"$ 1,500 No Limit Hold'em Millionaire Maker  (Event #14)47th World Series of Poker - WSOP 2016, Las Vegas",731st,"A$ 5,735"
12-Feb-2016,"€ 25,000 + 750 #16 No Limit Hold'em High Roller - 8 HandedEuropean Poker Tour - EPT Dublin, Dublin",9th,"$ 4,333"
25-Jun-2015,"$ 3,000 No Limit Hold'em Six Handed (Event #51)46th World Series of Poker - WSOP 2015, Las Vegas",55th,"$ 3,293"
22-Mar-2015,"€ 5,000 + 300 #27 No Limit Hold'em - EPT Main EventEuropean Poker Tour - EPT Malta, St. Julian’s",64th,"$ 1,743"
18-Mar-2015,"€ 1,000 + 100 #4 No Limit Hold'em - IPT Main EventEuropean Poker Tour - EPT Malta, St. Julian’s",117th,"$ 1,801"
11-Oct-2014,"£ 2,000 + 200 #11 No Limit Hold'em - UKIPT High RollerEuropean Poker Tour - EPT London, London",11th,"$ 2,719"
05-Jul-2014,"$ 10,000 World Championship - No Limit Hold'em (Event #65)45th World Series of Poker - WSOP 2014, Las Vegas",1st,"$ 56,255"
07-Jun-2014,"$ 1,500 No Limit Hold'em (Event #19)45th World Series of Poker - WSOP 2014, Las Vegas",112th,"$ 7,887"
